Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
brenden aaronson,Union Berlin,13,13,6,50.0,16,18,2,26,1,25,4,0,2023-2024,bundesliga
paxten aaronson,Eint Frankfurt,1,1,0,100.0,1,2,0,2,0,2,0,0,2023-2024,bundesliga
junior adamu,Freiburg,1,2,2,50.0,1,1,0,1,0,1,2,0,2023-2024,bundesliga
sargis adamyan,Köln,2,9,3,54.5,6,9,5,16,1,15,7,0,2023-2024,bundesliga
karim adeyemi,Dortmund,9,4,3,40.0,8,14,3,11,0,11,5,0,2023-2024,bundesliga
amine adli,Leverkusen,2,10,4,41.2,7,7,6,10,2,8,5,0,2023-2024,bundesliga
felix agu,Werder Bremen,28,13,4,70.7,29,29,13,27,7,20,41,0,2023-2024,bundesliga
ludovic ajorque,Mainz 05,1,2,0,18.2,2,2,4,6,2,4,11,0,2023-2024,bundesliga
kevin akpoguma,Hoffenheim,22,12,1,74.3,26,18,18,28,8,20,32,0,2023-2024,bundesliga
faride alidou,Köln,3,6,1,22.2,4,4,8,23,2,21,15,1,2023-2024,bundesliga
skelly alvero,Werder Bremen,1,5,0,100.0,3,4,1,3,1,2,1,0,2023-2024,bundesliga
nadiem amiri,Mainz 05,8,10,4,68.4,13,14,14,16,2,14,18,0,2023-2024,bundesliga
nadiem amiri,Leverkusen,0,3,1,0.0,0,2,0,0,0,0,1,0,2023-2024,bundesliga
kofi amoako,Wolfsburg,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
robert andrich,Leverkusen,8,14,8,54.2,13,18,20,15,4,11,17,0,2023-2024,bundesliga
waldemar anton,Stuttgart,21,16,2,54.8,23,25,40,33,20,13,150,1,2023-2024,bundesliga
christopher antwiadjei,Bochum,10,6,5,54.5,12,12,2,13,2,11,11,1,2023-2024,bundesliga
asaf arania,Darmstadt 98,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,bundesliga
maximilian arnold,Wolfsburg,15,27,9,49.1,28,31,24,23,4,19,60,0,2023-2024,bundesliga
arthur,Leverkusen,2,0,2,100.0,2,3,0,1,1,0,7,0,2023-2024,bundesliga
takuma asano,Bochum,2,9,6,30.4,7,6,4,17,3,14,11,0,2023-2024,bundesliga
jonathan asp jensen,Bayern Munich,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,bundesliga
noah atubolu,Freiburg,0,0,0,0.0,0,0,0,0,0,0,8,1,2023-2024,bundesliga
matthias bader,Darmstadt 98,32,11,8,50.8,33,25,25,22,4,18,20,0,2023-2024,bundesliga
ridle baku,Wolfsburg,24,7,6,45.7,21,20,21,27,1,26,45,1,2023-2024,bundesliga
samuel bamba,Dortmund,1,0,0,50.0,1,1,0,0,0,0,1,0,2023-2024,bundesliga
aymen barkok,Mainz 05,2,6,1,50.0,3,5,2,7,0,7,1,0,2023-2024,bundesliga
leandro barreiro martins,Mainz 05,19,37,9,60.0,30,40,36,45,16,29,53,0,2023-2024,bundesliga
daniel batz,Mainz 05,0,0,0,,0,0,0,0,0,0,3,0,2023-2024,bundesliga
maximilian bauer,Augsburg,13,4,2,52.9,9,12,11,14,8,6,30,1,2023-2024,bundesliga
elias baum,Eint Frankfurt,0,0,1,,0,0,0,3,2,1,1,0,2023-2024,bundesliga
oliver baumann,Hoffenheim,1,0,0,50.0,1,1,0,0,0,0,19,2,2023-2024,bundesliga
christoph baumgartner,RB Leipzig,10,12,4,36.8,14,13,5,20,1,19,14,0,2023-2024,bundesliga
ihlas bebou,Hoffenheim,10,8,4,50.0,8,12,14,13,2,11,15,0,2023-2024,bundesliga
adrian beck,Heidenheim,8,12,2,37.5,9,13,4,17,0,17,15,0,2023-2024,bundesliga
sheraldo becker,Union Berlin,0,2,1,0.0,0,3,0,2,0,2,2,0,2023-2024,bundesliga
chris bedia,Union Berlin,0,2,0,0.0,0,1,0,3,0,3,2,0,2023-2024,bundesliga
donny van de beek,Eint Frankfurt,3,3,2,42.9,3,3,3,5,1,4,1,0,2023-2024,bundesliga
