Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
junior adamu,Freiburg,3,3,3,27.3,3,3,12,14,0,14,20,0,2024-2025,bundesliga
karim adeyemi,Dortmund,6,6,8,40.0,8,14,7,14,1,13,5,0,2024-2025,bundesliga
amine adli,Leverkusen,4,2,9,36.4,4,9,0,11,0,11,4,0,2024-2025,bundesliga
oladapo afolayan,St. Pauli,4,8,5,36.8,7,8,8,17,1,16,20,0,2024-2025,bundesliga
felix agu,Werder Bremen,12,14,4,52.2,12,14,21,27,9,18,48,0,2024-2025,bundesliga
erik ahlstrand,St. Pauli,0,0,0,,0,0,1,1,0,1,1,0,2024-2025,bundesliga
kevin akpoguma,Hoffenheim,36,12,6,65.2,30,27,29,65,37,28,115,1,2024-2025,bundesliga
andreas albers,St. Pauli,0,0,1,0.0,0,1,0,0,0,0,1,0,2024-2025,bundesliga
ben alexander voll,St. Pauli,0,0,0,,0,0,0,0,0,0,0,0,2024-2025,bundesliga
skelly alvero,Werder Bremen,5,5,1,80.0,4,6,2,4,0,4,10,0,2024-2025,bundesliga
aurele amenda,Eint Frankfurt,1,0,0,,0,0,2,2,2,0,11,0,2024-2025,bundesliga
nadiem amiri,Mainz 05,13,28,9,41.3,19,23,16,19,4,15,30,2,2024-2025,bundesliga
mohamed amoura,Wolfsburg,14,5,10,37.8,14,22,9,42,2,40,24,0,2024-2025,bundesliga
robert andrich,Leverkusen,8,14,2,50.0,7,12,29,16,8,8,23,0,2024-2025,bundesliga
waldemar anton,Dortmund,18,10,6,73.9,17,21,30,33,16,17,112,1,2024-2025,bundesliga
maximilian arnold,Wolfsburg,13,18,3,45.5,15,20,24,21,11,10,70,2,2024-2025,bundesliga
jannfiete arp,Holstein Kiel,5,2,6,30.8,4,10,3,6,0,6,8,1,2024-2025,bundesliga
arthur,Leverkusen,3,9,2,50.0,5,11,9,8,0,8,29,0,2024-2025,bundesliga
noah atubolu,Freiburg,0,0,0,,0,0,0,0,0,0,13,4,2024-2025,bundesliga
ayman azhil,Dortmund,1,0,0,,0,1,0,0,0,0,0,0,2024-2025,bundesliga
adam aznou,Bayern Munich,0,0,0,,0,0,0,0,0,0,1,0,2024-2025,bundesliga
aliou badara balde,Bochum,1,0,0,,0,1,0,2,0,2,0,0,2024-2025,bundesliga
ridle baku,Wolfsburg,9,9,5,42.1,8,15,15,22,1,21,15,0,2024-2025,bundesliga
ridle baku,RB Leipzig,9,13,2,39.1,9,19,9,18,2,16,45,0,2024-2025,bundesliga
samuel bamba,Bochum,1,0,0,,0,1,0,0,0,0,0,0,2024-2025,bundesliga
noahkai banks,Augsburg,6,4,1,42.9,3,5,5,4,1,3,28,0,2024-2025,bundesliga
scott banks,St. Pauli,1,0,0,0.0,0,1,2,0,0,0,2,0,2024-2025,bundesliga
