Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
abner,Betis,9,2,1,43.8,7,9,8,8,2,6,24,0,2022-2023,laliga
alvaro aceves,Valladolid,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
marcos acuna,Sevilla,34,17,6,71.4,30,36,23,16,5,11,36,0,2022-2023,laliga
julen agirrezabala,Athletic Club,0,0,0,,0,0,0,0,0,0,2,0,2022-2023,laliga
alvaro aguado,Valladolid,13,11,3,60.0,15,15,13,16,4,12,15,0,2022-2023,laliga
joseph aidoo,Celta Vigo,33,17,1,57.1,16,36,31,26,14,12,150,0,2022-2023,laliga
sergio akieme,Almería,19,6,2,54.5,12,16,14,22,6,16,41,0,2022-2023,laliga
babatunde akinsola,Valladolid,0,0,1,,0,1,0,0,0,0,0,0,2022-2023,laliga
paul akouokou,Betis,13,3,0,65.0,13,9,12,2,2,0,17,1,2022-2023,laliga
david alaba,Real Madrid,8,4,3,60.0,9,11,14,18,9,9,37,1,2022-2023,laliga
angel alarcon,Barcelona,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,laliga
tomas alarcon,Cádiz,0,2,1,50.0,1,2,2,1,0,1,2,0,2022-2023,laliga
jordi alba,Barcelona,13,11,1,42.9,12,18,11,12,5,7,23,0,2022-2023,laliga
raul albiol,Villarreal,17,6,2,77.8,14,17,14,17,13,4,111,0,2022-2023,laliga
ruben alcaraz,Cádiz,24,18,1,35.2,19,31,19,23,8,15,37,0,2022-2023,laliga
omar alderete,Getafe,21,14,0,70.0,28,20,26,23,16,7,85,0,2022-2023,laliga
ivan alejo,Cádiz,19,9,4,45.9,17,21,5,18,3,15,12,1,2022-2023,laliga
carles alena,Getafe,7,5,6,14.7,5,10,4,19,1,18,18,0,2022-2023,laliga
alejandro alfaro,Elche,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
angel algobia,Getafe,14,13,0,45.8,22,13,3,15,5,10,11,0,2022-2023,laliga
mohamed ali cho,Real Sociedad,6,5,2,40.0,4,10,2,9,0,9,2,0,2022-2023,laliga
domingos andre ribeiro almeida,Valencia,23,32,11,45.6,26,42,20,26,0,26,16,1,2022-2023,laliga
marcos alonso,Barcelona,10,5,0,75.0,9,10,11,14,10,4,32,0,2022-2023,laliga
carlos alvarez,Sevilla,0,1,0,,0,1,0,0,0,0,0,0,2022-2023,laliga
gaston alvarez,Getafe,24,9,5,54.8,23,30,15,15,5,10,35,0,2022-2023,laliga
yeray alvarez,Athletic Club,26,7,1,77.4,24,23,48,23,13,10,101,0,2022-2023,laliga
selim amallah,Valladolid,7,8,0,62.5,5,9,5,2,0,2,2,0,2022-2023,laliga
amath,Mallorca,14,8,7,63.6,14,19,5,13,1,12,5,0,2022-2023,laliga
jordan amavi,Getafe,3,0,0,33.3,1,2,4,3,0,3,7,0,2022-2023,laliga
marcos andre,Valencia,1,1,2,50.0,1,1,0,4,1,3,0,0,2022-2023,laliga
fabrizio angileri,Getafe,8,3,1,58.8,10,9,7,8,3,5,10,0,2022-2023,laliga
josep antoni gaya,Mallorca,0,0,0,,0,0,1,4,2,2,6,0,2022-2023,laliga
jose antonio,Cádiz,0,0,2,,0,1,0,0,0,0,0,0,2022-2023,laliga
anuar,Valladolid,0,1,3,,0,4,3,5,2,3,3,0,2022-2023,laliga
mauro arambarri,Getafe,9,4,1,17.6,3,6,14,17,5,12,19,0,2022-2023,laliga
ronald araujo,Barcelona,12,13,1,66.7,6,18,12,15,7,8,41,1,2022-2023,laliga
adu ares,Athletic Club,2,1,1,100.0,4,2,2,1,0,1,1,0,2022-2023,laliga
sergio arribas,Real Madrid,0,0,0,,0,0,0,1,0,1,0,0,2022-2023,laliga
roberto arroyo,Valladolid,0,1,0,100.0,1,1,0,0,0,0,0,0,2022-2023,laliga
ricard artero,Girona,2,1,0,100.0,1,3,1,2,0,2,3,0,2022-2023,laliga
santiago arzamendia,Cádiz,7,1,1,28.6,6,8,2,11,1,10,15,1,2022-2023,laliga
sergio asenjo,Valladolid,0,0,0,,0,0,0,0,0,0,10,2,2022-2023,laliga
marco asensio,Real Madrid,8,6,2,42.1,8,10,5,8,3,5,4,0,2022-2023,laliga
iago aspas,Celta Vigo,0,4,4,13.6,3,4,7,10,1,9,23,0,2022-2023,laliga
pierreemerick aubameyang,Barcelona,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,laliga
ludwig augustinsson,Mallorca,2,0,0,33.3,1,1,1,1,0,1,3,0,2022-2023,laliga
ezequiel avila,Osasuna,2,4,2,26.1,6,5,8,12,1,11,16,0,2022-2023,laliga
iddrisu baba,Mallorca,15,16,0,46.9,15,17,11,18,8,10,39,0,2022-2023,laliga
sran babic,Almería,20,8,0,46.9,15,18,29,34,22,12,124,1,2022-2023,laliga
loic bade,Sevilla,23,3,1,56.7,17,20,23,21,13,8,77,0,2022-2023,laliga
edgar badia,Elche,1,0,0,50.0,1,0,0,0,0,0,19,3,2022-2023,laliga
alex baena,Villarreal,9,15,6,33.3,15,17,7,15,3,12,16,0,2022-2023,laliga
alejandro balde,Barcelona,22,16,4,58.5,24,30,12,25,3,22,17,1,2022-2023,laliga
mikel balenziaga,Athletic Club,1,2,1,100.0,4,4,1,0,0,0,2,0,2022-2023,laliga
ivan balliu,Rayo Vallecano,26,20,6,60.0,18,29,25,26,3,23,72,1,2022-2023,laliga
leo baptistao,Almería,13,16,3,39.4,13,20,19,17,2,15,12,0,2022-2023,laliga
keidi bare,Espanyol,7,5,3,53.8,7,8,11,8,2,6,8,0,2022-2023,laliga
kike barja,Osasuna,6,5,4,33.3,8,9,4,7,0,7,3,0,2022-2023,laliga
ander barrenetxea,Real Sociedad,15,6,0,42.9,12,15,5,15,1,14,7,0,2022-2023,laliga
pablo barrios,Atlético Madrid,3,10,6,53.3,8,10,9,12,2,10,6,1,2022-2023,laliga
rodrigo battaglia,Mallorca,7,5,0,42.9,6,5,5,16,7,9,18,0,2022-2023,laliga
bebe,Rayo Vallecano,0,0,0,0.0,0,0,0,1,0,1,0,0,2022-2023,laliga
hector bellerin,Barcelona,0,2,0,66.7,2,0,3,2,0,2,2,0,2022-2023,laliga
fran beltran,Celta Vigo,15,14,5,25.5,14,22,53,29,5,24,35,2,2022-2023,laliga
iker benito,Osasuna,0,3,1,50.0,2,3,2,0,0,0,4,0,2022-2023,laliga
karim benzema,Real Madrid,2,4,3,18.2,2,5,2,11,0,11,5,0,2022-2023,laliga
