Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
max aarons,Valencia,2,2,0,80.0,4,4,0,1,0,1,3,0,2024-2025,laliga
rodrigo abajas,Valencia,2,1,0,100.0,3,2,1,1,0,1,0,0,2024-2025,laliga
abel,Osasuna,28,25,8,61.9,39,37,18,29,4,25,64,2,2024-2025,laliga
nabil aberdin,Getafe,3,3,0,100.0,1,4,0,3,0,3,5,0,2024-2025,laliga
abdel abqar,Alavés,24,11,1,58.8,20,23,39,28,18,10,146,1,2024-2025,laliga
akor adams,Sevilla,0,0,0,,0,0,0,1,0,1,1,0,2024-2025,laliga
adrian,Betis,0,0,0,0.0,0,0,0,0,0,0,14,3,2024-2025,laliga
julen agirrezabala,Athletic Club,0,0,0,0.0,0,0,0,0,0,0,4,0,2024-2025,laliga
lucien agoume,Sevilla,23,37,10,69.2,27,32,41,30,11,19,42,0,2024-2025,laliga
alvaro aguado,Espanyol,3,2,0,33.3,3,2,4,7,1,6,5,1,2024-2025,laliga
lorenzo aguado,Real Madrid,0,0,0,,0,0,0,0,0,0,2,0,2024-2025,laliga
nayef aguerd,Real Sociedad,17,12,1,66.7,12,24,13,21,15,6,91,0,2024-2025,laliga
joseph aidoo,Valladolid,3,2,0,66.7,2,5,5,8,4,4,26,1,2024-2025,laliga
joseph aidoo,Celta Vigo,1,0,0,,0,0,0,0,0,0,0,0,2024-2025,laliga
ilias akhomach,Villarreal,4,4,4,50.0,6,7,3,8,0,8,13,0,2024-2025,laliga
david alaba,Real Madrid,1,0,0,,0,0,6,5,5,0,7,0,2024-2025,laliga
ibrahim alani,Valladolid,8,4,0,66.7,4,7,1,3,1,2,1,0,2024-2025,laliga
raul albiol,Villarreal,9,1,0,60.0,6,9,6,10,9,1,69,1,2024-2025,laliga
omar alderete,Getafe,30,11,2,66.7,20,29,40,38,22,16,241,1,2024-2025,laliga
