Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
yunis abdelhamid,Reims,47,33,2,75.0,39,50,64,65,27,38,116,1,2022-2023,ligue1
himad abdelli,Angers,22,32,10,46.3,31,38,28,30,1,29,15,0,2022-2023,ligue1
salis abdul samed,Lens,18,23,5,55.8,29,26,36,38,9,29,26,0,2022-2023,ligue1
laurent abergel,Lorient,59,30,3,42.4,39,52,34,47,8,39,39,0,2022-2023,ligue1
matthis abline,Auxerre,0,3,1,0.0,0,2,1,6,1,5,1,0,2022-2023,ligue1
matthis abline,Rennes,0,0,1,100.0,1,1,2,1,0,1,1,0,2022-2023,ligue1
zakaria aboukhlal,Toulouse,13,9,11,31.1,14,23,22,18,1,17,23,0,2022-2023,ligue1
mohamed achi,Nantes,1,0,0,100.0,1,1,0,0,0,0,0,0,2022-2023,ligue1
martin adeline,Reims,2,1,0,75.0,3,3,3,3,1,2,3,0,2022-2023,ligue1
emmanuel agbadou,Reims,53,16,2,64.6,42,49,32,30,14,16,107,3,2022-2023,ligue1
lucien agoume,Troyes,18,15,9,51.5,17,25,27,14,5,9,24,0,2022-2023,ligue1
ruben aguilar,Monaco,7,7,5,36.4,8,9,18,13,1,12,28,1,2022-2023,ligue1
amar ahmed,Troyes,0,1,0,0.0,0,1,1,0,0,0,0,0,2022-2023,ligue1
jeaneudes aholou,Strasbourg,10,20,4,38.7,12,20,24,25,0,25,15,0,2022-2023,ligue1
ludovic ajorque,Strasbourg,1,4,0,33.3,3,4,2,3,1,2,7,0,2022-2023,ligue1
maghnes akliouche,Monaco,4,3,0,25.0,2,4,3,2,0,2,2,0,2022-2023,ligue1
dogan alemdar,Rennes,0,0,0,,0,0,0,0,0,0,1,1,2022-2023,ligue1
jim allevinah,Clermont Foot,24,11,4,30.6,19,24,24,24,2,22,26,1,2022-2023,ligue1
mickael alphonse,Ajaccio,20,11,4,60.6,20,23,35,17,5,12,44,1,2022-2023,ligue1
ibrahim amadou,Angers,6,3,1,63.6,7,7,10,7,3,4,20,0,2022-2023,ligue1
ayoub amraoui,Nice,3,3,0,40.0,2,5,4,1,0,1,4,0,2022-2023,ligue1
benjamin andre,Lille,51,60,17,53.7,65,74,47,50,8,42,60,0,2022-2023,ligue1
komnen andric,Clermont Foot,2,7,4,13.3,2,5,8,8,1,7,13,0,2022-2023,ligue1
houssem aouar,Lyon,5,5,2,33.3,3,5,8,12,2,10,3,0,2022-2023,ligue1
adil aouchiche,Lorient,3,1,1,11.1,1,2,4,1,0,1,1,0,2022-2023,ligue1
dennis appiah,Nantes,14,7,0,37.0,10,11,10,13,5,8,16,0,2022-2023,ligue1
stredair appuah,Nantes,0,2,0,,0,1,1,2,0,2,0,0,2022-2023,ligue1
tairyk arconte,Brest,0,0,1,0.0,0,1,0,1,0,1,2,0,2022-2023,ligue1
mohamed el arouch,Lyon,1,0,0,,0,1,0,0,0,0,0,0,2022-2023,ligue1
lorenz assignon,Rennes,4,2,0,50.0,2,2,2,6,0,6,9,0,2022-2023,ligue1
youcef atal,Nice,18,15,5,71.9,23,22,14,9,0,9,13,0,2022-2023,ligue1
valentin atangana edoa,Reims,4,2,2,50.0,3,3,0,2,1,1,1,0,2022-2023,ligue1
mathias autret,Auxerre,10,10,2,43.8,7,10,12,14,2,12,13,0,2022-2023,ligue1
cedric avinel,Ajaccio,8,5,0,66.7,8,7,15,20,13,7,91,1,2022-2023,ligue1
loic bade,Rennes,1,0,0,,0,1,1,0,0,0,3,0,2022-2023,ligue1
benoit badiashile,Monaco,6,4,0,50.0,5,8,17,9,6,3,40,1,2022-2023,ligue1
