Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Block_Pass,Clearences,Err,Season,Competition
brenden aaronson,Leeds United,16,22,7,32.6,15,18,5,43,3,40,6,1,2022-2023,premierleague
george abbott,Tottenham,0,0,0,,0,0,1,0,0,0,0,0,2022-2023,premierleague
che adams,Southampton,7,8,2,58.3,7,13,4,13,4,9,22,0,2022-2023,premierleague
tyler adams,Leeds United,44,35,10,63.3,50,46,35,48,8,40,29,0,2022-2023,premierleague
tosin adarabioyo,Fulham,22,6,2,69.6,16,13,26,20,15,5,140,1,2022-2023,premierleague
nayef aguerd,West Ham,18,8,1,65.0,13,18,18,26,24,2,79,2,2022-2023,premierleague
naouirou ahamada,Crystal Palace,3,0,0,33.3,1,2,0,2,0,2,0,0,2022-2023,premierleague
rayan aitnouri,Wolves,25,7,1,56.3,9,20,9,3,0,3,28,0,2022-2023,premierleague
kristoffer ajer,Brentford,5,4,2,56.3,9,8,7,6,5,1,22,0,2022-2023,premierleague
manuel akanji,Manchester City,15,18,3,63.9,23,25,16,27,9,18,33,1,2022-2023,premierleague
nathan ake,Manchester City,15,9,2,73.3,11,12,20,20,10,10,48,0,2022-2023,premierleague
marc albrighton,Leicester City,0,2,2,12.5,1,1,1,6,2,4,5,0,2022-2023,premierleague
thiago alcantara,Liverpool,20,21,2,60.9,14,24,21,15,3,12,13,2,2022-2023,premierleague
carlos alcaraz,Southampton,2,7,1,27.3,6,5,1,14,5,9,11,0,2022-2023,premierleague
trent alexanderarnold,Liverpool,32,16,9,52.5,42,40,43,25,7,18,41,2,2022-2023,premierleague
alisson,Liverpool,0,0,0,0.0,0,0,0,3,0,3,20,0,2022-2023,premierleague
dele alli,Everton,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
miguel almiron,Newcastle Utd,16,19,11,42.9,18,30,10,25,2,23,17,0,2022-2023,premierleague
julian alvarez,Manchester City,3,13,10,30.0,9,16,2,13,0,13,6,0,2022-2023,premierleague
daniel amartey,Leicester City,13,5,1,85.7,12,8,8,24,17,7,71,0,2022-2023,premierleague
samuel amoameyaw,Southampton,0,0,0,0.0,0,0,0,0,0,0,0,0,2022-2023,premierleague
joachim andersen,Crystal Palace,30,12,0,50.0,16,22,24,28,13,15,188,1,2022-2023,premierleague
elliot anderson,Newcastle Utd,5,3,3,50.0,6,5,6,11,2,9,2,0,2022-2023,premierleague
jaidon anthony,Bournemouth,15,9,6,33.3,8,17,10,30,3,27,19,0,2022-2023,premierleague
michail antonio,West Ham,1,8,5,25.0,3,7,5,13,5,8,9,0,2022-2023,premierleague
antony,Manchester Utd,9,9,4,28.6,8,9,11,18,0,18,6,0,2022-2023,premierleague
cameron archer,Aston Villa,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
alphonse areola,West Ham,0,0,0,,0,0,0,0,0,0,0,0,2022-2023,premierleague
joe aribo,Southampton,15,12,4,55.0,11,20,10,14,1,13,11,0,2022-2023,premierleague
adam armstrong,Southampton,6,5,3,30.0,3,9,5,15,3,12,6,0,2022-2023,premierleague
stuart armstrong,Southampton,15,13,4,35.9,14,21,10,18,0,18,9,2,2022-2023,premierleague
kepa arrizabalaga,Chelsea,2,0,0,66.7,2,2,1,0,0,0,16,2,2022-2023,premierleague
pierreemerick aubameyang,Chelsea,1,0,0,0.0,0,0,2,2,0,2,4,2,2022-2023,premierleague
ludwig augustinsson,Aston Villa,1,0,0,,0,1,0,0,0,0,1,0,2022-2023,premierleague
serge aurier,Nott'ham Forest,41,18,5,69.7,23,41,29,34,11,23,75,0,2022-2023,premierleague
taiwo awoniyi,Nott'ham Forest,2,10,5,50.0,6,10,4,18,4,14,20,0,2022-2023,premierleague
