Player,Squad,Tack_Def_3rd,Tack_Mid_3rd,Tack_Att_3rd,Tkl%,Tkl,TklW,Int,Blocks,Block_Shots,Bolck_Pass,Clearences,Err,Season,Competition
tammy abraham,Roma,0,1,2,,0,1,0,1,0,1,4,0,2023-2024,serie-a
francesco acerbi,Inter,16,6,0,78.6,11,13,32,20,13,7,77,1,2023-2024,serie-a
yacine adli,Milan,17,13,4,37.1,13,17,20,22,8,14,15,1,2023-2024,serie-a
michel aebischer,Bologna,9,20,6,44.1,15,20,12,28,6,22,22,0,2023-2024,serie-a
lucien agoume,Inter,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
marley ake,Udinese,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,0,0,0,0.0,0,0,0,0,0,0,0,0,2023-2024,serie-a
jeandaniel akpaakpro,Monza,14,4,2,33.3,3,11,12,10,4,6,15,1,2023-2024,serie-a
david akpan ankeye,Genoa,0,1,0,0.0,0,0,0,1,0,1,0,0,2023-2024,serie-a
luis alberto,Lazio,16,12,7,28.3,15,20,7,34,4,30,13,0,2023-2024,serie-a
carlos alcaraz,Juventus,0,6,0,50.0,5,6,5,5,2,3,4,0,2023-2024,serie-a
pontus almqvist,Lecce,16,22,7,45.1,23,29,14,21,2,19,10,0,2023-2024,serie-a
lorenzo amatucci,Fiorentina,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
bruno amione,Hellas Verona,9,2,0,80.0,4,3,9,4,2,2,19,2,2023-2024,serie-a
felipe anderson,Lazio,32,33,13,37.8,34,45,27,45,3,42,23,0,2023-2024,serie-a
angelino,Roma,12,6,3,57.9,11,11,12,11,5,6,37,1,2023-2024,serie-a
houssem aouar,Roma,4,10,2,25.0,3,11,4,5,0,5,2,1,2023-2024,serie-a
simone aresti,Cagliari,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
marko arnautovic,Inter,3,5,2,57.1,4,4,5,8,1,7,5,0,2023-2024,serie-a
kristjan asllani,Inter,3,4,0,18.2,2,2,11,9,3,6,8,0,2023-2024,serie-a
emil audero,Inter,0,0,0,,0,0,0,0,0,0,1,0,2023-2024,serie-a
tommaso augello,Cagliari,18,6,2,64.0,16,19,17,21,10,11,89,0,2023-2024,serie-a
carlos augusto,Inter,20,9,0,68.2,15,21,16,20,8,12,52,0,2023-2024,serie-a
yann aurel bisseck,Inter,10,3,1,66.7,6,6,5,10,7,3,23,0,2023-2024,serie-a
sardar azmoun,Roma,2,5,1,50.0,4,5,3,4,1,3,6,1,2023-2024,serie-a
paulo azzi,Cagliari,10,6,3,50.0,9,11,16,11,2,9,23,0,2023-2024,serie-a
oussama el azzouzi,Bologna,4,5,3,50.0,7,7,6,8,2,6,12,0,2023-2024,serie-a
milan badelj,Genoa,23,24,4,39.3,24,27,50,45,13,32,54,1,2023-2024,serie-a
jaime baez,Frosinone,0,2,2,0.0,0,1,4,5,0,5,1,0,2023-2024,serie-a
nicola bagnolini,Bologna,0,0,0,,0,0,0,0,0,0,0,0,2023-2024,serie-a
nedim bajrami,Sassuolo,6,3,4,38.5,5,6,6,5,1,4,8,0,2023-2024,serie-a
mitchel bakker,Atalanta,6,1,0,16.7,2,3,3,5,0,5,6,0,2023-2024,serie-a
tommaso baldanzi,Empoli,1,1,2,30.0,3,2,2,7,0,7,0,0,2023-2024,serie-a
tommaso baldanzi,Roma,3,4,2,100.0,1,5,0,2,0,2,4,0,2023-2024,serie-a
lameck banda,Lecce,11,12,4,33.3,7,23,3,18,0,18,7,0,2023-2024,serie-a
daniel bandeira,Hellas Verona,1,4,1,42.9,3,5,3,3,0,3,9,0,2023-2024,serie-a
mattia bani,Genoa,18,7,1,50.0,11,10,22,51,31,20,116,1,2023-2024,serie-a
antonin barak,Fiorentina,1,3,2,42.9,3,2,2,5,0,5,4,0,2023-2024,serie-a
nicolo barella,Inter,17,20,9,30.2,19,30,10,31,1,30,12,1,2023-2024,serie-a
enzo barrenechea,Frosinone,28,29,8,40.0,28,42,27,47,12,35,61,2,2023-2024,serie-a
davide bartesaghi,Milan,1,1,0,50.0,2,0,0,1,1,0,7,0,2023-2024,serie-a
