nombre,club_actual,Posicion,nacido,partidos_jugados,titularidades,minutos_jugados,goles,asistencias,amarillas,rojas,carreras_progresivas,pases_progresivos,Pases_progresivos_recibidos,temporada,liga
abner,betis,DF,2000,13,7,607,0,0,2,0,8,16,25,2022-2023,laliga
alvaro aceves,valladolid,GK,2003,1,0,13,0,0,0,0,0,0,0,2022-2023,laliga
marcos acuna,sevilla,DF,1991,30,21,1912,3,2,10,3,49,102,94,2022-2023,laliga
julen agirrezabala,athletic club,GK,2000,8,7,675,0,0,0,0,0,0,0,2022-2023,laliga
alvaro aguado,valladolid,MF,1996,34,18,1888,1,2,4,0,29,139,50,2022-2023,laliga
joseph aidoo,celta vigo,DF,1995,35,35,3119,3,0,6,1,15,95,2,2022-2023,laliga
sergio akieme,almeria,DF,1997,29,27,2297,1,0,5,0,60,58,84,2022-2023,laliga
babatunde akinsola,valladolid,FW,2003,1,0,11,0,0,0,0,1,0,3,2022-2023,laliga
paul akouokou,betis,"MF,DF",1997,12,3,447,0,0,3,0,1,10,1,2022-2023,laliga
david alaba,real madrid,DF,1992,23,21,1838,1,3,3,0,16,67,60,2022-2023,laliga
angel alarcon,barcelona,"FW,MF",2004,4,0,25,0,0,0,0,0,1,2,2022-2023,laliga
tomas alarcon,cadiz,MF,1999,4,2,223,0,0,2,1,2,9,6,2022-2023,laliga
jordi alba,barcelona,DF,1989,24,14,1419,2,3,6,1,42,141,157,2022-2023,laliga
raul albiol,villarreal,DF,1985,25,24,2119,0,0,6,0,12,100,3,2022-2023,laliga
ruben alcaraz,cadiz,MF,1991,31,22,2043,3,0,11,1,30,105,20,2022-2023,laliga
omar alderete,getafe,DF,1996,25,23,2047,1,1,9,0,28,96,8,2022-2023,laliga
ivan alejo,cadiz,"MF,FW",1995,31,13,1311,0,1,13,1,52,16,103,2022-2023,laliga
carles alena,getafe,"MF,FW",1998,35,26,2119,2,2,12,1,24,87,78,2022-2023,laliga
alejandro alfaro,elche,MF,2002,1,0,15,0,0,0,0,0,0,0,2022-2023,laliga
angel algobia,getafe,MF,1999,26,11,1138,0,0,3,0,10,42,11,2022-2023,laliga
mohamed ali cho,real sociedad,"FW,MF",2004,19,5,587,1,2,1,0,30,8,63,2022-2023,laliga
domingos andre ribeiro almeida,valencia,MF,2000,34,29,2539,2,4,3,0,74,197,71,2022-2023,laliga
marcos alonso,barcelona,DF,1990,24,11,1172,1,0,3,0,26,71,13,2022-2023,laliga
carlos alvarez,sevilla,MF,2003,1,0,10,0,0,1,0,0,0,1,2022-2023,laliga
