nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
max aarons,valencia,2,2,0,80.0,4,4,1,0,1,2024-2025,laliga
rodrigo abajas,valencia,2,1,0,100.0,3,2,1,0,1,2024-2025,laliga
abel,osasuna,28,25,8,61.9,61,37,29,4,25,2024-2025,laliga
nabil aberdin,getafe,3,3,0,100.0,6,4,3,0,3,2024-2025,laliga
abdel abqar,alaves,24,11,1,58.8,36,23,28,18,10,2024-2025,laliga
akor adams,sevilla,0,0,0,,0,0,1,0,1,2024-2025,laliga
adrian,betis,0,0,0,0.0,0,0,0,0,0,2024-2025,laliga
julen agirrezabala,athletic club,0,0,0,0.0,0,0,0,0,0,2024-2025,laliga
lucien agoume,sevilla,23,37,10,69.2,70,32,30,11,19,2024-2025,laliga
alvaro aguado,espanyol,3,2,0,33.3,5,2,7,1,6,2024-2025,laliga
lorenzo aguado,real madrid,0,0,0,,0,0,0,0,0,2024-2025,laliga
nayef aguerd,real sociedad,17,12,1,66.7,30,24,21,15,6,2024-2025,laliga
joseph aidoo,valladolid,3,2,0,66.7,5,5,8,4,4,2024-2025,laliga
joseph aidoo,celta vigo,1,0,0,,1,0,0,0,0,2024-2025,laliga
ilias akhomach,villarreal,4,4,4,50.0,12,7,8,0,8,2024-2025,laliga
david alaba,real madrid,1,0,0,,1,0,5,5,0,2024-2025,laliga
ibrahim alani,valladolid,8,4,0,66.7,12,7,3,1,2,2024-2025,laliga
raul albiol,villarreal,9,1,0,60.0,10,9,10,9,1,2024-2025,laliga
omar alderete,getafe,30,11,2,66.7,43,29,38,22,16,2024-2025,laliga
carles alena,getafe,2,3,1,30.8,6,3,9,1,8,2024-2025,laliga
carles alena,alaves,6,7,6,41.2,19,12,11,0,11,2024-2025,laliga
alfon,celta vigo,3,2,3,33.3,8,3,8,0,8,2024-2025,laliga
tadeo allende,celta vigo,0,0,0,,0,0,0,0,0,2024-2025,laliga
domingos andre ribeiro almeida,valencia,18,21,9,35.9,48,32,21,3,18,2024-2025,laliga
iker almena,girona,0,0,0,0.0,0,0,1,0,1,2024-2025,laliga
marcos alonso,celta vigo,19,13,3,56.8,35,21,22,7,15,2024-2025,laliga
adria altimira,leganes,26,12,3,60.0,41,24,15,6,9,2024-2025,laliga
sergi altimira,betis,17,38,6,60.0,61,37,28,1,27,2024-2025,laliga
hugo alvarez,celta vigo,12,10,4,52.6,26,9,19,2,17,2024-2025,laliga
julian alvarez,atletico madrid,5,11,9,26.7,25,17,14,0,14,2024-2025,laliga
yeray alvarez,athletic club,14,9,2,68.2,25,13,10,6,4,2024-2025,laliga
selim amallah,valladolid,10,18,2,55.6,30,18,24,2,22,2024-2025,laliga
amath,valladolid,2,0,0,12.5,2,0,7,1,6,2024-2025,laliga
marcos andre,valladolid,3,5,2,38.5,10,6,18,2,16,2024-2025,laliga
leandro antonetti,sevilla,0,0,0,,0,0,0,0,0,2024-2025,laliga
antoniu,espanyol,9,8,4,42.9,21,10,14,2,12,2024-2025,laliga
antony,betis,6,9,10,36.4,25,11,12,1,11,2024-2025,laliga
anuar,valladolid,21,12,5,53.6,38,27,24,8,16,2024-2025,laliga
aritz arambarri,leganes,1,0,0,100.0,1,1,2,2,0,2024-2025,laliga
mauro arambarri,getafe,10,33,5,45.8,48,29,35,6,29,2024-2025,laliga
jon aramburu,real sociedad,61,30,11,66.0,102,70,40,8,32,2024-2025,laliga
ronald araujo,barcelona,6,5,1,80.0,12,9,6,4,2,2024-2025,laliga
adu ares,athletic club,0,0,0,0.0,0,0,0,0,0,2024-2025,laliga
jesus areso,osasuna,31,14,8,69.6,53,38,26,4,22,2024-2025,laliga
david arguelles,getafe,0,0,0,,0,0,2,0,2,2024-2025,laliga
jose arnaiz,osasuna,3,3,1,57.1,7,5,2,0,2,2024-2025,laliga
sergio arribas,betis,4,3,0,85.7,7,4,2,2,0,2024-2025,laliga
takuma asano,mallorca,5,7,1,54.5,13,9,7,0,7,2024-2025,laliga
raul asencio,real madrid,18,4,0,76.9,22,16,11,6,5,2024-2025,laliga
iago aspas,celta vigo,4,5,4,40.0,13,8,18,1,17,2024-2025,laliga
yaser asprilla,girona,6,8,8,34.8,22,12,14,0,14,2024-2025,laliga
ezequiel avila,betis,2,2,4,40.0,8,3,4,0,4,2024-2025,laliga
adam aznou,valladolid,20,8,0,48.8,28,21,24,8,16,2024-2025,laliga
cesar azpilicueta,atletico madrid,12,9,4,73.9,25,14,10,2,8,2024-2025,laliga
papa ba,girona,1,0,0,,1,1,1,0,1,2024-2025,laliga
loic bade,sevilla,37,10,0,74.2,47,27,22,13,9,2024-2025,laliga
alex baena,villarreal,6,14,8,25.6,28,15,29,2,27,2024-2025,laliga
juma bah,valladolid,7,3,0,60.0,10,7,15,8,7,2024-2025,laliga
eric bailly,villarreal,6,6,0,75.0,12,4,12,6,6,2024-2025,laliga
stefan bajcetic,las palmas,13,13,3,42.9,29,14,25,4,21,2024-2025,laliga
cedric bakambu,betis,0,5,1,42.9,6,4,13,2,11,2024-2025,laliga
alejandro balde,barcelona,10,5,3,64.7,18,10,24,5,19,2024-2025,laliga
ivan balliu,rayo vallecano,8,5,4,33.3,17,14,16,4,12,2024-2025,laliga
jonathan bamba,celta vigo,4,6,2,41.7,12,7,6,0,6,2024-2025,laliga
adrian baquerin,valladolid,0,1,0,,1,1,0,0,0,2024-2025,laliga
valentin barco,sevilla,8,3,4,80.0,15,9,0,0,0,2024-2025,laliga
borna barisic,leganes,0,0,0,,0,0,0,0,0,2024-2025,laliga
kike barja,osasuna,1,3,1,50.0,5,4,5,0,5,2024-2025,laliga
enzo barrenechea,valencia,22,29,6,69.6,57,30,30,8,22,2024-2025,laliga
ander barrenetxea,real sociedad,7,14,5,26.1,26,19,15,0,15,2024-2025,laliga
pablo barrios,atletico madrid,23,20,3,48.9,46,26,18,5,13,2024-2025,laliga
thierno barry,villarreal,2,5,4,40.0,11,8,15,2,13,2024-2025,laliga
marc bartra,betis,20,13,0,57.7,33,19,41,25,16,2024-2025,laliga
aboubacar bassinga,las palmas,0,0,0,,0,0,0,0,0,2024-2025,laliga
augusto batalla,rayo vallecano,4,0,0,66.7,4,2,0,0,0,2024-2025,laliga
rafael bauza,espanyol,3,1,1,57.1,5,3,3,1,2,2024-2025,laliga
sheraldo becker,real sociedad,0,3,0,0.0,3,2,4,0,4,2024-2025,laliga
donny van de beek,girona,17,7,5,50.0,29,18,19,3,16,2024-2025,laliga
luken beitia,real sociedad,1,0,0,100.0,1,1,0,0,0,2024-2025,laliga
ismael bekhoucha,getafe,1,0,0,50.0,1,1,2,1,1,2024-2025,laliga
hector bellerin,betis,7,4,2,58.8,13,7,5,3,2,2024-2025,laliga
jude bellingham,real madrid,20,27,14,66.7,61,33,37,2,35,2024-2025,laliga
fran beltran,celta vigo,24,21,5,42.9,50,35,26,6,20,2024-2025,laliga
carlos benavidez,alaves,10,6,3,54.5,19,14,5,2,3,2024-2025,laliga
iker benito,osasuna,0,0,0,0.0,0,0,0,0,0,2024-2025,laliga
yuri berchiche,athletic club,19,11,3,57.6,33,21,25,5,20,2024-2025,laliga
alex berenguer,athletic club,6,16,10,45.2,32,16,23,2,21,2024-2025,laliga
marc bernal,barcelona,2,5,1,87.5,8,6,5,1,4,2024-2025,laliga
juan bernat,villarreal,7,1,1,80.0,9,7,3,1,2,2024-2025,laliga
juan bernat,getafe,9,5,5,58.3,19,13,9,3,6,2024-2025,laliga
juan berrocal,getafe,10,4,0,71.4,14,7,6,3,3,2024-2025,laliga
antonio blanco,alaves,23,37,7,38.6,67,40,30,7,23,2024-2025,laliga
daley blind,girona,26,19,4,64.6,49,27,32,9,23,2024-2025,laliga
adama boiro,athletic club,11,7,2,66.7,20,11,10,3,7,2024-2025,laliga
enzo boyomo,osasuna,46,18,4,76.9,68,43,34,19,15,2024-2025,laliga
enzo boyomo,valladolid,4,2,0,100.0,6,2,4,3,1,2024-2025,laliga
darko brasanac,leganes,5,15,6,52.9,26,11,24,11,13,2024-2025,laliga
tajon buchanan,villarreal,6,4,0,66.7,10,5,6,0,6,2024-2025,laliga
ante budimir,osasuna,3,11,6,23.1,20,9,19,4,15,2024-2025,laliga
manu bueno,sevilla,0,1,3,50.0,4,3,0,0,0,2024-2025,laliga
endika bujan,athletic club,0,0,0,0.0,0,0,0,0,0,2024-2025,laliga
pau cabanes,villarreal,0,3,1,75.0,4,4,5,0,5,2024-2025,laliga
pau cabanes,alaves,4,3,1,46.2,8,2,2,0,2,2024-2025,laliga
leandro cabrera,espanyol,29,8,3,57.6,40,23,35,25,10,2024-2025,laliga
fernando calero,espanyol,13,4,1,66.7,18,10,16,9,7,2024-2025,laliga
eduardo camavinga,real madrid,23,16,3,57.6,42,26,24,8,16,2024-2025,laliga
sergio camello,rayo vallecano,2,5,2,66.7,9,3,8,1,7,2024-2025,laliga
jose campana,las palmas,8,11,2,55.0,21,16,9,1,8,2024-2025,laliga
peio canales,athletic club,0,1,2,100.0,3,2,3,0,3,2024-2025,laliga
antonio candela,valladolid,6,2,1,36.4,9,6,11,6,5,2024-2025,laliga
sergi canos,valencia,3,4,4,40.0,11,7,6,1,5,2024-2025,laliga
dani cardenas,rayo vallecano,0,0,0,,0,0,0,0,0,2024-2025,laliga
irvin cardona,espanyol,2,4,2,37.5,8,5,5,1,4,2024-2025,laliga
marc cardona,las palmas,1,3,0,0.0,4,2,0,0,0,2024-2025,laliga
sergi cardona,villarreal,44,20,7,62.0,71,48,52,7,45,2024-2025,laliga
johnny cardoso,betis,12,35,8,38.5,55,31,27,12,15,2024-2025,laliga
jose carlos gonzalez,las palmas,0,0,0,,0,0,0,0,0,2024-2025,laliga
carmona,sevilla,53,21,9,53.2,83,59,37,11,26,2024-2025,laliga
sergio carreira,celta vigo,16,6,6,53.8,28,16,20,2,18,2024-2025,laliga
dani carvajal,real madrid,7,3,2,75.0,12,8,8,3,5,2024-2025,laliga
william carvalho,betis,3,6,0,66.7,9,6,6,2,4,2024-2025,laliga
marc casado,barcelona,7,30,7,48.8,44,25,20,5,15,2024-2025,laliga
catena,osasuna,34,10,2,61.4,46,28,40,25,15,2024-2025,laliga
maximiliano caufriez,valencia,1,0,0,100.0,1,1,2,1,1,2024-2025,laliga
dani ceballos,real madrid,17,18,6,50.0,41,21,16,4,12,2024-2025,laliga
franco cervi,celta vigo,2,6,0,37.5,8,3,4,0,4,2024-2025,laliga
raul chasco,valladolid,3,1,0,50.0,4,1,1,0,1,2024-2025,laliga
pep chavarria,rayo vallecano,30,14,2,62.2,46,36,35,9,26,2024-2025,laliga
walid cheddira,espanyol,1,1,3,0.0,5,0,4,0,4,2024-2025,laliga
chema,real madrid,0,0,0,,0,0,0,0,0,2024-2025,laliga
julian chicco,leganes,3,6,2,62.5,11,7,2,0,2,2024-2025,laliga
chiquinho,mallorca,0,1,0,0.0,1,0,3,0,3,2024-2025,laliga
andreas christensen,barcelona,4,1,1,100.0,6,4,2,0,2,2024-2025,laliga
jasper cillessen,las palmas,1,0,0,25.0,1,0,0,0,0,2024-2025,laliga
pathe ciss,rayo vallecano,26,22,1,48.8,49,24,31,10,21,2024-2025,laliga
seydouba cisse,leganes,18,27,14,46.0,59,37,25,1,24,2024-2025,laliga
silvi clua,girona,4,3,1,66.7,8,7,1,0,1,2024-2025,laliga
