nombre,club_actual,entradas_1/3,entradas_2/3,entradas_3/3,duelos_ganados,entradas,entradas_ganadas,bloqueos,bloqueos_tiro,bloqueos_pase,temporada,liga
tammy abraham,roma,0,1,2,,3,1,1,0,1,2023-2024,serie-a
francesco acerbi,inter,16,6,0,78.6,22,13,20,13,7,2023-2024,serie-a
yacine adli,milan,17,13,4,37.1,34,17,22,8,14,2023-2024,serie-a
michel aebischer,bologna,9,20,6,44.1,35,20,28,6,22,2023-2024,serie-a
lucien agoume,inter,0,0,0,,0,0,0,0,0,2023-2024,serie-a
marley ake,udinese,0,0,0,,0,0,0,0,0,2023-2024,serie-a
ebenezer akinsanmiro,inter,0,0,0,0.0,0,0,0,0,0,2023-2024,serie-a
jeandaniel akpaakpro,monza,14,4,2,33.3,20,11,10,4,6,2023-2024,serie-a
david akpan ankeye,genoa,0,1,0,0.0,1,0,1,0,1,2023-2024,serie-a
luis alberto,lazio,16,12,7,28.3,35,20,34,4,30,2023-2024,serie-a
carlos alcaraz,juventus,0,6,0,50.0,6,6,5,2,3,2023-2024,serie-a
pontus almqvist,lecce,16,22,7,45.1,45,29,21,2,19,2023-2024,serie-a
lorenzo amatucci,fiorentina,0,0,0,,0,0,0,0,0,2023-2024,serie-a
bruno amione,hellas verona,9,2,0,80.0,11,3,4,2,2,2023-2024,serie-a
felipe anderson,lazio,32,33,13,37.8,78,45,45,3,42,2023-2024,serie-a
angelino,roma,12,6,3,57.9,21,11,11,5,6,2023-2024,serie-a
houssem aouar,roma,4,10,2,25.0,16,11,5,0,5,2023-2024,serie-a
simone aresti,cagliari,0,0,0,,0,0,0,0,0,2023-2024,serie-a
marko arnautovic,inter,3,5,2,57.1,10,4,8,1,7,2023-2024,serie-a
kristjan asllani,inter,3,4,0,18.2,7,2,9,3,6,2023-2024,serie-a
emil audero,inter,0,0,0,,0,0,0,0,0,2023-2024,serie-a
tommaso augello,cagliari,18,6,2,64.0,26,19,21,10,11,2023-2024,serie-a
carlos augusto,inter,20,9,0,68.2,29,21,20,8,12,2023-2024,serie-a
yann aurel bisseck,inter,10,3,1,66.7,14,6,10,7,3,2023-2024,serie-a
sardar azmoun,roma,2,5,1,50.0,8,5,4,1,3,2023-2024,serie-a
paulo azzi,cagliari,10,6,3,50.0,19,11,11,2,9,2023-2024,serie-a
oussama el azzouzi,bologna,4,5,3,50.0,12,7,8,2,6,2023-2024,serie-a
milan badelj,genoa,23,24,4,39.3,51,27,45,13,32,2023-2024,serie-a
jaime baez,frosinone,0,2,2,0.0,4,1,5,0,5,2023-2024,serie-a
nicola bagnolini,bologna,0,0,0,,0,0,0,0,0,2023-2024,serie-a
nedim bajrami,sassuolo,6,3,4,38.5,13,6,5,1,4,2023-2024,serie-a
mitchel bakker,atalanta,6,1,0,16.7,7,3,5,0,5,2023-2024,serie-a
tommaso baldanzi,empoli,1,1,2,30.0,4,2,7,0,7,2023-2024,serie-a
