Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
noah atubolu,Freiburg,58,158,65.2,29.4,5,40.0,2023-2024,bundesliga
daniel batz,Mainz 05,3,17,82.4,25.0,0,,2023-2024,bundesliga
oliver baumann,Hoffenheim,66,211,69.7,5.9,5,60.0,2023-2024,bundesliga
janis blaswich,RB Leipzig,30,76,65.8,23.8,4,0.0,2023-2024,bundesliga
fabian bredlow,Stuttgart,3,22,86.4,25.0,0,,2023-2024,bundesliga
alexander brunst,Darmstadt 98,10,17,41.2,0.0,0,,2023-2024,bundesliga
koen casteels,Wolfsburg,39,115,67.8,16.0,3,0.0,2023-2024,bundesliga
finn dahmen,Augsburg,52,158,71.5,9.7,10,22.2,2023-2024,bundesliga
jens grahl,Eint Frankfurt,2,9,77.8,0.0,0,,2023-2024,bundesliga
peter gulacsi,RB Leipzig,9,41,78.0,38.5,1,,2023-2024,bundesliga
lukas hradecky,Leverkusen,24,102,76.5,45.5,0,,2023-2024,bundesliga
gregor kobel,Dortmund,34,118,75.4,25.9,6,16.7,2023-2024,bundesliga
tomas koubek,Augsburg,8,25,68.0,0.0,0,,2023-2024,bundesliga
matej kovar,Leverkusen,0,3,100.0,100.0,0,,2023-2024,bundesliga
andreas luthe,Bochum,4,4,0.0,0.0,0,,2023-2024,bundesliga
alexander meyer,Dortmund,9,27,66.7,42.9,0,,2023-2024,bundesliga
kevin muller,Heidenheim,55,174,72.4,17.6,10,12.5,2023-2024,bundesliga
manuel neuer,Bayern Munich,33,93,66.7,26.1,3,33.3,2023-2024,bundesliga
moritz nicolas,Gladbach,49,160,71.9,14.8,4,0.0,2023-2024,bundesliga
alexander nubel,Stuttgart,36,107,69.2,36.7,3,0.0,2023-2024,bundesliga
jonas omlin,Gladbach,18,47,66.0,0.0,2,0.0,2023-2024,bundesliga
jiri pavlenka,Werder Bremen,17,38,60.5,14.3,2,0.0,2023-2024,bundesliga
daniel peretz,Bayern Munich,0,0,,,0,,2023-2024,bundesliga
pavao pervan,Wolfsburg,17,36,52.8,22.2,0,,2023-2024,bundesliga
manuel riemann,Bochum,70,185,67.0,12.1,11,18.2,2023-2024,bundesliga
frederik rnnow,Union Berlin,56,162,68.5,21.2,7,28.6,2023-2024,bundesliga
marcel schuhen,Darmstadt 98,76,198,62.1,9.7,2,50.0,2023-2024,bundesliga
marvin schwabe,Köln,60,168,66.1,11.8,3,0.0,2023-2024,bundesliga
alexander schwolow,Union Berlin,2,6,66.7,0.0,0,,2023-2024,bundesliga
kevin trapp,Eint Frankfurt,48,137,71.5,21.9,11,18.2,2023-2024,bundesliga
sven ulreich,Bayern Munich,12,31,64.5,36.4,1,0.0,2023-2024,bundesliga
robin zentner,Mainz 05,48,128,64.8,23.3,4,0.0,2023-2024,bundesliga
michael zetterer,Werder Bremen,37,128,74.2,22.2,4,0.0,2023-2024,bundesliga
