Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
adrian,Betis,27,76,65.8,15.8,1,0.0,2024-2025,laliga
julen agirrezabala,Athletic Club,9,34,76.5,35.7,2,50.0,2024-2025,laliga
augusto batalla,Rayo Vallecano,39,133,75.2,25.0,8,25.0,2024-2025,laliga
dani cardenas,Rayo Vallecano,6,20,70.0,33.3,0,,2024-2025,laliga
jasper cillessen,Las Palmas,42,128,70.3,11.1,8,42.9,2024-2025,laliga
diego conde,Villarreal,33,94,68.1,9.1,4,0.0,2024-2025,laliga
thibaut courtois,Real Madrid,29,104,75.0,36.7,3,0.0,2024-2025,laliga
stole dimitrievski,Valencia,6,12,58.3,0.0,2,0.0,2024-2025,laliga
marko dmitrovic,Leganés,49,150,72.0,31.3,8,0.0,2024-2025,laliga
aitor fernandez,Osasuna,0,5,100.0,100.0,0,,2024-2025,laliga
alvaro fernandez,Sevilla,16,36,61.1,37.5,2,0.0,2024-2025,laliga
andre ferreira,Valladolid,20,39,56.4,0.0,3,0.0,2024-2025,laliga
fran,Real Madrid,2,2,0.0,0.0,0,,2024-2025,laliga
joan garcia,Espanyol,51,192,75.5,21.1,6,33.3,2024-2025,laliga
paulo gazzaniga,Girona,51,143,65.7,22.2,5,60.0,2024-2025,laliga
dominik greif,Mallorca,34,116,72.4,22.6,2,0.0,2024-2025,laliga
vicente guaita,Celta Vigo,48,127,64.6,23.5,3,0.0,2024-2025,laliga
sergio herrera,Osasuna,52,182,75.3,21.6,7,0.0,2024-2025,laliga
dinko horkas,Las Palmas,19,54,66.7,9.1,2,50.0,2024-2025,laliga
karl jakob hein,Valladolid,68,163,60.7,16.1,4,0.0,2024-2025,laliga
luiz lucio reis junior,Villarreal,18,66,78.8,31.3,4,0.0,2024-2025,laliga
pau lopez,Girona,2,3,33.3,,0,,2024-2025,laliga
andriy lunin,Real Madrid,7,20,65.0,57.1,0,,2024-2025,laliga
giorgi mamardashvili,Valencia,48,136,68.4,23.5,7,28.6,2024-2025,laliga
unai marrero,Real Sociedad,3,12,75.0,0.0,1,100.0,2024-2025,laliga
juan musso,Atlético Madrid,0,2,100.0,100.0,0,,2024-2025,laliga
rjan nyland,Sevilla,39,112,67.9,23.3,4,25.0,2024-2025,laliga
jan oblak,Atlético Madrid,30,114,78.1,41.7,5,0.0,2024-2025,laliga
jesus owono,Alavés,7,14,57.1,0.0,1,0.0,2024-2025,laliga
alex padilla,Athletic Club,6,17,70.6,0.0,1,0.0,2024-2025,laliga
inaki pena,Barcelona,18,53,69.8,26.7,2,0.0,2024-2025,laliga
arnau rafus,Valladolid,2,2,0.0,0.0,0,,2024-2025,laliga
alex remiro,Real Sociedad,43,130,70.8,36.1,6,16.7,2024-2025,laliga
adrian rodriguez,Alavés,2,6,83.3,100.0,1,0.0,2024-2025,laliga
leo roman,Mallorca,10,49,81.6,28.6,1,0.0,2024-2025,laliga
rui silva,Betis,18,54,72.2,26.7,3,0.0,2024-2025,laliga
unai simon,Athletic Club,14,62,79.0,47.6,2,50.0,2024-2025,laliga
antonio sivera,Alavés,39,112,73.2,25.0,9,0.0,2024-2025,laliga
david soria,Getafe,39,126,75.4,23.7,9,11.1,2024-2025,laliga
juan soriano,Leganés,7,25,72.0,16.7,0,,2024-2025,laliga
wojciech szczesny,Barcelona,12,33,66.7,53.3,1,0.0,2024-2025,laliga
marcandre ter stegen,Barcelona,9,22,63.6,12.5,1,0.0,2024-2025,laliga
fran vieites,Betis,5,11,54.5,0.0,0,,2024-2025,laliga
ivan villar,Celta Vigo,9,18,50.0,0.0,1,100.0,2024-2025,laliga
krapyvtsov vladyslav,Girona,7,18,66.7,0.0,1,0.0,2024-2025,laliga
