Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
dogan alemdar,Rennes,8,16,56.3,25.0,2,50.0,2022-2023,ligue-1
paul bernardoni,Angers,62,143,62.2,11.1,9,0.0,2022-2023,ligue-1
marco bizot,Brest,54,176,73.3,21.6,9,22.2,2022-2023,ligue-1
ruben blanco,Marseille,6,19,68.4,0.0,0,,2022-2023,ligue-1
joaquin blazquez,Brest,0,3,100.0,100.0,0,,2022-2023,ligue-1
marcin buka,Nice,2,6,66.7,0.0,0,,2022-2023,ligue-1
matis carvalho,Montpellier,3,8,62.5,100.0,0,,2022-2023,ligue-1
lucas chevalier,Lille,31,105,72.4,31.3,3,33.3,2022-2023,ligue-1
benoit costil,Auxerre,41,96,60.4,10.5,3,0.0,2022-2023,ligue-1
remy descamps,Nantes,1,6,83.3,0.0,0,,2022-2023,ligue-1
mory diaw,Clermont Foot,47,161,75.8,27.0,12,33.3,2022-2023,ligue-1
yehvann diouf,Reims,31,137,78.1,45.2,1,0.0,2022-2023,ligue-1
ouparine djoco,Clermont Foot,2,3,33.3,0.0,0,,2022-2023,ligue-1
gianluigi donnarumma,Paris S-G,40,160,76.3,34.2,5,33.3,2022-2023,ligue-1
maxime dupe,Toulouse,57,179,70.4,23.7,7,42.9,2022-2023,ligue-1
yahia fofana,Angers,19,54,66.7,9.1,2,50.0,2022-2023,ligue-1
gauthier gallon,Troyes,65,177,66.1,0.0,5,0.0,2022-2023,ligue-1
leo jardim,Lille,13,17,35.3,0.0,2,0.0,2022-2023,ligue-1
bingourou kamara,Montpellier,11,25,60.0,0.0,3,50.0,2022-2023,ligue-1
alban lafont,Nantes,54,179,74.9,29.7,9,0.0,2022-2023,ligue-1
jeanlouis leca,Lens,1,4,75.0,0.0,0,,2022-2023,ligue-1
benjamin lecomte,Montpellier,22,96,79.2,42.1,4,50.0,2022-2023,ligue-1
donovan leon,Auxerre,2,11,90.9,0.0,1,0.0,2022-2023,ligue-1
benjamin leroy,Ajaccio,60,133,60.9,12.5,9,0.0,2022-2023,ligue-1
alexandre letellier,Paris S-G,0,0,,,0,,2022-2023,ligue-1
mateusz lis,Troyes,16,51,72.5,12.5,3,33.3,2022-2023,ligue-1
anthony lopes,Lyon,39,131,75.6,21.9,7,0.0,2022-2023,ligue-1
pau lopez,Marseille,34,123,76.4,31.3,5,0.0,2022-2023,ligue-1
steve mandanda,Rennes,31,110,73.6,35.3,3,33.3,2022-2023,ligue-1
vito mannone,Lorient,24,84,72.6,29.4,1,0.0,2022-2023,ligue-1
yvon mvogo,Lorient,29,98,71.4,14.3,1,0.0,2022-2023,ligue-1
alexander nubel,Monaco,58,195,72.8,23.7,5,0.0,2022-2023,ligue-1
jonas omlin,Montpellier,26,73,68.5,14.3,4,25.0,2022-2023,ligue-1
patrick pentz,Reims,14,29,58.6,0.0,2,0.0,2022-2023,ligue-1
ghjuvanni quilichini,Ajaccio,0,4,100.0,,0,,2022-2023,ligue-1
ionut radu,Auxerre,20,74,73.0,29.4,2,100.0,2022-2023,ligue-1
remy riou,Lyon,8,24,83.3,16.7,4,0.0,2022-2023,ligue-1
brice samba,Lens,28,125,80.0,40.5,3,0.0,2022-2023,ligue-1
kasper schmeichel,Nice,35,141,77.3,30.6,5,25.0,2022-2023,ligue-1
matz sels,Strasbourg,59,174,71.8,15.8,11,0.0,2022-2023,ligue-1
francoisjoseph sollacaro,Ajaccio,14,24,45.8,16.7,1,0.0,2022-2023,ligue-1
