Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
emil audero,Sampdoria,39.0,121.0,71.9,16.0,7.0,28.6,2022-2023,serie-a
francesco bardi,Bologna,0.0,4.0,100.0,100.0,0.0,,2022-2023,serie-a
marco carnesecchi,Cremonese,47.0,153.0,70.6,14.8,2.0,0.0,2022-2023,serie-a
michele cerofolini,Fiorentina,3.0,11.0,81.8,40.0,1.0,0.0,2022-2023,serie-a
andrea consigli,Sassuolo,55.0,117.0,55.6,25.7,3.0,0.0,2022-2023,serie-a
alex cordaz,Inter,0.0,2.0,100.0,,0.0,,2022-2023,serie-a
alessio cragno,Monza,3.0,5.0,40.0,0.0,0.0,,2022-2023,serie-a
michele di gregorio,Monza,49.0,167.0,72.5,27.0,3.0,0.0,2022-2023,serie-a
bartomiej dragowski,Spezia,54.0,164.0,69.5,17.6,6.0,20.0,2022-2023,serie-a
wladimiro falcone,Lecce,46.0,156.0,73.7,15.8,6.0,16.7,2022-2023,serie-a
vincenzo fiorillo,Salernitana,2.0,4.0,50.0,0.0,0.0,,2022-2023,serie-a
pierluigi gollini,Napoli,4.0,16.0,75.0,50.0,0.0,,2022-2023,serie-a
pierluigi gollini,Fiorentina,2.0,8.0,75.0,66.7,0.0,,2022-2023,serie-a
samir handanovic,Inter,18.0,52.0,67.3,28.6,1.0,0.0,2022-2023,serie-a
mike maignan,Milan,21.0,62.0,69.4,36.4,3.0,33.3,2022-2023,serie-a
federico marchetti,Spezia,2.0,3.0,33.3,,0.0,,2022-2023,serie-a
luis maximiano,Lazio,,,,,,,2022-2023,serie-a
alex meret,Napoli,24.0,91.0,74.7,47.1,2.0,50.0,2022-2023,serie-a
vanja milinkovicsavic,Torino,41.0,136.0,73.5,28.9,6.0,0.0,2022-2023,serie-a
antonio mirante,Milan,0.0,0.0,,,0.0,,2022-2023,serie-a
lorenzo montipo,Hellas Verona,59.0,181.0,68.0,13.5,2.0,50.0,2022-2023,serie-a
juan musso,Atalanta,27.0,89.0,71.9,29.2,2.0,0.0,2022-2023,serie-a
guillermo ochoa,Salernitana,33.0,105.0,71.4,20.0,4.0,25.0,2022-2023,serie-a
andre onana,Inter,24.0,83.0,73.5,33.3,2.0,0.0,2022-2023,serie-a
rui patricio,Roma,35.0,108.0,69.4,37.1,3.0,33.3,2022-2023,serie-a
gianluca pegolo,Sassuolo,3.0,6.0,66.7,0.0,1.0,0.0,2022-2023,serie-a
simone perilli,Hellas Verona,0.0,4.0,100.0,100.0,0.0,,2022-2023,serie-a
mattia perin,Juventus,7.0,40.0,85.0,60.0,2.0,50.0,2022-2023,serie-a
samuele perisan,Empoli,9.0,24.0,62.5,28.6,0.0,,2022-2023,serie-a
ivan provedel,Lazio,30.0,128.0,77.3,56.8,2.0,0.0,2022-2023,serie-a
ionut radu,Cremonese,19.0,64.0,75.0,11.1,3.0,0.0,2022-2023,serie-a
nicola ravaglia,Sampdoria,23.0,64.0,67.2,0.0,2.0,0.0,2022-2023,serie-a
francesco rossi,Atalanta,0.0,0.0,,,0.0,,2022-2023,serie-a
alessandro russo,Sassuolo,3.0,7.0,57.1,0.0,0.0,,2022-2023,serie-a
mouhamadou sarr,Cremonese,3.0,8.0,62.5,50.0,0.0,,2022-2023,serie-a
luigi sepe,Salernitana,27.0,87.0,73.6,17.6,7.0,42.9,2022-2023,serie-a
marco silvestri,Udinese,48.0,137.0,69.3,26.3,7.0,0.0,2022-2023,serie-a
salvatore sirigu,Fiorentina,0.0,5.0,100.0,100.0,0.0,,2022-2023,serie-a
ukasz skorupski,Bologna,49.0,161.0,73.9,18.9,9.0,22.2,2022-2023,serie-a
marco sportiello,Atalanta,21.0,64.0,68.8,14.3,1.0,0.0,2022-2023,serie-a
mile svilar,Roma,3.0,10.0,70.0,33.3,0.0,,2022-2023,serie-a
wojciech szczesny,Juventus,26.0,93.0,75.3,50.0,3.0,0.0,2022-2023,serie-a
ciprian tatarusanu,Milan,22.0,61.0,67.2,25.0,2.0,0.0,2022-2023,serie-a
pietro terracciano,Fiorentina,38.0,96.0,66.7,17.2,7.0,14.3,2022-2023,serie-a
martin turk,Sampdoria,9.0,30.0,73.3,0.0,2.0,0.0,2022-2023,serie-a
samir ujkani,Empoli,1.0,1.0,0.0,,0.0,,2022-2023,serie-a
guglielmo vicario,Empoli,39.0,134.0,73.9,22.6,6.0,20.0,2022-2023,serie-a
jeroen zoet,Spezia,4.0,13.0,76.9,0.0,1.0,0.0,2022-2023,serie-a
petar zovko,Spezia,2.0,3.0,33.3,,0.0,,2022-2023,serie-a
