Player,Squad,GA,SoTA,Save%,CS%,PKatt,P_Save%,Season,Competition
oliver baumann,Hoffenheim,57.0,161.0,65.8,14.7,3.0,0.0,2022-2023,bundesliga
janis blaswich,RB Leipzig,29.0,75.0,69.3,26.9,7.0,14.3,2022-2023,bundesliga
fabian bredlow,Stuttgart,23.0,59.0,69.5,6.7,5.0,0.0,2022-2023,bundesliga
koen casteels,Wolfsburg,48.0,147.0,70.1,35.3,7.0,20.0,2022-2023,bundesliga
oliver christensen,Hertha BSC,68.0,163.0,61.3,9.1,6.0,16.7,2022-2023,bundesliga
finn dahmen,Mainz 05,16.0,44.0,65.9,0.0,3.0,66.7,2022-2023,bundesliga
tjark ernst,Hertha BSC,1.0,7.0,85.7,0.0,0.0,,2022-2023,bundesliga
ralf fahrmann,Schalke 04,13.0,55.0,78.2,41.7,2.0,0.0,2022-2023,bundesliga
mark flekken,Freiburg,44.0,150.0,74.0,38.2,6.0,0.0,2022-2023,bundesliga
rafa gikiewicz,Augsburg,41.0,136.0,70.6,21.7,4.0,66.7,2022-2023,bundesliga
lennart grill,Union Berlin,11.0,25.0,64.0,40.0,2.0,0.0,2022-2023,bundesliga
peter gulacsi,RB Leipzig,10.0,26.0,65.4,33.3,1.0,0.0,2022-2023,bundesliga
lukas hradecky,Leverkusen,47.0,142.0,71.8,27.3,7.0,0.0,2022-2023,bundesliga
gregor kobel,Dortmund,32.0,119.0,73.9,40.7,1.0,0.0,2022-2023,bundesliga
tomas koubek,Augsburg,22.0,65.0,66.2,9.1,0.0,,2022-2023,bundesliga
andrey lunyov,Leverkusen,2.0,4.0,50.0,0.0,0.0,,2022-2023,bundesliga
alexander meyer,Dortmund,12.0,32.0,62.5,14.3,0.0,,2022-2023,bundesliga
florian muller,Stuttgart,34.0,87.0,62.1,5.3,1.0,0.0,2022-2023,bundesliga
manuel neuer,Bayern Munich,11.0,44.0,79.5,33.3,2.0,0.0,2022-2023,bundesliga
rjan nyland,RB Leipzig,2.0,5.0,60.0,50.0,0.0,,2022-2023,bundesliga
jan olschowsky,Gladbach,11.0,31.0,67.7,0.0,1.0,0.0,2022-2023,bundesliga
jonas omlin,Gladbach,18.0,56.0,71.4,33.3,2.0,0.0,2022-2023,bundesliga
jiri pavlenka,Werder Bremen,61.0,170.0,65.3,12.1,3.0,33.3,2022-2023,bundesliga
diant ramaj,Eint Frankfurt,1.0,5.0,80.0,0.0,0.0,,2022-2023,bundesliga
manuel riemann,Bochum,72.0,200.0,68.0,14.7,14.0,27.3,2022-2023,bundesliga
frederik rnnow,Union Berlin,27.0,119.0,81.5,37.9,5.0,0.0,2022-2023,bundesliga
marvin schwabe,Köln,54.0,129.0,61.2,17.6,5.0,20.0,2022-2023,bundesliga
alexander schwolow,Schalke 04,58.0,138.0,60.9,9.1,4.0,0.0,2022-2023,bundesliga
tobias sippel,Gladbach,12.0,33.0,66.7,20.0,1.0,0.0,2022-2023,bundesliga
yann sommer,Gladbach,14.0,60.0,80.0,30.0,2.0,0.0,2022-2023,bundesliga
yann sommer,Bayern Munich,25.0,55.0,67.3,26.3,7.0,0.0,2022-2023,bundesliga
kevin trapp,Eint Frankfurt,51.0,130.0,62.3,18.2,2.0,0.0,2022-2023,bundesliga
sven ulreich,Bayern Munich,2.0,8.0,75.0,66.7,1.0,100.0,2022-2023,bundesliga
robin zentner,Mainz 05,39.0,109.0,67.0,26.9,5.0,25.0,2022-2023,bundesliga
michael zetterer,Werder Bremen,3.0,14.0,78.6,0.0,0.0,,2022-2023,bundesliga
noah atubolu,Freiburg,58.0,158.0,65.2,29.4,5.0,40.0,2023-2024,bundesliga
daniel batz,Mainz 05,3.0,17.0,82.4,25.0,0.0,,2023-2024,bundesliga
oliver baumann,Hoffenheim,66.0,211.0,69.7,5.9,5.0,60.0,2023-2024,bundesliga
janis blaswich,RB Leipzig,30.0,76.0,65.8,23.8,4.0,0.0,2023-2024,bundesliga
fabian bredlow,Stuttgart,3.0,22.0,86.4,25.0,0.0,,2023-2024,bundesliga
alexander brunst,Darmstadt 98,10.0,17.0,41.2,0.0,0.0,,2023-2024,bundesliga
koen casteels,Wolfsburg,39.0,115.0,67.8,16.0,3.0,0.0,2023-2024,bundesliga
finn dahmen,Augsburg,52.0,158.0,71.5,9.7,10.0,22.2,2023-2024,bundesliga
jens grahl,Eint Frankfurt,2.0,9.0,77.8,0.0,0.0,,2023-2024,bundesliga
peter gulacsi,RB Leipzig,9.0,41.0,78.0,38.5,1.0,,2023-2024,bundesliga
lukas hradecky,Leverkusen,24.0,102.0,76.5,45.5,0.0,,2023-2024,bundesliga
gregor kobel,Dortmund,34.0,118.0,75.4,25.9,6.0,16.7,2023-2024,bundesliga
tomas koubek,Augsburg,8.0,25.0,68.0,0.0,0.0,,2023-2024,bundesliga
matej kovar,Leverkusen,0.0,3.0,100.0,100.0,0.0,,2023-2024,bundesliga
andreas luthe,Bochum,4.0,4.0,0.0,0.0,0.0,,2023-2024,bundesliga
alexander meyer,Dortmund,9.0,27.0,66.7,42.9,0.0,,2023-2024,bundesliga
kevin muller,Heidenheim,55.0,174.0,72.4,17.6,10.0,12.5,2023-2024,bundesliga
manuel neuer,Bayern Munich,33.0,93.0,66.7,26.1,3.0,33.3,2023-2024,bundesliga
moritz nicolas,Gladbach,49.0,160.0,71.9,14.8,4.0,0.0,2023-2024,bundesliga
alexander nubel,Stuttgart,36.0,107.0,69.2,36.7,3.0,0.0,2023-2024,bundesliga
jonas omlin,Gladbach,18.0,47.0,66.0,0.0,2.0,0.0,2023-2024,bundesliga
jiri pavlenka,Werder Bremen,17.0,38.0,60.5,14.3,2.0,0.0,2023-2024,bundesliga
daniel peretz,Bayern Munich,0.0,0.0,,,0.0,,2023-2024,bundesliga
pavao pervan,Wolfsburg,17.0,36.0,52.8,22.2,0.0,,2023-2024,bundesliga
manuel riemann,Bochum,70.0,185.0,67.0,12.1,11.0,18.2,2023-2024,bundesliga
frederik rnnow,Union Berlin,56.0,162.0,68.5,21.2,7.0,28.6,2023-2024,bundesliga
marcel schuhen,Darmstadt 98,76.0,198.0,62.1,9.7,2.0,50.0,2023-2024,bundesliga
marvin schwabe,Köln,60.0,168.0,66.1,11.8,3.0,0.0,2023-2024,bundesliga
alexander schwolow,Union Berlin,2.0,6.0,66.7,0.0,0.0,,2023-2024,bundesliga
kevin trapp,Eint Frankfurt,48.0,137.0,71.5,21.9,11.0,18.2,2023-2024,bundesliga
