Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
noah atubolu,Freiburg,50.0,0.3,-7.0,35.4,485,6.4,30,2023-2024,bundesliga
daniel batz,Mainz 05,2.4,0.15,-0.6,38.6,38,10.5,2,2023-2024,bundesliga
oliver baumann,Hoffenheim,68.6,0.31,3.6,33.7,545,5.7,73,2023-2024,bundesliga
janis blaswich,RB Leipzig,25.3,0.28,-4.7,14.7,251,6.4,37,2023-2024,bundesliga
fabian bredlow,Stuttgart,5.0,0.23,2.0,31.5,55,1.8,5,2023-2024,bundesliga
alexander brunst,Darmstadt 98,6.3,0.37,-3.7,41.1,51,5.9,9,2023-2024,bundesliga
koen casteels,Wolfsburg,36.4,0.3,-0.6,36.3,335,7.5,38,2023-2024,bundesliga
finn dahmen,Augsburg,49.3,0.26,-0.7,30.8,484,5.8,50,2023-2024,bundesliga
jens grahl,Eint Frankfurt,1.4,0.15,-0.6,31.2,33,12.1,4,2023-2024,bundesliga
peter gulacsi,RB Leipzig,10.3,0.25,2.3,12.9,175,4.0,14,2023-2024,bundesliga
lukas hradecky,Leverkusen,27.5,0.27,3.5,20.8,313,8.6,39,2023-2024,bundesliga
gregor kobel,Dortmund,36.8,0.28,3.8,19.6,359,1.9,17,2023-2024,bundesliga
tomas koubek,Augsburg,6.7,0.29,-1.3,36.5,36,5.6,2,2023-2024,bundesliga
matej kovar,Leverkusen,0.4,0.15,0.4,0.0,3,33.3,1,2023-2024,bundesliga
andreas luthe,Bochum,2.7,0.68,-0.3,85.7,13,0.0,0,2023-2024,bundesliga
alexander meyer,Dortmund,7.8,0.3,-0.2,20.1,107,7.5,7,2023-2024,bundesliga
kevin muller,Heidenheim,53.6,0.27,1.6,35.2,495,4.8,17,2023-2024,bundesliga
manuel neuer,Bayern Munich,29.1,0.29,-3.9,18.6,231,3.9,32,2023-2024,bundesliga
moritz nicolas,Gladbach,45.1,0.26,-3.9,26.0,460,4.6,22,2023-2024,bundesliga
alexander nubel,Stuttgart,30.8,0.27,-2.2,23.1,341,8.8,57,2023-2024,bundesliga
jonas omlin,Gladbach,13.3,0.24,-4.7,30.2,78,9.0,12,2023-2024,bundesliga
jiri pavlenka,Werder Bremen,13.1,0.3,-3.9,37.9,109,6.4,9,2023-2024,bundesliga
daniel peretz,Bayern Munich,0.0,,0.0,26.7,2,0.0,0,2023-2024,bundesliga
pavao pervan,Wolfsburg,11.5,0.32,-4.5,33.5,127,0.8,3,2023-2024,bundesliga
manuel riemann,Bochum,59.6,0.27,-7.4,61.0,510,6.9,104,2023-2024,bundesliga
frederik rnnow,Union Berlin,51.7,0.28,-3.3,35.2,539,10.0,37,2023-2024,bundesliga
marcel schuhen,Darmstadt 98,68.0,0.34,-6.0,36.3,453,5.3,51,2023-2024,bundesliga
marvin schwabe,Köln,62.0,0.36,2.0,28.4,504,2.8,21,2023-2024,bundesliga
alexander schwolow,Union Berlin,1.2,0.2,-0.8,32.1,13,0.0,0,2023-2024,bundesliga
kevin trapp,Eint Frankfurt,48.3,0.28,0.3,28.9,452,3.5,30,2023-2024,bundesliga
sven ulreich,Bayern Munich,11.8,0.35,-0.2,20.4,108,4.6,16,2023-2024,bundesliga
robin zentner,Mainz 05,49.2,0.37,2.2,47.3,393,10.7,48,2023-2024,bundesliga
michael zetterer,Werder Bremen,41.0,0.3,5.0,28.5,407,8.4,30,2023-2024,bundesliga
