Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
julen agirrezabala,Athletic Club,2.4,0.2,-1.6,35.9,41,4.9,3,2023-2024,laliga
kepa arrizabalaga,Real Madrid,10.0,0.28,2.0,19.2,157,3.8,10,2023-2024,laliga
augusto batalla,Granada,22.6,0.27,-5.4,45.8,275,8.4,18,2023-2024,laliga
yassine bounou,Sevilla,1.1,0.37,-0.9,41.7,9,0.0,0,2023-2024,laliga
claudio bravo,Betis,5.5,0.27,1.5,30.2,101,4.0,6,2023-2024,laliga
dani cardenas,Rayo Vallecano,0.9,0.93,-0.1,36.1,5,0.0,2,2023-2024,laliga
thibaut courtois,Real Madrid,3.1,0.22,3.1,16.2,47,4.3,5,2023-2024,laliga
cristian,Valencia,0.5,0.17,-0.5,26.7,12,0.0,0,2023-2024,laliga
ivan cuellar,Mallorca,1.2,0.19,0.2,31.3,6,16.7,0,2023-2024,laliga
stole dimitrievski,Rayo Vallecano,46.9,0.31,1.9,47.1,529,4.3,38,2023-2024,laliga
marko dmitrovic,Sevilla,22.4,0.3,-1.6,32.5,152,7.2,15,2023-2024,laliga
jaume domenech,Valencia,1.7,0.14,-1.3,62.5,19,5.3,1,2023-2024,laliga
aaron escandell,Las Palmas,2.5,0.62,-0.5,27.4,24,4.2,4,2023-2024,laliga
aitor fernandez,Osasuna,6.1,0.26,-2.9,56.3,69,1.4,15,2023-2024,laliga
raul fernandez,Granada,7.8,0.46,-2.2,37.5,36,11.1,11,2023-2024,laliga
fernando,Almería,8.5,0.37,-1.5,39.8,72,5.6,7,2023-2024,laliga
andre ferreira,Granada,27.8,0.33,-0.2,31.4,195,3.1,13,2023-2024,laliga
daniel fuzato,Getafe,1.3,0.63,-0.7,50.0,5,20.0,0,2023-2024,laliga
paulo gazzaniga,Girona,51.0,0.28,5.0,25.6,534,7.7,33,2023-2024,laliga
david gil,Cádiz,5.3,0.26,-1.7,76.9,91,7.7,0,2023-2024,laliga
dominik greif,Mallorca,0.7,0.16,0.7,52.2,12,0.0,1,2023-2024,laliga
vicente guaita,Celta Vigo,39.7,0.31,2.7,39.4,420,5.5,27,2023-2024,laliga
sergio herrera,Osasuna,45.6,0.34,-1.4,52.0,468,6.2,43,2023-2024,laliga
filip jrgensen,Villarreal,59.8,0.27,-2.2,24.5,650,5.2,36,2023-2024,laliga
jeremias ledesma,Cádiz,46.4,0.3,-0.6,60.4,526,10.1,45,2023-2024,laliga
andriy lunin,Real Madrid,21.2,0.31,4.2,13.7,283,9.5,23,2023-2024,laliga
giorgi mamardashvili,Valencia,49.2,0.31,10.2,57.3,530,8.5,31,2023-2024,laliga
diego marino,Almería,2.1,0.02,0.1,20.0,6,0.0,2,2023-2024,laliga
unai marrero,Real Sociedad,2.9,0.37,-0.1,45.9,27,3.7,4,2023-2024,laliga
marc martinez,Granada,12.1,0.46,1.1,33.8,30,0.0,10,2023-2024,laliga
luis maximiano,Almería,59.7,0.32,-3.3,38.4,551,4.5,38,2023-2024,laliga
rjan nyland,Sevilla,29.8,0.26,3.8,49.9,359,5.6,17,2023-2024,laliga
jan oblak,Atlético Madrid,39.8,0.28,-3.2,27.6,579,6.2,22,2023-2024,laliga
jesus owono,Alavés,6.4,0.27,-1.6,54.5,29,13.8,8,2023-2024,laliga
inaki pena,Barcelona,13.9,0.36,-3.1,13.3,116,1.7,5,2023-2024,laliga
predrag rajkovic,Mallorca,41.8,0.27,-0.2,60.9,502,6.6,28,2023-2024,laliga
pepe reina,Villarreal,1.9,0.21,-0.1,24.1,38,2.6,0,2023-2024,laliga
alex remiro,Real Sociedad,37.9,0.26,2.9,30.6,383,4.7,54,2023-2024,laliga
rui silva,Betis,37.5,0.26,3.5,36.0,375,8.3,34,2023-2024,laliga
unai simon,Athletic Club,38.0,0.28,9.0,48.5,450,6.9,46,2023-2024,laliga
antonio sivera,Alavés,38.4,0.25,2.4,62.3,501,5.0,29,2023-2024,laliga
david soria,Getafe,53.9,0.29,1.9,66.2,458,3.7,62,2023-2024,laliga
marcandre ter stegen,Barcelona,27.7,0.25,0.7,14.4,334,3.9,31,2023-2024,laliga
alvaro valles,Las Palmas,48.7,0.28,7.7,21.7,521,5.6,96,2023-2024,laliga
fran vieites,Betis,4.5,0.25,0.5,37.8,65,4.6,2,2023-2024,laliga
ivan villar,Celta Vigo,16.3,0.31,-0.7,35.4,136,3.7,9,2023-2024,laliga
