Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
dimitry bertaud,Montpellier,8.8,0.35,-2.2,38.4,55,14.5,3,2024-2025,ligue1
marco bizot,Brest,46.2,0.31,-6.8,42.0,459,7.2,53,2024-2025,ligue1
marcin buka,Nice,43.0,0.26,3.0,22.8,470,8.3,33,2024-2025,ligue1
patrik carlgren,Nantes,8.5,0.3,1.5,36.4,80,1.3,1,2024-2025,ligue1
lucas chevalier,Lille,42.2,0.32,7.2,25.7,373,5.6,24,2024-2025,ligue1
gregoire coudert,Brest,2.8,0.22,-1.2,28.3,30,3.3,3,2024-2025,ligue1
theo de percin,Auxerre,3.5,0.22,0.5,45.7,38,7.9,3,2024-2025,ligue1
remy descamps,Lyon,1.4,0.23,-0.6,14.3,7,0.0,0,2024-2025,ligue1
arthur desmas,Le Havre,38.7,0.4,0.7,28.5,277,4.3,7,2024-2025,ligue1
yehvann diouf,Reims,61.6,0.33,14.6,34.4,554,5.6,42,2024-2025,ligue1
alex dominguez,Toulouse,0.0,,0.0,25.0,7,0.0,0,2024-2025,ligue1
gianluigi donnarumma,Paris S-G,21.7,0.29,-3.3,13.6,199,5.0,19,2024-2025,ligue1
yahia fofana,Angers,63.5,0.34,12.5,38.6,531,9.0,20,2024-2025,ligue1
gauthier gallon,Rennes,0.0,,0.0,13.3,2,0.0,1,2024-2025,ligue1
mathieu gorgelin,Le Havre,34.2,0.4,2.2,32.9,269,7.8,8,2024-2025,ligue1
kjetil haug,Toulouse,6.6,0.45,-0.4,37.9,72,6.9,3,2024-2025,ligue1
karljohan johnsson,Strasbourg,6.7,0.26,0.7,15.6,48,4.2,3,2024-2025,ligue1
herve koffi,Lens,11.1,0.38,3.1,29.6,53,7.5,2,2024-2025,ligue1
philipp kohn,Monaco,17.2,0.26,-1.8,25.7,225,7.1,20,2024-2025,ligue1
alban lafont,Nantes,16.8,0.3,-0.2,34.0,200,8.0,6,2024-2025,ligue1
gautier larsonneur,Saint-Étienne,73.5,0.3,-1.5,38.8,510,4.7,33,2024-2025,ligue1
benjamin lecomte,Montpellier,57.3,0.31,-5.7,42.5,408,4.9,26,2024-2025,ligue1
donovan leon,Auxerre,55.8,0.32,10.8,53.0,518,5.4,39,2024-2025,ligue1
anthony lopes,Nantes,25.6,0.32,0.6,40.4,308,5.2,8,2024-2025,ligue1
radosaw majecki,Monaco,21.1,0.31,-0.9,26.6,154,9.1,18,2024-2025,ligue1
steve mandanda,Rennes,17.0,0.29,-4.0,33.6,175,4.0,21,2024-2025,ligue1
lucas perri,Lyon,47.8,0.29,3.8,28.1,415,6.3,29,2024-2025,ligue1
ore petrovic,Strasbourg,45.9,0.27,9.9,20.9,491,8.4,47,2024-2025,ligue1
guillaume restes,Toulouse,27.9,0.29,-5.1,30.8,360,1.4,34,2024-2025,ligue1
geronimo rulli,Marseille,47.5,0.33,2.5,15.0,309,9.1,59,2024-2025,ligue1
mathew ryan,Lens,19.5,0.28,2.5,31.3,176,11.4,10,2024-2025,ligue1
matvei safonov,Paris S-G,7.2,0.26,-0.8,26.3,94,5.3,14,2024-2025,ligue1
brice samba,Rennes,29.2,0.32,2.2,24.4,225,7.1,15,2024-2025,ligue1
brice samba,Lens,17.5,0.26,3.5,29.7,152,11.2,22,2024-2025,ligue1
arnau tenas,Paris S-G,1.5,0.37,0.5,13.3,5,20.0,1,2024-2025,ligue1
melvin zinga,Angers,2.4,0.41,0.4,40.9,20,5.0,2,2024-2025,ligue1
