Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
alisson,Liverpool,51.1,0.33,10.1,18.4,397,5.8,89,2022-2023,premierleague
alphonse areola,West Ham,7.3,0.33,0.3,39.3,47,4.3,1,2022-2023,premierleague
kepa arrizabalaga,Chelsea,35.0,0.29,5.0,17.1,332,4.5,52,2022-2023,premierleague
gavin bazunu,Southampton,35.1,0.28,-16.9,50.2,456,7.9,48,2022-2023,premierleague
asmir begovic,Everton,0.5,0.12,0.5,36.4,23,4.3,0,2022-2023,premierleague
daniel bentley,Wolves,3.9,0.3,0.9,38.6,37,13.5,1,2022-2023,premierleague
martin dubravka,Newcastle Utd,1.9,0.21,1.9,10.3,30,3.3,0,2022-2023,premierleague
ederson,Manchester City,26.2,0.3,-4.8,19.6,286,6.6,33,2022-2023,premierleague
ukasz fabianski,West Ham,45.9,0.28,-1.1,54.2,513,5.7,25,2022-2023,premierleague
fraser forster,Tottenham,21.3,0.34,-2.7,29.0,193,2.6,16,2022-2023,premierleague
david de gea,Manchester Utd,41.3,0.27,-0.7,32.6,526,2.9,32,2022-2023,premierleague
vicente guaita,Crystal Palace,32.4,0.26,0.4,34.5,410,6.3,26,2022-2023,premierleague
dean henderson,Nott'ham Forest,26.9,0.28,-4.1,47.2,291,6.9,27,2022-2023,premierleague
wayne hennessey,Nott'ham Forest,3.9,0.28,-1.1,54.2,35,2.9,2,2022-2023,premierleague
daniel iversen,Leicester City,18.9,0.29,-2.1,47.1,203,7.9,6,2022-2023,premierleague
sam johnstone,Crystal Palace,10.0,0.24,1.0,31.8,104,1.9,11,2022-2023,premierleague
caoimhin kelleher,Liverpool,2.9,0.34,-1.1,9.1,3,0.0,0,2022-2023,premierleague
bernd leno,Fulham,58.0,0.27,9.0,26.0,464,7.5,46,2022-2023,premierleague
hugo lloris,Tottenham,33.9,0.29,-4.1,31.7,322,6.2,29,2022-2023,premierleague
emiliano martinez,Aston Villa,36.6,0.24,2.6,35.5,483,12.4,73,2022-2023,premierleague
alex mccarthy,Southampton,10.9,0.34,-5.1,48.5,92,6.5,7,2022-2023,premierleague
edouard mendy,Chelsea,11.9,0.33,-2.1,22.1,128,7.0,11,2022-2023,premierleague
illan meslier,Leeds United,53.6,0.32,-12.4,39.4,432,7.9,66,2022-2023,premierleague
keylor navas,Nott'ham Forest,29.3,0.32,-2.7,56.3,295,4.7,9,2022-2023,premierleague
neto,Bournemouth,39.7,0.26,1.7,47.4,510,6.9,25,2022-2023,premierleague
robin olsen,Aston Villa,6.2,0.29,-1.8,44.6,45,11.1,3,2022-2023,premierleague
stefan ortega,Manchester City,4.1,0.27,3.1,14.8,26,3.8,7,2022-2023,premierleague
jordan pickford,Everton,60.0,0.31,3.0,58.1,566,3.9,52,2022-2023,premierleague
nick pope,Newcastle Utd,31.3,0.24,0.3,33.1,411,8.3,74,2022-2023,premierleague
aaron ramsdale,Arsenal,40.0,0.28,-2.0,35.4,381,5.8,43,2022-2023,premierleague
david raya,Brentford,48.1,0.24,5.1,50.7,598,8.9,54,2022-2023,premierleague
joel robles,Leeds United,10.5,0.32,-0.5,52.2,43,4.7,3,2022-2023,premierleague
marek rodak,Fulham,2.0,0.51,0.0,73.9,26,3.8,2,2022-2023,premierleague
jose sa,Wolves,48.4,0.28,-5.6,29.3,540,8.0,28,2022-2023,premierleague
robert sanchez,Brighton,24.2,0.25,-2.8,24.2,229,7.4,13,2022-2023,premierleague
jason steele,Brighton,18.5,0.29,-1.5,14.9,126,7.9,19,2022-2023,premierleague
mark travers,Bournemouth,24.0,0.34,-6.0,35.6,229,2.2,5,2022-2023,premierleague
danny ward,Leicester City,36.5,0.29,-5.5,29.7,355,5.6,42,2022-2023,premierleague
joseph whitworth,Crystal Palace,2.3,0.23,-2.7,29.4,25,4.0,3,2022-2023,premierleague
