Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
emil audero,Como,12.4,0.27,-5.6,22.0,95,5.3,8,2024-2025,serie-a
jean butez,Como,20.1,0.27,0.1,30.2,190,11.6,51,2024-2025,serie-a
elia caprile,Napoli,2.2,0.27,1.2,25.6,31,9.7,3,2024-2025,serie-a
elia caprile,Cagliari,23.5,0.35,1.5,44.1,266,6.8,23,2024-2025,serie-a
marco carnesecchi,Atalanta,36.1,0.28,4.1,28.2,319,6.6,45,2024-2025,serie-a
leandro chichizola,Parma,2.5,0.43,-0.5,31.7,21,9.5,2,2024-2025,serie-a
giuseppe ciocci,Cagliari,0.0,,0.0,0.0,0,,1,2024-2025,serie-a
michele di gregorio,Juventus,28.1,0.24,-3.9,30.0,469,6.2,30,2024-2025,serie-a
wladimiro falcone,Lecce,53.8,0.26,-1.2,51.9,590,4.9,19,2024-2025,serie-a
david de gea,Fiorentina,37.7,0.26,0.7,40.1,478,2.7,28,2024-2025,serie-a
pierluigi gollini,Genoa,12.2,0.29,-2.8,24.7,92,2.2,2,2024-2025,serie-a
jesse joronen,Venezia,12.6,0.26,-0.4,28.1,125,4.8,5,2024-2025,serie-a
nicola leali,Genoa,34.3,0.29,6.3,39.3,390,5.4,14,2024-2025,serie-a
mike maignan,Milan,36.8,0.26,-1.2,17.4,447,5.8,68,2024-2025,serie-a
christos mandas,Lazio,7.9,0.29,0.9,36.4,130,15.4,22,2024-2025,serie-a
josep martinez,Inter,4.1,0.31,1.1,20.4,81,3.7,3,2024-2025,serie-a
andrea mazza,Monza,0.0,,0.0,20.0,1,0.0,0,2024-2025,serie-a
alex meret,Napoli,25.3,0.27,2.3,15.4,378,5.6,47,2024-2025,serie-a
vanja milinkovicsavic,Torino,51.4,0.27,11.4,40.0,585,6.3,46,2024-2025,serie-a
lorenzo montipo,Hellas Verona,50.8,0.31,-12.2,59.9,498,6.0,23,2024-2025,serie-a
juan musso,Atalanta,0.7,0.19,0.7,36.8,15,0.0,1,2024-2025,serie-a
maduka okoye,Udinese,37.0,0.32,0.0,29.9,315,4.4,23,2024-2025,serie-a
daniele padelli,Udinese,0.8,0.26,0.8,33.3,11,9.1,0,2024-2025,serie-a
alberto paleari,Torino,2.2,0.32,-0.8,34.6,12,0.0,5,2024-2025,serie-a
rui patricio,Atalanta,4.2,0.34,1.2,18.1,29,0.0,10,2024-2025,serie-a
simone perilli,Hellas Verona,3.0,0.3,1.0,82.4,46,4.3,3,2024-2025,serie-a
mattia perin,Juventus,3.7,0.23,0.7,22.4,50,6.0,3,2024-2025,serie-a
semuel pizzignacco,Monza,12.4,0.33,-3.6,33.7,119,3.4,7,2024-2025,serie-a
ivan provedel,Lazio,31.5,0.32,-8.5,30.8,366,7.9,32,2024-2025,serie-a
ionut radu,Venezia,19.2,0.26,1.2,47.7,215,6.0,3,2024-2025,serie-a
federico ravaglia,Bologna,11.7,0.46,-2.3,27.5,97,11.3,9,2024-2025,serie-a
pepe reina,Como,12.1,0.28,-1.9,32.4,148,1.4,6,2024-2025,serie-a
razvan sava,Udinese,14.5,0.24,0.5,33.2,202,2.0,13,2024-2025,serie-a
simone scuffet,Napoli,1.6,0.4,0.6,25.7,29,3.4,0,2024-2025,serie-a
simone scuffet,Cagliari,20.4,0.28,-2.6,42.0,189,3.2,7,2024-2025,serie-a
jacopo seghetti,Empoli,1.9,0.31,-1.1,37.5,4,0.0,1,2024-2025,serie-a
alen sherri,Cagliari,10.9,0.35,-0.1,35.7,85,4.7,5,2024-2025,serie-a
benjamin siegrist,Genoa,2.4,0.2,0.4,33.3,26,3.8,1,2024-2025,serie-a
marco silvestri,Empoli,8.0,0.32,-2.0,60.7,62,1.6,4,2024-2025,serie-a
ukasz skorupski,Bologna,28.7,0.34,-2.3,27.9,215,8.4,23,2024-2025,serie-a
daniele sommariva,Genoa,0.9,0.3,-0.1,66.7,19,0.0,0,2024-2025,serie-a
yann sommer,Inter,31.7,0.24,0.7,16.9,356,3.9,14,2024-2025,serie-a
marco sportiello,Milan,2.2,0.36,0.2,21.7,15,6.7,3,2024-2025,serie-a
filip stankovic,Venezia,25.2,0.26,3.2,29.4,249,4.8,13,2024-2025,serie-a
zion suzuki,Parma,51.4,0.32,0.4,41.4,614,10.4,38,2024-2025,serie-a
mile svilar,Roma,42.5,0.26,8.5,23.8,495,6.1,33,2024-2025,serie-a
pietro terracciano,Fiorentina,3.1,0.24,0.1,28.2,20,5.0,3,2024-2025,serie-a
stefano turati,Monza,47.4,0.31,-2.6,38.3,414,5.3,26,2024-2025,serie-a
devis vasquez,Empoli,40.2,0.31,-4.8,48.5,490,7.3,15,2024-2025,serie-a
