Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
simone aresti,Cagliari,1.0,0.0,0.0,100.0,3,0.0,0,2023-2024,seriea
emil audero,Inter,3.1,0.28,0.1,11.9,54,11.1,2,2023-2024,seriea
nicola bagnolini,Bologna,0.0,0.02,0.0,100.0,0,,0,2023-2024,seriea
etrit berisha,Empoli,20.7,0.24,-3.3,34.8,236,4.7,10,2023-2024,seriea
elia caprile,Empoli,27.6,0.22,0.6,40.3,391,7.9,20,2023-2024,seriea
marco carnesecchi,Atalanta,29.3,0.22,-0.7,30.6,332,6.0,39,2023-2024,seriea
michele cerofolini,Frosinone,5.9,0.22,-4.1,47.4,126,3.2,7,2023-2024,seriea
oliver christensen,Fiorentina,4.0,0.11,-5.0,31.8,32,3.1,9,2023-2024,seriea
andrea consigli,Sassuolo,51.7,0.28,-13.3,42.3,545,4.2,22,2023-2024,seriea
nikita contini baranovsky,Napoli,0.0,,0.0,0.0,1,0.0,3,2023-2024,seriea
benoit costil,Salernitana,23.6,0.32,-4.4,48.0,212,0.9,19,2023-2024,seriea
alessio cragno,Sassuolo,5.1,0.3,-0.9,50.0,37,8.1,8,2023-2024,seriea
raffaele di gennaro,Inter,0.5,0.13,0.5,13.3,4,0.0,0,2023-2024,seriea
michele di gregorio,Monza,45.4,0.26,10.4,27.8,469,4.1,18,2023-2024,seriea
wladimiro falcone,Lecce,51.0,0.26,-2.0,42.6,522,3.8,20,2023-2024,seriea
vincenzo fiorillo,Salernitana,7.3,0.28,-0.7,68.1,77,5.2,1,2023-2024,seriea
luca gemello,Torino,3.6,0.31,-1.4,26.9,24,12.5,3,2023-2024,seriea
pierluigi gollini,Napoli,8.2,0.34,0.2,22.1,82,6.1,9,2023-2024,seriea
nicola leali,Genoa,2.8,0.31,0.8,69.4,27,7.4,1,2023-2024,seriea
mike maignan,Milan,29.8,0.19,-4.2,21.1,339,10.9,36,2023-2024,seriea
christos mandas,Lazio,7.0,0.25,1.0,42.5,99,6.1,5,2023-2024,seriea
tommaso martinelli,Fiorentina,1.4,0.45,-0.6,30.0,14,0.0,0,2023-2024,seriea
josep martinez,Genoa,38.9,0.28,-3.1,37.4,580,7.8,40,2023-2024,seriea
alex meret,Napoli,38.0,0.33,-2.0,18.5,334,2.7,29,2023-2024,seriea
vanja milinkovicsavic,Torino,33.8,0.21,2.8,44.8,407,9.3,37,2023-2024,seriea
antonio mirante,Milan,3.1,0.41,0.1,26.1,17,5.9,1,2023-2024,seriea
lorenzo montipo,Hellas Verona,40.7,0.26,-7.3,54.5,487,4.5,43,2023-2024,seriea
juan musso,Atalanta,9.8,0.23,-1.2,24.4,110,9.1,16,2023-2024,seriea
lapo nava,Milan,0.9,0.5,-0.1,100.0,0,,0,2023-2024,seriea
guillermo ochoa,Salernitana,37.2,0.27,-5.8,46.3,342,2.6,11,2023-2024,seriea
maduka okoye,Udinese,23.9,0.24,-0.1,55.9,365,1.9,2,2023-2024,seriea
rui patricio,Roma,23.4,0.29,-1.6,31.5,309,5.2,8,2023-2024,seriea
simone perilli,Hellas Verona,2.7,0.29,0.7,75.0,5,0.0,2,2023-2024,seriea
mattia perin,Juventus,1.2,0.25,0.2,25.9,29,6.9,3,2023-2024,seriea
samuele perisan,Empoli,0.7,0.14,-1.3,27.3,18,0.0,1,2023-2024,seriea
carlo pinsoglio,Juventus,0.5,0.18,0.5,23.8,17,0.0,0,2023-2024,seriea
ivan provedel,Lazio,30.0,0.23,-3.0,22.6,377,4.0,18,2023-2024,seriea
boris radunovic,Cagliari,10.1,0.38,-0.9,35.9,98,6.1,4,2023-2024,seriea
federico ravaglia,Bologna,5.5,0.25,2.5,18.0,73,1.4,4,2023-2024,seriea
francesco rossi,Atalanta,0.8,0.75,0.8,0.0,2,0.0,0,2023-2024,seriea
simone scuffet,Cagliari,45.1,0.33,-7.9,43.3,482,4.6,20,2023-2024,seriea
marco silvestri,Udinese,25.7,0.29,-2.3,33.6,282,1.8,7,2023-2024,seriea
ukasz skorupski,Bologna,26.6,0.23,-1.4,26.3,432,2.8,15,2023-2024,seriea
daniele sommariva,Genoa,0.0,,0.0,100.0,2,50.0,0,2023-2024,seriea
yann sommer,Inter,25.5,0.23,6.5,17.4,395,4.6,14,2023-2024,seriea
alessandro sorrentino,Monza,14.4,0.34,-1.6,26.5,62,4.8,3,2023-2024,seriea
marco sportiello,Milan,8.9,0.25,-1.1,20.4,81,6.2,9,2023-2024,seriea
mile svilar,Roma,20.2,0.24,2.2,15.9,208,7.7,7,2023-2024,seriea
wojciech szczesny,Juventus,28.3,0.24,0.3,32.0,555,4.7,20,2023-2024,seriea
pietro terracciano,Fiorentina,40.2,0.27,5.2,29.0,307,2.3,23,2023-2024,seriea
stefano turati,Frosinone,47.5,0.28,-9.5,27.3,412,4.4,19,2023-2024,seriea
