Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
oliver baumann,Hoffenheim,50.4,0.31,-5.6,35.3,529.0,8.1,43.0,2022-2023,bundesliga
janis blaswich,RB Leipzig,26.9,0.27,-2.1,14.9,288.0,6.9,39.0,2022-2023,bundesliga
fabian bredlow,Stuttgart,20.1,0.26,-1.9,20.3,203.0,5.9,15.0,2022-2023,bundesliga
koen casteels,Wolfsburg,43.9,0.27,-1.1,33.3,489.0,5.9,51.0,2022-2023,bundesliga
oliver christensen,Hertha BSC,57.9,0.33,-10.1,42.5,486.0,6.8,70.0,2022-2023,bundesliga
finn dahmen,Mainz 05,13.5,0.25,-2.5,42.9,158.0,10.8,8.0,2022-2023,bundesliga
tjark ernst,Hertha BSC,2.5,0.36,1.5,27.3,18.0,0.0,0.0,2022-2023,bundesliga
ralf fahrmann,Schalke 04,12.4,0.21,0.4,45.0,162.0,6.8,9.0,2022-2023,bundesliga
mark flekken,Freiburg,46.4,0.28,2.4,40.2,434.0,7.4,43.0,2022-2023,bundesliga
rafa gikiewicz,Augsburg,41.3,0.28,0.3,33.3,363.0,5.8,45.0,2022-2023,bundesliga
lennart grill,Union Berlin,9.0,0.28,-2.0,48.2,47.0,17.0,7.0,2022-2023,bundesliga
peter gulacsi,RB Leipzig,10.1,0.37,1.1,15.6,61.0,4.9,10.0,2022-2023,bundesliga
lukas hradecky,Leverkusen,41.3,0.25,-3.7,31.3,404.0,6.7,26.0,2022-2023,bundesliga
gregor kobel,Dortmund,33.8,0.29,2.8,20.9,295.0,5.1,37.0,2022-2023,bundesliga
tomas koubek,Augsburg,22.0,0.36,2.0,37.9,176.0,5.7,22.0,2022-2023,bundesliga
andrey lunyov,Leverkusen,1.4,0.35,-0.6,24.4,6.0,16.7,1.0,2022-2023,bundesliga
alexander meyer,Dortmund,7.9,0.25,-4.1,16.2,91.0,8.8,18.0,2022-2023,bundesliga
florian muller,Stuttgart,27.2,0.3,-6.8,26.9,260.0,2.3,28.0,2022-2023,bundesliga
manuel neuer,Bayern Munich,14.7,0.29,3.7,16.6,103.0,3.9,23.0,2022-2023,bundesliga
rjan nyland,RB Leipzig,1.8,0.36,0.8,32.5,28.0,0.0,0.0,2022-2023,bundesliga
jan olschowsky,Gladbach,11.4,0.39,0.4,28.5,59.0,10.2,4.0,2022-2023,bundesliga
jonas omlin,Gladbach,18.1,0.29,0.1,22.3,220.0,6.8,20.0,2022-2023,bundesliga
jiri pavlenka,Werder Bremen,51.9,0.29,-7.1,40.1,481.0,4.6,38.0,2022-2023,bundesliga
diant ramaj,Eint Frankfurt,1.0,0.2,0.0,9.5,15.0,6.7,1.0,2022-2023,bundesliga
manuel riemann,Bochum,69.0,0.3,0.0,66.8,536.0,5.8,121.0,2022-2023,bundesliga
frederik rnnow,Union Berlin,35.2,0.26,8.2,44.6,434.0,9.9,29.0,2022-2023,bundesliga
marvin schwabe,Köln,42.3,0.3,-8.7,28.8,468.0,4.1,22.0,2022-2023,bundesliga
alexander schwolow,Schalke 04,45.8,0.31,-12.2,46.4,321.0,2.2,23.0,2022-2023,bundesliga
tobias sippel,Gladbach,11.6,0.33,-0.4,33.5,88.0,2.3,4.0,2022-2023,bundesliga
yann sommer,Gladbach,16.7,0.25,3.7,23.0,162.0,3.1,13.0,2022-2023,bundesliga
yann sommer,Bayern Munich,23.7,0.32,-1.3,14.6,212.0,5.7,27.0,2022-2023,bundesliga
kevin trapp,Eint Frankfurt,42.3,0.32,-7.7,39.2,401.0,4.2,24.0,2022-2023,bundesliga
sven ulreich,Bayern Munich,2.4,0.18,0.4,20.5,34.0,5.9,4.0,2022-2023,bundesliga
robin zentner,Mainz 05,35.4,0.3,-3.6,50.0,321.0,13.4,53.0,2022-2023,bundesliga
michael zetterer,Werder Bremen,3.2,0.24,0.2,51.0,15.0,20.0,4.0,2022-2023,bundesliga
noah atubolu,Freiburg,50.0,0.3,-7.0,35.4,485.0,6.4,30.0,2023-2024,bundesliga
daniel batz,Mainz 05,2.4,0.15,-0.6,38.6,38.0,10.5,2.0,2023-2024,bundesliga
oliver baumann,Hoffenheim,68.6,0.31,3.6,33.7,545.0,5.7,73.0,2023-2024,bundesliga
janis blaswich,RB Leipzig,25.3,0.28,-4.7,14.7,251.0,6.4,37.0,2023-2024,bundesliga
fabian bredlow,Stuttgart,5.0,0.23,2.0,31.5,55.0,1.8,5.0,2023-2024,bundesliga
alexander brunst,Darmstadt 98,6.3,0.37,-3.7,41.1,51.0,5.9,9.0,2023-2024,bundesliga
koen casteels,Wolfsburg,36.4,0.3,-0.6,36.3,335.0,7.5,38.0,2023-2024,bundesliga
finn dahmen,Augsburg,49.3,0.26,-0.7,30.8,484.0,5.8,50.0,2023-2024,bundesliga
jens grahl,Eint Frankfurt,1.4,0.15,-0.6,31.2,33.0,12.1,4.0,2023-2024,bundesliga
peter gulacsi,RB Leipzig,10.3,0.25,2.3,12.9,175.0,4.0,14.0,2023-2024,bundesliga
lukas hradecky,Leverkusen,27.5,0.27,3.5,20.8,313.0,8.6,39.0,2023-2024,bundesliga
gregor kobel,Dortmund,36.8,0.28,3.8,19.6,359.0,1.9,17.0,2023-2024,bundesliga
tomas koubek,Augsburg,6.7,0.29,-1.3,36.5,36.0,5.6,2.0,2023-2024,bundesliga
matej kovar,Leverkusen,0.4,0.15,0.4,0.0,3.0,33.3,1.0,2023-2024,bundesliga
andreas luthe,Bochum,2.7,0.68,-0.3,85.7,13.0,0.0,0.0,2023-2024,bundesliga
alexander meyer,Dortmund,7.8,0.3,-0.2,20.1,107.0,7.5,7.0,2023-2024,bundesliga
kevin muller,Heidenheim,53.6,0.27,1.6,35.2,495.0,4.8,17.0,2023-2024,bundesliga
manuel neuer,Bayern Munich,29.1,0.29,-3.9,18.6,231.0,3.9,32.0,2023-2024,bundesliga
moritz nicolas,Gladbach,45.1,0.26,-3.9,26.0,460.0,4.6,22.0,2023-2024,bundesliga
alexander nubel,Stuttgart,30.8,0.27,-2.2,23.1,341.0,8.8,57.0,2023-2024,bundesliga
jonas omlin,Gladbach,13.3,0.24,-4.7,30.2,78.0,9.0,12.0,2023-2024,bundesliga
jiri pavlenka,Werder Bremen,13.1,0.3,-3.9,37.9,109.0,6.4,9.0,2023-2024,bundesliga
daniel peretz,Bayern Munich,0.0,,0.0,26.7,2.0,0.0,0.0,2023-2024,bundesliga
pavao pervan,Wolfsburg,11.5,0.32,-4.5,33.5,127.0,0.8,3.0,2023-2024,bundesliga
manuel riemann,Bochum,59.6,0.27,-7.4,61.0,510.0,6.9,104.0,2023-2024,bundesliga
frederik rnnow,Union Berlin,51.7,0.28,-3.3,35.2,539.0,10.0,37.0,2023-2024,bundesliga
marcel schuhen,Darmstadt 98,68.0,0.34,-6.0,36.3,453.0,5.3,51.0,2023-2024,bundesliga
marvin schwabe,Köln,62.0,0.36,2.0,28.4,504.0,2.8,21.0,2023-2024,bundesliga
alexander schwolow,Union Berlin,1.2,0.2,-0.8,32.1,13.0,0.0,0.0,2023-2024,bundesliga
kevin trapp,Eint Frankfurt,48.3,0.28,0.3,28.9,452.0,3.5,30.0,2023-2024,bundesliga
sven ulreich,Bayern Munich,11.8,0.35,-0.2,20.4,108.0,4.6,16.0,2023-2024,bundesliga
robin zentner,Mainz 05,49.2,0.37,2.2,47.3,393.0,10.7,48.0,2023-2024,bundesliga
michael zetterer,Werder Bremen,41.0,0.3,5.0,28.5,407.0,8.4,30.0,2023-2024,bundesliga
ben alexander voll,St. Pauli,2.4,0.48,0.4,59.5,15.0,0.0,0.0,2024-2025,bundesliga
noah atubolu,Freiburg,37.0,0.3,0.0,32.4,377.0,9.0,28.0,2024-2025,bundesliga
oliver baumann,Hoffenheim,52.1,0.36,1.1,41.6,407.0,4.4,31.0,2024-2025,bundesliga
tiago cardoso,Gladbach,4.7,0.2,1.7,27.0,96.0,14.6,1.0,2024-2025,bundesliga
finn dahmen,Augsburg,24.2,0.29,7.2,38.6,337.0,2.7,26.0,2024-2025,bundesliga
thomas dahne,Holstein Kiel,18.5,0.3,0.5,25.7,177.0,8.5,5.0,2024-2025,bundesliga
patrick drewes,Bochum,42.3,0.38,-3.7,50.1,285.0,4.2,33.0,2024-2025,bundesliga
frank feller,Heidenheim,0.3,0.16,0.3,42.6,25.0,4.0,1.0,2024-2025,bundesliga
kamil grabara,Wolfsburg,49.7,0.35,1.7,41.7,413.0,3.6,19.0,2024-2025,bundesliga
peter gulacsi,RB Leipzig,42.6,0.3,3.6,20.3,434.0,5.3,34.0,2024-2025,bundesliga
timo horn,Bochum,18.5,0.35,-3.5,60.8,182.0,3.3,18.0,2024-2025,bundesliga
lukas hradecky,Leverkusen,35.8,0.28,0.8,30.9,296.0,4.1,39.0,2024-2025,bundesliga
gregor kobel,Dortmund,47.4,0.35,1.4,23.7,420.0,5.2,47.0,2024-2025,bundesliga
matej kovar,Leverkusen,3.5,0.22,-0.5,21.4,52.0,3.8,6.0,2024-2025,bundesliga
nediljko labrovic,Augsburg,25.9,0.32,-6.1,38.8,217.0,5.5,18.0,2024-2025,bundesliga
alexander meyer,Dortmund,4.0,0.36,0.0,35.5,24.0,4.2,2.0,2024-2025,bundesliga
florian muller,Freiburg,11.6,0.35,-3.4,44.9,104.0,5.8,9.0,2024-2025,bundesliga
kevin muller,Heidenheim,59.3,0.33,-4.7,31.4,453.0,4.6,20.0,2024-2025,bundesliga
marius muller,Wolfsburg,7.6,0.33,2.6,39.1,99.0,9.1,3.0,2024-2025,bundesliga
manuel neuer,Bayern Munich,15.0,0.33,0.0,20.0,162.0,3.7,40.0,2024-2025,bundesliga
moritz nicolas,Gladbach,29.9,0.29,6.9,23.3,319.0,5.6,14.0,2024-2025,bundesliga
alexander nubel,Stuttgart,44.8,0.32,-7.2,30.1,415.0,5.1,57.0,2024-2025,bundesliga
jonas omlin,Gladbach,23.8,0.31,-2.2,34.9,166.0,1.8,13.0,2024-2025,bundesliga
daniel peretz,Bayern Munich,4.0,0.58,-1.0,25.0,17.0,0.0,8.0,2024-2025,bundesliga
luca philipp,Hoffenheim,12.3,0.34,-1.7,51.0,84.0,3.6,4.0,2024-2025,bundesliga
lasse rie,Mainz 05,2.2,0.27,0.2,51.4,23.0,8.7,8.0,2024-2025,bundesliga
frederik rnnow,Union Berlin,39.3,0.32,3.3,36.6,483.0,8.3,35.0,2024-2025,bundesliga
kaua santos,Eint Frankfurt,14.3,0.3,3.3,37.1,137.0,11.7,18.0,2024-2025,bundesliga
alexander schwolow,Union Berlin,9.7,0.32,-3.3,31.3,85.0,0.0,4.0,2024-2025,bundesliga
tobias sippel,Gladbach,1.2,0.3,-1.8,45.5,13.0,0.0,0.0,2024-2025,bundesliga
kevin trapp,Eint Frankfurt,34.9,0.3,1.9,31.7,394.0,6.1,28.0,2024-2025,bundesliga
sven ulreich,Bayern Munich,0.0,,0.0,27.6,7.0,14.3,1.0,2024-2025,bundesliga
jonas urbig,Bayern Munich,10.3,0.38,-1.7,26.2,81.0,6.2,21.0,2024-2025,bundesliga
maarten vandevoordt,RB Leipzig,7.3,0.36,-1.7,23.0,78.0,9.0,11.0,2024-2025,bundesliga
nikola vasilj,St. Pauli,47.4,0.32,9.4,34.2,411.0,5.8,27.0,2024-2025,bundesliga
timon weiner,Holstein Kiel,47.2,0.32,-11.8,40.2,491.0,5.5,18.0,2024-2025,bundesliga
robin zentner,Mainz 05,45.0,0.29,4.0,46.2,524.0,8.6,58.0,2024-2025,bundesliga
michael zetterer,Werder Bremen,52.9,0.33,-1.1,27.7,464.0,7.5,34.0,2024-2025,bundesliga
alvaro aceves,Valladolid,0.1,0.04,0.1,28.6,1.0,0.0,2.0,2022-2023,laliga
julen agirrezabala,Athletic Club,5.5,0.3,-0.5,29.6,96.0,11.5,10.0,2022-2023,laliga
sergio asenjo,Valladolid,16.8,0.31,-4.2,38.8,166.0,3.0,17.0,2022-2023,laliga
edgar badia,Elche,69.5,0.31,8.5,33.8,574.0,3.7,20.0,2022-2023,laliga
yassine bounou,Sevilla,37.3,0.34,-1.7,27.9,308.0,6.5,39.0,2022-2023,laliga
claudio bravo,Betis,11.0,0.24,2.0,51.7,213.0,1.9,6.0,2022-2023,laliga
juan carlos,Girona,16.7,0.35,-1.3,17.6,120.0,5.0,21.0,2022-2023,laliga
thibaut courtois,Real Madrid,29.7,0.22,0.7,18.4,366.0,8.7,40.0,2022-2023,laliga
stole dimitrievski,Rayo Vallecano,44.2,0.3,-0.8,45.0,500.0,4.8,52.0,2022-2023,laliga
marko dmitrovic,Sevilla,12.2,0.23,0.2,58.1,216.0,5.6,10.0,2022-2023,laliga
aitor fernandez,Osasuna,17.7,0.24,-0.3,50.9,319.0,4.4,37.0,2022-2023,laliga
alvaro fernandez,Espanyol,15.2,0.31,-1.8,55.7,153.0,3.3,15.0,2022-2023,laliga
fernando,Almería,60.5,0.29,0.5,39.1,614.0,6.4,26.0,2022-2023,laliga
joan garcia,Espanyol,1.8,0.21,-1.2,14.8,16.0,12.5,1.0,2022-2023,laliga
paulo gazzaniga,Girona,45.3,0.33,8.3,31.1,477.0,7.8,38.0,2022-2023,laliga
david gil,Cádiz,6.3,0.23,1.3,64.5,56.0,3.6,4.0,2022-2023,laliga
antonio gomis,Atlético Madrid,0.6,0.64,-0.4,100.0,3.0,0.0,0.0,2022-2023,laliga
ivo grbic,Atlético Madrid,13.8,0.23,1.8,37.4,214.0,10.7,7.0,2022-2023,laliga
dominik greif,Mallorca,2.2,0.28,-0.8,87.0,19.0,10.5,0.0,2022-2023,laliga
sergio herrera,Osasuna,21.4,0.28,-0.6,56.0,215.0,7.4,20.0,2022-2023,laliga
filip jrgensen,Villarreal,2.3,0.39,-0.7,9.1,18.0,11.1,4.0,2022-2023,laliga
