nombre,club_actual,altura,valor,temporada,liga
jonas urbig,bayern munich,1.89,12000000.0,2024-2025,bundesliga
manuel neuer,bayern munich,1.93,4000000.0,2024-2025,bundesliga
daniel peretz,bayern munich,1.9,3000000.0,2024-2025,bundesliga
max schmitt,bayern munich,1.89,700000.0,2024-2025,bundesliga
sven ulreich,bayern munich,1.92,500000.0,2024-2025,bundesliga
anthony pavlesic,bayern munich,1.9,150000.0,2024-2025,bundesliga
leon klanac,bayern munich,1.85,,2024-2025,bundesliga
dayot upamecano,bayern munich,1.86,50000000.0,2024-2025,bundesliga
minjae kim,bayern munich,1.9,40000000.0,2024-2025,bundesliga
jonathan tah,bayern munich,1.95,30000000.0,2024-2025,bundesliga
hiroki ito,bayern munich,1.88,25000000.0,2024-2025,bundesliga
eric dier,bayern munich,1.91,8000000.0,2024-2025,bundesliga
tarek buchmann,bayern munich,1.88,500000.0,2024-2025,bundesliga
cassiano kiala,bayern munich,,,2024-2025,bundesliga
alphonso davies,bayern munich,1.83,50000000.0,2024-2025,bundesliga
raphael guerreiro,bayern munich,1.7,8000000.0,2024-2025,bundesliga
adam aznou,bayern munich,1.78,4000000.0,2024-2025,bundesliga
josip stanisic,bayern munich,1.87,32000000.0,2024-2025,bundesliga
konrad laimer,bayern munich,1.8,25000000.0,2024-2025,bundesliga
sacha boey,bayern munich,1.78,18000000.0,2024-2025,bundesliga
aleksandar pavlovic,bayern munich,1.88,55000000.0,2024-2025,bundesliga
joshua kimmich,bayern munich,1.77,45000000.0,2024-2025,bundesliga
joao palhinha,bayern munich,1.9,30000000.0,2024-2025,bundesliga
noel aseko,bayern munich,1.78,700000.0,2024-2025,bundesliga
david santos daiber,bayern munich,,,2024-2025,bundesliga
tom bischof,bayern munich,1.76,30000000.0,2024-2025,bundesliga
leon goretzka,bayern munich,1.89,22000000.0,2024-2025,bundesliga
jamal musiala,bayern munich,1.84,140000000.0,2024-2025,bundesliga
arijon ibrahimovic,bayern munich,1.78,4000000.0,2024-2025,bundesliga
maurice krattenmacher,bayern munich,1.8,3500000.0,2024-2025,bundesliga
jonathan asp jensen,bayern munich,1.82,1500000.0,2024-2025,bundesliga
lennart karl,bayern munich,1.68,1500000.0,2024-2025,bundesliga
kingsley coman,bayern munich,1.81,30000000.0,2024-2025,bundesliga
serge gnabry,bayern munich,1.76,22000000.0,2024-2025,bundesliga
wisdom mike,bayern munich,,,2024-2025,bundesliga
michael olise,bayern munich,1.84,100000000.0,2024-2025,bundesliga
leroy sane,bayern munich,1.83,32000000.0,2024-2025,bundesliga
nestory irankunda,bayern munich,1.75,4000000.0,2024-2025,bundesliga
thomas muller,bayern munich,1.85,6000000.0,2024-2025,bundesliga
gabriel vidovic,bayern munich,1.8,3000000.0,2024-2025,bundesliga
harry kane,bayern munich,1.88,75000000.0,2024-2025,bundesliga
