nombre,club_actual,altura,valor,temporada,liga
thibaut courtois,real madrid,2.0,20000000.0,2024-2025,laliga
andriy lunin,real madrid,1.91,18000000.0,2024-2025,laliga
fran gonzalez,real madrid,1.99,400000.0,2024-2025,laliga
sergio mestre,real madrid,1.93,50000.0,2024-2025,laliga
dean huijsen,real madrid,1.97,60000000.0,2024-2025,laliga
raul asencio,real madrid,1.84,40000000.0,2024-2025,laliga
eder militao,real madrid,1.86,30000000.0,2024-2025,laliga
antonio rudiger,real madrid,1.9,20000000.0,2024-2025,laliga
david alaba,real madrid,1.8,6000000.0,2024-2025,laliga
jacobo ramon,real madrid,1.96,1000000.0,2024-2025,laliga
diego aguado,real madrid,1.84,1000000.0,2024-2025,laliga
jesus vallejo,real madrid,1.84,1000000.0,2024-2025,laliga
victor valdepenas,real madrid,1.88,500000.0,2024-2025,laliga
mario rivas,real madrid,,300000.0,2024-2025,laliga
fran garcia,real madrid,1.69,18000000.0,2024-2025,laliga
ferland mendy,real madrid,1.8,14000000.0,2024-2025,laliga
youssef enriquez,real madrid,1.7,500000.0,2024-2025,laliga
trent alexanderarnold,real madrid,1.8,75000000.0,2024-2025,laliga
daniel carvajal,real madrid,1.73,8000000.0,2024-2025,laliga
lucas vazquez,real madrid,1.73,3000000.0,2024-2025,laliga
david jimenez,real madrid,1.7,400000.0,2024-2025,laliga
jesus fortea,real madrid,1.79,200000.0,2024-2025,laliga
lorenzo aguado,real madrid,1.8,100000.0,2024-2025,laliga
aurelien tchouameni,real madrid,1.88,75000000.0,2024-2025,laliga
mario martin,real madrid,1.77,1500000.0,2024-2025,laliga
federico valverde,real madrid,1.82,130000000.0,2024-2025,laliga
eduardo camavinga,real madrid,1.82,60000000.0,2024-2025,laliga
dani ceballos,real madrid,1.79,10000000.0,2024-2025,laliga
luka modric,real madrid,1.72,4000000.0,2024-2025,laliga
chema andres,real madrid,1.9,800000.0,2024-2025,laliga
jude bellingham,real madrid,1.86,180000000.0,2024-2025,laliga
pol fortuny,real madrid,1.75,400000.0,2024-2025,laliga
vinicius junior,real madrid,1.76,170000000.0,2024-2025,laliga
victor munoz,real madrid,1.73,1000000.0,2024-2025,laliga
hugo de llanos,real madrid,1.75,200000.0,2024-2025,laliga
rodrygo,real madrid,1.74,90000000.0,2024-2025,laliga
arda guler,real madrid,1.75,45000000.0,2024-2025,laliga
brahim diaz,real madrid,1.7,40000000.0,2024-2025,laliga
daniel yanez,real madrid,1.77,150000.0,2024-2025,laliga
kylian mbappe,real madrid,1.78,180000000.0,2024-2025,laliga
endrick,real madrid,1.73,35000000.0,2024-2025,laliga
gonzalo garcia,real madrid,1.82,8000000.0,2024-2025,laliga
marcandre ter stegen,fc barcelona,1.87,12000000.0,2024-2025,laliga
inaki pena,fc barcelona,1.84,8000000.0,2024-2025,laliga
wojciech szczesny,fc barcelona,1.95,1000000.0,2024-2025,laliga
ander astralaga,fc barcelona,1.9,800000.0,2024-2025,laliga
diego kochen,fc barcelona,1.9,500000.0,2024-2025,laliga
aron yaakobishvili,fc barcelona,1.85,300000.0,2024-2025,laliga
pau cubarsi,fc barcelona,1.84,80000000.0,2024-2025,laliga
ronald araujo,fc barcelona,1.92,35000000.0,2024-2025,laliga
eric garcia,fc barcelona,1.82,18000000.0,2024-2025,laliga
andreas christensen,fc barcelona,1.87,12000000.0,2024-2025,laliga
inigo martinez,fc barcelona,1.82,5000000.0,2024-2025,laliga
sergi dominguez,fc barcelona,1.91,1000000.0,2024-2025,laliga
alexis olmedo,fc barcelona,1.87,200000.0,2024-2025,laliga
andres cuenca,fc barcelona,1.81,200000.0,2024-2025,laliga
alvaro cortes,fc barcelona,1.89,150000.0,2024-2025,laliga
alejandro balde,fc barcelona,1.75,60000000.0,2024-2025,laliga
gerard martin,fc barcelona,1.86,12000000.0,2024-2025,laliga
alex valle,fc barcelona,1.78,6000000.0,2024-2025,laliga
jules kounde,fc barcelona,1.8,65000000.0,2024-2025,laliga
hector fort,fc barcelona,1.85,10000000.0,2024-2025,laliga
landry farre,fc barcelona,1.78,300000.0,2024-2025,laliga
marc casado,fc barcelona,1.72,30000000.0,2024-2025,laliga
marc bernal,fc barcelona,1.93,5000000.0,2024-2025,laliga
pedri,fc barcelona,1.74,140000000.0,2024-2025,laliga
gavi,fc barcelona,1.73,60000000.0,2024-2025,laliga
frenkie de jong,fc barcelona,1.81,45000000.0,2024-2025,laliga
guille fernandez,fc barcelona,1.81,3000000.0,2024-2025,laliga
dani olmo,fc barcelona,1.79,60000000.0,2024-2025,laliga
fermin lopez,fc barcelona,1.74,50000000.0,2024-2025,laliga
pablo torre,fc barcelona,1.73,6000000.0,2024-2025,laliga
noah darvich,fc barcelona,1.84,2000000.0,2024-2025,laliga
raphinha,fc barcelona,1.76,90000000.0,2024-2025,laliga
ansu fati,fc barcelona,1.78,5000000.0,2024-2025,laliga
dani rodriguez,fc barcelona,1.7,200000.0,2024-2025,laliga
lamine yamal,fc barcelona,1.8,200000000.0,2024-2025,laliga
toni fernandez,fc barcelona,1.75,3000000.0,2024-2025,laliga
ferran torres,fc barcelona,1.84,40000000.0,2024-2025,laliga
robert lewandowski,fc barcelona,1.85,12000000.0,2024-2025,laliga
pau victor,fc barcelona,1.84,4000000.0,2024-2025,laliga
jan oblak,atletico de madrid,1.88,20000000.0,2024-2025,laliga
