Player,Pos,Squad,Height,Value,Season,Competition
gianluigi donnarumma,Goalkeeper,Paris Saint-Germain,1.96,45000000.0,2022-2023,ligue-1
keylor navas,Goalkeeper,Paris Saint-Germain,1.85,4000000.0,2022-2023,ligue-1
sergio rico,Goalkeeper,Paris Saint-Germain,1.96,3000000.0,2022-2023,ligue-1
lucas lavallee,Goalkeeper,Paris Saint-Germain,1.87,300000.0,2022-2023,ligue-1
alexandre letellier,Goalkeeper,Paris Saint-Germain,1.93,300000.0,2022-2023,ligue-1
marquinhos,Centre-Back,Paris Saint-Germain,1.83,65000000.0,2022-2023,ligue-1
presnel kimpembe,Centre-Back,Paris Saint-Germain,1.83,28000000.0,2022-2023,ligue-1
abdou diallo,Centre-Back,Paris Saint-Germain,1.86,10000000.0,2022-2023,ligue-1
danilo pereira,Centre-Back,Paris Saint-Germain,1.88,10000000.0,2022-2023,ligue-1
el chadaille bitshiabu,Centre-Back,Paris Saint-Germain,1.96,7000000.0,2022-2023,ligue-1
sergio ramos,Centre-Back,Paris Saint-Germain,1.84,4500000.0,2022-2023,ligue-1
nehemiah fernandez,Centre-Back,Paris Saint-Germain,1.84,250000.0,2022-2023,ligue-1
nuno mendes,Left-Back,Paris Saint-Germain,1.8,65000000.0,2022-2023,ligue-1
juan bernat,Left-Back,Paris Saint-Germain,1.7,10000000.0,2022-2023,ligue-1
serif nhaga,Left-Back,Paris Saint-Germain,1.76,,2022-2023,ligue-1
achraf hakimi,Right-Back,Paris Saint-Germain,1.81,65000000.0,2022-2023,ligue-1
nordi mukiele,Right-Back,Paris Saint-Germain,1.87,18000000.0,2022-2023,ligue-1
timothee pembele,Right-Back,Paris Saint-Germain,1.83,5000000.0,2022-2023,ligue-1
hugo lamy,Right-Back,Paris Saint-Germain,1.78,250000.0,2022-2023,ligue-1
leandro paredes,Defensive Midfield,Paris Saint-Germain,1.8,12000000.0,2022-2023,ligue-1
idrissa gueye,Defensive Midfield,Paris Saint-Germain,1.74,5000000.0,2022-2023,ligue-1
vitinha,Central Midfield,Paris Saint-Germain,1.72,42000000.0,2022-2023,ligue-1
marco verratti,Central Midfield,Paris Saint-Germain,1.65,40000000.0,2022-2023,ligue-1
fabian ruiz,Central Midfield,Paris Saint-Germain,1.89,32000000.0,2022-2023,ligue-1
carlos soler,Central Midfield,Paris Saint-Germain,1.8,25000000.0,2022-2023,ligue-1
warren zaireemery,Central Midfield,Paris Saint-Germain,1.78,20000000.0,2022-2023,ligue-1
renato sanches,Central Midfield,Paris Saint-Germain,1.76,15000000.0,2022-2023,ligue-1
ayman kari,Central Midfield,Paris Saint-Germain,1.76,1000000.0,2022-2023,ligue-1
neymar,Attacking Midfield,Paris Saint-Germain,1.75,60000000.0,2022-2023,ligue-1
ismael gharbi,Left Winger,Paris Saint-Germain,1.73,5000000.0,2022-2023,ligue-1
lionel messi,Right Winger,Paris Saint-Germain,1.7,35000000.0,2022-2023,ligue-1
