Player,Pos,Squad,Height,Value,Season,Competition
ederson,Goalkeeper,Manchester City,1.88,35000000.0,2023-2024,premier-league
stefan ortega,Goalkeeper,Manchester City,1.85,9000000.0,2023-2024,premier-league
zack steffen,Goalkeeper,Manchester City,1.91,2000000.0,2023-2024,premier-league
true grant,Goalkeeper,Manchester City,,500000.0,2023-2024,premier-league
scott carson,Goalkeeper,Manchester City,1.88,200000.0,2023-2024,premier-league
ruben dias,Centre-Back,Manchester City,1.87,80000000.0,2023-2024,premier-league
manuel akanji,Centre-Back,Manchester City,1.88,45000000.0,2023-2024,premier-league
nathan ake,Centre-Back,Manchester City,1.8,40000000.0,2023-2024,premier-league
john stones,Centre-Back,Manchester City,1.88,38000000.0,2023-2024,premier-league
taylor harwoodbellis,Centre-Back,Manchester City,1.88,22000000.0,2023-2024,premier-league
aymeric laporte,Centre-Back,Manchester City,1.91,20000000.0,2023-2024,premier-league
max alleyne,Centre-Back,Manchester City,1.85,500000.0,2023-2024,premier-league
josko gvardiol,Left-Back,Manchester City,1.85,75000000.0,2023-2024,premier-league
josh wilsonesbrand,Left-Back,Manchester City,1.76,4000000.0,2023-2024,premier-league
rico lewis,Right-Back,Manchester City,1.7,38000000.0,2023-2024,premier-league
kyle walker,Right-Back,Manchester City,1.83,13000000.0,2023-2024,premier-league
issa kabore,Right-Back,Manchester City,1.8,10000000.0,2023-2024,premier-league
rodri,Defensive Midfield,Manchester City,1.91,120000000.0,2023-2024,premier-league
kalvin phillips,Defensive Midfield,Manchester City,1.79,25000000.0,2023-2024,premier-league
maximo perrone,Defensive Midfield,Manchester City,1.77,9000000.0,2023-2024,premier-league
mahamadou susoho,Defensive Midfield,Manchester City,1.75,1500000.0,2023-2024,premier-league
jacob wright,Defensive Midfield,Manchester City,1.78,800000.0,2023-2024,premier-league
matheus nunes,Central Midfield,Manchester City,1.83,50000000.0,2023-2024,premier-league
mateo kovacic,Central Midfield,Manchester City,1.77,30000000.0,2023-2024,premier-league
cole palmer,Attacking Midfield,Manchester City,1.85,80000000.0,2023-2024,premier-league
bernardo silva,Attacking Midfield,Manchester City,1.73,70000000.0,2023-2024,premier-league
kevin de bruyne,Attacking Midfield,Manchester City,1.81,50000000.0,2023-2024,premier-league
james mcatee,Attacking Midfield,Manchester City,1.8,12000000.0,2023-2024,premier-league
jeremy doku,Left Winger,Manchester City,1.73,65000000.0,2023-2024,premier-league
jack grealish,Left Winger,Manchester City,1.8,60000000.0,2023-2024,premier-league
sergio gomez,Left Winger,Manchester City,1.71,10000000.0,2023-2024,premier-league
micah hamilton,Left Winger,Manchester City,1.77,2000000.0,2023-2024,premier-league
phil foden,Right Winger,Manchester City,1.71,150000000.0,2023-2024,premier-league
oscar bobb,Right Winger,Manchester City,1.75,25000000.0,2023-2024,premier-league
erling haaland,Centre-Forward,Manchester City,1.95,180000000.0,2023-2024,premier-league
julian alvarez,Centre-Forward,Manchester City,1.7,90000000.0,2023-2024,premier-league
david raya,Goalkeeper,Arsenal FC,1.83,35000000.0,2023-2024,premier-league
aaron ramsdale,Goalkeeper,Arsenal FC,1.9,25000000.0,2023-2024,premier-league
matt turner,Goalkeeper,Arsenal FC,1.91,7000000.0,2023-2024,premier-league
karl hein,Goalkeeper,Arsenal FC,1.93,2000000.0,2023-2024,premier-league
arthur okonkwo,Goalkeeper,Arsenal FC,1.98,1800000.0,2023-2024,premier-league
william saliba,Centre-Back,Arsenal FC,1.92,80000000.0,2023-2024,premier-league
gabriel magalhaes,Centre-Back,Arsenal FC,1.9,70000000.0,2023-2024,premier-league
jakub kiwior,Centre-Back,Arsenal FC,1.89,30000000.0,2023-2024,premier-league
rob holding,Centre-Back,Arsenal FC,1.89,5000000.0,2023-2024,premier-league
ayden heaven,Centre-Back,Arsenal FC,1.89,300000.0,2023-2024,premier-league
oleksandr zinchenko,Left-Back,Arsenal FC,1.75,38000000.0,2023-2024,premier-league
kieran tierney,Left-Back,Arsenal FC,1.8,12000000.0,2023-2024,premier-league
lino sousa,Left-Back,Arsenal FC,1.85,2000000.0,2023-2024,premier-league
myles lewisskelly,Left-Back,Arsenal FC,1.78,2000000.0,2023-2024,premier-league
ben white,Right-Back,Arsenal FC,1.86,55000000.0,2023-2024,premier-league
jurrien timber,Right-Back,Arsenal FC,1.79,38000000.0,2023-2024,premier-league
takehiro tomiyasu,Right-Back,Arsenal FC,1.88,35000000.0,2023-2024,premier-league
reuell walters,Right-Back,Arsenal FC,1.86,4000000.0,2023-2024,premier-league
cedric soares,Right-Back,Arsenal FC,1.71,2000000.0,2023-2024,premier-league
james sweet,Right-Back,Arsenal FC,1.8,250000.0,2023-2024,premier-league
thomas partey,Defensive Midfield,Arsenal FC,1.85,18000000.0,2023-2024,premier-league
jorginho,Defensive Midfield,Arsenal FC,1.8,12000000.0,2023-2024,premier-league
mohamed elneny,Defensive Midfield,Arsenal FC,1.79,3500000.0,2023-2024,premier-league
bradley ibrahim,Defensive Midfield,Arsenal FC,1.85,400000.0,2023-2024,premier-league
declan rice,Central Midfield,Arsenal FC,1.88,120000000.0,2023-2024,premier-league
albert sambi lokonga,Central Midfield,Arsenal FC,1.83,15000000.0,2023-2024,premier-league
mauro bandeira,Central Midfield,Arsenal FC,1.78,200000.0,2023-2024,premier-league
martin degaard,Attacking Midfield,Arsenal FC,1.78,110000000.0,2023-2024,premier-league
emile smith rowe,Attacking Midfield,Arsenal FC,1.82,22000000.0,2023-2024,premier-league
fabio vieira,Attacking Midfield,Arsenal FC,1.7,22000000.0,2023-2024,premier-league
gabriel martinelli,Left Winger,Arsenal FC,1.78,70000000.0,2023-2024,premier-league
leandro trossard,Left Winger,Arsenal FC,1.72,35000000.0,2023-2024,premier-league
charles sagoe jr,Left Winger,Arsenal FC,,600000.0,2023-2024,premier-league
bukayo saka,Right Winger,Arsenal FC,1.78,140000000.0,2023-2024,premier-league
reiss nelson,Right Winger,Arsenal FC,1.75,15000000.0,2023-2024,premier-league
ethan nwaneri,Right Winger,Arsenal FC,1.76,8000000.0,2023-2024,premier-league
amario cozierduberry,Right Winger,Arsenal FC,1.7,2000000.0,2023-2024,premier-league
kai havertz,Centre-Forward,Arsenal FC,1.93,70000000.0,2023-2024,premier-league
gabriel jesus,Centre-Forward,Arsenal FC,1.75,65000000.0,2023-2024,premier-league
eddie nketiah,Centre-Forward,Arsenal FC,1.75,30000000.0,2023-2024,premier-league
robert sanchez,Goalkeeper,Chelsea FC,1.97,20000000.0,2023-2024,premier-league
djordje petrovic,Goalkeeper,Chelsea FC,1.94,20000000.0,2023-2024,premier-league
marcus bettinelli,Goalkeeper,Chelsea FC,1.93,1000000.0,2023-2024,premier-league
lucas bergstrom,Goalkeeper,Chelsea FC,2.05,700000.0,2023-2024,premier-league
teddy sharmanlowe,Goalkeeper,Chelsea FC,1.89,300000.0,2023-2024,premier-league
eddie beach,Goalkeeper,Chelsea FC,1.96,250000.0,2023-2024,premier-league
