nombre,club_actual,altura,valor,temporada,liga
ederson,manchester city,1.88,20000000.0,2024-2025,premier-league
stefan ortega,manchester city,1.85,8000000.0,2024-2025,premier-league
marcus bettinelli,manchester city,1.93,600000.0,2024-2025,premier-league
scott carson,manchester city,1.88,100000.0,2024-2025,premier-league
spike brits,manchester city,,,2024-2025,premier-league
max hudson,manchester city,1.91,,2024-2025,premier-league
ruben dias,manchester city,1.87,65000000.0,2024-2025,premier-league
abdukodir khusanov,manchester city,1.86,35000000.0,2024-2025,premier-league
vitor reis,manchester city,1.86,30000000.0,2024-2025,premier-league
manuel akanji,manchester city,1.88,28000000.0,2024-2025,premier-league
john stones,manchester city,1.88,25000000.0,2024-2025,premier-league
nathan ake,manchester city,1.8,25000000.0,2024-2025,premier-league
jahmai simpsonpusey,manchester city,1.87,5000000.0,2024-2025,premier-league
max alleyne,manchester city,1.85,500000.0,2024-2025,premier-league
kaden braithwaite,manchester city,,,2024-2025,premier-league
josko gvardiol,manchester city,1.85,75000000.0,2024-2025,premier-league
rayan aitnouri,manchester city,1.8,35000000.0,2024-2025,premier-league
josh wilsonesbrand,manchester city,1.76,4000000.0,2024-2025,premier-league
rico lewis,manchester city,1.7,40000000.0,2024-2025,premier-league
kyle walker,manchester city,1.83,4000000.0,2024-2025,premier-league
issa kabore,manchester city,1.8,4000000.0,2024-2025,premier-league
rodri,manchester city,1.91,110000000.0,2024-2025,premier-league
kalvin phillips,manchester city,1.79,12000000.0,2024-2025,premier-league
jacob wright,manchester city,1.78,800000.0,2024-2025,premier-league
tijjani reijnders,manchester city,1.85,60000000.0,2024-2025,premier-league
nico gonzalez,manchester city,1.88,40000000.0,2024-2025,premier-league
matheus nunes,manchester city,1.83,35000000.0,2024-2025,premier-league
mateo kovacic,manchester city,1.77,20000000.0,2024-2025,premier-league
ilkay gundogan,manchester city,1.8,5000000.0,2024-2025,premier-league
bernardo silva,manchester city,1.73,38000000.0,2024-2025,premier-league
kevin de bruyne,manchester city,1.81,20000000.0,2024-2025,premier-league
james mcatee,manchester city,1.8,20000000.0,2024-2025,premier-league
claudio echeverri,manchester city,1.7,18000000.0,2024-2025,premier-league
nico oreilly,manchester city,1.93,18000000.0,2024-2025,premier-league
jeremy doku,manchester city,1.73,50000000.0,2024-2025,premier-league
jack grealish,manchester city,1.8,28000000.0,2024-2025,premier-league
phil foden,manchester city,1.71,100000000.0,2024-2025,premier-league
savinho,manchester city,1.76,50000000.0,2024-2025,premier-league
rayan cherki,manchester city,1.77,45000000.0,2024-2025,premier-league
oscar bobb,manchester city,1.75,25000000.0,2024-2025,premier-league
farid alfaruprecht,manchester city,1.81,,2024-2025,premier-league
erling haaland,manchester city,1.95,180000000.0,2024-2025,premier-league
omar marmoush,manchester city,1.83,75000000.0,2024-2025,premier-league
divin mubama,manchester city,1.83,4000000.0,2024-2025,premier-league
robert sanchez,chelsea fc,1.97,20000000.0,2024-2025,premier-league
filip jrgensen,chelsea fc,1.92,18000000.0,2024-2025,premier-league
mike penders,chelsea fc,2.0,12000000.0,2024-2025,premier-league
gabriel slonina,chelsea fc,1.93,3500000.0,2024-2025,premier-league
lucas bergstrom,chelsea fc,2.05,700000.0,2024-2025,premier-league
marcus bettinelli,chelsea fc,1.93,600000.0,2024-2025,premier-league
max merrick,chelsea fc,,,2024-2025,premier-league
ted curd,chelsea fc,1.9,,2024-2025,premier-league
levi colwill,chelsea fc,1.87,55000000.0,2024-2025,premier-league
renato veiga,chelsea fc,1.9,25000000.0,2024-2025,premier-league
trevoh chalobah,chelsea fc,1.92,25000000.0,2024-2025,premier-league
wesley fofana,chelsea fc,1.85,25000000.0,2024-2025,premier-league
axel disasi,chelsea fc,1.91,22000000.0,2024-2025,premier-league
benoit badiashile,chelsea fc,1.94,22000000.0,2024-2025,premier-league
tosin adarabioyo,chelsea fc,1.97,20000000.0,2024-2025,premier-league
mamadou sarr,chelsea fc,1.94,20000000.0,2024-2025,premier-league
aaron anselmino,chelsea fc,1.86,8000000.0,2024-2025,premier-league
harrison murraycampbell,chelsea fc,1.89,500000.0,2024-2025,premier-league
kaiden wilson,chelsea fc,,,2024-2025,premier-league
marc cucurella,chelsea fc,1.73,35000000.0,2024-2025,premier-league
ben chilwell,chelsea fc,1.8,15000000.0,2024-2025,premier-league
ishe samuelssmith,chelsea fc,1.86,700000.0,2024-2025,premier-league
malo gusto,chelsea fc,1.78,35000000.0,2024-2025,premier-league
reece james,chelsea fc,1.8,30000000.0,2024-2025,premier-league
josh acheampong,chelsea fc,1.85,8000000.0,2024-2025,premier-league
genesis antwi,chelsea fc,,350000.0,2024-2025,premier-league
richard olise,chelsea fc,1.73,,2024-2025,premier-league
moises caicedo,chelsea fc,1.78,90000000.0,2024-2025,premier-league
romeo lavia,chelsea fc,1.81,40000000.0,2024-2025,premier-league
dario essugo,chelsea fc,1.78,20000000.0,2024-2025,premier-league
sam raksakyi,chelsea fc,,800000.0,2024-2025,premier-league
landon emenalo,chelsea fc,1.8,,2024-2025,premier-league
enzo fernandez,chelsea fc,1.78,75000000.0,2024-2025,premier-league
andrey santos,chelsea fc,1.8,35000000.0,2024-2025,premier-league
kiernan dewsburyhall,chelsea fc,1.76,20000000.0,2024-2025,premier-league
carney chukwuemeka,chelsea fc,1.88,18000000.0,2024-2025,premier-league
cesare casadei,chelsea fc,1.92,15000000.0,2024-2025,premier-league
mathis amougou,chelsea fc,1.77,10000000.0,2024-2025,premier-league
kiano dyer,chelsea fc,1.78,,2024-2025,premier-league
reggie walsh,chelsea fc,1.76,,2024-2025,premier-league
cole palmer,chelsea fc,1.85,120000000.0,2024-2025,premier-league
harvey vale,chelsea fc,1.81,1500000.0,2024-2025,premier-league
jadon sancho,chelsea fc,1.8,28000000.0,2024-2025,premier-league
tyrique george,chelsea fc,1.81,10000000.0,2024-2025,premier-league
mykhaylo mudryk,chelsea fc,1.75,,2024-2025,premier-league
pedro neto,chelsea fc,1.74,50000000.0,2024-2025,premier-league
noni madueke,chelsea fc,1.82,40000000.0,2024-2025,premier-league
ato ampah,chelsea fc,1.91,,2024-2025,premier-league
joao felix,chelsea fc,1.81,20000000.0,2024-2025,premier-league
joao pedro,chelsea fc,1.82,50000000.0,2024-2025,premier-league
nicolas jackson,chelsea fc,1.87,50000000.0,2024-2025,premier-league
liam delap,chelsea fc,1.86,40000000.0,2024-2025,premier-league
christopher nkunku,chelsea fc,1.77,35000000.0,2024-2025,premier-league
deivid washington,chelsea fc,1.87,8000000.0,2024-2025,premier-league
marc guiu,chelsea fc,1.87,8000000.0,2024-2025,premier-league
david datro fofana,chelsea fc,1.82,6000000.0,2024-2025,premier-league
shumaira mheuka,chelsea fc,1.85,800000.0,2024-2025,premier-league
david raya,arsenal fc,1.83,40000000.0,2024-2025,premier-league
aaron ramsdale,arsenal fc,1.9,16000000.0,2024-2025,premier-league
neto,arsenal fc,1.9,1500000.0,2024-2025,premier-league
jack porter,arsenal fc,1.87,400000.0,2024-2025,premier-league
alexei rojas,arsenal fc,1.87,250000.0,2024-2025,premier-league
tommy setford,arsenal fc,1.85,,2024-2025,premier-league
william saliba,arsenal fc,1.92,80000000.0,2024-2025,premier-league
