Player,Pos,Squad,Height,Value,Season,Competition
yann sommer,Goalkeeper,Inter Milan,1.83,5000000.0,2023-2024,serie-a
emil audero,Goalkeeper,Inter Milan,1.92,5000000.0,2023-2024,serie-a
raffaele di gennaro,Goalkeeper,Inter Milan,1.88,300000.0,2023-2024,serie-a
alessandro calligaris,Goalkeeper,Inter Milan,,150000.0,2023-2024,serie-a
alessandro bastoni,Centre-Back,Inter Milan,1.9,70000000.0,2023-2024,serie-a
benjamin pavard,Centre-Back,Inter Milan,1.86,50000000.0,2023-2024,serie-a
yann bisseck,Centre-Back,Inter Milan,1.96,16000000.0,2023-2024,serie-a
stefan de vrij,Centre-Back,Inter Milan,1.89,7000000.0,2023-2024,serie-a
francesco acerbi,Centre-Back,Inter Milan,1.92,3500000.0,2023-2024,serie-a
giacomo stabile,Centre-Back,Inter Milan,1.87,50000.0,2023-2024,serie-a
federico dimarco,Left-Back,Inter Milan,1.75,50000000.0,2023-2024,serie-a
carlos augusto,Left-Back,Inter Milan,1.84,22000000.0,2023-2024,serie-a
matteo motta,Left-Back,Inter Milan,,100000.0,2023-2024,serie-a
denzel dumfries,Right-Back,Inter Milan,1.88,24000000.0,2023-2024,serie-a
matteo darmian,Right-Back,Inter Milan,1.83,4000000.0,2023-2024,serie-a
tommaso guercio,Right-Back,Inter Milan,1.86,300000.0,2023-2024,serie-a
hakan calhanoglu,Defensive Midfield,Inter Milan,1.78,45000000.0,2023-2024,serie-a
kristjan asllani,Defensive Midfield,Inter Milan,1.79,18000000.0,2023-2024,serie-a
lucien agoume,Defensive Midfield,Inter Milan,1.85,6000000.0,2023-2024,serie-a
aleksandar stankovic,Defensive Midfield,Inter Milan,1.85,1000000.0,2023-2024,serie-a
nicolo barella,Central Midfield,Inter Milan,1.75,80000000.0,2023-2024,serie-a
davide frattesi,Central Midfield,Inter Milan,1.78,35000000.0,2023-2024,serie-a
henrikh mkhitaryan,Central Midfield,Inter Milan,1.77,6000000.0,2023-2024,serie-a
davy klaassen,Central Midfield,Inter Milan,1.79,4000000.0,2023-2024,serie-a
stefano sensi,Central Midfield,Inter Milan,1.68,3000000.0,2023-2024,serie-a
ebenezer akinsanmiro,Central Midfield,Inter Milan,1.84,1800000.0,2023-2024,serie-a
tajon buchanan,Right Midfield,Inter Milan,1.83,8000000.0,2023-2024,serie-a
juan cuadrado,Right Midfield,Inter Milan,1.76,1000000.0,2023-2024,serie-a
issiaka kamate,Right Winger,Inter Milan,1.86,1000000.0,2023-2024,serie-a
joaquin correa,Second Striker,Inter Milan,1.88,6000000.0,2023-2024,serie-a
lautaro martinez,Centre-Forward,Inter Milan,1.74,110000000.0,2023-2024,serie-a
marcus thuram,Centre-Forward,Inter Milan,1.92,65000000.0,2023-2024,serie-a
marko arnautovic,Centre-Forward,Inter Milan,1.92,4000000.0,2023-2024,serie-a
alexis sanchez,Centre-Forward,Inter Milan,1.69,2500000.0,2023-2024,serie-a
amadou sarr,Centre-Forward,Inter Milan,1.9,150000.0,2023-2024,serie-a
mike maignan,Goalkeeper,AC Milan,1.91,38000000.0,2023-2024,serie-a
marco sportiello,Goalkeeper,AC Milan,1.92,1500000.0,2023-2024,serie-a
noah raveyre,Goalkeeper,AC Milan,,200000.0,2023-2024,serie-a
lapo nava,Goalkeeper,AC Milan,1.97,150000.0,2023-2024,serie-a
antonio mirante,Goalkeeper,AC Milan,1.93,100000.0,2023-2024,serie-a
andrea bartoccioni,Goalkeeper,AC Milan,1.96,50000.0,2023-2024,serie-a
lorenzo torriani,Goalkeeper,AC Milan,1.97,10000.0,2023-2024,serie-a
fikayo tomori,Centre-Back,AC Milan,1.85,40000000.0,2023-2024,serie-a
malick thiaw,Centre-Back,AC Milan,1.94,25000000.0,2023-2024,serie-a
pierre kalulu,Centre-Back,AC Milan,1.82,20000000.0,2023-2024,serie-a
matteo gabbia,Centre-Back,AC Milan,1.85,8000000.0,2023-2024,serie-a
jancarlo simic,Centre-Back,AC Milan,1.86,5000000.0,2023-2024,serie-a
marco pellegrino,Centre-Back,AC Milan,1.84,3500000.0,2023-2024,serie-a
simon kjaer,Centre-Back,AC Milan,1.91,1500000.0,2023-2024,serie-a
mattia caldara,Centre-Back,AC Milan,1.87,800000.0,2023-2024,serie-a
clinton nsiala,Centre-Back,AC Milan,1.89,200000.0,2023-2024,serie-a
theo hernandez,Left-Back,AC Milan,1.84,60000000.0,2023-2024,serie-a
davide bartesaghi,Left-Back,AC Milan,1.93,1000000.0,2023-2024,serie-a
davide calabria,Right-Back,AC Milan,1.76,13000000.0,2023-2024,serie-a
filippo terracciano,Right-Back,AC Milan,1.86,4500000.0,2023-2024,serie-a
alex jimenez,Right-Back,AC Milan,1.77,4000000.0,2023-2024,serie-a
alessandro florenzi,Right-Back,AC Milan,1.73,2000000.0,2023-2024,serie-a
ismael bennacer,Defensive Midfield,AC Milan,1.75,30000000.0,2023-2024,serie-a
yacine adli,Defensive Midfield,AC Milan,1.86,15000000.0,2023-2024,serie-a
rade krunic,Defensive Midfield,AC Milan,1.84,6000000.0,2023-2024,serie-a
tijjani reijnders,Central Midfield,AC Milan,1.85,30000000.0,2023-2024,serie-a
ruben loftuscheek,Central Midfield,AC Milan,1.91,25000000.0,2023-2024,serie-a
yunus musah,Central Midfield,AC Milan,1.78,22000000.0,2023-2024,serie-a
tommaso pobega,Central Midfield,AC Milan,1.88,10000000.0,2023-2024,serie-a
kevin zeroli,Central Midfield,AC Milan,1.87,2000000.0,2023-2024,serie-a
victor eletu,Attacking Midfield,AC Milan,1.76,400000.0,2023-2024,serie-a
rafael leao,Left Winger,AC Milan,1.88,90000000.0,2023-2024,serie-a
noah okafor,Left Winger,AC Milan,1.85,20000000.0,2023-2024,serie-a
chaka traore,Left Winger,AC Milan,1.75,1500000.0,2023-2024,serie-a
diego sia,Left Winger,AC Milan,,,2023-2024,serie-a
christian pulisic,Right Winger,AC Milan,1.77,40000000.0,2023-2024,serie-a
samuel chukwueze,Right Winger,AC Milan,1.72,20000000.0,2023-2024,serie-a
luka romero,Right Winger,AC Milan,1.69,5000000.0,2023-2024,serie-a
francesco camarda,Centre-Forward,AC Milan,1.89,10000000.0,2023-2024,serie-a
luka jovic,Centre-Forward,AC Milan,1.82,7000000.0,2023-2024,serie-a
lorenzo colombo,Centre-Forward,AC Milan,1.83,6000000.0,2023-2024,serie-a
olivier giroud,Centre-Forward,AC Milan,1.92,3000000.0,2023-2024,serie-a
alex meret,Goalkeeper,SSC Napoli,1.9,12000000.0,2023-2024,serie-a
pierluigi gollini,Goalkeeper,SSC Napoli,1.94,4000000.0,2023-2024,serie-a
