Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
paxten aaronson,Eint Frankfurt,5,1,7,8,50.0,2022-2023,bundesliga
sargis adamyan,Köln,17,4,13,40,32.4,2022-2023,bundesliga
karim adeyemi,Dortmund,21,1,25,66,71.4,2022-2023,bundesliga
amine adli,Leverkusen,39,4,18,61,41.4,2022-2023,bundesliga
felix agu,Werder Bremen,3,0,1,3,50.0,2022-2023,bundesliga
naouirou ahamada,Stuttgart,16,1,6,88,30.4,2022-2023,bundesliga
ludovic ajorque,Mainz 05,23,5,4,50,51.7,2022-2023,bundesliga
kevin akpoguma,Hoffenheim,33,0,8,131,55.9,2022-2023,bundesliga
lucas alario,Eint Frankfurt,9,5,0,10,47.7,2022-2023,bundesliga
faride alidou,Eint Frankfurt,8,2,7,16,22.2,2022-2023,bundesliga
eder alvarez balanta,Schalke 04,5,0,2,18,80.0,2022-2023,bundesliga
lukas ambros,Wolfsburg,0,0,0,1,,2022-2023,bundesliga
nadiem amiri,Leverkusen,14,4,16,75,9.1,2022-2023,bundesliga
robert andrich,Leverkusen,35,0,4,153,56.6,2022-2023,bundesliga
angelino,Hoffenheim,12,7,179,148,35.7,2022-2023,bundesliga
waldemar anton,Stuttgart,31,1,31,231,52.4,2022-2023,bundesliga
christopher antwiadjei,Bochum,24,15,63,109,26.2,2022-2023,bundesliga
charles aranguiz,Leverkusen,7,0,12,33,22.2,2022-2023,bundesliga
maximilian arnold,Wolfsburg,33,0,154,225,50.0,2022-2023,bundesliga
takuma asano,Bochum,10,7,28,82,40.4,2022-2023,bundesliga
fisnik asllani,Hoffenheim,2,2,3,4,46.2,2022-2023,bundesliga
mehmet aydin,Schalke 04,6,0,23,49,43.3,2022-2023,bundesliga
ayman azhil,Leverkusen,0,0,0,0,,2022-2023,bundesliga
sardar azmoun,Leverkusen,17,8,0,33,32.4,2022-2023,bundesliga
sanoussy ba,RB Leipzig,0,0,0,0,,2022-2023,bundesliga
mitchel bakker,Leverkusen,18,2,26,114,48.0,2022-2023,bundesliga
ridle baku,Wolfsburg,27,4,70,156,41.5,2022-2023,bundesliga
aymen barkok,Mainz 05,17,0,12,52,51.7,2022-2023,bundesliga
leandro barreiro martins,Mainz 05,48,3,6,142,47.6,2022-2023,bundesliga
gil bastiao dias,Stuttgart,6,2,6,30,46.7,2022-2023,bundesliga
maximilian bauer,Augsburg,24,1,2,105,58.2,2022-2023,bundesliga
oliver baumann,Hoffenheim,0,0,0,71,100.0,2022-2023,bundesliga
timo baumgartl,Union Berlin,11,0,6,41,65.5,2022-2023,bundesliga
julian baumgartlinger,Augsburg,5,0,2,39,43.8,2022-2023,bundesliga
christoph baumgartner,Hoffenheim,66,9,29,142,49.0,2022-2023,bundesliga
noah joel sarenren bazee,Augsburg,1,0,0,1,0.0,2022-2023,bundesliga
ihlas bebou,Hoffenheim,22,8,11,65,34.1,2022-2023,bundesliga
sheraldo becker,Union Berlin,29,25,139,86,24.6,2022-2023,bundesliga
kevin behrens,Union Berlin,35,12,8,43,54.8,2022-2023,bundesliga
stefan bell,Mainz 05,47,4,15,191,61.3,2022-2023,bundesliga
karim bellarabi,Leverkusen,2,2,8,4,,2022-2023,bundesliga
jude bellingham,Dortmund,41,3,33,198,50.7,2022-2023,bundesliga
ramy bensebaini,Gladbach,25,3,31,174,62.4,2022-2023,bundesliga
mergim berisha,Augsburg,28,16,77,47,37.9,2022-2023,bundesliga
ermin bicakcic,Hoffenheim,1,1,1,10,45.0,2022-2023,bundesliga
tom bischof,Hoffenheim,9,0,7,16,28.6,2022-2023,bundesliga
leonardo bittencourt,Werder Bremen,43,3,49,115,34.4,2022-2023,bundesliga
janis blaswich,RB Leipzig,1,0,0,46,100.0,2022-2023,bundesliga
daley blind,Bayern Munich,1,0,1,7,66.7,2022-2023,bundesliga
kevinprince boateng,Hertha BSC,23,0,7,27,54.3,2022-2023,bundesliga
jeanpaul boetius,Hertha BSC,14,0,5,76,23.8,2022-2023,bundesliga
yvandro borges sanches,Gladbach,1,0,2,3,,2022-2023,bundesliga
sebastiaan bornauw,Wolfsburg,24,0,3,112,58.0,2022-2023,bundesliga
rafael borre,Eint Frankfurt,23,19,22,45,37.9,2022-2023,bundesliga
julian brandt,Dortmund,9,5,165,138,27.3,2022-2023,bundesliga
fabian bredlow,Stuttgart,1,0,0,29,,2022-2023,bundesliga
josip brekalo,Wolfsburg,2,1,13,14,0.0,2022-2023,bundesliga
john brooks,Hoffenheim,21,2,0,106,68.1,2022-2023,bundesliga
moritz broschinski,Bochum,3,0,3,16,42.1,2022-2023,bundesliga
cedric brunner,Schalke 04,33,0,61,136,48.1,2022-2023,bundesliga
jacob bruun larsen,Hoffenheim,1,4,4,7,37.5,2022-2023,bundesliga
lee buchanan,Werder Bremen,6,1,18,42,53.3,2022-2023,bundesliga
marius bulter,Schalke 04,26,7,118,134,43.4,2022-2023,bundesliga
delano burgzorg,Mainz 05,4,3,1,4,8.3,2022-2023,bundesliga
jonathan burkardt,Mainz 05,6,3,11,13,34.8,2022-2023,bundesliga
oliver burke,Werder Bremen,3,3,6,7,35.3,2022-2023,bundesliga
aurelio buta,Eint Frankfurt,31,1,62,66,37.5,2022-2023,bundesliga
anthony caci,Mainz 05,19,0,71,154,38.5,2022-2023,bundesliga
kerim calhanoglu,Schalke 04,3,0,2,3,33.3,2022-2023,bundesliga
daniel caligiuri,Augsburg,5,0,11,33,50.0,2022-2023,bundesliga
emre can,Dortmund,30,0,4,167,67.4,2022-2023,bundesliga
joao cancelo,Bayern Munich,10,3,35,84,57.1,2022-2023,bundesliga
irvin cardona,Augsburg,2,1,9,9,27.3,2022-2023,bundesliga
koen casteels,Wolfsburg,0,0,0,63,80.0,2022-2023,bundesliga
julian chabot,Köln,29,2,3,124,66.2,2022-2023,bundesliga
timothy chandler,Eint Frankfurt,0,0,3,5,100.0,2022-2023,bundesliga
fabio chiarodia,Werder Bremen,0,0,0,1,50.0,2022-2023,bundesliga
oliver christensen,Hertha BSC,0,0,0,51,66.7,2022-2023,bundesliga
darko churlinov,Stuttgart,0,0,0,0,0.0,2022-2023,bundesliga
tolga cigerci,Hertha BSC,13,0,22,71,47.6,2022-2023,bundesliga
david colina,Augsburg,1,0,6,20,20.0,2022-2023,bundesliga
kingsley coman,Bayern Munich,9,5,74,71,52.4,2022-2023,bundesliga
danny da costa,Mainz 05,8,4,52,81,62.1,2022-2023,bundesliga
soumaila coulibaly,Dortmund,1,0,0,1,100.0,2022-2023,bundesliga
tanguy coulibaly,Stuttgart,8,3,10,26,0.0,2022-2023,bundesliga
nicolas cozza,Wolfsburg,0,0,0,6,100.0,2022-2023,bundesliga
moanes dabbur,Hoffenheim,12,10,6,44,24.1,2022-2023,bundesliga
finn dahmen,Mainz 05,0,0,0,18,87.5,2022-2023,bundesliga
mahmoud dahoud,Dortmund,3,0,3,24,25.0,2022-2023,bundesliga
muhammed damar,Hoffenheim,6,0,2,12,50.0,2022-2023,bundesliga
marton dardai,Hertha BSC,11,0,1,52,50.0,2022-2023,bundesliga
vladimir darida,Hertha BSC,1,0,0,1,0.0,2022-2023,bundesliga
alphonso davies,Bayern Munich,9,3,25,199,50.0,2022-2023,bundesliga
thomas delaney,Hoffenheim,3,0,3,25,73.3,2022-2023,bundesliga
kerem demirbay,Leverkusen,31,0,90,100,45.0,2022-2023,bundesliga
ermedin demirovic,Augsburg,49,11,19,83,38.4,2022-2023,bundesliga
sepp van den berg,Schalke 04,4,0,0,45,48.3,2022-2023,bundesliga
moussa diaby,Leverkusen,18,10,95,87,9.1,2022-2023,bundesliga
abdou diallo,RB Leipzig,3,1,1,40,52.2,2022-2023,bundesliga
justin diehl,Köln,0,1,0,0,,2022-2023,bundesliga
florian dietz,Köln,11,1,4,8,66.7,2022-2023,bundesliga
junior dina ebimbe,Eint Frankfurt,15,2,8,73,53.5,2022-2023,bundesliga
eren dinkci,Werder Bremen,5,2,4,7,27.8,2022-2023,bundesliga
ritsu doan,Freiburg,29,6,30,127,18.8,2022-2023,bundesliga
danilho doekhi,Union Berlin,20,0,10,103,55.5,2022-2023,bundesliga
kasper dolberg,Hoffenheim,5,2,1,6,50.0,2022-2023,bundesliga
niklas dorsch,Augsburg,10,0,1,38,41.7,2022-2023,bundesliga
dion drena beljo,Augsburg,26,7,5,38,45.6,2022-2023,bundesliga
dominick drexler,Schalke 04,26,2,47,89,44.0,2022-2023,bundesliga
marvin ducksch,Werder Bremen,3,12,164,98,42.4,2022-2023,bundesliga
ondrej duda,Köln,16,1,12,43,31.3,2022-2023,bundesliga
julien duranville,Dortmund,1,0,7,1,,2022-2023,bundesliga
maximilian eggestein,Freiburg,31,1,12,142,53.3,2022-2023,bundesliga
lilian egloff,Stuttgart,3,0,2,13,42.9,2022-2023,bundesliga
kingsley ehizibue,Köln,2,0,0,5,100.0,2022-2023,bundesliga
julian eitschberger,Hertha BSC,0,0,0,0,,2022-2023,bundesliga
chidera ejuke,Hertha BSC,2,1,16,66,62.5,2022-2023,bundesliga
nico elvedi,Gladbach,24,1,0,149,59.7,2022-2023,bundesliga
wataru endo,Stuttgart,40,3,7,231,57.8,2022-2023,bundesliga
arne engels,Augsburg,26,0,101,74,40.0,2022-2023,bundesliga
tjark ernst,Hertha BSC,0,0,0,0,,2022-2023,bundesliga
kimberly ezekwem,Freiburg,0,0,0,1,0.0,2022-2023,bundesliga
ralf fahrmann,Schalke 04,0,0,0,21,100.0,2022-2023,bundesliga
ohis felix uduokhai,Augsburg,21,0,1,85,48.3,2022-2023,bundesliga
edimilson fernandes,Mainz 05,29,0,80,228,47.5,2022-2023,bundesliga
kilian fischer,Wolfsburg,8,0,12,24,25.0,2022-2023,bundesliga
mark flekken,Freiburg,0,0,0,69,100.0,2022-2023,bundesliga
florian flick,Schalke 04,6,0,1,32,66.7,2022-2023,bundesliga
emil forsberg,RB Leipzig,22,7,17,59,41.4,2022-2023,bundesliga
philipp forster,Bochum,28,0,77,90,41.2,2022-2023,bundesliga
timothy fosumensah,Leverkusen,3,1,4,12,50.0,2022-2023,bundesliga
raphael framberger,Augsburg,4,0,4,8,71.4,2022-2023,bundesliga
bartol franjic,Wolfsburg,1,0,1,12,62.5,2022-2023,bundesliga
oscar fraulo,Gladbach,0,0,0,3,,2022-2023,bundesliga
michael frey,Schalke 04,30,8,8,26,41.7,2022-2023,bundesliga
marco friedl,Werder Bremen,24,2,27,247,49.5,2022-2023,bundesliga
marvin friedrich,Gladbach,3,0,1,67,57.7,2022-2023,bundesliga
jeremie frimpong,Leverkusen,22,8,70,118,34.3,2022-2023,bundesliga
chris fuhrich,Stuttgart,6,3,50,104,23.1,2022-2023,bundesliga
angelo fulgini,Mainz 05,7,1,7,30,25.0,2022-2023,bundesliga
niclas fullkrug,Werder Bremen,33,27,20,84,54.1,2022-2023,bundesliga
cristian gamboa,Bochum,14,2,43,91,57.1,2022-2023,bundesliga
silvere ganvoula mboussy,Bochum,2,5,1,4,58.5,2022-2023,bundesliga
dario gebuhr,Eint Frankfurt,0,0,0,1,,2022-2023,bundesliga
dennis geiger,Hoffenheim,42,1,49,115,30.8,2022-2023,bundesliga
yannick gerhardt,Wolfsburg,18,2,18,87,35.5,2022-2023,bundesliga
niko gieelmann,Union Berlin,16,0,88,60,53.8,2022-2023,bundesliga
rafa gikiewicz,Augsburg,0,0,0,58,85.7,2022-2023,bundesliga
matthias ginter,Freiburg,23,1,8,184,63.3,2022-2023,bundesliga
jamie gittens,Dortmund,9,0,6,23,47.4,2022-2023,bundesliga
serge gnabry,Bayern Munich,33,9,39,91,36.7,2022-2023,bundesliga
jacek goralski,Bochum,1,0,0,7,0.0,2022-2023,bundesliga
leon goretzka,Bayern Munich,23,3,10,140,66.7,2022-2023,bundesliga
mario gotze,Eint Frankfurt,25,3,102,167,9.5,2022-2023,bundesliga
jeffrey gouweleeuw,Augsburg,36,2,8,214,55.5,2022-2023,bundesliga
ryan gravenberch,Bayern Munich,9,0,6,57,40.0,2022-2023,bundesliga
michael gregoritsch,Freiburg,25,13,13,71,48.5,2022-2023,bundesliga
leo greiml,Schalke 04,12,0,3,21,66.7,2022-2023,bundesliga
vincenzo grifo,Freiburg,7,5,135,155,47.1,2022-2023,bundesliga
lennart grill,Union Berlin,0,0,0,5,100.0,2022-2023,bundesliga
christian gro,Werder Bremen,53,1,6,155,46.4,2022-2023,bundesliga
brajan gruda,Mainz 05,1,0,1,1,,2022-2023,bundesliga
ilia gruev,Werder Bremen,27,0,11,117,43.2,2022-2023,bundesliga
carlos gruezo,Augsburg,12,0,2,71,40.9,2022-2023,bundesliga
raphael guerreiro,Dortmund,8,2,114,177,29.4,2022-2023,bundesliga
josuha guilavogui,Wolfsburg,29,2,2,95,57.3,2022-2023,bundesliga
serhou guirassy,Stuttgart,17,10,6,43,51.9,2022-2023,bundesliga
peter gulacsi,RB Leipzig,0,0,0,12,,2022-2023,bundesliga
manuel gulde,Freiburg,9,0,4,37,52.4,2022-2023,bundesliga
robert gumny,Augsburg,32,1,27,107,50.6,2022-2023,bundesliga
christian gunter,Freiburg,32,6,198,121,31.0,2022-2023,bundesliga
josko gvardiol,RB Leipzig,20,1,4,167,55.8,2022-2023,bundesliga
janik haberer,Union Berlin,34,1,14,144,42.7,2022-2023,bundesliga
alexander hack,Mainz 05,25,1,2,87,50.8,2022-2023,bundesliga
andre hahn,Augsburg,8,1,6,19,46.4,2022-2023,bundesliga
amadou haidara,RB Leipzig,29,0,3,103,43.6,2022-2023,bundesliga
sebastien haller,Dortmund,13,4,3,32,51.2,2022-2023,bundesliga
marcel halstenberg,RB Leipzig,19,0,45,102,61.9,2022-2023,bundesliga
andreas hancheolsen,Mainz 05,22,0,6,117,63.3,2022-2023,bundesliga
genki haraguchi,Stuttgart,4,0,8,38,33.3,2022-2023,bundesliga
genki haraguchi,Union Berlin,4,0,4,19,53.3,2022-2023,bundesliga
makoto hasebe,Eint Frankfurt,7,0,2,98,38.5,2022-2023,bundesliga
thorgan hazard,Dortmund,14,4,37,44,33.3,2022-2023,bundesliga
jonas hector,Köln,23,1,114,221,62.9,2022-2023,bundesliga
dominique heintz,Bochum,11,0,8,54,60.0,2022-2023,bundesliga
benjamin henrichs,RB Leipzig,37,3,47,169,61.1,2022-2023,bundesliga
lucas hernandez,Bayern Munich,4,0,2,33,66.7,2022-2023,bundesliga
patrick herrmann,Gladbach,4,0,12,16,28.6,2022-2023,bundesliga
piero hincapie,Leverkusen,40,1,26,177,55.1,2022-2023,bundesliga
adam hlozek,Leverkusen,19,1,15,37,35.8,2022-2023,bundesliga
nicolas hofler,Freiburg,66,1,1,204,56.6,2022-2023,bundesliga
jonas hofmann,Gladbach,17,23,203,141,32.3,2022-2023,bundesliga
philipp hofmann,Bochum,46,16,4,82,55.6,2022-2023,bundesliga
lucas holer,Freiburg,21,9,11,60,58.8,2022-2023,bundesliga
gerrit holtmann,Bochum,7,3,52,57,42.4,2022-2023,bundesliga
jannes horn,Bochum,1,0,0,2,,2022-2023,bundesliga
lukas hradecky,Leverkusen,1,0,0,37,100.0,2022-2023,bundesliga
timo hubers,Köln,31,1,2,232,59.1,2022-2023,bundesliga
callum hudsonodoi,Leverkusen,2,2,12,26,0.0,2022-2023,bundesliga
mats hummels,Dortmund,18,2,6,137,64.0,2022-2023,bundesliga
denis huseinbasic,Köln,14,0,12,55,36.8,2022-2023,bundesliga
iago,Augsburg,13,1,43,97,34.2,2022-2023,bundesliga
arijon ibrahimovic,Bayern Munich,0,0,0,1,100.0,2022-2023,bundesliga
marcus ingvartsen,Mainz 05,33,9,6,48,35.3,2022-2023,bundesliga
ko itakura,Gladbach,11,0,2,108,59.2,2022-2023,bundesliga
hiroki ito,Stuttgart,16,3,53,219,55.9,2022-2023,bundesliga
andreas ivan,Schalke 04,1,0,0,1,,2022-2023,bundesliga
lee jaesung,Mainz 05,18,6,32,133,46.4,2022-2023,bundesliga
paul jaeckel,Union Berlin,16,0,3,69,46.3,2022-2023,bundesliga
kristijan jakic,Eint Frankfurt,18,1,10,135,49.2,2022-2023,bundesliga
saidy janko,Bochum,20,0,22,70,31.3,2022-2023,bundesliga
tony jantschke,Gladbach,2,0,1,1,80.0,2022-2023,bundesliga
fredrik jensen,Augsburg,15,3,31,29,36.5,2022-2023,bundesliga
moritz jenz,Schalke 04,19,2,1,62,64.2,2022-2023,bundesliga
stevan jovetic,Hertha BSC,8,6,8,35,33.3,2022-2023,bundesliga
anthony jung,Werder Bremen,23,1,46,174,56.1,2022-2023,bundesliga
josip juranovic,Union Berlin,2,3,74,63,30.0,2022-2023,bundesliga
ozan kabak,Hoffenheim,55,0,6,144,60.6,2022-2023,bundesliga
pavel kaderabek,Hoffenheim,24,2,74,72,48.9,2022-2023,bundesliga
florian kainz,Köln,30,1,251,151,22.5,2022-2023,bundesliga
sasa kalajdzic,Stuttgart,6,0,0,2,50.0,2022-2023,bundesliga
daichi kamada,Eint Frankfurt,40,7,50,142,34.6,2022-2023,bundesliga
jakub kaminski,Wolfsburg,9,3,35,98,32.5,2022-2023,bundesliga
marcin kaminski,Schalke 04,1,0,3,41,63.0,2022-2023,bundesliga
kevin kampl,RB Leipzig,22,1,4,117,26.9,2022-2023,bundesliga
wilfried kanga,Hertha BSC,18,11,8,25,46.5,2022-2023,bundesliga
kenan karaman,Schalke 04,12,7,22,34,58.2,2022-2023,bundesliga
atakan karazor,Stuttgart,24,0,0,173,59.8,2022-2023,bundesliga
thomas kastanaras,Stuttgart,0,0,1,3,0.0,2022-2023,bundesliga
silas katompa,Stuttgart,38,15,33,77,50.0,2022-2023,bundesliga
yannik keitel,Freiburg,21,0,4,35,40.0,2022-2023,bundesliga
marcoliver kempf,Hertha BSC,27,0,2,190,60.8,2022-2023,bundesliga
jonjoe kenny,Hertha BSC,29,0,54,146,54.3,2022-2023,bundesliga
rani khedira,Union Berlin,52,0,11,194,59.5,2022-2023,bundesliga
luca kilian,Köln,7,0,1,62,54.8,2022-2023,bundesliga
joshua kimmich,Bayern Munich,22,0,240,262,33.3,2022-2023,bundesliga
pascal klemens,Hertha BSC,0,0,0,8,50.0,2022-2023,bundesliga
lukas klostermann,RB Leipzig,6,1,4,72,45.5,2022-2023,bundesliga
ansgar knauff,Eint Frankfurt,15,2,29,97,36.0,2022-2023,bundesliga
robin knoche,Union Berlin,14,0,5,246,49.5,2022-2023,bundesliga
gregor kobel,Dortmund,0,0,0,43,100.0,2022-2023,bundesliga
dominik kohr,Mainz 05,45,1,5,205,46.1,2022-2023,bundesliga
randal kolo muani,Eint Frankfurt,50,21,25,96,43.2,2022-2023,bundesliga
timothee kolodziejczak,Schalke 04,0,0,1,0,0.0,2022-2023,bundesliga
manu kone,Gladbach,52,0,6,221,39.0,2022-2023,bundesliga
odilon kossounou,Leverkusen,17,1,4,123,63.0,2022-2023,bundesliga
filip kostic,Eint Frankfurt,1,0,7,3,,2022-2023,bundesliga
tomas koubek,Augsburg,0,0,0,27,100.0,2022-2023,bundesliga
soichiro kozuki,Schalke 04,7,0,15,18,27.3,2022-2023,bundesliga
alex kral,Schalke 04,21,3,27,158,49.0,2022-2023,bundesliga
andrej kramaric,Hoffenheim,9,9,47,119,33.3,2022-2023,bundesliga
christoph kramer,Gladbach,37,4,11,109,46.2,2022-2023,bundesliga
tom krau,Schalke 04,46,0,16,223,44.3,2022-2023,bundesliga
max kruse,Wolfsburg,3,0,6,9,85.7,2022-2023,bundesliga
lukas kubler,Freiburg,18,1,33,101,59.5,2022-2023,bundesliga
pierre kunde,Bochum,3,1,8,42,40.0,2022-2023,bundesliga
alou kuol,Stuttgart,0,0,0,0,0.0,2022-2023,bundesliga
daniel kyereh,Freiburg,12,3,3,25,50.0,2022-2023,bundesliga
maxence lacroix,Wolfsburg,19,0,3,85,60.2,2022-2023,bundesliga
aissa laidouni,Union Berlin,12,1,11,73,41.2,2022-2023,bundesliga
konrad laimer,RB Leipzig,30,2,12,121,15.0,2022-2023,bundesliga
stefan lainer,Gladbach,10,1,18,45,50.0,2022-2023,bundesliga
vassilis lambropoulos,Bochum,8,0,0,33,52.9,2022-2023,bundesliga
jordan larsson,Schalke 04,7,1,2,23,35.3,2022-2023,bundesliga
danny latza,Schalke 04,13,0,20,60,40.0,2022-2023,bundesliga
diogo leite,Union Berlin,44,1,4,144,58.3,2022-2023,bundesliga
maxim leitsch,Mainz 05,3,0,0,35,58.1,2022-2023,bundesliga
tim lemperle,Köln,2,0,1,15,33.3,2022-2023,bundesliga
christopher lenz,Eint Frankfurt,19,0,93,94,38.9,2022-2023,bundesliga
jamie leweling,Union Berlin,6,1,10,19,11.1,2022-2023,bundesliga
philipp lienhart,Freiburg,17,1,1,155,61.5,2022-2023,bundesliga
matthijs de ligt,Bayern Munich,19,2,2,165,60.0,2022-2023,bundesliga
dimitris limnios,Köln,0,0,6,1,33.3,2022-2023,bundesliga
jesper lindstrm,Eint Frankfurt,19,3,46,94,20.0,2022-2023,bundesliga
dejan ljubicic,Köln,26,5,42,117,29.0,2022-2023,bundesliga
anthony losilla,Bochum,47,3,10,203,54.8,2022-2023,bundesliga
dodi lukebakio,Hertha BSC,33,17,65,121,33.3,2022-2023,bundesliga
andrey lunyov,Leverkusen,0,0,0,1,,2022-2023,bundesliga
arne maier,Augsburg,12,2,64,118,41.4,2022-2023,bundesliga
linton maina,Köln,17,18,87,104,3.7,2022-2023,bundesliga
donyell malen,Dortmund,12,3,69,51,35.3,2022-2023,bundesliga
sadio mane,Bayern Munich,16,21,22,42,55.0,2022-2023,bundesliga
myziane maolida,Hertha BSC,1,0,1,3,0.0,2022-2023,bundesliga
omar marmoush,Wolfsburg,29,13,25,74,48.9,2022-2023,bundesliga
eric martel,Köln,40,0,20,154,52.8,2022-2023,bundesliga
aaron martin,Mainz 05,28,2,145,104,7.1,2022-2023,bundesliga
erhan masovic,Bochum,24,0,2,146,46.0,2022-2023,bundesliga
henning matriciani,Schalke 04,19,0,20,120,57.1,2022-2023,bundesliga
konstantinos mavropanos,Stuttgart,24,1,6,183,70.4,2022-2023,bundesliga
philipp max,Eint Frankfurt,6,1,60,31,45.5,2022-2023,bundesliga
eric maxim choupomoting,Bayern Munich,4,11,3,28,46.2,2022-2023,bundesliga
keke maximilian topp,Schalke 04,1,0,1,0,100.0,2022-2023,bundesliga
ibrahim maza,Hertha BSC,1,0,0,2,0.0,2022-2023,bundesliga
noussair mazraoui,Bayern Munich,16,3,22,46,51.5,2022-2023,bundesliga
noah mbamba,Leverkusen,0,0,0,0,,2022-2023,bundesliga
jeanmanuel mbom,Werder Bremen,1,0,0,0,0.0,2022-2023,bundesliga
nathanael mbuku,Augsburg,0,0,1,2,,2022-2023,bundesliga
thomas meunier,Dortmund,12,1,16,44,70.0,2022-2023,bundesliga
alexander meyer,Dortmund,0,0,0,14,100.0,2022-2023,bundesliga
sven michel,Union Berlin,13,4,17,29,35.2,2022-2023,bundesliga
enzo millot,Stuttgart,16,1,23,46,34.8,2022-2023,bundesliga
maximilian mittelstadt,Hertha BSC,13,0,39,84,38.5,2022-2023,bundesliga
anthony modeste,Dortmund,14,6,2,15,47.1,2022-2023,bundesliga
tobias mohr,Schalke 04,5,0,87,51,40.0,2022-2023,bundesliga
clinton mola,Stuttgart,0,0,1,1,50.0,2022-2023,bundesliga
florent mollet,Schalke 04,4,2,9,25,8.3,2022-2023,bundesliga
youssoufa moukoko,Dortmund,8,1,5,36,55.6,2022-2023,bundesliga
florian muller,Stuttgart,0,0,0,39,100.0,2022-2023,bundesliga
thomas muller,Bayern Munich,9,5,31,70,61.9,2022-2023,bundesliga
jamal musiala,Bayern Munich,23,1,11,144,50.0,2022-2023,bundesliga
marlon mustapha,Mainz 05,3,1,0,4,33.3,2022-2023,bundesliga
obite ndicka,Eint Frankfurt,31,0,4,193,61.6,2022-2023,bundesliga
nathan ngoumou,Gladbach,7,3,20,28,66.7,2022-2023,bundesliga
stanley nsoki,Hoffenheim,13,0,1,117,64.7,2022-2023,bundesliga
nikolas nartey,Stuttgart,5,1,9,34,60.0,2022-2023,bundesliga
luca netz,Gladbach,5,1,6,43,40.0,2022-2023,bundesliga
manuel neuer,Bayern Munich,0,0,0,21,100.0,2022-2023,bundesliga
florian neuhaus,Gladbach,10,2,7,76,23.1,2022-2023,bundesliga
jessic ngankam,Hertha BSC,19,1,2,24,21.2,2022-2023,bundesliga
florian niederlechner,Augsburg,13,8,4,28,42.6,2022-2023,bundesliga
florian niederlechner,Hertha BSC,8,10,4,25,31.6,2022-2023,bundesliga
justin njinmah,Dortmund,0,0,0,1,,2022-2023,bundesliga
christopher nkunku,RB Leipzig,18,12,17,59,39.5,2022-2023,bundesliga
felix nmecha,Wolfsburg,29,1,7,117,59.5,2022-2023,bundesliga
lukas nmecha,Wolfsburg,6,8,2,19,47.2,2022-2023,bundesliga
