Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
keyliane abdallah,Marseille,0,0,0,0,,2024-2025,ligue1
yunis abdelhamid,Saint-Étienne,16,0,0,42,65.5,2024-2025,ligue1
himad abdelli,Angers,48,3,44,193,39.4,2024-2025,ligue1
mohamed abdelmoneim,Nice,9,0,2,50,62.0,2024-2025,ligue1
ali abdi,Nice,27,5,51,72,61.1,2024-2025,ligue1
matthis abline,Nantes,34,5,30,83,45.7,2024-2025,ligue1
abner,Lyon,16,0,31,45,43.8,2024-2025,ligue1
zakaria aboukhlal,Toulouse,35,13,33,61,36.7,2024-2025,ligue1
akor adams,Montpellier,17,16,5,24,50.9,2024-2025,ligue1
martin adeline,Reims,0,0,0,0,0.0,2024-2025,ligue1
adryelson,Lyon,0,0,0,0,100.0,2024-2025,ligue1
emmanuel agbadou,Reims,13,0,1,85,62.1,2024-2025,ligue1
jeremy agbonifo,Lens,14,2,7,9,10.0,2024-2025,ligue1
ruben aguilar,Lens,14,5,47,79,38.5,2024-2025,ligue1
naouirou ahamada,Rennes,1,0,1,7,0.0,2024-2025,ligue1
jeaneudes aholou,Angers,50,1,2,100,62.3,2024-2025,ligue1
ayman aiki,Saint-Étienne,4,0,1,7,20.0,2024-2025,ligue1
ludovic ajorque,Brest,61,11,7,62,52.4,2024-2025,ligue1
umit akdag,Toulouse,8,0,3,24,72.0,2024-2025,ligue1
sergio akieme,Reims,25,1,94,109,42.2,2024-2025,ligue1
maghnes akliouche,Monaco,31,8,53,131,17.9,2024-2025,ligue1
paul akouokou,Lyon,3,0,0,0,,2024-2025,ligue1
clement akpa,Auxerre,15,0,25,116,55.1,2024-2025,ligue1
chuba akpom,Lille,11,2,1,11,60.7,2024-2025,ligue1
mohamed ali cho,Nice,12,9,51,69,32.5,2024-2025,ligue1
jim allevinah,Angers,18,10,34,88,29.4,2024-2025,ligue1
thiago almada,Lyon,10,1,47,56,33.3,2024-2025,ligue1
jordan amavi,Brest,15,0,15,35,71.4,2024-2025,ligue1
kelvin amian,Nantes,23,1,37,54,50.0,2024-2025,ligue1
michael amir murillo,Marseille,29,1,37,138,71.2,2024-2025,ligue1
samuel amoameyaw,Strasbourg,3,1,6,14,0.0,2024-2025,ligue1
mathis amougou,Saint-Étienne,6,0,1,37,20.0,2024-2025,ligue1
benjamin andre,Lille,50,3,16,189,53.4,2024-2025,ligue1
kyllian antonio,Lens,2,0,2,5,50.0,2024-2025,ligue1
dennis appiah,Saint-Étienne,37,2,52,90,46.6,2024-2025,ligue1
carlens arcus,Angers,38,1,55,81,55.4,2024-2025,ligue1
hakon arnar haraldsson,Lille,19,3,59,71,12.5,2024-2025,ligue1
marco asensio,Paris S-G,1,3,13,18,33.3,2024-2025,ligue1
lorenz assignon,Rennes,52,5,70,110,63.3,2024-2025,ligue1
dehmaine assoumani,Nantes,1,0,6,8,40.0,2024-2025,ligue1
valentin atangana edoa,Reims,57,8,17,117,58.0,2024-2025,ligue1
florian aye,Auxerre,10,3,2,14,26.0,2024-2025,ligue1
andre ayew,Le Havre,19,6,7,26,37.0,2024-2025,ligue1
neil el aynaoui,Lens,34,0,65,90,61.5,2024-2025,ligue1
shavy babicka,Toulouse,16,7,39,54,29.2,2024-2025,ligue1
juma bah,Lens,7,0,0,37,79.3,2024-2025,ligue1
theo bair,Auxerre,20,8,7,15,54.5,2024-2025,ligue1
mitchel bakker,Lille,18,4,68,46,23.1,2024-2025,ligue1
darryl bakola,Marseille,3,0,0,1,,2024-2025,ligue1
dilane bakwa,Strasbourg,29,5,153,92,57.9,2024-2025,ligue1
