Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
james abankwah,Udinese,2,0,0,2,100.0,2022-2023,serie-a
oliver abildgaard,Hellas Verona,13,0,5,37,70.4,2022-2023,serie-a
tammy abraham,Roma,33,11,11,46,51.9,2022-2023,serie-a
christian acella,Cremonese,0,0,0,1,,2022-2023,serie-a
francesco acerbi,Inter,17,2,22,151,65.0,2022-2023,serie-a
yacine adli,Milan,4,1,6,8,25.0,2022-2023,serie-a
michel aebischer,Bologna,22,7,21,68,28.6,2022-2023,serie-a
felix afenagyan,Cremonese,18,6,4,39,28.8,2022-2023,serie-a
kevin agudelo,Spezia,34,2,34,140,38.6,2022-2023,serie-a
ola aina,Torino,16,1,35,62,54.5,2022-2023,serie-a
emanuel aiwum,Cremonese,21,0,4,121,62.2,2022-2023,serie-a
jeandaniel akpaakpro,Empoli,31,0,11,76,47.1,2022-2023,serie-a
luis alberto,Lazio,15,2,147,162,38.1,2022-2023,serie-a
agustin alvarez,Sassuolo,8,2,4,20,40.0,2022-2023,serie-a
kelvin amian,Spezia,37,1,39,107,49.3,2022-2023,serie-a
bruno amione,Hellas Verona,3,0,0,5,100.0,2022-2023,serie-a
bruno amione,Sampdoria,24,0,5,121,61.3,2022-2023,serie-a
ethan ampadu,Spezia,44,1,11,203,60.4,2022-2023,serie-a
sofyan amrabat,Fiorentina,54,0,26,157,45.8,2022-2023,serie-a
felipe anderson,Lazio,40,7,50,142,40.0,2022-2023,serie-a
janis antiste,Sassuolo,4,0,0,4,66.7,2022-2023,serie-a
marcos antonio,Lazio,9,0,0,42,0.0,2022-2023,serie-a
valentin antov,Monza,4,0,2,24,35.3,2022-2023,serie-a
marko arnautovic,Bologna,22,11,9,36,45.5,2022-2023,serie-a
tolgay arslan,Udinese,15,0,28,78,66.7,2022-2023,serie-a
santiago ascacibar,Cremonese,11,0,5,62,33.3,2022-2023,serie-a
kristoffer askildsen,Lecce,20,1,19,45,52.5,2022-2023,serie-a
kristjan asllani,Inter,5,0,21,37,0.0,2022-2023,serie-a
emil audero,Sampdoria,0,0,0,41,100.0,2022-2023,serie-a
tommaso augello,Sampdoria,14,1,170,183,54.3,2022-2023,serie-a
carlos augusto,Monza,41,6,54,157,63.3,2022-2023,serie-a
kaan ayhan,Sassuolo,4,0,0,28,22.2,2022-2023,serie-a
jaime baez,Cremonese,1,1,9,5,100.0,2022-2023,serie-a
nedim bajrami,Empoli,6,3,35,49,22.2,2022-2023,serie-a
nedim bajrami,Sassuolo,6,6,57,44,33.3,2022-2023,serie-a
tiemoue bakayoko,Milan,3,0,0,6,50.0,2022-2023,serie-a
tommaso baldanzi,Empoli,12,1,21,69,25.0,2022-2023,serie-a
fode ballotoure,Milan,5,0,17,33,72.2,2022-2023,serie-a
lameck banda,Lecce,31,11,51,82,17.9,2022-2023,serie-a
filippo bandinelli,Empoli,53,0,91,138,34.5,2022-2023,serie-a
antonin barak,Hellas Verona,0,0,1,2,,2022-2023,serie-a
antonin barak,Fiorentina,13,3,14,76,36.7,2022-2023,serie-a
andrea barberis,Monza,1,0,4,16,50.0,2022-2023,serie-a
tommaso barbieri,Juventus,5,0,7,2,0.0,2022-2023,serie-a
francesco bardi,Bologna,0,0,0,0,,2022-2023,serie-a
nicolo barella,Inter,32,9,84,178,57.1,2022-2023,serie-a
enzo barrenechea,Juventus,3,0,0,9,50.0,2022-2023,serie-a
musa barrow,Bologna,20,5,103,80,26.1,2022-2023,serie-a
federico baschirotto,Lecce,37,0,14,204,58.7,2022-2023,serie-a
toma basic,Lazio,12,1,20,32,70.0,2022-2023,serie-a
alberto basso,Cremonese,0,0,0,0,100.0,2022-2023,serie-a
alessandro bastoni,Inter,19,1,49,117,62.9,2022-2023,serie-a
simone bastoni,Spezia,29,2,103,87,57.1,2022-2023,serie-a
brian bayeye,Torino,1,0,2,12,0.0,2022-2023,serie-a
rodrigo becao,Udinese,38,6,19,157,69.2,2022-2023,serie-a
julius beck,Spezia,1,0,0,1,0.0,2022-2023,serie-a
raoul bellanova,Inter,4,2,32,25,50.0,2022-2023,serie-a
andrea belotti,Roma,21,7,6,24,37.1,2022-2023,serie-a
marco benassi,Fiorentina,1,0,7,10,60.0,2022-2023,serie-a
marco benassi,Cremonese,10,0,24,71,25.0,2022-2023,serie-a
ismael bennacer,Milan,36,1,79,186,50.0,2022-2023,serie-a
domenico berardi,Sassuolo,33,8,83,84,38.2,2022-2023,serie-a
bartosz bereszynski,Sampdoria,13,0,31,68,62.1,2022-2023,serie-a
bartosz bereszynski,Napoli,2,0,0,14,66.7,2022-2023,serie-a
marco bertini,Lazio,0,0,0,0,,2022-2023,serie-a
beto,Udinese,36,9,9,31,52.2,2022-2023,serie-a
matteo bianchetti,Cremonese,18,0,3,137,61.2,2022-2023,serie-a
alessandro bianco,Fiorentina,7,0,1,8,50.0,2022-2023,serie-a
jaka bijol,Udinese,29,0,1,144,64.9,2022-2023,serie-a
cristiano biraghi,Fiorentina,29,1,300,137,43.2,2022-2023,serie-a
samuele birindelli,Monza,15,2,70,69,40.0,2022-2023,serie-a
kristijan bistrovic,Lecce,2,1,21,15,28.6,2022-2023,serie-a
alexis blin,Lecce,47,1,28,133,44.4,2022-2023,serie-a
jeremie boga,Atalanta,4,1,55,34,55.6,2022-2023,serie-a
emil bohinen,Salernitana,15,1,3,78,44.4,2022-2023,serie-a
giacomo bonaventura,Fiorentina,24,2,48,140,38.9,2022-2023,serie-a
