Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
nabil aberdin,Getafe,60,75.9,26,84.6,34,85.3,17,41.2,0.0,0.0,0.0,4,0,0,2023-2024,laliga
abner,Betis,615,77.2,394,89.1,265,76.6,79,46.8,1.0,1.0,0.0,20,7,2,2023-2024,laliga
abdel abqar,Alavés,553,72.6,164,86.0,339,89.1,225,44.0,0.2,0.2,-0.2,61,2,0,2023-2024,laliga
marcos acuna,Sevilla,628,74.1,297,87.5,328,79.9,183,51.4,1.5,2.1,0.5,52,19,12,2023-2024,laliga
julen agirrezabala,Athletic Club,67,67.0,19,100.0,27,100.0,53,39.6,0.0,0.0,0.0,2,0,0,2023-2024,laliga
lucien agoume,Sevilla,301,83.6,163,86.5,135,88.9,42,73.8,0.6,0.3,-0.6,36,5,1,2023-2024,laliga
joseph aidoo,Celta Vigo,145,78.4,46,89.1,102,82.4,35,54.3,0.1,0.0,-0.1,8,1,0,2023-2024,laliga
ilias akhomach,Villarreal,372,77.3,275,86.9,133,75.9,28,50.0,2.6,2.5,-0.6,20,24,6,2023-2024,laliga
sergio akieme,Almería,620,77.4,346,90.8,298,82.9,111,43.2,2.2,2.1,-2.2,30,14,12,2023-2024,laliga
paul akouokou,Betis,16,94.1,8,87.5,7,100.0,1,100.0,0.0,0.0,0.0,0,0,0,2023-2024,laliga
david alaba,Real Madrid,810,89.6,464,96.3,330,90.0,84,58.3,0.7,0.8,0.3,56,5,0,2023-2024,laliga
raul albiol,Villarreal,1095,86.1,325,90.8,714,92.9,206,63.1,0.8,0.6,0.2,64,1,0,2023-2024,laliga
ruben alcaraz,Cádiz,1271,80.3,637,90.6,558,87.3,303,55.1,1.4,1.6,-0.4,151,16,3,2023-2024,laliga
omar alderete,Getafe,678,64.2,199,77.9,441,79.6,384,43.5,1.0,0.8,0.0,98,14,1,2023-2024,laliga
ivan alejo,Cádiz,245,50.9,163,71.8,147,47.6,104,37.5,1.3,2.8,0.7,17,25,22,2023-2024,laliga
carles alena,Getafe,308,77.8,169,85.2,138,82.6,59,64.4,1.6,1.0,-0.6,31,3,2,2023-2024,laliga
mohamed ali cho,Real Sociedad,38,57.6,32,71.9,18,66.7,9,11.1,0.1,0.3,-0.1,1,0,0,2023-2024,laliga
tadeo allende,Celta Vigo,60,61.2,52,75.0,22,54.5,8,62.5,0.4,0.2,-0.4,5,2,1,2023-2024,laliga
domingos andre ribeiro almeida,Valencia,315,78.9,202,90.6,124,79.8,40,57.5,1.2,0.9,-0.2,29,10,0,2023-2024,laliga
marcos alonso,Barcelona,180,84.1,112,93.8,67,85.1,21,38.1,0.5,0.3,-0.5,10,3,1,2023-2024,laliga
adria altimira,Villarreal,389,83.7,208,86.5,193,88.1,42,73.8,0.1,0.2,-0.1,25,5,2,2023-2024,laliga
sergi altimira,Betis,289,90.3,154,92.2,116,94.8,36,83.3,0.3,0.3,-0.3,26,2,0,2023-2024,laliga
gaston alvarez,Getafe,754,74.1,339,87.3,438,81.3,197,43.7,0.6,0.4,-0.6,64,5,3,2023-2024,laliga
hugo alvarez,Celta Vigo,380,83.5,263,91.6,134,87.3,27,29.6,1.5,1.8,-0.5,19,15,3,2023-2024,laliga
yeray alvarez,Athletic Club,572,80.6,181,86.7,378,91.5,128,49.2,0.1,0.4,-0.1,38,3,0,2023-2024,laliga
selim amallah,Valencia,120,73.2,83,83.1,46,69.6,14,50.0,0.3,0.3,0.7,11,3,0,2023-2024,laliga
amath,Mallorca,76,67.3,55,76.4,38,63.2,8,75.0,0.4,0.3,-0.4,8,4,2,2023-2024,laliga
