Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
keyliane abdallah,Marseille,2,100.0,0,,2,100.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,ligue-1
yunis abdelhamid,Saint-Étienne,438,86.7,160,91.9,287,91.6,48,47.9,0.1,0.3,-0.1,28,0,0,2024-2025,ligue-1
himad abdelli,Angers,1373,82.1,807,88.0,612,86.8,151,54.3,3.2,3.7,-2.2,171,38,3,2024-2025,ligue-1
mohamed abdelmoneim,Nice,471,90.4,207,94.2,259,93.1,44,61.4,0.0,0.2,0.0,41,1,0,2024-2025,ligue-1
ali abdi,Nice,502,74.0,314,85.7,245,76.7,72,45.8,1.9,1.7,0.1,19,21,7,2024-2025,ligue-1
matthis abline,Nantes,351,65.2,256,72.3,160,74.4,38,52.6,3.8,3.4,-1.8,23,15,4,2024-2025,ligue-1
abner,Lyon,568,84.1,366,91.5,210,86.2,55,60.0,1.1,2.3,-0.1,45,11,2,2024-2025,ligue-1
zakaria aboukhlal,Toulouse,221,63.3,193,75.1,94,59.6,15,40.0,1.6,2.0,0.4,16,10,4,2024-2025,ligue-1
akor adams,Montpellier,112,62.6,101,71.3,49,65.3,10,30.0,1.0,0.1,0.0,8,0,0,2024-2025,ligue-1
martin adeline,Reims,8,80.0,3,100.0,4,75.0,2,50.0,0.0,0.0,0.0,1,0,0,2024-2025,ligue-1
adryelson,Lyon,1,33.3,1,0.0,2,50.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,ligue-1
emmanuel agbadou,Reims,810,87.9,316,92.7,417,95.9,174,63.2,0.3,0.3,-0.3,71,4,1,2024-2025,ligue-1
jeremy agbonifo,Lens,58,72.5,43,86.0,24,75.0,4,25.0,0.2,0.4,-0.2,4,4,2,2024-2025,ligue-1
ruben aguilar,Lens,677,80.3,487,88.3,238,77.3,54,63.0,1.9,1.4,0.1,44,21,6,2024-2025,ligue-1
naouirou ahamada,Rennes,17,77.3,11,72.7,9,100.0,2,0.0,0.0,0.0,0.0,2,0,0,2024-2025,ligue-1
jeaneudes aholou,Angers,644,84.3,361,88.6,322,89.1,47,44.7,1.0,0.7,-1.0,46,7,0,2024-2025,ligue-1
ayman aiki,Saint-Étienne,17,58.6,17,70.6,7,57.1,3,33.3,0.0,0.0,0.0,2,1,0,2024-2025,ligue-1
ludovic ajorque,Brest,462,68.9,354,71.8,198,74.2,48,72.9,3.1,1.8,-1.1,29,11,1,2024-2025,ligue-1
umit akdag,Toulouse,274,78.7,144,84.7,152,90.1,39,33.3,0.1,0.1,-0.1,18,1,0,2024-2025,ligue-1
sergio akieme,Reims,929,81.0,575,91.7,403,83.9,108,32.4,2.5,2.5,0.5,42,20,12,2024-2025,ligue-1
maghnes akliouche,Monaco,989,81.3,670,90.1,356,81.7,87,62.1,7.3,7.8,2.7,90,64,3,2024-2025,ligue-1
paul akouokou,Lyon,10,66.7,5,80.0,5,60.0,4,75.0,0.0,0.0,0.0,0,0,0,2024-2025,ligue-1
clement akpa,Auxerre,998,82.5,407,89.9,549,90.2,215,57.2,0.9,0.9,0.1,74,10,5,2024-2025,ligue-1
chuba akpom,Lille,67,67.7,54,81.5,21,57.1,4,75.0,0.5,0.4,0.5,1,4,0,2024-2025,ligue-1
mohamed ali cho,Nice,338,70.3,247,83.0,147,71.4,42,45.2,4.0,3.5,0.0,23,36,5,2024-2025,ligue-1
jim allevinah,Angers,363,75.2,256,85.5,157,70.7,31,61.3,2.5,1.7,0.5,28,13,3,2024-2025,ligue-1
thiago almada,Lyon,635,84.9,378,92.3,255,91.0,82,47.6,2.6,2.4,1.4,58,20,2,2024-2025,ligue-1
jordan amavi,Brest,386,73.4,214,85.0,237,73.8,50,42.0,0.2,0.4,-0.2,28,6,1,2024-2025,ligue-1
kelvin amian,Nantes,738,80.1,421,91.4,343,81.0,105,49.5,0.8,1.8,-0.8,60,24,12,2024-2025,ligue-1
michael amir murillo,Marseille,1665,87.5,867,93.7,865,89.0,93,54.8,3.3,2.9,-0.3,142,19,4,2024-2025,ligue-1
samuel amoameyaw,Strasbourg,106,86.2,60,91.7,47,89.4,7,42.9,0.6,0.9,-0.6,4,5,0,2024-2025,ligue-1
mathis amougou,Saint-Étienne,232,77.1,146,86.3,107,76.6,25,56.0,0.4,0.3,-0.4,23,4,0,2024-2025,ligue-1
benjamin andre,Lille,1586,83.0,862,89.6,737,86.3,208,66.3,1.9,2.7,1.1,207,18,3,2024-2025,ligue-1
kyllian antonio,Lens,81,83.5,37,97.3,41,90.2,12,41.7,0.0,0.0,0.0,2,0,0,2024-2025,ligue-1
dennis appiah,Saint-Étienne,903,76.6,541,87.8,447,81.7,122,38.5,2.1,2.2,-1.1,81,25,7,2024-2025,ligue-1
carlens arcus,Angers,810,79.4,448,89.3,419,79.2,111,62.2,1.4,1.4,-0.4,58,20,10,2024-2025,ligue-1
hakon arnar haraldsson,Lille,751,79.4,428,86.2,351,86.0,95,55.8,2.8,3.2,0.2,64,42,5,2024-2025,ligue-1
marco asensio,Paris S-G,291,86.9,196,93.4,93,86.0,26,73.1,2.7,1.7,1.3,31,4,1,2024-2025,ligue-1
lorenz assignon,Rennes,1015,78.0,609,85.1,531,80.6,83,49.4,3.5,3.7,0.5,70,28,12,2024-2025,ligue-1
dehmaine assoumani,Nantes,38,76.0,24,87.5,15,86.7,6,50.0,0.9,1.0,-0.9,1,2,2,2024-2025,ligue-1
valentin atangana edoa,Reims,908,86.0,532,91.9,417,89.7,49,46.9,1.1,0.7,-1.1,66,8,1,2024-2025,ligue-1
florian aye,Auxerre,95,73.6,80,78.8,29,75.9,4,75.0,0.1,0.1,-0.1,4,2,0,2024-2025,ligue-1
andre ayew,Le Havre,181,76.1,134,84.3,68,79.4,4,0.0,0.2,0.3,0.8,7,3,0,2024-2025,ligue-1
neil el aynaoui,Lens,816,84.5,469,92.1,327,87.5,99,57.6,2.0,2.4,-1.0,76,7,2,2024-2025,ligue-1
shavy babicka,Toulouse,196,67.1,155,76.1,85,70.6,15,33.3,1.6,1.9,0.4,8,13,5,2024-2025,ligue-1
