Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
yunis abdelhamid,Reims,1679,82.7,571,85.8,1117,90.1,279,55.6,1.0,0.9,1.0,155,5,0,2022-2023,ligue1
himad abdelli,Angers,1043,83.0,536,86.8,494,85.2,169,72.2,2.9,2.5,-0.9,124,26,8,2022-2023,ligue1
salis abdul samed,Lens,1819,91.8,964,93.0,811,94.8,117,78.6,1.6,2.3,-0.6,182,17,3,2022-2023,ligue1
laurent abergel,Lorient,1308,88.2,640,92.7,617,91.1,160,69.4,1.3,1.1,-0.3,144,11,0,2022-2023,ligue1
matthis abline,Auxerre,69,65.7,36,66.7,44,79.5,11,45.5,0.7,0.3,0.3,7,3,1,2022-2023,ligue1
matthis abline,Rennes,7,46.7,6,50.0,4,75.0,1,100.0,0.3,0.2,-0.3,1,1,0,2022-2023,ligue1
zakaria aboukhlal,Toulouse,576,74.1,447,83.4,208,76.0,29,41.4,3.3,2.8,1.7,30,22,4,2022-2023,ligue1
mohamed achi,Nantes,18,85.7,7,100.0,12,83.3,1,0.0,0.0,0.0,0.0,1,0,0,2022-2023,ligue1
martin adeline,Reims,29,70.7,18,66.7,14,78.6,3,33.3,0.0,0.0,0.0,2,0,0,2022-2023,ligue1
emmanuel agbadou,Reims,1281,85.8,413,87.2,764,92.3,284,71.1,2.4,1.7,0.6,112,15,1,2022-2023,ligue1
lucien agoume,Troyes,619,83.2,295,86.1,322,88.5,89,67.4,1.1,1.0,-0.1,62,15,2,2022-2023,ligue1
ruben aguilar,Monaco,696,82.2,394,89.3,343,84.8,68,52.9,0.9,1.2,-0.9,72,11,5,2022-2023,ligue1
amar ahmed,Troyes,6,60.0,5,60.0,4,50.0,0,,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
jeaneudes aholou,Strasbourg,447,75.5,255,81.2,230,77.8,68,55.9,1.1,1.3,-0.1,53,11,1,2022-2023,ligue1
ludovic ajorque,Strasbourg,178,69.8,137,75.2,79,69.6,16,68.8,0.8,0.8,-0.8,10,6,0,2022-2023,ligue1
maghnes akliouche,Monaco,130,77.4,91,85.7,46,73.9,7,42.9,0.5,0.5,-0.5,12,5,0,2022-2023,ligue1
dogan alemdar,Rennes,95,65.5,20,100.0,47,100.0,77,36.4,0.1,0.0,-0.1,2,0,0,2022-2023,ligue1
jim allevinah,Clermont Foot,658,77.6,453,85.7,273,79.1,62,40.3,2.0,2.5,-1.0,37,14,9,2022-2023,ligue1
mickael alphonse,Ajaccio,448,65.3,237,83.1,272,69.9,133,33.8,0.6,0.9,-0.6,43,10,5,2022-2023,ligue1
ibrahim amadou,Angers,161,84.7,56,91.1,99,93.9,25,52.0,0.1,0.0,-0.1,4,0,0,2022-2023,ligue1
ayoub amraoui,Nice,155,83.8,86,96.5,67,83.6,15,40.0,0.1,0.1,-0.1,10,2,2,2022-2023,ligue1
benjamin andre,Lille,1942,83.6,937,87.3,916,88.3,335,71.0,1.8,2.3,-0.8,297,24,0,2022-2023,ligue1
komnen andric,Clermont Foot,320,74.8,229,76.0,124,79.0,28,85.7,0.9,0.8,2.1,22,6,0,2022-2023,ligue1
houssem aouar,Lyon,299,80.8,179,89.4,127,79.5,36,66.7,1.1,0.8,-0.1,37,4,0,2022-2023,ligue1
adil aouchiche,Lorient,115,74.7,62,90.3,51,80.4,30,40.0,0.1,0.1,-0.1,15,3,0,2022-2023,ligue1
dennis appiah,Nantes,339,72.4,191,79.6,204,75.5,53,41.5,0.2,0.3,-0.2,30,7,4,2022-2023,ligue1
stredair appuah,Nantes,19,70.4,12,91.7,7,71.4,3,33.3,0.2,0.1,-0.2,0,1,0,2022-2023,ligue1
tairyk arconte,Brest,10,58.8,9,66.7,5,60.0,1,0.0,0.1,0.0,-0.1,0,0,0,2022-2023,ligue1
mohamed el arouch,Lyon,1,50.0,0,,1,100.0,1,0.0,0.0,0.0,0.0,1,0,0,2022-2023,ligue1
lorenz assignon,Rennes,127,81.9,72,83.3,70,85.7,11,54.5,0.3,0.3,0.7,8,0,0,2022-2023,ligue1
youcef atal,Nice,408,80.2,262,88.5,157,83.4,64,51.6,1.3,1.7,-1.3,28,16,7,2022-2023,ligue1
valentin atangana edoa,Reims,41,85.4,23,87.0,18,100.0,4,25.0,0.2,0.2,-0.2,4,1,1,2022-2023,ligue1
mathias autret,Auxerre,451,75.5,204,84.3,219,79.9,140,65.7,2.0,2.0,0.0,61,16,4,2022-2023,ligue1
cedric avinel,Ajaccio,607,85.0,194,89.7,388,89.2,108,65.7,0.0,0.1,0.0,13,0,0,2022-2023,ligue1
loic bade,Rennes,52,88.1,10,80.0,36,97.2,13,69.2,0.1,0.0,0.9,2,0,0,2022-2023,ligue1
benoit badiashile,Monaco,403,86.1,137,89.8,235,89.4,83,72.3,0.4,0.8,-0.4,46,3,0,2022-2023,ligue1
eric bailly,Marseille,231,84.3,82,87.8,141,83.7,45,84.4,0.0,0.0,0.0,17,0,0,2022-2023,ligue1
denys bain,Auxerre,52,92.9,18,100.0,36,88.9,2,100.0,0.0,0.0,0.0,1,0,0,2022-2023,ligue1
brandon baiye,Clermont Foot,27,84.4,15,93.3,13,76.9,2,100.0,0.1,0.1,-0.1,1,0,0,2022-2023,ligue1
cedric bakambu,Marseille,19,82.6,13,92.3,5,80.0,1,100.0,1.0,0.7,0.0,1,0,0,2022-2023,ligue1
thierno balde,Troyes,763,82.0,467,87.4,371,81.4,51,66.7,1.1,1.5,-0.1,34,19,4,2022-2023,ligue1
carlos baleba,Lille,249,83.0,114,86.0,119,86.6,51,80.4,0.1,0.1,-0.1,33,2,0,2022-2023,ligue1
leonardo balerdi,Marseille,1389,83.9,449,87.5,872,88.4,262,72.1,0.2,0.4,0.8,105,3,1,2022-2023,ligue1
folarin balogun,Reims,408,70.1,303,77.6,180,70.6,29,58.6,3.8,3.3,-1.8,28,19,1,2022-2023,ligue1
abdoulaye bamba,Angers,619,85.9,266,93.2,341,88.6,81,65.4,0.3,0.6,-0.3,46,6,3,2022-2023,ligue1
jonathan bamba,Lille,1125,80.1,755,86.8,407,82.6,95,55.8,6.5,6.4,0.5,93,59,9,2022-2023,ligue1
bradley barcola,Lyon,324,69.5,276,76.1,124,68.5,17,47.1,3.9,4.2,4.1,21,20,4,2022-2023,ligue1
melvin bard,Nice,1201,79.8,739,88.2,545,82.0,128,51.6,0.9,1.3,-0.9,70,21,7,2022-2023,ligue1
ross barkley,Nice,391,78.7,215,86.0,172,86.0,79,54.4,2.4,1.9,-0.4,36,8,0,2022-2023,ligue1
mickael barreto,Ajaccio,481,69.2,247,83.0,239,74.9,173,46.2,1.9,2.1,-0.9,71,16,7,2022-2023,ligue1
cyrille bayala,Ajaccio,399,61.0,290,75.5,215,61.9,76,31.6,2.0,1.7,-1.0,45,14,7,2022-2023,ligue1
yanis begraoui,Toulouse,14,73.7,12,75.0,5,80.0,2,50.0,0.3,0.0,-0.3,1,1,0,2022-2023,ligue1
alexis beka beka,Nice,236,77.9,145,84.8,103,79.6,42,57.1,0.1,0.2,-0.1,19,2,1,2022-2023,ligue1
jeremie bela,Clermont Foot,174,66.9,133,74.4,84,72.6,17,23.5,0.2,0.4,0.8,20,7,3,2022-2023,ligue1
reda belahyane,Nice,103,90.4,44,90.9,54,92.6,8,87.5,0.0,0.0,0.0,6,0,0,2022-2023,ligue1
youcef belaili,Ajaccio,328,71.6,201,80.6,137,73.7,74,59.5,3.5,3.3,-0.5,35,22,6,2022-2023,ligue1
youcef belaili,Brest,114,72.2,52,90.4,50,84.0,42,47.6,0.8,1.2,1.2,4,8,1,2022-2023,ligue1
haris belkebla,Brest,1033,84.5,484,88.8,524,89.9,146,68.5,0.6,0.8,-0.6,107,9,1,2022-2023,ligue1
jeanricner bellegarde,Strasbourg,952,76.7,489,86.5,483,82.0,209,50.2,5.2,5.8,0.8,93,49,18,2022-2023,ligue1
jeanuel belocian,Rennes,274,89.0,120,87.5,165,94.5,19,68.4,0.1,0.3,-0.1,13,1,0,2022-2023,ligue1
eliesse ben seghir,Monaco,342,78.4,224,80.8,145,84.8,26,61.5,1.2,1.1,-0.2,30,21,0,2022-2023,ligue1
salim ben seghir,Marseille,2,100.0,2,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
wissam ben yedder,Monaco,449,74.2,308,80.5,184,77.2,36,44.4,3.8,3.7,2.2,32,30,0,2022-2023,ligue1
nabil bentaleb,Angers,1512,81.6,641,86.7,825,87.8,315,61.9,2.3,3.6,1.7,172,15,0,2022-2023,ligue1
patrick berg,Lens,17,85.0,8,100.0,6,83.3,3,100.0,0.0,0.0,0.0,3,1,0,2022-2023,ligue1
mitchell van bergen,Reims,205,67.7,134,82.1,97,64.9,46,41.3,2.7,2.6,-1.7,11,18,10,2022-2023,ligue1
quentin bernard,Auxerre,324,77.7,160,91.9,154,79.2,83,53.0,0.6,0.5,0.4,31,6,4,2022-2023,ligue1
paul bernardoni,Angers,438,65.7,79,97.5,224,97.3,359,39.3,0.0,0.0,0.0,12,0,0,2022-2023,ligue1
juan bernat,Paris S-G,969,92.4,626,93.5,337,93.8,29,79.3,3.1,3.0,0.9,36,11,3,2022-2023,ligue1
jason berthomier,Clermont Foot,19,100.0,13,100.0,4,100.0,1,100.0,0.0,0.0,0.0,1,0,0,2022-2023,ligue1
el bilal toure,Reims,16,80.0,11,81.8,7,85.7,1,0.0,0.1,0.0,-0.1,1,1,0,2022-2023,ligue1
jeanclaude billong,Clermont Foot,33,97.1,10,100.0,21,100.0,3,66.7,0.0,0.0,0.0,0,0,0,2022-2023,ligue1
veljko birmancevic,Toulouse,107,66.5,87,71.3,45,73.3,8,25.0,0.2,0.2,-0.2,9,4,0,2022-2023,ligue1
