Player,Squad,Pass_cmp,Pass_cmp%,Pass_Short,Pass_cmp_Short%,Pass_Medium,Pass_cmp_Medium%,pass_Long,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
james abankwah,Udinese,36,78.3,15,86.7,21,85.7,8,37.5,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
saud abdulhamid,Roma,118,86.8,69,94.2,55,89.1,6,33.3,0.2,0.2,0.8,4,4,2,2024-2025,serie-a
oliver abildgaard,Como,1,100.0,0,,1,100.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
tammy abraham,Roma,1,33.3,1,0.0,1,0.0,1,100.0,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
tammy abraham,Milan,152,68.8,124,75.8,74,62.2,6,50.0,2.2,1.3,1.8,13,10,0,2024-2025,serie-a
federico accornero,Genoa,4,66.7,3,66.7,2,100.0,1,0.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
francesco acerbi,Inter,1200,92.5,434,93.5,727,95.9,106,78.3,0.6,1.4,0.4,59,8,5,2024-2025,serie-a
che adams,Torino,414,74.3,283,78.1,168,79.8,53,69.8,2.0,2.9,1.0,32,7,0,2024-2025,serie-a
yacine adli,Fiorentina,718,80.7,332,90.1,331,87.9,193,60.1,2.4,2.2,3.6,84,16,4,2024-2025,serie-a
vasilije adzic,Juventus,15,75.0,10,80.0,6,83.3,2,100.0,0.0,0.0,0.0,1,1,0,2024-2025,serie-a
michel aebischer,Bologna,366,87.4,179,92.2,169,90.5,53,77.4,0.4,0.6,-0.4,41,5,2,2024-2025,serie-a
honest ahanor,Genoa,51,67.1,32,75.0,34,70.6,7,42.9,0.1,0.1,-0.1,0,0,0,2024-2025,serie-a
junior ajayi,Hellas Verona,4,100.0,1,100.0,3,100.0,0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
jeandaniel akpaakpro,Monza,275,79.5,172,90.7,117,82.1,19,68.4,0.2,0.2,-0.2,19,2,1,2024-2025,serie-a
david akpan ankeye,Genoa,6,85.7,4,75.0,1,100.0,0,,0.0,0.0,0.0,0,1,0,2024-2025,serie-a
faride alidou,Hellas Verona,16,80.0,7,100.0,6,66.7,2,50.0,0.0,0.0,0.0,0,1,1,2024-2025,serie-a
dele alli,Como,3,100.0,2,100.0,0,,0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
pontus almqvist,Parma,215,72.4,184,81.5,65,70.8,12,58.3,1.3,0.9,-0.3,4,4,1,2024-2025,serie-a
giorgio altare,Venezia,283,72.8,129,81.4,198,79.8,49,32.7,0.1,0.2,-0.1,15,2,1,2024-2025,serie-a
sofyan amrabat,Fiorentina,112,84.2,50,92.0,59,84.7,20,65.0,0.1,0.1,-0.1,10,0,0,2024-2025,serie-a
angelino,Roma,1544,78.4,729,88.8,868,82.4,312,51.9,3.7,4.0,-2.7,135,58,22,2024-2025,serie-a
lorenzo anghele,Juventus,4,100.0,2,100.0,1,100.0,1,100.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
faustino anjorin,Empoli,355,80.5,188,85.6,176,89.8,54,51.9,1.7,1.1,1.3,44,13,1,2024-2025,serie-a
marko arnautovic,Inter,113,71.5,89,80.9,45,73.3,4,50.0,1.2,0.9,0.8,6,8,0,2024-2025,serie-a
kristjan asllani,Inter,868,89.2,352,96.0,441,93.4,156,67.9,1.9,1.9,0.1,74,18,8,2024-2025,serie-a
arthur atta,Udinese,509,80.4,313,86.6,208,88.5,54,55.6,1.4,1.4,-0.4,42,8,2,2024-2025,serie-a
emil audero,Como,209,82.6,51,100.0,120,98.3,82,48.8,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
tommaso augello,Cagliari,1179,71.9,650,88.2,650,75.4,254,42.5,4.6,4.8,2.4,79,38,26,2024-2025,serie-a
carlos augusto,Inter,1083,88.3,590,92.9,496,92.1,97,63.9,1.6,1.5,0.4,61,12,3,2024-2025,serie-a
yann aurel bisseck,Inter,1179,91.8,509,95.3,659,94.4,71,67.6,0.9,1.2,1.1,77,7,1,2024-2025,serie-a
paulo azzi,Cagliari,126,70.0,74,78.4,69,76.8,29,41.4,0.9,0.7,-0.9,7,6,4,2024-2025,serie-a
oussama el azzouzi,Bologna,17,94.4,6,100.0,10,100.0,1,100.0,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
jacopo bacci,Empoli,6,54.5,4,100.0,3,33.3,2,50.0,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
milan badelj,Genoa,681,81.5,355,85.9,331,90.3,112,53.6,1.1,0.9,-1.1,73,10,0,2024-2025,serie-a
mitchel bakker,Atalanta,7,77.8,3,66.7,5,100.0,1,0.0,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
tommaso baldanzi,Roma,305,84.0,214,91.1,113,84.1,8,37.5,1.0,0.8,0.0,22,6,0,2024-2025,serie-a
keita balde,Monza,199,89.2,111,93.7,87,89.7,11,72.7,0.2,0.4,-0.2,19,8,3,2024-2025,serie-a
botond balogh,Parma,861,89.3,247,91.5,581,94.5,107,71.0,0.1,0.3,0.9,24,0,0,2024-2025,serie-a
mario balotelli,Genoa,4,26.7,5,20.0,5,40.0,3,33.3,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
lameck banda,Lecce,125,77.2,85,89.4,53,73.6,17,41.2,1.1,0.8,-0.1,3,8,6,2024-2025,serie-a
daniel bandeira,Hellas Verona,194,82.6,120,87.5,74,89.2,27,51.9,0.1,0.1,-0.1,18,1,0,2024-2025,serie-a
mattia bani,Genoa,768,87.4,225,91.1,503,93.2,136,64.7,0.2,0.2,-0.2,18,2,1,2024-2025,serie-a
antonin barak,Fiorentina,17,85.0,10,80.0,9,88.9,0,,0.3,0.1,-0.3,1,1,0,2024-2025,serie-a
federico barba,Como,258,88.4,143,92.3,117,90.6,26,57.7,0.0,0.0,0.0,18,2,0,2024-2025,serie-a
nicolo barella,Inter,1484,82.1,758,88.8,735,86.4,234,64.1,4.5,5.1,1.5,172,54,12,2024-2025,serie-a
davide bartesaghi,Milan,65,85.5,43,93.0,25,80.0,5,60.0,0.1,0.2,-0.1,1,3,3,2024-2025,serie-a
federico baschirotto,Lecce,1409,86.2,483,91.7,824,92.5,304,64.5,0.2,0.5,-0.2,51,5,0,2024-2025,serie-a
daniele baselli,Como,24,88.9,8,87.5,17,94.1,2,50.0,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
alessandro bastoni,Inter,1966,88.4,872,95.4,951,92.7,338,66.9,2.3,2.8,2.7,128,49,24,2024-2025,serie-a
reda belahyane,Hellas Verona,587,83.7,357,89.9,242,88.8,66,47.0,1.0,0.6,1.0,71,10,0,2024-2025,serie-a
reda belahyane,Lazio,85,90.4,54,90.7,29,100.0,7,71.4,0.0,0.0,0.0,9,0,0,2024-2025,serie-a
raoul bellanova,Torino,31,72.1,17,88.2,18,72.2,6,50.0,0.1,0.0,-0.1,1,0,0,2024-2025,serie-a
raoul bellanova,Atalanta,977,77.3,553,90.1,503,78.7,136,47.8,4.7,5.1,4.3,45,28,22,2024-2025,serie-a
andrea belotti,Como,90,75.0,71,83.1,25,68.0,6,66.7,0.4,0.1,-0.4,5,1,0,2024-2025,serie-a
lucas beltran,Fiorentina,459,77.7,294,83.3,197,81.7,44,59.1,3.0,1.9,1.0,38,17,3,2024-2025,serie-a
adrian benedyczak,Parma,35,67.3,27,66.7,15,66.7,6,66.7,0.1,0.0,-0.1,2,0,0,2024-2025,serie-a
ismael bennacer,Milan,197,89.1,90,93.3,92,94.6,33,66.7,0.1,0.3,-0.1,22,4,1,2024-2025,serie-a
medon berisha,Lecce,312,78.0,126,89.7,163,82.2,100,62.0,0.6,0.8,0.4,46,6,1,2024-2025,serie-a
adrian bernabe,Parma,823,83.6,364,90.9,410,88.3,171,66.1,1.1,1.5,-0.1,103,17,4,2024-2025,serie-a
