Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
max aarons,Valencia,21,28,36,0,85,4,25.0,2,50.0,103,3,0,3,1,2024-2025,laliga
rodrigo abajas,Valencia,8,19,9,1,36,1,100.0,0,0.0,67,2,1,0,2,2024-2025,laliga
abel,Osasuna,370,605,357,19,1322,35,51.4,13,37.1,1792,44,7,27,18,2024-2025,laliga
nabil aberdin,Getafe,21,56,10,2,87,3,66.7,1,33.3,74,0,0,1,1,2024-2025,laliga
abdel abqar,Alavés,659,545,58,25,1251,4,75.0,1,25.0,2013,7,0,18,3,2024-2025,laliga
akor adams,Sevilla,4,18,12,1,34,1,100.0,0,0.0,0,0,0,2,0,2024-2025,laliga
adrian,Betis,657,1,0,0,658,0,,0,,1161,0,0,1,0,2024-2025,laliga
julen agirrezabala,Athletic Club,436,1,0,0,437,0,,0,,682,0,0,1,0,2024-2025,laliga
lucien agoume,Sevilla,386,867,248,19,1481,30,73.3,7,23.3,1597,23,2,26,13,2024-2025,laliga
alvaro aguado,Espanyol,68,161,78,6,303,8,62.5,2,25.0,753,10,4,9,4,2024-2025,laliga
lorenzo aguado,Real Madrid,3,0,0,0,3,0,,0,,0,0,0,0,1,2024-2025,laliga
nayef aguerd,Real Sociedad,729,815,53,16,1594,10,50.0,2,20.0,3798,18,0,7,3,2024-2025,laliga
joseph aidoo,Valladolid,265,168,2,1,431,1,100.0,0,0.0,678,0,0,0,1,2024-2025,laliga
joseph aidoo,Celta Vigo,4,4,0,0,8,0,,0,,8,0,0,0,1,2024-2025,laliga
ilias akhomach,Villarreal,44,89,163,29,293,43,44.2,17,39.5,759,18,20,15,10,2024-2025,laliga
david alaba,Real Madrid,137,100,11,2,247,0,,0,,482,1,0,1,0,2024-2025,laliga
ibrahim alani,Valladolid,36,74,4,0,113,1,100.0,0,0.0,130,0,0,1,2,2024-2025,laliga
raul albiol,Villarreal,533,369,14,3,915,0,,0,,1226,1,0,3,1,2024-2025,laliga
omar alderete,Getafe,681,796,122,39,1585,28,64.3,10,35.7,2546,20,2,30,9,2024-2025,laliga
carles alena,Getafe,26,84,56,10,163,4,75.0,1,25.0,169,2,1,3,6,2024-2025,laliga
carles alena,Alavés,63,290,243,22,590,24,50.0,5,20.8,671,25,2,23,14,2024-2025,laliga
alfon,Celta Vigo,44,139,374,114,551,63,39.7,31,49.2,1693,39,47,29,20,2024-2025,laliga
tadeo allende,Celta Vigo,1,3,0,0,4,1,0.0,1,100.0,4,0,0,0,0,2024-2025,laliga
domingos andre ribeiro almeida,Valencia,150,596,428,43,1162,54,40.7,22,40.7,1810,48,11,37,38,2024-2025,laliga
iker almena,Girona,4,6,30,1,39,3,66.7,1,33.3,152,3,1,1,0,2024-2025,laliga
marcos alonso,Celta Vigo,1022,1399,298,35,2680,25,64.0,8,32.0,6481,48,2,20,9,2024-2025,laliga
adria altimira,Leganés,248,380,209,8,826,31,32.3,12,38.7,1049,23,4,28,7,2024-2025,laliga
sergi altimira,Betis,321,940,272,18,1521,24,66.7,7,29.2,1635,14,1,27,21,2024-2025,laliga
hugo alvarez,Celta Vigo,262,471,489,82,1214,72,44.4,38,52.8,2266,38,41,33,12,2024-2025,laliga
julian alvarez,Atlético Madrid,105,501,649,116,1234,65,52.3,28,43.1,2198,51,29,62,40,2024-2025,laliga
yeray alvarez,Athletic Club,554,825,55,14,1425,9,66.7,3,33.3,3165,8,0,11,7,2024-2025,laliga
selim amallah,Valladolid,101,334,184,18,606,68,48.5,27,39.7,836,17,6,35,25,2024-2025,laliga
amath,Valladolid,24,71,73,12,166,16,43.8,9,56.3,318,9,4,10,4,2024-2025,laliga
marcos andre,Valladolid,46,208,128,32,372,41,41.5,18,43.9,345,9,5,40,23,2024-2025,laliga
leandro antonetti,Sevilla,2,4,7,0,12,1,0.0,1,100.0,43,1,0,2,1,2024-2025,laliga
antoniu,Espanyol,74,150,158,20,369,54,53.7,17,31.5,966,23,5,27,12,2024-2025,laliga
antony,Betis,100,315,585,63,982,63,38.1,33,52.4,2729,77,30,53,20,2024-2025,laliga
anuar,Valladolid,214,324,173,28,705,24,29.2,12,50.0,834,15,6,25,14,2024-2025,laliga
aritz arambarri,Leganés,59,26,1,1,86,0,,0,,137,0,0,1,0,2024-2025,laliga
mauro arambarri,Getafe,203,693,264,72,1143,34,52.9,12,35.3,863,8,3,60,29,2024-2025,laliga
jon aramburu,Real Sociedad,630,936,336,20,1887,37,21.6,26,70.3,1502,20,0,34,12,2024-2025,laliga
ronald araujo,Barcelona,227,542,32,9,798,1,0.0,1,100.0,1731,4,0,2,1,2024-2025,laliga
adu ares,Athletic Club,2,3,6,1,11,1,0.0,1,100.0,29,1,0,0,2,2024-2025,laliga
jesus areso,Osasuna,423,767,730,23,1902,64,37.5,32,50.0,2869,66,9,62,29,2024-2025,laliga
david arguelles,Getafe,2,2,3,0,7,0,,0,,12,0,0,0,0,2024-2025,laliga
jose arnaiz,Osasuna,17,44,58,11,117,5,20.0,2,40.0,171,2,3,5,5,2024-2025,laliga
sergio arribas,Betis,24,43,4,0,71,0,,0,,75,0,0,0,0,2024-2025,laliga
takuma asano,Mallorca,53,141,169,53,356,25,24.0,16,64.0,589,12,12,27,12,2024-2025,laliga
raul asencio,Real Madrid,623,501,37,11,1149,9,66.7,0,0.0,1874,5,1,5,6,2024-2025,laliga
iago aspas,Celta Vigo,75,510,466,67,1032,27,55.6,8,29.6,1573,39,15,35,20,2024-2025,laliga
yaser asprilla,Girona,69,319,453,48,831,64,45.3,25,39.1,1860,37,29,45,17,2024-2025,laliga
ezequiel avila,Betis,34,131,163,34,323,11,45.5,5,45.5,334,7,4,23,7,2024-2025,laliga
adam aznou,Valladolid,191,241,89,12,508,41,46.3,15,36.6,804,6,3,28,12,2024-2025,laliga
cesar azpilicueta,Atlético Madrid,232,393,137,11,759,2,50.0,1,50.0,1318,18,1,8,1,2024-2025,laliga
papa ba,Girona,5,10,5,1,20,2,50.0,1,50.0,24,0,1,1,1,2024-2025,laliga
loic bade,Sevilla,1298,799,54,20,2135,22,77.3,2,9.1,2853,10,1,17,8,2024-2025,laliga
alex baena,Villarreal,209,634,762,89,1568,56,37.5,27,48.2,3201,93,15,42,32,2024-2025,laliga
juma bah,Valladolid,321,194,10,8,523,4,75.0,1,25.0,459,1,0,3,5,2024-2025,laliga
eric bailly,Villarreal,196,186,13,5,394,3,100.0,0,0.0,519,4,0,6,1,2024-2025,laliga
stefan bajcetic,Las Palmas,148,339,90,6,570,24,45.8,9,37.5,538,9,0,21,6,2024-2025,laliga
cedric bakambu,Betis,16,97,115,33,226,7,14.3,5,71.4,274,4,7,28,11,2024-2025,laliga
alejandro balde,Barcelona,310,843,596,47,1721,110,41.8,44,40.0,3463,68,16,44,27,2024-2025,laliga
ivan balliu,Rayo Vallecano,262,340,166,10,762,6,50.0,1,16.7,441,6,2,12,2,2024-2025,laliga
jonathan bamba,Celta Vigo,74,235,170,21,468,38,39.5,19,50.0,936,15,8,20,13,2024-2025,laliga
