Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
keyliane abdallah,Marseille,0,1,0,0,1,0,,0,,0,0,0,0,0,2023-2024,ligue-1
yunis abdelhamid,Reims,976,1119,114,35,2184,15,53.3,7,46.7,4921,19,0,23,4,2023-2024,ligue-1
salis abdul samed,Lens,168,647,218,7,1022,19,36.8,11,57.9,1683,33,0,23,11,2023-2024,ligue-1
laurent abergel,Lorient,553,1289,349,10,2165,65,67.7,18,27.7,3885,49,3,32,30,2023-2024,ligue-1
matthis abline,Nantes,36,153,209,65,386,33,57.6,14,42.4,906,24,14,50,14,2023-2024,ligue-1
zakaria aboukhlal,Toulouse,27,123,161,38,304,31,25.8,22,71.0,745,13,8,22,12,2023-2024,ligue-1
akor adams,Montpellier,61,266,323,118,638,44,31.8,26,59.1,1004,23,22,68,30,2023-2024,ligue-1
nathaniel adjei,Lorient,374,397,46,10,811,5,80.0,1,20.0,1609,12,0,12,5,2023-2024,ligue-1
adryelson,Lyon,9,0,0,0,9,0,,0,,9,0,0,0,0,2023-2024,ligue-1
adson,Nantes,18,81,68,10,163,8,62.5,3,37.5,451,9,4,4,4,2023-2024,ligue-1
emmanuel agbadou,Reims,820,1233,165,32,2198,31,48.4,16,51.6,5460,26,2,24,23,2023-2024,ligue-1
ruben aguilar,Lens,326,699,518,38,1533,20,30.0,12,60.0,2333,37,2,31,10,2023-2024,ligue-1
tosin aiyegun,Lorient,54,120,123,21,291,26,46.2,13,50.0,686,10,6,18,13,2023-2024,ligue-1
sergio akieme,Reims,135,195,119,11,443,18,44.4,9,50.0,742,12,3,12,8,2023-2024,ligue-1
maghnes akliouche,Monaco,101,457,513,79,1055,52,51.9,22,42.3,1866,45,14,41,40,2023-2024,ligue-1
paul akouokou,Lyon,52,142,37,1,231,4,75.0,0,0.0,179,4,0,4,1,2023-2024,ligue-1
aboubacar ali,Strasbourg,4,19,35,7,56,3,33.3,2,66.7,79,1,1,4,2,2023-2024,ligue-1
mohamed ali cho,Nice,41,145,194,36,371,38,42.1,19,50.0,1236,29,15,19,16,2023-2024,ligue-1
