Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,touch_Live,drib_Att,drib_Succ%,Tckl_Drib,Tckl_Drib%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
tammy abraham,Roma,4,31,34,9,69,6,33.3,4,66.7,111,2,2,9,2,2023-2024,serie-a
francesco acerbi,Inter,941,946,98,25,1977,3,66.7,1,33.3,3081,11,0,4,1,2023-2024,serie-a
yacine adli,Milan,262,913,281,8,1439,32,68.8,8,25.0,2144,27,3,18,10,2023-2024,serie-a
michel aebischer,Bologna,405,1032,270,23,1694,25,56.0,9,36.0,2248,23,3,27,19,2023-2024,serie-a
lucien agoume,Inter,1,4,1,0,6,1,0.0,1,100.0,5,1,0,0,0,2023-2024,serie-a
marley ake,Udinese,1,0,0,0,1,0,,0,,0,0,0,1,0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,3,6,1,0,9,0,,0,,11,1,0,1,1,2023-2024,serie-a
jeandaniel akpaakpro,Monza,111,187,58,5,348,10,30.0,3,30.0,591,9,1,13,7,2023-2024,serie-a
david akpan ankeye,Genoa,2,6,10,1,17,5,40.0,3,60.0,61,1,1,2,0,2023-2024,serie-a
luis alberto,Lazio,231,1004,690,61,1904,45,55.6,16,35.6,3192,62,10,33,24,2023-2024,serie-a
carlos alcaraz,Juventus,22,133,69,12,221,9,33.3,5,55.6,310,13,1,8,4,2023-2024,serie-a
pontus almqvist,Lecce,105,332,360,80,779,93,39.8,43,46.2,1930,47,35,59,39,2023-2024,serie-a
lorenzo amatucci,Fiorentina,1,15,10,1,26,0,,0,,17,0,0,0,0,2023-2024,serie-a
bruno amione,Hellas Verona,176,157,15,7,344,2,50.0,1,50.0,402,3,0,8,1,2023-2024,serie-a
felipe anderson,Lazio,252,792,742,93,1756,107,40.2,54,50.5,2896,62,26,65,32,2023-2024,serie-a
angelino,Roma,284,351,199,7,830,13,46.2,6,46.2,864,13,0,9,6,2023-2024,serie-a
houssem aouar,Roma,48,238,157,27,439,21,52.4,7,33.3,621,15,6,16,15,2023-2024,serie-a
simone aresti,Cagliari,2,0,0,0,2,0,,0,,11,0,0,0,0,2023-2024,serie-a
marko arnautovic,Inter,25,169,165,41,358,6,16.7,5,83.3,272,8,4,22,10,2023-2024,serie-a
kristjan asllani,Inter,197,483,136,3,813,5,60.0,2,40.0,1030,7,0,6,3,2023-2024,serie-a
emil audero,Inter,200,0,0,0,200,0,,0,,377,0,0,0,0,2023-2024,serie-a
tommaso augello,Cagliari,529,625,408,9,1544,29,51.7,12,41.4,2135,34,1,21,8,2023-2024,serie-a
carlos augusto,Inter,427,553,317,52,1287,21,57.1,6,28.6,1863,31,12,21,14,2023-2024,serie-a
yann aurel bisseck,Inter,350,306,84,19,737,13,38.5,7,53.8,1551,24,1,10,4,2023-2024,serie-a
sardar azmoun,Roma,24,110,101,29,232,13,30.8,7,53.8,206,9,1,17,10,2023-2024,serie-a
paulo azzi,Cagliari,166,249,216,19,620,28,46.4,11,39.3,1398,39,5,14,5,2023-2024,serie-a
oussama el azzouzi,Bologna,105,287,58,8,448,3,0.0,3,100.0,577,3,0,5,5,2023-2024,serie-a
milan badelj,Genoa,425,1029,255,18,1696,33,51.5,13,39.4,1728,17,1,31,19,2023-2024,serie-a
jaime baez,Frosinone,31,110,111,14,248,10,50.0,3,30.0,431,6,2,11,11,2023-2024,serie-a
nicola bagnolini,Bologna,4,0,0,0,4,0,,0,,1,0,0,0,0,2023-2024,serie-a
nedim bajrami,Sassuolo,69,213,318,43,583,31,54.8,13,41.9,1390,25,11,27,11,2023-2024,serie-a
mitchel bakker,Atalanta,70,116,77,10,255,12,58.3,4,33.3,457,8,2,10,3,2023-2024,serie-a
tommaso baldanzi,Empoli,28,151,176,26,347,26,26.9,16,61.5,641,16,6,19,13,2023-2024,serie-a
tommaso baldanzi,Roma,26,122,116,19,261,22,36.4,10,45.5,499,16,5,5,7,2023-2024,serie-a
lameck banda,Lecce,76,231,316,62,604,99,42.4,50,50.5,1778,34,35,57,29,2023-2024,serie-a
daniel bandeira,Hellas Verona,47,164,67,2,276,4,75.0,0,0.0,392,4,1,4,6,2023-2024,serie-a
mattia bani,Genoa,868,517,37,17,1418,4,25.0,2,50.0,1524,2,0,10,2,2023-2024,serie-a
antonin barak,Fiorentina,38,218,219,40,473,13,30.8,8,61.5,634,23,1,15,16,2023-2024,serie-a
nicolo barella,Inter,424,1281,739,58,2425,59,49.2,24,40.7,3389,73,9,39,29,2023-2024,serie-a
enzo barrenechea,Frosinone,622,1408,205,13,2213,18,44.4,8,44.4,1526,12,0,20,16,2023-2024,serie-a
davide bartesaghi,Milan,25,18,8,0,51,1,0.0,1,100.0,53,3,0,1,2,2023-2024,serie-a
federico baschirotto,Lecce,1172,876,53,24,2093,0,,0,,3312,9,0,12,4,2023-2024,serie-a
toma basic,Salernitana,175,394,121,6,679,15,66.7,5,33.3,758,15,0,23,3,2023-2024,serie-a
alessandro bastoni,Inter,769,986,388,35,2127,19,52.6,8,42.1,4361,66,6,12,10,2023-2024,serie-a
simone bastoni,Empoli,123,216,132,12,464,9,44.4,5,55.6,464,11,0,12,9,2023-2024,serie-a
reda belahyane,Hellas Verona,10,20,6,0,35,0,,0,,27,1,0,1,1,2023-2024,serie-a
raoul bellanova,Torino,403,812,678,60,1871,98,43.9,35,35.7,3913,57,17,45,23,2023-2024,serie-a
andrea belotti,Fiorentina,14,135,156,47,302,6,16.7,3,50.0,237,4,4,23,13,2023-2024,serie-a
andrea belotti,Roma,17,116,107,34,238,15,46.7,6,40.0,350,9,6,21,12,2023-2024,serie-a
lucas beltran,Fiorentina,49,280,343,89,668,31,38.7,17,54.8,542,10,6,56,31,2023-2024,serie-a
