Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
abner,Betis,5,1,0.0,1.7,1.7,0.34,-1.7,2022-2023,laliga
alvaro aceves,Valladolid,0,0,,0.0,0.0,,0.0,2022-2023,laliga
marcos acuna,Sevilla,21,5,0.14,1.2,1.2,0.06,1.8,2022-2023,laliga
julen agirrezabala,Athletic Club,0,0,,0.0,0.0,,0.0,2022-2023,laliga
alvaro aguado,Valladolid,20,6,0.05,1.0,1.0,0.05,0.0,2022-2023,laliga
joseph aidoo,Celta Vigo,14,3,0.21,1.0,1.0,0.07,2.0,2022-2023,laliga
sergio akieme,Almería,23,7,0.04,1.5,1.5,0.07,-0.5,2022-2023,laliga
babatunde akinsola,Valladolid,0,0,,0.0,0.0,,0.0,2022-2023,laliga
paul akouokou,Betis,3,1,0.0,0.2,0.2,0.05,-0.2,2022-2023,laliga
david alaba,Real Madrid,14,3,0.07,0.8,0.8,0.06,0.2,2022-2023,laliga
angel alarcon,Barcelona,1,1,0.0,0.0,0.0,0.04,0.0,2022-2023,laliga
tomas alarcon,Cádiz,2,1,0.0,0.0,0.0,0.01,0.0,2022-2023,laliga
jordi alba,Barcelona,13,4,0.15,0.8,0.8,0.06,1.2,2022-2023,laliga
raul albiol,Villarreal,2,1,0.0,0.1,0.1,0.05,-0.1,2022-2023,laliga
ruben alcaraz,Cádiz,31,4,0.03,4.0,1.6,0.05,-1.0,2022-2023,laliga
omar alderete,Getafe,17,8,0.06,0.6,0.6,0.04,0.4,2022-2023,laliga
ivan alejo,Cádiz,23,6,0.0,1.2,1.2,0.05,-1.2,2022-2023,laliga
carles alena,Getafe,33,10,0.06,2.3,2.3,0.07,-0.3,2022-2023,laliga
alejandro alfaro,Elche,0,0,,0.0,0.0,,0.0,2022-2023,laliga
angel algobia,Getafe,7,1,0.0,0.3,0.3,0.04,-0.3,2022-2023,laliga
mohamed ali cho,Real Sociedad,23,12,0.04,1.8,1.8,0.08,-0.8,2022-2023,laliga
domingos andre ribeiro almeida,Valencia,23,8,0.09,1.4,1.4,0.06,0.6,2022-2023,laliga
marcos alonso,Barcelona,6,2,0.17,0.9,0.9,0.15,0.1,2022-2023,laliga
carlos alvarez,Sevilla,0,0,,0.0,0.0,,0.0,2022-2023,laliga
gaston alvarez,Getafe,5,2,0.4,0.5,0.5,0.11,1.5,2022-2023,laliga
yeray alvarez,Athletic Club,8,1,0.13,0.8,0.8,0.1,0.2,2022-2023,laliga
selim amallah,Valladolid,5,2,0.4,0.9,0.9,0.17,1.1,2022-2023,laliga
amath,Mallorca,23,7,0.09,2.7,2.7,0.12,-0.7,2022-2023,laliga
jordan amavi,Getafe,0,0,,0.0,0.0,,0.0,2022-2023,laliga
marcos andre,Valencia,17,2,0.06,1.5,1.3,0.08,-0.5,2022-2023,laliga
fabrizio angileri,Getafe,3,0,0.0,0.1,0.1,0.04,-0.1,2022-2023,laliga
josep antoni gaya,Mallorca,0,0,,0.0,0.0,,0.0,2022-2023,laliga
jose antonio,Cádiz,0,0,,0.0,0.0,,0.0,2022-2023,laliga
anuar,Valladolid,3,1,0.33,0.4,0.4,0.12,0.6,2022-2023,laliga
mauro arambarri,Getafe,8,0,0.0,0.2,0.2,0.03,-0.2,2022-2023,laliga
ronald araujo,Barcelona,18,1,0.0,2.1,2.1,0.12,-2.1,2022-2023,laliga
adu ares,Athletic Club,3,0,0.0,0.1,0.1,0.04,-0.1,2022-2023,laliga
sergio arribas,Real Madrid,1,0,0.0,0.2,0.2,0.16,-0.2,2022-2023,laliga
roberto arroyo,Valladolid,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ricard artero,Girona,4,1,0.0,0.5,0.5,0.13,-0.5,2022-2023,laliga
santiago arzamendia,Cádiz,4,2,0.0,0.2,0.2,0.05,-0.2,2022-2023,laliga
sergio asenjo,Valladolid,0,0,,0.0,0.0,,0.0,2022-2023,laliga
marco asensio,Real Madrid,58,24,0.16,6.3,5.5,0.1,2.7,2022-2023,laliga
iago aspas,Celta Vigo,75,29,0.13,11.0,8.7,0.12,1.0,2022-2023,laliga
pierreemerick aubameyang,Barcelona,1,0,0.0,0.1,0.1,0.12,-0.1,2022-2023,laliga
ludwig augustinsson,Mallorca,0,0,,0.0,0.0,,0.0,2022-2023,laliga
ezequiel avila,Osasuna,64,21,0.09,7.0,4.7,0.07,1.0,2022-2023,laliga
iddrisu baba,Mallorca,12,2,0.0,0.6,0.6,0.05,-0.6,2022-2023,laliga
sran babic,Almería,9,5,0.33,1.2,1.2,0.13,1.8,2022-2023,laliga
loic bade,Sevilla,4,2,0.25,0.3,0.3,0.07,0.7,2022-2023,laliga
edgar badia,Elche,0,0,,0.0,0.0,,0.0,2022-2023,laliga
alex baena,Villarreal,62,22,0.1,3.9,3.9,0.06,2.1,2022-2023,laliga
alejandro balde,Barcelona,19,4,0.05,1.9,1.9,0.1,-0.9,2022-2023,laliga
