Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
keyliane abdallah,Marseille,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
yunis abdelhamid,Reims,21,7,0.14,3.4,2.6,0.13,0.6,2023-2024,ligue-1
salis abdul samed,Lens,5,0,0.0,0.8,0.8,0.17,-0.8,2023-2024,ligue-1
laurent abergel,Lorient,26,11,0.08,1.1,1.1,0.04,0.9,2023-2024,ligue-1
matthis abline,Nantes,42,19,0.12,3.8,3.8,0.09,1.2,2023-2024,ligue-1
zakaria aboukhlal,Toulouse,27,7,0.07,2.8,2.0,0.07,0.2,2023-2024,ligue-1
akor adams,Montpellier,79,32,0.1,12.4,12.4,0.16,-4.4,2023-2024,ligue-1
nathaniel adjei,Lorient,4,0,0.0,0.4,0.4,0.09,-0.4,2023-2024,ligue-1
adryelson,Lyon,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
adson,Nantes,5,0,0.0,0.2,0.2,0.05,-0.2,2023-2024,ligue-1
emmanuel agbadou,Reims,32,5,0.03,2.4,2.4,0.07,-1.4,2023-2024,ligue-1
ruben aguilar,Lens,12,4,0.08,1.4,1.4,0.12,-0.4,2023-2024,ligue-1
tosin aiyegun,Lorient,11,3,0.18,1.8,1.8,0.17,0.2,2023-2024,ligue-1
sergio akieme,Reims,11,2,0.18,1.4,1.4,0.13,0.6,2023-2024,ligue-1
maghnes akliouche,Monaco,36,22,0.19,5.4,5.4,0.15,1.6,2023-2024,ligue-1
paul akouokou,Lyon,2,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
aboubacar ali,Strasbourg,4,2,0.0,0.2,0.2,0.06,-0.2,2023-2024,ligue-1
mohamed ali cho,Nice,18,6,0.06,1.1,1.1,0.06,-0.1,2023-2024,ligue-1
nabil alioui,Le Havre,28,9,0.14,2.4,2.4,0.09,1.6,2023-2024,ligue-1
jim allevinah,Clermont Foot,37,11,0.05,2.6,2.6,0.07,-0.6,2023-2024,ligue-1
skelly alvero,Lyon,9,3,0.11,0.4,0.4,0.05,0.6,2023-2024,ligue-1
papa amadou diallo,Metz,13,5,0.15,2.6,2.6,0.2,-0.6,2023-2024,ligue-1
jordan amavi,Brest,1,1,1.0,0.1,0.1,0.1,0.9,2023-2024,ligue-1
kelvin amian,Nantes,1,0,0.0,0.1,0.1,0.05,-0.1,2023-2024,ligue-1
michael amir murillo,Marseille,6,4,0.5,0.8,0.8,0.14,2.2,2023-2024,ligue-1
benjamin andre,Lille,23,9,0.17,2.6,2.6,0.11,1.4,2023-2024,ligue-1
komnen andric,Clermont Foot,2,0,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
angelo,Strasbourg,9,4,0.0,0.4,0.4,0.05,-0.4,2023-2024,ligue-1
stredair appuah,Nantes,4,0,0.0,0.4,0.4,0.11,-0.4,2023-2024,ligue-1
yoel armougom,Clermont Foot,2,0,0.0,0.0,0.0,0.02,0.0,2023-2024,ligue-1
hakon arnar haraldsson,Lille,12,6,0.17,0.8,0.8,0.06,1.2,2023-2024,ligue-1
mohamed el arouch,Lyon,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
marco asensio,Paris S-G,27,10,0.15,3.2,3.2,0.12,0.8,2023-2024,ligue-1
joel asoro,Metz,6,3,0.33,0.6,0.6,0.1,1.4,2023-2024,ligue-1
lorenz assignon,Rennes,11,4,0.09,0.4,0.4,0.04,0.6,2023-2024,ligue-1
youcef atal,Nice,4,1,0.25,0.1,0.1,0.03,0.9,2023-2024,ligue-1
valentin atangana edoa,Reims,9,2,0.0,0.5,0.5,0.05,-0.5,2023-2024,ligue-1
arthur atta,Metz,9,4,0.11,0.6,0.6,0.06,0.4,2023-2024,ligue-1
pierreemerick aubameyang,Marseille,112,47,0.12,20.5,17.3,0.16,-3.5,2023-2024,ligue-1
andre ayew,Le Havre,32,12,0.16,3.1,3.1,0.1,1.9,2023-2024,ligue-1
neil el aynaoui,Lens,22,8,0.05,2.4,2.4,0.11,-1.4,2023-2024,ligue-1
abdellah baallal,Clermont Foot,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
shavy babicka,Toulouse,8,4,0.13,0.6,0.6,0.07,0.4,2023-2024,ligue-1
aliou badara balde,Nice,3,2,0.0,0.1,0.1,0.05,-0.1,2023-2024,ligue-1
tiemoue bakayoko,Lorient,12,7,0.17,1.7,1.7,0.15,0.3,2023-2024,ligue-1
dilane bakwa,Strasbourg,44,12,0.07,3.2,3.2,0.07,-0.2,2023-2024,ligue-1
carlos baleba,Lille,2,1,0.0,0.0,0.0,0.02,0.0,2023-2024,ligue-1
leonardo balerdi,Marseille,14,4,0.14,0.9,0.9,0.06,1.1,2023-2024,ligue-1
folarin balogun,Monaco,63,26,0.11,11.0,8.5,0.14,-4.0,2023-2024,ligue-1
mohamed bamba,Lorient,37,17,0.19,6.4,5.6,0.16,1.6,2023-2024,ligue-1
mamady bangre,Toulouse,3,0,0.0,0.1,0.1,0.04,-0.1,2023-2024,ligue-1
bradley barcola,Lyon,2,0,0.0,0.1,0.1,0.04,-0.1,2023-2024,ligue-1
bradley barcola,Paris S-G,31,11,0.13,4.5,4.5,0.15,-0.5,2023-2024,ligue-1
melvin bard,Nice,15,5,0.07,0.5,0.5,0.04,0.5,2023-2024,ligue-1
steven baseya,Strasbourg,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
mohamed bechikh,Strasbourg,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
yanis begraoui,Toulouse,8,4,0.0,0.4,0.4,0.05,-0.4,2023-2024,ligue-1
jeremie bela,Clermont Foot,6,2,0.0,0.2,0.2,0.04,-0.2,2023-2024,ligue-1
reda belahyane,Nice,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
alaa bellaarouch,Strasbourg,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
jeanricner bellegarde,Strasbourg,5,3,0.4,0.6,0.6,0.11,1.4,2023-2024,ligue-1
jeanuel belocian,Rennes,3,0,0.0,0.5,0.5,0.17,-0.5,2023-2024,ligue-1
eliesse ben seghir,Monaco,14,4,0.14,0.8,0.8,0.06,1.2,2023-2024,ligue-1
wissam ben yedder,Monaco,63,29,0.24,12.4,11.6,0.18,3.6,2023-2024,ligue-1
said benrahma,Lyon,25,9,0.12,1.6,1.6,0.06,1.4,2023-2024,ligue-1
nabil bentaleb,Lille,10,2,0.0,0.4,0.4,0.04,-0.4,2023-2024,ligue-1
lucas beraldo,Paris S-G,5,2,0.2,1.0,1.0,0.2,0.0,2023-2024,ligue-1
dimitry bertaud,Montpellier,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
marco bizot,Brest,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ruben blanco,Marseille,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ludovic blas,Rennes,42,15,0.07,4.7,3.1,0.07,-0.7,2023-2024,ligue-1
myron boadu,Monaco,2,2,0.5,0.4,0.4,0.22,0.6,2023-2024,ligue-1
jeremie boga,Nice,39,19,0.15,4.3,4.3,0.11,1.7,2023-2024,ligue-1
adama bojang,Reims,4,1,0.0,1.3,1.3,0.32,-1.3,2023-2024,ligue-1
neto borges,Clermont Foot,16,2,0.0,0.5,0.5,0.03,-0.5,2023-2024,ligue-1
saimon bouabre,Monaco,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ayyoub bouaddi,Lille,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
badredine bouanani,Nice,4,1,0.0,0.2,0.2,0.05,-0.2,2023-2024,ligue-1
badredine bouanani,Lorient,15,5,0.07,1.4,1.4,0.09,-0.4,2023-2024,ligue-1
mohamed bouchenna,Clermont Foot,1,0,0.0,0.1,0.1,0.06,-0.1,2023-2024,ligue-1
hicham boudaoui,Nice,29,6,0.07,3.3,3.3,0.11,-1.3,2023-2024,ligue-1
benjamin bourigeaud,Rennes,44,10,0.05,9.9,4.4,0.1,-0.9,2023-2024,ligue-1
bilal boutobba,Clermont Foot,25,9,0.04,2.0,2.0,0.08,-1.0,2023-2024,ligue-1
hugo boutsingkham,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
bilal brahimi,Nice,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
bilal brahimi,Brest,4,2,0.0,0.1,0.1,0.03,-0.1,2023-2024,ligue-1
lilian brassier,Brest,12,3,0.25,1.1,1.1,0.09,1.9,2023-2024,ligue-1
maxime busi,Reims,1,0,0.0,0.2,0.2,0.18,-0.2,2023-2024,ligue-1
marcin buka,Nice,1,0,0.0,0.1,0.1,0.13,-0.1,2023-2024,ligue-1
remy cabella,Lille,33,14,0.06,5.2,5.2,0.16,-3.2,2023-2024,ligue-1
duje caletacar,Lyon,7,1,0.0,0.5,0.5,0.08,-0.5,2023-2024,ligue-1
lamine camara,Metz,29,8,0.03,2.2,1.4,0.05,-1.2,2023-2024,ligue-1
mahdi camara,Brest,41,13,0.15,4.9,4.1,0.1,2.1,2023-2024,ligue-1
mohamed camara,Monaco,13,3,0.0,1.5,0.7,0.05,-0.5,2023-2024,ligue-1
axel camblan,Brest,2,0,0.0,0.2,0.2,0.12,-0.2,2023-2024,ligue-1
fali cande,Metz,13,7,0.0,0.8,0.8,0.06,-0.8,2023-2024,ligue-1
gino caoki,Lorient,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
maxence caqueret,Lyon,24,9,0.04,2.1,2.1,0.09,-1.1,2023-2024,ligue-1
igor carioca,Lorient,1,0,0.0,0.0,0.0,0.03,0.0,2023-2024,ligue-1
antonin cartillier,Monaco,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
josue casimir,Le Havre,22,4,0.0,1.9,1.9,0.09,-1.9,2023-2024,ligue-1
cristian casseres jr,Toulouse,15,3,0.07,1.1,1.1,0.08,-0.1,2023-2024,ligue-1
jeancharles castelletto,Nantes,10,6,0.2,0.6,0.6,0.06,1.4,2023-2024,ligue-1
maximiliano caufriez,Clermont Foot,6,1,0.0,0.4,0.4,0.06,-0.4,2023-2024,ligue-1
ivan cavaleiro,Lille,11,3,0.09,1.3,1.3,0.12,-0.3,2023-2024,ligue-1
fabien centonze,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
fares chaibi,Toulouse,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
muhammed cham,Clermont Foot,69,26,0.06,9.4,5.5,0.08,-1.4,2023-2024,ligue-1
brendan chardonnet,Brest,18,3,0.06,1.5,1.5,0.08,-0.5,2023-2024,ligue-1
jhoanner chavez,Lens,3,0,0.0,0.3,0.3,0.11,-0.3,2023-2024,ligue-1
rayan cherki,Lyon,57,17,0.02,5.2,5.2,0.09,-4.2,2023-2024,ligue-1
lucas chevalier,Lille,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
pedro chirivella,Nantes,17,6,0.06,1.5,1.5,0.09,-0.5,2023-2024,ligue-1
joris chotard,Montpellier,21,7,0.0,0.6,0.6,0.03,-0.6,2023-2024,ligue-1
djaoui cisse,Rennes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ibrahim cissoko,Toulouse,8,4,0.13,0.8,0.8,0.1,0.2,2023-2024,ligue-1
alexis claudemaurice,Nice,18,6,0.0,0.8,0.8,0.04,-0.8,2023-2024,ligue-1
jonathan clauss,Marseille,28,8,0.11,1.3,1.3,0.05,1.7,2023-2024,ligue-1
marcus coco,Nantes,9,2,0.11,0.8,0.8,0.09,0.2,2023-2024,ligue-1
maxime colin,Metz,6,0,0.0,0.3,0.3,0.05,-0.3,2023-2024,ligue-1
eray comert,Nantes,9,3,0.22,0.7,0.7,0.08,1.3,2023-2024,ligue-1
alois confais,Le Havre,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
joaquin correa,Marseille,4,2,0.0,0.6,0.6,0.16,-0.6,2023-2024,ligue-1
oscar cortes,Lens,1,1,1.0,0.5,0.5,0.46,0.5,2023-2024,ligue-1
david costa,Lens,30,14,0.13,3.0,3.0,0.1,1.0,2023-2024,ligue-1
logan costa,Toulouse,14,4,0.07,1.4,1.4,0.1,-0.4,2023-2024,ligue-1
gregoire coudert,Brest,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
mamadou coulibaly,Monaco,2,0,0.0,0.2,0.2,0.09,-0.2,2023-2024,ligue-1
tanguy coulibaly,Montpellier,17,7,0.06,2.6,2.6,0.15,-1.6,2023-2024,ligue-1
nicolas cozza,Nantes,5,0,0.0,0.7,0.7,0.14,-0.7,2023-2024,ligue-1
trevis dago,Lille,1,0,0.0,0.0,0.0,0.04,0.0,2023-2024,ligue-1
thijs dallinga,Toulouse,81,32,0.16,14.1,11.8,0.15,-0.1,2023-2024,ligue-1
kevin danso,Lens,21,5,0.05,1.8,1.8,0.09,-0.8,2023-2024,ligue-1
dante,Nice,15,5,0.07,0.9,0.9,0.06,0.1,2023-2024,ligue-1
raimane daou,Marseille,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
mohamed daramy,Reims,30,10,0.1,4.6,3.8,0.13,-0.6,2023-2024,ligue-1
achraf dari,Brest,1,1,0.0,0.0,0.0,0.05,0.0,2023-2024,ligue-1
jonathan david,Lille,76,43,0.22,17.5,15.0,0.2,1.5,2023-2024,ligue-1
thibault de smet,Reims,4,0,0.0,0.3,0.3,0.06,-0.3,2023-2024,ligue-1
romain del castillo,Brest,37,14,0.14,5.2,2.9,0.08,2.8,2023-2024,ligue-1
thomas delaine,Strasbourg,12,2,0.08,1.7,1.7,0.14,-0.7,2023-2024,ligue-1
sacha delaye,Montpellier,5,2,0.0,0.3,0.3,0.07,-0.3,2023-2024,ligue-1
karamoko dembele,Brest,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
ousmane dembele,Paris S-G,43,14,0.07,4.4,4.4,0.1,-1.4,2023-2024,ligue-1
jessy deminguet,Strasbourg,3,1,0.0,0.3,0.3,0.1,-0.3,2023-2024,ligue-1
remy descamps,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
mikkel desler,Toulouse,16,0,0.0,1.1,1.0,0.06,-1.1,2023-2024,ligue-1
arthur desmas,Le Havre,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
lamine diack,Nantes,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
mamadou diakhon,Reims,1,1,0.0,0.0,0.0,0.01,0.0,2023-2024,ligue-1
bafode diakite,Lille,16,7,0.31,2.0,2.0,0.13,3.0,2023-2024,ligue-1
ibrahim diakite,Reims,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
oumar diakite,Reims,35,11,0.14,7.0,6.2,0.18,-2.0,2023-2024,ligue-1
habib diarra,Strasbourg,38,14,0.05,3.4,2.7,0.07,-0.4,2023-2024,ligue-1
moussa diarra,Toulouse,5,2,0.2,0.5,0.5,0.09,0.5,2023-2024,ligue-1
krepin diatta,Monaco,9,0,0.0,0.5,0.5,0.06,-0.5,2023-2024,ligue-1
mory diaw,Clermont Foot,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
mahamadou diawara,Lyon,6,0,0.0,0.7,0.7,0.12,-0.7,2023-2024,ligue-1
bamba dieng,Lorient,17,7,0.24,3.2,3.2,0.19,0.8,2023-2024,ligue-1
guillaume dietsch,Metz,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
sinaly diomande,Lyon,6,1,0.0,1.0,1.0,0.17,-1.0,2023-2024,ligue-1
edan diop,Monaco,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
sofiane diop,Nice,14,6,0.0,1.2,1.2,0.09,-1.2,2023-2024,ligue-1
andy diouf,Lens,27,8,0.04,1.5,1.5,0.06,-0.5,2023-2024,ligue-1
yehvann diouf,Reims,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
chaim el djebali,Lyon,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
jeremy doku,Rennes,6,4,0.17,0.6,0.6,0.1,0.4,2023-2024,ligue-1
gianluigi donnarumma,Paris S-G,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
sirine doucoure,Lorient,9,5,0.11,0.9,0.9,0.1,0.1,2023-2024,ligue-1
desire doue,Rennes,34,13,0.12,2.4,2.4,0.07,1.6,2023-2024,ligue-1
guela doue,Rennes,15,3,0.0,0.5,0.5,0.03,-0.5,2023-2024,ligue-1
douglas,Nantes,16,5,0.0,1.2,1.2,0.07,-1.2,2023-2024,ligue-1
ismael doukoure,Strasbourg,9,0,0.0,0.3,0.3,0.03,-0.3,2023-2024,ligue-1
kamory doumbia,Brest,25,11,0.24,4.2,4.2,0.17,1.8,2023-2024,ligue-1
jeankevin duverne,Nantes,4,1,0.0,0.3,0.3,0.07,-0.3,2023-2024,ligue-1
aron dnnum,Toulouse,21,9,0.0,1.0,1.0,0.05,-1.0,2023-2024,ligue-1
simon ebonog,Le Havre,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
hugo ekitike,Paris S-G,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
simon elisor,Metz,13,6,0.08,2.3,1.5,0.11,-1.3,2023-2024,ligue-1
breel embolo,Monaco,6,3,0.17,0.7,0.7,0.12,0.3,2023-2024,ligue-1
emanuel emegha,Strasbourg,47,20,0.17,10.9,10.1,0.21,-2.9,2023-2024,ligue-1
maxime esteve,Montpellier,5,2,0.2,0.2,0.2,0.05,0.8,2023-2024,ligue-1
oscar estupinan,Metz,6,1,0.0,0.5,0.5,0.09,-0.5,2023-2024,ligue-1
romain faivre,Lorient,27,10,0.19,2.8,2.8,0.1,2.2,2023-2024,ligue-1
ilhan fakili,Clermont Foot,4,2,0.0,0.2,0.2,0.04,-0.2,2023-2024,ligue-1
khalil fayad,Montpellier,17,7,0.18,1.9,1.9,0.11,1.1,2023-2024,ligue-1
ichem ferrah,Lille,0,0,,0.0,0.0,,0.0,2023-2024,ligue-1
jordan ferri,Montpellier,9,1,0.11,0.6,0.6,0.07,0.4,2023-2024,ligue-1
malick fofana,Lyon,9,7,0.33,1.8,1.8,0.2,1.2,2023-2024,ligue-1
youssouf fofana,Monaco,52,13,0.08,5.0,5.0,0.1,-1.0,2023-2024,ligue-1
thomas foket,Reims,3,0,0.0,0.2,0.2,0.07,-0.2,2023-2024,ligue-1
tiago fonseca morais,Lille,1,0,0.0,0.4,0.4,0.36,-0.4,2023-2024,ligue-1
przemysaw frankowski,Lens,29,8,0.07,3.7,2.1,0.08,-0.7,2023-2024,ligue-1
angelo fulgini,Lens,46,10,0.02,3.2,3.2,0.07,-2.2,2023-2024,ligue-1
kevin gameiro,Strasbourg,27,10,0.07,3.4,1.9,0.07,0.6,2023-2024,ligue-1
