Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
keyliane abdallah,Marseille,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
yunis abdelhamid,Saint-Étienne,2,1,0.0,0.2,0.2,0.12,-0.2,2024-2025,ligue1
himad abdelli,Angers,35,8,0.09,6.4,3.2,0.09,-0.4,2024-2025,ligue1
mohamed abdelmoneim,Nice,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
ali abdi,Nice,29,11,0.17,4.3,4.3,0.17,0.7,2024-2025,ligue1
matthis abline,Nantes,73,26,0.11,8.5,7.7,0.11,0.5,2024-2025,ligue1
abner,Lyon,7,3,0.14,0.6,0.6,0.08,0.4,2024-2025,ligue1
zakaria aboukhlal,Toulouse,62,26,0.1,10.2,8.6,0.14,-3.2,2024-2025,ligue1
akor adams,Montpellier,26,12,0.12,4.3,4.3,0.16,-1.3,2024-2025,ligue1
martin adeline,Reims,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
adryelson,Lyon,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
emmanuel agbadou,Reims,15,3,0.0,0.5,0.5,0.04,-0.5,2024-2025,ligue1
jeremy agbonifo,Lens,6,4,0.17,0.7,0.7,0.11,0.3,2024-2025,ligue1
ruben aguilar,Lens,11,3,0.09,0.8,0.8,0.07,0.2,2024-2025,ligue1
naouirou ahamada,Rennes,1,0,0.0,0.0,0.0,0.02,0.0,2024-2025,ligue1
jeaneudes aholou,Angers,27,7,0.07,1.8,1.8,0.07,0.2,2024-2025,ligue1
ayman aiki,Saint-Étienne,3,1,0.0,0.1,0.1,0.03,-0.1,2024-2025,ligue1
ludovic ajorque,Brest,53,25,0.25,10.4,9.6,0.18,2.6,2024-2025,ligue1
umit akdag,Toulouse,2,0,0.0,0.1,0.1,0.04,-0.1,2024-2025,ligue1
sergio akieme,Reims,26,7,0.08,1.5,1.5,0.06,0.5,2024-2025,ligue1
maghnes akliouche,Monaco,61,17,0.07,9.2,8.4,0.14,-4.2,2024-2025,ligue1
paul akouokou,Lyon,0,0,,0.0,0.0,,0.0,2024-2025,ligue1
clement akpa,Auxerre,6,1,0.0,0.3,0.3,0.05,-0.3,2024-2025,ligue1
chuba akpom,Lille,18,9,0.11,5.0,3.4,0.19,-2.0,2024-2025,ligue1
mohamed ali cho,Nice,36,15,0.08,4.0,4.0,0.11,-1.0,2024-2025,ligue1
jim allevinah,Angers,35,10,0.03,4.2,4.2,0.12,-3.2,2024-2025,ligue1
thiago almada,Lyon,23,5,0.04,2.0,2.0,0.09,-1.0,2024-2025,ligue1
jordan amavi,Brest,8,3,0.0,0.3,0.3,0.03,-0.3,2024-2025,ligue1
kelvin amian,Nantes,7,4,0.14,1.0,1.0,0.14,0.0,2024-2025,ligue1
michael amir murillo,Marseille,13,4,0.08,1.5,1.5,0.12,-0.5,2024-2025,ligue1
samuel amoameyaw,Strasbourg,9,7,0.22,0.7,0.7,0.08,1.3,2024-2025,ligue1
mathis amougou,Saint-Étienne,7,1,0.0,0.5,0.5,0.06,-0.5,2024-2025,ligue1
benjamin andre,Lille,16,4,0.0,1.4,1.4,0.09,-1.4,2024-2025,ligue1
kyllian antonio,Lens,1,0,0.0,0.1,0.1,0.05,-0.1,2024-2025,ligue1
dennis appiah,Saint-Étienne,5,2,0.0,0.2,0.2,0.04,-0.2,2024-2025,ligue1
