Player,Squad,Sh,SoT,G/Sh,xG,npxG,npxG/Sh,G-xG,Season,Competition
tammy abraham,Roma,4,2,0.25,0.6,0.6,0.15,0.4,2023-2024,serie-a
francesco acerbi,Inter,15,6,0.2,1.6,1.6,0.11,1.4,2023-2024,serie-a
yacine adli,Milan,4,1,0.25,0.3,0.3,0.07,0.7,2023-2024,serie-a
michel aebischer,Bologna,18,5,0.0,1.1,1.1,0.06,-1.1,2023-2024,serie-a
lucien agoume,Inter,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
marley ake,Udinese,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
jeandaniel akpaakpro,Monza,7,3,0.0,0.5,0.5,0.08,-0.5,2023-2024,serie-a
david akpan ankeye,Genoa,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
luis alberto,Lazio,56,15,0.09,4.7,4.7,0.08,0.3,2023-2024,serie-a
carlos alcaraz,Juventus,11,2,0.0,0.4,0.4,0.03,-0.4,2023-2024,serie-a
pontus almqvist,Lecce,40,15,0.05,2.3,2.3,0.06,-0.3,2023-2024,serie-a
lorenzo amatucci,Fiorentina,1,0,0.0,0.0,0.0,0.01,0.0,2023-2024,serie-a
bruno amione,Hellas Verona,5,3,0.0,0.3,0.3,0.06,-0.3,2023-2024,serie-a
felipe anderson,Lazio,43,11,0.12,4.4,4.4,0.1,0.6,2023-2024,serie-a
angelino,Roma,8,2,0.0,0.2,0.2,0.02,-0.2,2023-2024,serie-a
houssem aouar,Roma,12,7,0.33,2.3,2.3,0.19,1.7,2023-2024,serie-a
simone aresti,Cagliari,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
marko arnautovic,Inter,17,9,0.29,5.0,5.0,0.29,0.0,2023-2024,serie-a
kristjan asllani,Inter,15,4,0.07,0.6,0.6,0.04,0.4,2023-2024,serie-a
emil audero,Inter,0,0,,0.0,0.0,,0.0,2023-2024,serie-a
tommaso augello,Cagliari,10,3,0.1,0.5,0.5,0.05,0.5,2023-2024,serie-a
carlos augusto,Inter,22,6,0.0,1.0,1.0,0.05,-1.0,2023-2024,serie-a
yann aurel bisseck,Inter,12,4,0.17,0.9,0.9,0.07,1.1,2023-2024,serie-a
sardar azmoun,Roma,16,7,0.19,2.9,2.9,0.2,0.1,2023-2024,serie-a
