Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
brenden aaronson,Union Berlin,2000.0,30,14,1267,2,2,3,1,37,56,91,2023-2024,bundesliga
paxten aaronson,Eint Frankfurt,2003.0,7,1,101,0,1,0,0,2,5,7,2023-2024,bundesliga
junior adamu,Freiburg,2001.0,15,0,105,0,0,0,0,1,1,5,2023-2024,bundesliga
sargis adamyan,Köln,1993.0,20,8,801,1,2,2,0,15,18,42,2023-2024,bundesliga
karim adeyemi,Dortmund,2002.0,21,10,913,3,1,6,1,52,26,96,2023-2024,bundesliga
amine adli,Leverkusen,2000.0,23,8,898,4,6,5,0,32,39,131,2023-2024,bundesliga
felix agu,Werder Bremen,1999.0,24,19,1614,0,0,2,0,32,32,90,2023-2024,bundesliga
ludovic ajorque,Mainz 05,1994.0,26,15,1360,2,0,4,0,5,21,88,2023-2024,bundesliga
kevin akpoguma,Hoffenheim,1995.0,17,11,1097,0,0,7,0,10,55,9,2023-2024,bundesliga
faride alidou,Köln,2001.0,26,14,1282,4,0,4,0,51,33,95,2023-2024,bundesliga
skelly alvero,Werder Bremen,2002.0,6,1,123,1,0,1,0,1,9,6,2023-2024,bundesliga
nadiem amiri,Mainz 05,1996.0,15,15,1315,1,4,5,0,16,88,22,2023-2024,bundesliga
nadiem amiri,Leverkusen,1996.0,8,1,86,0,0,0,0,5,6,6,2023-2024,bundesliga
kofi amoako,Wolfsburg,2005.0,2,0,2,0,0,0,0,0,0,0,2023-2024,bundesliga
robert andrich,Leverkusen,1994.0,28,18,1690,4,2,4,0,20,97,14,2023-2024,bundesliga
waldemar anton,Stuttgart,1996.0,33,32,2886,0,3,7,0,38,172,15,2023-2024,bundesliga
christopher antwiadjei,Bochum,1994.0,25,11,1216,2,2,5,0,50,28,138,2023-2024,bundesliga
asaf arania,Darmstadt 98,2005.0,1,0,6,0,0,0,0,0,0,2,2023-2024,bundesliga
maximilian arnold,Wolfsburg,1994.0,30,27,2506,2,1,9,0,20,143,19,2023-2024,bundesliga
arthur,Leverkusen,2003.0,4,2,184,0,2,0,0,8,7,28,2023-2024,bundesliga
takuma asano,Bochum,1994.0,29,26,1986,6,1,2,0,56,32,167,2023-2024,bundesliga
jonathan asp jensen,Bayern Munich,2006.0,1,0,1,0,0,0,0,0,0,0,2023-2024,bundesliga
noah atubolu,Freiburg,2002.0,34,34,3060,0,0,0,0,0,1,0,2023-2024,bundesliga
matthias bader,Darmstadt 98,1997.0,24,21,1802,1,2,1,0,38,67,66,2023-2024,bundesliga
ridle baku,Wolfsburg,1998.0,33,22,2013,1,0,4,0,37,85,130,2023-2024,bundesliga
samuel bamba,Dortmund,2004.0,2,0,47,0,0,0,0,5,2,7,2023-2024,bundesliga
aymen barkok,Mainz 05,1998.0,13,1,321,1,0,2,0,14,16,33,2023-2024,bundesliga
leandro barreiro martins,Mainz 05,2000.0,31,29,2606,4,1,8,0,22,93,46,2023-2024,bundesliga
daniel batz,Mainz 05,1991.0,4,4,360,0,0,0,0,0,0,0,2023-2024,bundesliga
maximilian bauer,Augsburg,2000.0,14,9,810,1,0,3,0,2,25,1,2023-2024,bundesliga
elias baum,Eint Frankfurt,2005.0,4,0,28,0,0,0,0,0,0,2,2023-2024,bundesliga
oliver baumann,Hoffenheim,1990.0,34,34,3060,0,1,1,0,0,1,0,2023-2024,bundesliga
christoph baumgartner,RB Leipzig,1999.0,32,11,1158,5,1,3,0,36,47,86,2023-2024,bundesliga
ihlas bebou,Hoffenheim,1994.0,32,16,1636,7,5,3,0,42,38,145,2023-2024,bundesliga
adrian beck,Heidenheim,1997.0,23,11,974,1,1,1,0,17,29,43,2023-2024,bundesliga
sheraldo becker,Union Berlin,1995.0,11,7,645,0,1,0,0,32,20,73,2023-2024,bundesliga
chris bedia,Union Berlin,1996.0,7,0,145,1,0,0,0,1,1,6,2023-2024,bundesliga
donny van de beek,Eint Frankfurt,1997.0,8,4,357,0,0,1,0,2,10,12,2023-2024,bundesliga
kevin behrens,Wolfsburg,1991.0,13,7,616,1,1,1,0,7,17,41,2023-2024,bundesliga
kevin behrens,Union Berlin,1991.0,18,14,1262,4,0,3,0,11,45,93,2023-2024,bundesliga
maximilian beier,Hoffenheim,2002.0,33,29,2420,16,1,0,0,61,30,224,2023-2024,bundesliga
stefan bell,Mainz 05,1991.0,10,8,666,0,0,3,0,0,23,2,2023-2024,bundesliga
ramy bensebaini,Dortmund,1995.0,17,11,1033,0,0,4,1,17,75,63,2023-2024,bundesliga
mergim berisha,Hoffenheim,1998.0,6,0,144,0,0,0,0,2,3,13,2023-2024,bundesliga
mergim berisha,Augsburg,1998.0,2,2,122,0,0,0,0,3,1,5,2023-2024,bundesliga
bernardo,Bochum,1995.0,33,33,2924,1,0,9,0,26,127,38,2023-2024,bundesliga
matus bero,Bochum,1995.0,24,20,1661,1,1,6,0,12,48,71,2023-2024,bundesliga
janniklas beste,Heidenheim,1999.0,31,31,2603,8,11,4,0,80,57,136,2023-2024,bundesliga
pep biel,Augsburg,1996.0,11,0,285,0,0,1,0,2,16,16,2023-2024,bundesliga
tom bischof,Hoffenheim,2005.0,13,1,178,0,2,0,0,2,18,18,2023-2024,bundesliga
leonardo bittencourt,Werder Bremen,1993.0,29,19,1578,1,2,9,0,61,85,74,2023-2024,bundesliga
hendry blank,Dortmund,2004.0,1,0,45,0,0,0,0,0,1,0,2023-2024,bundesliga
janis blaswich,RB Leipzig,1991.0,21,21,1890,0,0,0,0,0,3,0,2023-2024,bundesliga
sacha boey,Bayern Munich,2000.0,2,1,109,0,0,1,0,1,5,8,2023-2024,bundesliga
victor boniface,Leverkusen,2000.0,23,18,1546,14,8,2,0,50,34,158,2023-2024,bundesliga
leonardo bonucci,Union Berlin,1987.0,7,6,460,1,0,0,0,0,21,1,2023-2024,bundesliga
yvandro borges sanches,Gladbach,2004.0,3,0,18,0,0,0,0,1,0,0,2023-2024,bundesliga
sebastiaan bornauw,Wolfsburg,1999.0,20,16,1431,0,0,5,0,2,41,2,2023-2024,bundesliga
rafael borre,Werder Bremen,1995.0,19,11,991,4,0,0,0,16,28,73,2023-2024,bundesliga
julian brandt,Dortmund,1996.0,32,26,2223,7,11,2,0,74,116,158,2023-2024,bundesliga
fabian bredlow,Stuttgart,1995.0,4,4,360,0,0,0,0,0,0,0,2023-2024,bundesliga
tim breithaupt,Augsburg,2002.0,16,6,629,0,0,3,0,0,21,2,2023-2024,bundesliga
maximilian breunig,Freiburg,2000.0,2,0,9,0,0,0,0,0,0,0,2023-2024,bundesliga
bennit broger,Wolfsburg,2006.0,1,0,11,0,0,0,0,0,0,0,2023-2024,bundesliga
john brooks,Hoffenheim,1993.0,21,18,1539,2,0,6,1,5,61,1,2023-2024,bundesliga
moritz broschinski,Bochum,2000.0,26,14,1247,2,3,4,0,18,10,92,2023-2024,bundesliga
alexander brunst,Darmstadt 98,1995.0,3,3,270,0,0,2,0,0,0,0,2023-2024,bundesliga
marius bulter,Hoffenheim,1993.0,30,15,1351,1,4,3,1,37,60,107,2023-2024,bundesliga
jonathan burkardt,Mainz 05,2000.0,21,18,1538,8,2,2,0,36,28,101,2023-2024,bundesliga
oliver burke,Werder Bremen,1997.0,1,0,32,0,0,0,0,2,0,1,2023-2024,bundesliga
marnon busch,Heidenheim,1994.0,16,5,595,0,0,1,0,15,34,27,2023-2024,bundesliga
aurelio buta,Eint Frankfurt,1997.0,30,20,1744,1,1,5,0,51,90,104,2023-2024,bundesliga
anthony caci,Mainz 05,1997.0,31,29,2486,2,3,8,0,43,144,75,2023-2024,bundesliga
emre can,Dortmund,1994.0,25,22,1953,2,2,5,0,35,110,18,2023-2024,bundesliga
irvin cardona,Augsburg,1997.0,3,0,54,0,0,1,0,3,2,6,2023-2024,bundesliga
rasmus carstensen,Köln,2000.0,23,18,1659,0,0,2,1,32,52,89,2023-2024,bundesliga
fabio carvalho,RB Leipzig,2002.0,9,1,165,0,0,0,0,8,9,13,2023-2024,bundesliga
koen casteels,Wolfsburg,1992.0,25,25,2250,0,0,2,0,0,1,0,2023-2024,bundesliga
vaclav cerny,Wolfsburg,1997.0,22,12,921,4,1,2,0,26,37,83,2023-2024,bundesliga
julian chabot,Köln,1998.0,32,32,2703,0,0,9,1,17,71,8,2023-2024,bundesliga
el chadaille bitshiabu,RB Leipzig,2005.0,6,0,34,0,0,0,0,2,1,5,2023-2024,bundesliga
fares chaibi,Eint Frankfurt,2002.0,28,21,1912,2,4,2,0,53,86,143,2023-2024,bundesliga
timothy chandler,Eint Frankfurt,1990.0,6,0,18,0,1,0,0,1,5,10,2023-2024,bundesliga
fabio chiarodia,Gladbach,2005.0,7,1,152,0,0,0,0,0,4,1,2023-2024,bundesliga
jacob christensen,Köln,2001.0,7,2,219,0,0,1,0,2,12,1,2023-2024,bundesliga
nnamdi collins,Eint Frankfurt,2004.0,2,1,90,0,0,0,0,1,13,5,2023-2024,bundesliga
kingsley coman,Bayern Munich,1996.0,17,15,1113,3,3,1,0,75,72,210,2023-2024,bundesliga
bambase conte,Hoffenheim,2003.0,7,0,48,0,0,0,0,3,2,8,2023-2024,bundesliga
danny da costa,Mainz 05,1993.0,19,9,830,0,1,1,0,22,40,53,2023-2024,bundesliga
nicolas cozza,Wolfsburg,1999.0,6,3,276,0,0,1,0,5,16,8,2023-2024,bundesliga
tomas cvancara,Gladbach,2000.0,21,7,896,4,1,4,0,12,13,47,2023-2024,bundesliga
finn dahmen,Augsburg,1998.0,31,31,2790,0,0,4,0,0,3,0,2023-2024,bundesliga
mahmoud dahoud,Stuttgart,1996.0,13,1,227,1,0,0,0,1,19,5,2023-2024,bundesliga
lukas daschner,Bochum,1998.0,20,3,536,1,1,2,0,11,17,37,2023-2024,bundesliga
david datro fofana,Union Berlin,2002.0,12,8,682,1,0,0,0,20,14,66,2023-2024,bundesliga
alphonso davies,Bayern Munich,2000.0,29,24,2065,2,5,0,0,121,117,139,2023-2024,bundesliga
olivier deman,Werder Bremen,2000.0,29,14,1365,2,1,5,0,26,40,53,2023-2024,bundesliga
