Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
nabil aberdin,Getafe,2002.0,2,2,180,0,0,0,0,0,7,0,2023-2024,laliga
abner,Betis,2000.0,23,15,1400,0,1,3,0,14,33,58,2023-2024,laliga
abdel abqar,Alavés,1999.0,27,27,2312,0,0,10,0,7,49,1,2023-2024,laliga
marcos acuna,Sevilla,1991.0,21,18,1292,1,2,7,0,23,59,42,2023-2024,laliga
julen agirrezabala,Athletic Club,2000.0,4,2,238,0,0,0,0,0,0,0,2023-2024,laliga
lucien agoume,Sevilla,2002.0,12,9,777,0,0,3,0,7,35,9,2023-2024,laliga
joseph aidoo,Celta Vigo,1995.0,6,4,407,0,0,0,0,2,12,0,2023-2024,laliga
ilias akhomach,Villarreal,2004.0,31,17,1511,2,2,4,0,68,45,160,2023-2024,laliga
sergio akieme,Almería,1997.0,19,19,1675,2,0,2,0,27,28,72,2023-2024,laliga
paul akouokou,Betis,1997.0,2,0,27,0,0,0,0,0,1,0,2023-2024,laliga
david alaba,Real Madrid,1992.0,14,14,1154,0,1,2,0,9,51,13,2023-2024,laliga
raul albiol,Villarreal,1985.0,26,24,2031,0,1,6,0,8,62,0,2023-2024,laliga
ruben alcaraz,Cádiz,1991.0,36,36,3134,3,1,14,0,27,154,37,2023-2024,laliga
omar alderete,Getafe,1996.0,31,24,2195,0,1,8,1,23,98,9,2023-2024,laliga
ivan alejo,Cádiz,1995.0,30,21,1692,0,2,17,0,48,31,104,2023-2024,laliga
carles alena,Getafe,1998.0,29,10,1020,1,1,6,0,12,23,45,2023-2024,laliga
mohamed ali cho,Real Sociedad,2004.0,11,1,249,0,0,0,0,16,3,19,2023-2024,laliga
tadeo allende,Celta Vigo,1999.0,10,2,336,1,0,1,0,9,7,25,2023-2024,laliga
domingos andre ribeiro almeida,Valencia,2000.0,18,12,965,2,1,0,0,24,50,33,2023-2024,laliga
marcos alonso,Barcelona,1990.0,5,3,252,0,0,0,0,11,14,33,2023-2024,laliga
adria altimira,Villarreal,2001.0,11,10,775,0,0,3,0,10,29,15,2023-2024,laliga
sergi altimira,Betis,2001.0,14,6,568,1,0,1,0,10,31,8,2023-2024,laliga
gaston alvarez,Getafe,2000.0,34,29,2537,2,0,7,0,11,63,40,2023-2024,laliga
hugo alvarez,Celta Vigo,2003.0,12,8,762,1,1,1,0,36,34,80,2023-2024,laliga
yeray alvarez,Athletic Club,1995.0,19,14,1152,0,0,1,1,13,55,2,2023-2024,laliga
selim amallah,Valencia,1996.0,20,7,604,0,1,5,1,7,21,36,2023-2024,laliga
amath,Mallorca,1996.0,15,3,394,0,0,2,0,19,13,30,2023-2024,laliga
miguel angel rubio,Granada,1998.0,19,17,1560,1,0,5,0,7,27,1,2023-2024,laliga
fabrizio angileri,Getafe,1994.0,11,2,164,0,0,2,1,2,7,6,2023-2024,laliga
mauro arambarri,Getafe,1995.0,7,3,339,0,0,2,0,2,20,6,2023-2024,laliga
jon aramburu,Real Sociedad,2002.0,11,5,543,0,0,3,0,6,26,25,2023-2024,laliga
julian araujo,Las Palmas,2001.0,25,15,1462,1,0,5,0,23,74,47,2023-2024,laliga
