Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
yunis abdelhamid,Reims,1987,37,37,3330,1,2,6,0,40,215,10,2022-2023,ligue-1
himad abdelli,Angers,1999,30,24,2137,2,2,3,0,58,151,111,2022-2023,ligue-1
salis abdul samed,Lens,2000,33,33,2894,1,1,6,1,33,165,44,2022-2023,ligue-1
laurent abergel,Lorient,1993,29,28,2342,0,1,7,1,13,143,14,2022-2023,ligue-1
matthis abline,Auxerre,2003,19,8,806,2,1,1,0,14,8,49,2022-2023,ligue-1
matthis abline,Rennes,2003,11,0,107,1,0,0,0,4,2,11,2022-2023,ligue-1
zakaria aboukhlal,Toulouse,2000,37,28,2473,10,5,4,0,100,72,276,2022-2023,ligue-1
mohamed achi,Nantes,2002,2,0,36,0,0,0,0,2,3,1,2022-2023,ligue-1
martin adeline,Reims,2003,5,0,107,0,0,2,0,1,3,1,2022-2023,ligue-1
emmanuel agbadou,Reims,1997,29,27,2388,0,3,5,3,15,131,8,2022-2023,ligue-1
lucien agoume,Troyes,2002,15,14,1094,0,1,5,0,9,93,10,2022-2023,ligue-1
ruben aguilar,Monaco,1993,20,14,1172,0,0,3,0,29,102,78,2022-2023,ligue-1
amar ahmed,Troyes,2004,1,0,20,0,0,0,0,0,1,2,2022-2023,ligue-1
jeaneudes aholou,Strasbourg,1994,30,16,1300,3,1,4,1,25,50,37,2022-2023,ligue-1
ludovic ajorque,Strasbourg,1994,13,9,771,1,0,1,0,2,13,55,2022-2023,ligue-1
maghnes akliouche,Monaco,2002,11,5,402,0,0,3,0,9,16,42,2022-2023,ligue-1
dogan alemdar,Rennes,2002,6,4,406,0,0,1,0,0,0,0,2022-2023,ligue-1
jim allevinah,Clermont Foot,1995,36,25,2244,1,1,2,0,82,59,141,2022-2023,ligue-1
mickael alphonse,Ajaccio,1989,26,14,1361,0,0,2,1,30,51,34,2022-2023,ligue-1
ibrahim amadou,Angers,1993,7,4,424,0,0,2,0,0,5,5,2022-2023,ligue-1
ayoub amraoui,Nice,2004,7,3,294,0,0,1,0,6,13,18,2022-2023,ligue-1
benjamin andre,Lille,1990,34,33,2916,1,1,12,0,41,309,46,2022-2023,ligue-1
komnen andric,Clermont Foot,1995,34,16,1446,4,3,4,0,8,27,88,2022-2023,ligue-1
houssem aouar,Lyon,1998,16,6,526,1,1,2,0,12,37,36,2022-2023,ligue-1
adil aouchiche,Lorient,2002,11,1,250,0,0,0,0,16,23,20,2022-2023,ligue-1
dennis appiah,Nantes,1992,15,9,795,0,0,1,0,15,39,51,2022-2023,ligue-1
stredair appuah,Nantes,2004,5,0,66,0,0,0,0,7,3,10,2022-2023,ligue-1
tairyk arconte,Brest,2003,4,1,128,0,0,0,0,1,1,8,2022-2023,ligue-1
mohamed el arouch,Lyon,2004,1,0,2,0,0,0,0,1,1,0,2022-2023,ligue-1
lorenz assignon,Rennes,2000,12,2,261,0,1,3,0,10,11,13,2022-2023,ligue-1
youcef atal,Nice,1996,18,8,779,1,0,1,0,38,39,63,2022-2023,ligue-1
valentin atangana edoa,Reims,2005,7,2,174,0,0,0,0,5,5,6,2022-2023,ligue-1
mathias autret,Auxerre,1991,23,16,1290,2,2,0,0,20,77,58,2022-2023,ligue-1
cedric avinel,Ajaccio,1986,24,19,1794,1,0,2,1,3,31,1,2022-2023,ligue-1
loic bade,Rennes,2000,1,1,90,0,1,1,0,0,3,0,2022-2023,ligue-1
benoit badiashile,Monaco,2001,11,9,839,2,0,3,0,3,39,0,2022-2023,ligue-1
eric bailly,Marseille,1994,17,5,543,0,0,1,0,4,12,4,2022-2023,ligue-1
denys bain,Auxerre,1993,2,1,126,0,0,0,0,0,3,0,2022-2023,ligue-1
brandon baiye,Clermont Foot,2000,7,0,51,0,0,0,0,0,2,0,2022-2023,ligue-1
cedric bakambu,Marseille,1991,3,0,59,0,1,0,0,1,0,4,2022-2023,ligue-1
thierno balde,Troyes,2002,31,25,2153,0,1,1,0,66,60,118,2022-2023,ligue-1
carlos baleba,Lille,2004,19,5,478,0,0,3,1,16,33,12,2022-2023,ligue-1
leonardo balerdi,Marseille,1999,35,30,2639,0,1,9,1,15,97,19,2022-2023,ligue-1
folarin balogun,Reims,2001,37,34,2999,21,2,5,0,56,55,283,2022-2023,ligue-1
abdoulaye bamba,Angers,1990,21,12,1364,0,0,2,0,8,36,19,2022-2023,ligue-1
jonathan bamba,Lille,1996,34,32,2783,6,7,6,0,111,146,345,2022-2023,ligue-1
bradley barcola,Lyon,2002,26,15,1440,5,8,3,0,51,39,156,2022-2023,ligue-1
melvin bard,Nice,2000,33,28,2456,0,0,6,0,61,96,126,2022-2023,ligue-1
ross barkley,Nice,1993,27,9,960,4,2,1,0,30,48,46,2022-2023,ligue-1
mickael barreto,Ajaccio,1991,20,15,1325,1,1,1,0,26,87,53,2022-2023,ligue-1
cyrille bayala,Ajaccio,1996,33,25,2009,1,1,3,1,46,66,109,2022-2023,ligue-1
yanis begraoui,Toulouse,2001,3,1,65,0,0,0,0,1,3,3,2022-2023,ligue-1
alexis beka beka,Nice,2001,14,7,545,0,0,2,0,13,25,23,2022-2023,ligue-1
jeremie bela,Clermont Foot,1993,19,7,743,1,1,0,0,22,24,54,2022-2023,ligue-1
reda belahyane,Nice,2004,4,1,182,0,0,0,0,3,10,1,2022-2023,ligue-1
youcef belaili,Ajaccio,1992,17,15,1150,6,3,2,0,32,55,68,2022-2023,ligue-1
youcef belaili,Brest,1992,6,4,356,0,2,3,0,16,14,31,2022-2023,ligue-1
haris belkebla,Brest,1994,38,30,2656,2,0,3,0,19,129,37,2022-2023,ligue-1
jeanricner bellegarde,Strasbourg,1998,30,29,2419,2,6,5,0,104,153,110,2022-2023,ligue-1
jeanuel belocian,Rennes,2005,8,6,506,0,0,1,0,8,21,21,2022-2023,ligue-1
eliesse ben seghir,Monaco,2005,19,13,1052,4,1,1,0,31,55,93,2022-2023,ligue-1
salim ben seghir,Marseille,2003,1,0,4,0,0,0,0,0,0,0,2022-2023,ligue-1
wissam ben yedder,Monaco,1990,32,28,2114,19,6,4,0,48,75,198,2022-2023,ligue-1
nabil bentaleb,Angers,1994,30,29,2489,4,4,7,1,46,176,28,2022-2023,ligue-1
patrick berg,Lens,1997,3,0,25,0,0,0,0,0,3,4,2022-2023,ligue-1
mitchell van bergen,Reims,1999,28,6,905,0,1,1,0,51,21,89,2022-2023,ligue-1
quentin bernard,Auxerre,1989,7,7,630,0,1,0,0,4,27,14,2022-2023,ligue-1
paul bernardoni,Angers,1997,27,27,2430,0,0,0,0,0,0,0,2022-2023,ligue-1
juan bernat,Paris S-G,1993,28,18,1648,1,4,1,0,24,38,143,2022-2023,ligue-1
jason berthomier,Clermont Foot,1990,2,0,23,0,0,0,0,0,1,2,2022-2023,ligue-1
el bilal toure,Reims,2001,3,1,91,0,0,0,0,0,1,1,2022-2023,ligue-1
jeanclaude billong,Clermont Foot,1993,1,0,23,0,0,0,0,0,4,0,2022-2023,ligue-1
veljko birmancevic,Toulouse,1998,25,2,444,0,0,0,0,21,16,50,2022-2023,ligue-1
marco bizot,Brest,1991,37,37,3330,0,0,4,0,0,0,0,2022-2023,ligue-1
ruben blanco,Marseille,1995,6,6,495,0,0,0,0,0,0,0,2022-2023,ligue-1
ludovic blas,Nantes,1997,37,30,2813,7,5,6,0,122,147,248,2022-2023,ligue-1
miha blazic,Angers,1993,24,22,1979,2,0,4,0,0,64,0,2022-2023,ligue-1
joaquin blazquez,Brest,2001,1,1,90,0,0,0,0,0,0,0,2022-2023,ligue-1
myron boadu,Monaco,2001,12,3,295,3,0,0,0,5,3,21,2022-2023,ligue-1
jerome boateng,Lyon,1988,8,6,428,0,0,0,0,0,6,0,2022-2023,ligue-1
antonin bobichon,Angers,1995,3,0,18,0,0,0,0,2,4,8,2022-2023,ligue-1
quentin boisgard,Lorient,1997,5,1,184,1,0,1,0,7,11,15,2022-2023,ligue-1
neto borges,Clermont Foot,1996,33,33,2833,3,1,4,2,69,100,189,2022-2023,ligue-1
kenjivan boto,Auxerre,1996,2,2,180,0,0,0,0,4,2,10,2022-2023,ligue-1
kouame botue,Ajaccio,2002,8,2,229,0,0,0,0,4,4,16,2022-2023,ligue-1
badredine bouanani,Nice,2004,19,9,863,0,4,0,0,47,31,98,2022-2023,ligue-1
hicham boudaoui,Nice,1999,27,22,1875,1,2,5,0,39,110,55,2022-2023,ligue-1
franci bouebari,Strasbourg,2003,2,0,76,0,0,0,0,0,0,2,2022-2023,ligue-1
sofiane boufal,Angers,1993,13,9,834,4,3,3,1,49,56,94,2022-2023,ligue-1
ismael boura,Lens,2000,9,0,93,0,0,0,0,6,6,11,2022-2023,ligue-1
benjamin bourigeaud,Rennes,1994,37,37,3065,7,10,6,1,40,264,250,2022-2023,ligue-1
bilal brahimi,Nice,2000,26,5,800,3,2,0,0,41,16,100,2022-2023,ligue-1
lilian brassier,Brest,1999,36,35,3093,0,0,5,0,20,111,29,2022-2023,ligue-1
andreas bruus,Troyes,1999,27,18,1628,0,2,2,0,47,41,117,2022-2023,ligue-1
joe bryan,Nice,1993,6,2,177,0,0,3,0,2,8,16,2022-2023,ligue-1
adam buksa,Lens,1996,8,0,101,0,0,0,0,1,3,9,2022-2023,ligue-1
maxime busi,Reims,1999,21,11,1043,0,1,4,0,25,57,44,2022-2023,ligue-1
marcin buka,Nice,1999,2,2,180,0,0,0,0,0,0,0,2022-2023,ligue-1
remy cabella,Lille,1990,32,28,2525,7,10,3,0,113,230,242,2022-2023,ligue-1
jimmy cabot,Lens,1994,11,5,511,0,1,2,0,26,29,65,2022-2023,ligue-1
jens cajuste,Reims,1999,31,14,1530,3,1,8,1,46,109,40,2022-2023,ligue-1
duje caletacar,Marseille,1996,1,0,8,0,0,0,0,0,0,0,2022-2023,ligue-1
mahdi camara,Brest,1998,31,20,1820,2,0,4,1,32,80,44,2022-2023,ligue-1
mohamed camara,Monaco,2000,29,25,2194,0,3,6,1,28,135,19,2022-2023,ligue-1
ousmane camara,Auxerre,2001,3,0,24,0,0,1,0,2,2,1,2022-2023,ligue-1
ousmane camara,Angers,2003,9,6,521,0,0,2,0,3,16,0,2022-2023,ligue-1
axel camblan,Brest,2003,7,0,68,0,0,0,0,2,4,9,2022-2023,ligue-1
pierrick capelle,Angers,1987,26,15,1428,0,3,8,0,16,66,40,2022-2023,ligue-1
maxence caqueret,Lyon,2000,36,32,2767,4,7,2,0,46,183,114,2022-2023,ligue-1
irvin cardona,Brest,1997,10,1,233,0,0,0,0,3,4,14,2022-2023,ligue-1
igor carioca,Lorient,1996,7,5,456,0,0,2,1,8,22,23,2022-2023,ligue-1
matis carvalho,Montpellier,1999,2,1,136,0,0,0,0,0,0,0,2022-2023,ligue-1
jeancharles castelletto,Nantes,1995,32,30,2568,0,0,3,0,19,120,20,2022-2023,ligue-1
yoann cathline,Lorient,2002,23,11,1090,1,1,0,0,46,29,106,2022-2023,ligue-1
maximiliano caufriez,Clermont Foot,1997,26,25,2222,1,0,10,1,33,92,13,2022-2023,ligue-1
fabien centonze,Nantes,1996,23,19,1689,0,0,4,0,42,102,125,2022-2023,ligue-1
florian chabrolle,Ajaccio,1998,7,3,329,0,0,1,0,1,14,8,2022-2023,ligue-1
el chadaille bitshiabu,Paris S-G,2005,13,6,583,0,0,2,0,1,23,8,2022-2023,ligue-1
fares chaibi,Toulouse,2002,36,24,2340,5,5,2,0,71,101,212,2022-2023,ligue-1
muhammed cham,Clermont Foot,2000,38,23,1968,7,4,2,0,71,106,120,2022-2023,ligue-1
gaetan charbonnier,Auxerre,1988,6,3,254,1,0,1,0,2,11,18,2022-2023,ligue-1
