Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
keyliane abdallah,Marseille,2006,1,0,4,0,0,0,0,0,0,0,2023-2024,ligue1
yunis abdelhamid,Reims,1987,31,31,2781,4,0,5,0,36,137,9,2023-2024,ligue1
salis abdul samed,Lens,2000,27,17,1519,0,0,2,0,9,78,20,2023-2024,ligue1
laurent abergel,Lorient,1993,33,32,2860,2,1,4,0,38,194,51,2023-2024,ligue1
matthis abline,Nantes,2003,22,12,1044,5,0,1,0,28,20,87,2023-2024,ligue1
zakaria aboukhlal,Toulouse,2000,13,9,754,3,0,2,0,23,20,75,2023-2024,ligue1
akor adams,Montpellier,2000,32,27,2252,8,1,2,0,40,17,127,2023-2024,ligue1
nathaniel adjei,Lorient,2002,15,14,1243,0,0,2,0,10,34,4,2023-2024,ligue1
adryelson,Lyon,1998,2,0,6,0,0,0,0,0,0,0,2023-2024,ligue1
adson,Nantes,2000,8,2,238,0,0,0,0,18,15,19,2023-2024,ligue1
emmanuel agbadou,Reims,1997,32,29,2596,1,1,1,0,42,179,19,2023-2024,ligue1
ruben aguilar,Lens,1993,25,22,1922,1,3,3,0,36,110,162,2023-2024,ligue1
tosin aiyegun,Lorient,1998,19,10,902,2,0,0,1,17,16,52,2023-2024,ligue1
sergio akieme,Reims,1997,13,8,818,2,0,2,0,20,20,34,2023-2024,ligue1
maghnes akliouche,Monaco,2002,28,18,1613,7,4,5,0,46,93,135,2023-2024,ligue1
paul akouokou,Lyon,1997,8,4,307,0,0,1,0,0,13,2,2023-2024,ligue1
aboubacar ali,Strasbourg,2006,9,1,130,0,1,0,0,3,3,12,2023-2024,ligue1
mohamed ali cho,Nice,2004,17,11,861,1,2,2,0,48,25,77,2023-2024,ligue1
nabil alioui,Le Havre,1999,18,12,1009,4,1,1,0,22,43,72,2023-2024,ligue1
jim allevinah,Clermont Foot,1995,29,22,1861,2,1,1,0,87,52,120,2023-2024,ligue1
skelly alvero,Lyon,2002,8,6,426,1,0,2,0,3,27,13,2023-2024,ligue1
papa amadou diallo,Metz,2004,16,9,889,2,1,1,0,25,30,65,2023-2024,ligue1
jordan amavi,Brest,1994,2,1,91,1,0,1,0,0,2,1,2023-2024,ligue1
kelvin amian,Nantes,1998,12,11,798,0,1,2,0,12,28,21,2023-2024,ligue1
michael amir murillo,Marseille,1996,16,10,997,3,2,3,0,6,35,52,2023-2024,ligue1
benjamin andre,Lille,1990,30,29,2570,4,0,8,0,19,180,37,2023-2024,ligue1
komnen andric,Clermont Foot,1995,7,1,169,0,0,0,0,0,5,24,2023-2024,ligue1
angelo,Strasbourg,2004,21,11,1094,0,3,1,0,50,59,110,2023-2024,ligue1
stredair appuah,Nantes,2004,4,0,84,0,0,0,0,3,0,2,2023-2024,ligue1
yoel armougom,Clermont Foot,1998,5,2,234,0,0,1,0,6,12,25,2023-2024,ligue1
hakon arnar haraldsson,Lille,2003,26,15,1284,2,0,5,0,25,48,90,2023-2024,ligue1
mohamed el arouch,Lyon,2004,1,0,2,0,0,0,0,0,0,0,2023-2024,ligue1
marco asensio,Paris S-G,1996,19,13,1113,4,5,0,0,36,71,92,2023-2024,ligue1
joel asoro,Metz,1999,20,10,848,2,1,2,0,14,16,43,2023-2024,ligue1
