Player,Squad,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR,Season,Competition
max aarons,Bournemouth,2000.0,3,1,86,0,0,0,0,1,8,3,2024-2025,premier-league
joshua acheampong,Chelsea,2006.0,4,2,170,0,0,1,0,0,8,0,2024-2025,premier-league
tyler adams,Bournemouth,1999.0,28,21,1965,0,3,7,0,14,76,10,2024-2025,premier-league
tosin adarabioyo,Chelsea,1997.0,22,15,1409,1,1,4,0,5,42,1,2024-2025,premier-league
simon adingra,Brighton,2002.0,29,12,1097,2,2,0,0,50,18,136,2024-2025,premier-league
emmanuel agbadou,Wolves,1997.0,16,16,1410,1,0,3,0,6,31,2,2024-2025,premier-league
asher agbinone,Crystal Palace,2005.0,2,0,6,0,0,0,0,2,0,1,2024-2025,premier-league
ola aina,Nott'ham Forest,1996.0,35,35,2995,2,1,5,0,67,107,67,2024-2025,premier-league
rayan aitnouri,Wolves,2001.0,37,37,3109,4,7,7,1,89,108,176,2024-2025,premier-league
kristoffer ajer,Brentford,1998.0,24,17,1438,0,0,5,0,27,56,44,2024-2025,premier-league
manuel akanji,Manchester City,1995.0,26,23,2014,0,0,3,0,46,158,7,2024-2025,premier-league
nathan ake,Manchester City,1995.0,10,8,678,0,0,0,0,12,50,2,2024-2025,premier-league
carlos alcaraz,Southampton,2002.0,1,0,10,0,0,0,0,4,6,1,2024-2025,premier-league
carlos alcaraz,Everton,2002.0,15,7,764,2,3,4,0,19,42,21,2024-2025,premier-league
trent alexanderarnold,Liverpool,1998.0,33,28,2365,3,6,5,0,51,232,94,2024-2025,premier-league
alisson,Liverpool,1992.0,28,28,2508,0,0,0,0,0,1,0,2024-2025,premier-league
miguel almiron,Newcastle Utd,1994.0,9,1,157,0,0,0,0,3,6,18,2024-2025,premier-league
olabade aluko,Leicester City,,1,0,2,0,0,0,0,0,0,0,2024-2025,premier-league
edson alvarez,West Ham,1997.0,28,20,1772,0,1,9,1,24,85,18,2024-2025,premier-league
will alves,Leicester City,2005.0,1,0,1,0,0,0,0,0,0,1,2024-2025,premier-league
harry amass,Manchester Utd,2007.0,5,4,346,0,0,0,0,9,7,23,2024-2025,premier-league
samuel amoameyaw,Southampton,2006.0,2,0,28,0,0,1,0,1,0,3,2024-2025,premier-league
mathis amougou,Chelsea,2006.0,1,0,8,0,0,0,0,0,1,0,2024-2025,premier-league
joachim andersen,Crystal Palace,1996.0,1,1,90,0,0,1,0,1,4,1,2024-2025,premier-league
joachim andersen,Fulham,1996.0,29,29,2583,0,0,6,1,16,112,2,2024-2025,premier-league
elliot anderson,Nott'ham Forest,2002.0,37,33,2728,2,6,10,0,52,143,95,2024-2025,premier-league
andre,Wolves,2001.0,33,31,2472,0,0,7,0,10,109,11,2024-2025,premier-league
michail antonio,West Ham,1990.0,14,11,836,1,1,1,0,29,18,59,2024-2025,premier-league
antony,Manchester Utd,2000.0,8,0,141,0,0,0,0,5,6,7,2024-2025,premier-league
julian araujo,Bournemouth,2001.0,12,7,497,0,0,2,0,4,14,22,2024-2025,premier-league
cameron archer,Southampton,2001.0,35,13,1441,2,0,0,0,22,14,66,2024-2025,premier-league
alphonse areola,West Ham,1993.0,26,25,2260,0,0,0,0,0,1,0,2024-2025,premier-league
joe aribo,Southampton,1996.0,32,21,2013,3,0,1,0,36,75,65,2024-2025,premier-league
adam armstrong,Southampton,1997.0,20,15,1248,2,2,4,0,25,21,79,2024-2025,premier-league
harrison armstrong,Everton,2007.0,3,0,48,0,0,1,0,1,1,0,2024-2025,premier-league
kepa arrizabalaga,Bournemouth,1994.0,31,31,2790,0,0,3,0,0,2,0,2024-2025,premier-league
marco asensio,Aston Villa,1996.0,13,9,743,3,1,2,0,22,45,38,2024-2025,premier-league
brandon austin,Tottenham,1999.0,1,1,90,0,0,0,0,0,0,0,2024-2025,premier-league
taiwo awoniyi,Nott'ham Forest,1997.0,26,3,416,1,0,0,0,6,7,20,2024-2025,premier-league
yasin ayari,Brighton,2003.0,34,22,1965,2,1,3,0,30,75,61,2024-2025,premier-league
jordan ayew,Crystal Palace,1991.0,1,0,21,0,0,1,0,0,0,1,2024-2025,premier-league
jordan ayew,Leicester City,1991.0,30,19,1638,5,0,5,0,49,46,86,2024-2025,premier-league
benoit badiashile,Chelsea,2001.0,5,3,334,0,0,0,0,3,17,2,2024-2025,premier-league
leon bailey,Aston Villa,1997.0,24,14,1139,1,2,3,0,58,35,121,2024-2025,premier-league
carlos baleba,Brighton,2004.0,34,31,2661,3,1,8,1,43,118,29,2024-2025,premier-league
ross barkley,Aston Villa,1993.0,20,3,581,3,1,3,0,15,36,10,2024-2025,premier-league
harvey barnes,Newcastle Utd,1997.0,33,17,1755,9,4,0,0,93,83,192,2024-2025,premier-league
calvin bassey,Fulham,1999.0,35,34,3074,1,0,7,0,39,116,15,2024-2025,premier-league
altay bayndr,Manchester Utd,1998.0,4,4,360,0,0,0,0,0,0,0,2024-2025,premier-league
jan bednarek,Southampton,1996.0,30,30,2531,2,0,7,0,5,60,2,2024-2025,premier-league
armel bella kotchap,Southampton,2001.0,4,2,331,0,0,0,0,0,5,0,2024-2025,premier-league
jeanricner bellegarde,Wolves,1998.0,35,20,1677,2,7,3,0,52,43,89,2024-2025,premier-league
rodrigo bentancur,Tottenham,1997.0,26,21,1645,2,0,9,0,28,100,34,2024-2025,premier-league
daniel bentley,Wolves,1993.0,2,2,180,0,0,0,0,0,0,0,2024-2025,premier-league
sander berge,Fulham,1998.0,31,26,2224,0,0,6,0,29,124,9,2024-2025,premier-league
lucas bergvall,Tottenham,2006.0,27,11,1212,0,1,3,0,33,49,31,2024-2025,premier-league
victor bernth kristiansen,Leicester City,2002.0,30,29,2482,0,1,1,0,40,70,78,2024-2025,premier-league
beto,Everton,1998.0,30,15,1534,8,0,2,0,15,16,77,2024-2025,premier-league
philip billing,Bournemouth,1996.0,10,1,184,0,0,1,0,3,15,13,2024-2025,premier-league
yves bissouma,Tottenham,1996.0,28,16,1408,2,0,7,0,15,75,3,2024-2025,premier-league
oscar bobb,Manchester City,2003.0,3,0,16,0,0,0,0,1,1,1,2024-2025,premier-league
lamare bogarde,Aston Villa,2004.0,8,5,476,0,0,2,0,12,14,9,2024-2025,premier-league
willy boly,Nott'ham Forest,1991.0,6,1,150,0,0,1,0,0,2,0,2024-2025,premier-league
sven botman,Newcastle Utd,2000.0,8,6,412,0,0,1,0,0,7,0,2024-2025,premier-league
jarrod bowen,West Ham,1996.0,34,34,2973,13,8,1,0,109,91,212,2024-2025,premier-league
conor bradley,Liverpool,2003.0,19,7,754,0,2,4,0,35,33,39,2024-2025,premier-league
jarrad branthwaite,Everton,2002.0,30,28,2511,0,1,4,0,10,66,2,2024-2025,premier-league
james bree,Southampton,1997.0,17,13,1075,0,1,0,0,13,34,43,2024-2025,premier-league
ben brereton,Southampton,1999.0,10,4,449,0,0,1,0,12,9,42,2024-2025,premier-league
nathan broadhead,Ipswich Town,1998.0,18,7,702,2,0,1,0,20,14,33,2024-2025,premier-league
armando broja,Everton,2001.0,10,4,334,0,0,1,0,12,2,26,2024-2025,premier-league
david brooks,Bournemouth,1997.0,29,9,960,2,0,3,0,35,35,83,2024-2025,premier-league
emi buendia,Aston Villa,1996.0,12,0,98,0,0,1,0,3,7,6,2024-2025,premier-league
santiago bueno,Wolves,1998.0,29,18,1687,0,0,2,0,1,28,1,2024-2025,premier-league
facundo buonanotte,Leicester City,2004.0,31,14,1523,5,2,8,0,39,54,74,2024-2025,premier-league
cameron burgess,Ipswich Town,1995.0,18,16,1541,0,2,0,0,2,42,4,2024-2025,premier-league
dan burn,Newcastle Utd,1992.0,37,37,3330,1,1,11,0,12,75,14,2024-2025,premier-league
wes burns,Ipswich Town,1994.0,18,12,926,0,1,1,0,38,8,65,2024-2025,premier-league
nathan butleroyedeji,Arsenal,2003.0,1,0,7,0,0,0,0,0,0,0,2024-2025,premier-league
moises caicedo,Chelsea,2001.0,38,38,3351,1,2,11,0,43,215,37,2024-2025,premier-league
tom cairney,Fulham,1991.0,25,3,628,2,0,3,1,18,53,33,2024-2025,premier-league
jens cajuste,Ipswich Town,1999.0,30,25,1959,1,1,2,0,26,59,20,2024-2025,premier-league
riccardo calafiori,Arsenal,2002.0,19,11,983,2,1,4,0,22,54,29,2024-2025,premier-league
dominic calvertlewin,Everton,1997.0,26,19,1609,3,1,2,0,23,20,112,2024-2025,premier-league
diego carlos,Aston Villa,1993.0,10,8,830,0,0,1,0,3,34,0,2024-2025,premier-league
fabio carvalho,Brentford,2002.0,19,3,455,2,1,1,0,9,17,23,2024-2025,premier-league
casemiro,Manchester Utd,1992.0,24,18,1494,1,0,5,0,4,84,28,2024-2025,premier-league
kaelan casey,West Ham,2004.0,1,0,1,0,0,0,0,0,0,0,2024-2025,premier-league
matty cash,Aston Villa,1997.0,27,24,2070,1,1,7,0,48,42,90,2024-2025,premier-league
eiran cashin,Brighton,2001.0,2,0,20,0,0,0,0,0,6,1,2024-2025,premier-league
timothy castagne,Fulham,1995.0,24,17,1649,0,1,1,0,17,62,67,2024-2025,premier-league
trevoh chalobah,Crystal Palace,1999.0,12,12,1060,3,0,1,0,11,34,6,2024-2025,premier-league
trevoh chalobah,Chelsea,1999.0,13,11,910,0,1,2,0,4,37,2,2024-2025,premier-league
conor chaplin,Ipswich Town,1997.0,22,10,857,1,1,2,0,13,29,23,2024-2025,premier-league
youssef chermiti,Everton,2004.0,4,0,45,0,0,1,0,0,1,6,2024-2025,premier-league
federico chiesa,Liverpool,1997.0,6,1,108,0,0,0,0,3,3,7,2024-2025,premier-league
ben chilwell,Crystal Palace,1996.0,8,1,259,1,0,1,0,5,8,15,2024-2025,premier-league
