"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","temporada","liga"
"Ligue 1","France",2024,"Paris Saint-Germain","1","Gianluigi Donnarumma","Goalkeeper",1999-02-25,26,"Italy","Paris Saint-Germain","1.96","right","2021-07-14","AC Milan",NA,4e+07,"https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","39","Matvey Safonov","Goalkeeper",1999-02-25,26,"Russia","Paris Saint-Germain","1.92","right","2024-07-01","FC Krasnodar",NA,2e+07,"https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","80","Arnau Tenas","Goalkeeper",2001-05-30,24,"Spain","Paris Saint-Germain","1.85","right","2023-07-30","FC Barcelona Atlètic",NA,3e+06,"https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Louis Mouquet","Goalkeeper",2004-07-21,20,"Portugal","Without Club","1.87","right",NA,NA,NA,NA,"https://www.transfermarkt.com/louis-mouquet/profil/spieler/810067","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","51","Willian Pacho","Centre-Back",2001-10-16,23,"Ecuador","Paris Saint-Germain","1.87","left","2024-08-09","Eintracht Frankfurt",NA,6.5e+07,"https://www.transfermarkt.com/willian-pacho/profil/spieler/661171","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","5","Marquinhos","Centre-Back",1994-05-14,31,"Brazil","Paris Saint-Germain","1.83","right","2013-07-19","AS Roma",NA,3.5e+07,"https://www.transfermarkt.com/marquinhos/profil/spieler/181767","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","4","Lucas Beraldo","Centre-Back",2003-11-24,21,"Brazil","Paris Saint-Germain","1.86","left","2024-01-01","São Paulo Futebol Clube",NA,2.5e+07,"https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Milan Škriniar","Centre-Back",1995-02-11,30,"Slovakia","Fenerbahce","1.88","right","2023-07-06","Inter Milan",NA,1.5e+07,"https://www.transfermarkt.com/milan-skriniar/profil/spieler/204069","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","3","Presnel Kimpembe","Centre-Back",1995-08-13,29,"France","Paris Saint-Germain","1.83","left","2015-07-01","Paris Saint-Germain B",NA,5e+06,"https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","48","Axel Tape","Centre-Back",2007-08-10,17,"France","Bayer 04 Leverkusen","1.8","right",NA,NA,NA,2e+06,"https://www.transfermarkt.com/axel-tape/profil/spieler/1077670","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Noham Kamara","Centre-Back",2007-01-22,18,"France","Paris Saint-Germain U19","1.83","right",NA,NA,NA,5e+05,"https://www.transfermarkt.com/noham-kamara/profil/spieler/1275040","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Naoufel El Hannach","Centre-Back",2006-12-07,18,"Morocco","Montpellier HSC","1.83","right","2024-08-06","Paris Saint-Germain U19",NA,NA,"https://www.transfermarkt.com/naoufel-el-hannach/profil/spieler/1053148","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","25","Nuno Mendes","Left-Back",2002-06-19,23,"Portugal","Paris Saint-Germain","1.8","left","2022-07-01","Sporting CP",NA,7e+07,"https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","21","Lucas Hernández","Left-Back",1996-02-14,29,"France","Paris Saint-Germain","1.84","left","2023-07-09","Bayern Munich",NA,2.5e+07,"https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","2","Achraf Hakimi","Right-Back",1998-11-04,26,"Morocco","Paris Saint-Germain","1.81","right","2021-07-06","Inter Milan",NA,8e+07,"https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","42","Yoram Zague","Right-Back",2006-05-15,19,"France","FC Copenhagen","1.68","right","2024-07-01","Paris Saint-Germain U19",NA,2500000,"https://www.transfermarkt.com/yoram-zague/profil/spieler/1047097","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","87","João Neves","Defensive Midfield",2004-09-27,20,"Portugal","Paris Saint-Germain","1.74","right","2024-08-05","SL Benfica",NA,8e+07,"https://www.transfermarkt.com/joao-neves/profil/spieler/670681","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","20","Gabriel Moscardo","Defensive Midfield",2005-09-28,19,"Brazil","SC Braga","1.85","right","2024-01-25","Sport Club Corinthians Paulista",NA,8e+06,"https://www.transfermarkt.com/gabriel-moscardo/profil/spieler/1086636","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","17","Vitinha","Central Midfield",2000-02-13,25,"Portugal","Paris Saint-Germain","1.72","right","2022-07-01","FC Porto",NA,8e+07,"https://www.transfermarkt.com/vitinha/profil/spieler/487469","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","33","Warren Zaïre-Emery","Central Midfield",2006-03-08,19,"France","Paris Saint-Germain","1.78","right","2022-07-01","Paris Saint-Germain U19",NA,5.5e+07,"https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","8","Fabián Ruiz","Central Midfield",1996-04-03,29,"Spain","Paris Saint-Germain","1.89","left","2022-08-30","SSC Napoli",NA,4e+07,"https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219","2024-2025","Ligue 1"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Carlos Soler","Central Midfield",1997-01-02,28,"Spain","Paris Saint-Germain","1.8","right","2022-09-01","Valencia CF",NA,1.8e+07,"https://www.transfermarkt.com/carlos-soler/profil/spieler/372246","2024-2025","Ligue 1"
