Player,Squad,Season,Competition,Pos,Min,Value,performance_score,penalty_score,adjusted_score,Evaluated_Position
sam johnstone,crystal palace,2022-2023,premier-league,Goalkeeper,810.0,6000000.0,0.1671079012460709,0.0022,0.16490790124607088,Goalkeeper
marco sportiello,atalanta,2022-2023,serie-a,Goalkeeper,1339.0,1500000.0,0.160371902173996,0.0014000000000000002,0.15897190217399598,Goalkeeper
illan meslier,leeds united,2022-2023,premier-league,Goalkeeper,3060.0,20000000.0,0.16880089992046354,0.005699999999999999,0.16310089992046353,Goalkeeper
alisson,liverpool,2022-2023,premier-league,Goalkeeper,3330.0,35000000.0,0.1809629017763138,0.0006,0.1803629017763138,Goalkeeper
hugo lloris,tottenham,2022-2023,premier-league,Goalkeeper,2205.0,3000000.0,0.1662480982236862,0.010800000000000002,0.1554480982236862,Goalkeeper
stole dimitrievski,rayo vallecano,2022-2023,laliga,Goalkeeper,3324.0,4000000.0,0.388712238902514,0.004,0.384712238902514,Goalkeeper
alex remiro,real sociedad,2022-2023,laliga,Goalkeeper,3420.0,25000000.0,0.40232286608934836,0.0045000000000000005,0.39782286608934836,Goalkeeper
stefan ortega,manchester city,2022-2023,premier-league,Goalkeeper,270.0,9000000.0,0.16746030169677734,0.0,0.16746030169677734,Goalkeeper
alphonse areola,west ham,2022-2023,premier-league,Goalkeeper,309.0,8000000.0,0.13132030249214172,0.0029,0.1284203024921417,Goalkeeper
antonio mirante,milan,2022-2023,serie-a,Goalkeeper,2.0,100000.0,0.1424125,0.0,0.1424125,Goalkeeper
keylor navas,nott'ham forest,2022-2023,premier-league,Goalkeeper,1529.0,4000000.0,0.1509223007688522,0.0066,0.14432230076885222,Goalkeeper
pierluigi gollini,napoli,2023-2024,serie-a,Goalkeeper,630.0,4000000.0,0.1381571675186315,0.0,0.1381571675186315,Goalkeeper
fabian bredlow,stuttgart,2023-2024,bundesliga,Goalkeeper,360.0,1000000.0,0.3284034480645796,0.0,0.3284034480645796,Goalkeeper
predrag rajkovic,mallorca,2023-2024,laliga,Goalkeeper,3240.0,10000000.0,0.36406095587236154,0.0006,0.36346095587236155,Goalkeeper
jason steele,brighton,2023-2024,premier-league,Goalkeeper,1530.0,3500000.0,0.13917613770071513,0.003,0.13617613770071513,Goalkeeper
thibaut courtois,real madrid,2023-2024,laliga,Goalkeeper,332.0,28000000.0,0.3738839432952276,0.0,0.3738839432952276,Goalkeeper
emiliano martinez,aston villa,2023-2024,premier-league,Goalkeeper,3015.0,28000000.0,0.13756210338764488,0.0050999999999999995,0.13246210338764489,Goalkeeper
alex meret,napoli,2023-2024,serie-a,Goalkeeper,2773.0,12000000.0,0.139417333912354,0.0015,0.137917333912354,Goalkeeper
thomas strakosha,brentford,2023-2024,premier-league,Goalkeeper,135.0,3000000.0,0.12829105563914744,0.0,0.12829105563914744,Goalkeeper
nicola leali,genoa,2023-2024,serie-a,Goalkeeper,176.0,600000.0,0.11781369830492444,0.0,0.11781369830492444,Goalkeeper
tomas koubek,augsburg,2023-2024,bundesliga,Goalkeeper,270.0,800000.0,0.29249232624859256,0.0165,0.27599232624859255,Goalkeeper
alex remiro,real sociedad,2023-2024,laliga,Goalkeeper,3275.0,25000000.0,0.36653323559768414,0.0033000000000000004,0.3632332355976841,Goalkeeper
rjan nyland,sevilla,2023-2024,laliga,Goalkeeper,2160.0,1400000.0,0.33202717555632316,0.0028,0.32922717555632314,Goalkeeper
mile svilar,roma,2023-2024,serie-a,Goalkeeper,1350.0,9000000.0,0.13871612497122196,0.0035000000000000005,0.13521612497122196,Goalkeeper
alberto paleari,torino,2024-2025,serie-a,Goalkeeper,90.0,500000.0,0.1455980953091467,0.0,0.1455980953091467,Goalkeeper
marius muller,wolfsburg,2024-2025,bundesliga,Goalkeeper,475.0,1500000.0,0.3598834151407592,0.0,0.3598834151407592,Goalkeeper
diego conde,villarreal,2024-2025,laliga,Goalkeeper,1962.0,7500000.0,0.3392367596228833,0.004999999999999999,0.3342367596228833,Goalkeeper
juan musso,atalanta,2024-2025,serie-a,Goalkeeper,90.0,3500000.0,0.0820427924567881,0.0,0.0820427924567881,Goalkeeper
alexander schwolow,union berlin,2024-2025,bundesliga,Goalkeeper,540.0,500000.0,0.3069748504565972,0.0085,0.2984748504565972,Goalkeeper
vanja milinkovicsavic,torino,2024-2025,serie-a,Goalkeeper,3330.0,16000000.0,0.10521488366823539,0.0067,0.0985148836682354,Goalkeeper
simone perilli,hellas verona,2024-2025,serie-a,Goalkeeper,180.0,400000.0,0.06225962320566296,0.0,0.06225962320566296,Goalkeeper
