Player,Squad,Liga,Season,GA,SoTA,Save%,CS%,PKatt,P_Save%
adrian,Betis,La-Liga,2024-2025,27,76,0.6579999999999999,0.158,1,0.0
julen agirrezabala,Athletic Club,La-Liga,2024-2025,9,34,0.765,0.35700000000000004,2,0.5
augusto batalla,Rayo Vallecano,La-Liga,2024-2025,39,133,0.752,0.25,8,0.25
dani cardenas,Rayo Vallecano,La-Liga,2024-2025,6,20,0.7,0.33299999999999996,0,
jasper cillessen,Las Palmas,La-Liga,2024-2025,42,128,0.703,0.111,8,0.429
diego conde,Villarreal,La-Liga,2024-2025,33,94,0.6809999999999999,0.091,4,0.0
thibaut courtois,Real Madrid,La-Liga,2024-2025,29,104,0.75,0.36700000000000005,3,0.0
stole dimitrievski,Valencia,La-Liga,2024-2025,6,12,0.583,0.0,2,0.0
marko dmitrovic,Leganés,La-Liga,2024-2025,49,150,0.72,0.313,8,0.0
aitor fernandez,Osasuna,La-Liga,2024-2025,0,5,1.0,1.0,0,
alvaro fernandez,Sevilla,La-Liga,2024-2025,16,36,0.611,0.375,2,0.0
andre ferreira,Valladolid,La-Liga,2024-2025,20,39,0.564,0.0,3,0.0
fran,Real Madrid,La-Liga,2024-2025,2,2,0.0,0.0,0,
joan garcia,Espanyol,La-Liga,2024-2025,51,192,0.755,0.21100000000000002,6,0.33299999999999996
paulo gazzaniga,Girona,La-Liga,2024-2025,51,143,0.657,0.222,5,0.6
dominik greif,Mallorca,La-Liga,2024-2025,34,116,0.7240000000000001,0.226,2,0.0
vicente guaita,Celta Vigo,La-Liga,2024-2025,48,127,0.6459999999999999,0.235,3,0.0
sergio herrera,Osasuna,La-Liga,2024-2025,52,182,0.753,0.21600000000000003,7,0.0
dinko horkas,Las Palmas,La-Liga,2024-2025,19,54,0.667,0.091,2,0.5
karl jakob hein,Valladolid,La-Liga,2024-2025,68,163,0.607,0.161,4,0.0
luiz lucio reis junior,Villarreal,La-Liga,2024-2025,18,66,0.7879999999999999,0.313,4,0.0
pau lopez,Girona,La-Liga,2024-2025,2,3,0.33299999999999996,,0,
andriy lunin,Real Madrid,La-Liga,2024-2025,7,20,0.65,0.5710000000000001,0,
giorgi mamardashvili,Valencia,La-Liga,2024-2025,48,136,0.684,0.235,7,0.28600000000000003
unai marrero,Real Sociedad,La-Liga,2024-2025,3,12,0.75,0.0,1,1.0
juan musso,Atlético Madrid,La-Liga,2024-2025,0,2,1.0,1.0,0,
rjan nyland,Sevilla,La-Liga,2024-2025,39,112,0.679,0.233,4,0.25
jan oblak,Atlético Madrid,La-Liga,2024-2025,30,114,0.7809999999999999,0.41700000000000004,5,0.0
jesus owono,Alavés,La-Liga,2024-2025,7,14,0.5710000000000001,0.0,1,0.0
alex padilla,Athletic Club,La-Liga,2024-2025,6,17,0.706,0.0,1,0.0
inaki pena,Barcelona,La-Liga,2024-2025,18,53,0.698,0.267,2,0.0
arnau rafus,Valladolid,La-Liga,2024-2025,2,2,0.0,0.0,0,
alex remiro,Real Sociedad,La-Liga,2024-2025,43,130,0.708,0.361,6,0.16699999999999998
adrian rodriguez,Alavés,La-Liga,2024-2025,2,6,0.833,1.0,1,0.0
leo roman,Mallorca,La-Liga,2024-2025,10,49,0.816,0.28600000000000003,1,0.0
rui silva,Betis,La-Liga,2024-2025,18,54,0.722,0.267,3,0.0
unai simon,Athletic Club,La-Liga,2024-2025,14,62,0.79,0.47600000000000003,2,0.5
antonio sivera,Alavés,La-Liga,2024-2025,39,112,0.732,0.25,9,0.0
david soria,Getafe,La-Liga,2024-2025,39,126,0.754,0.237,9,0.111
juan soriano,Leganés,La-Liga,2024-2025,7,25,0.72,0.16699999999999998,0,
wojciech szczesny,Barcelona,La-Liga,2024-2025,12,33,0.667,0.5329999999999999,1,0.0
marcandre ter stegen,Barcelona,La-Liga,2024-2025,9,22,0.636,0.125,1,0.0
fran vieites,Betis,La-Liga,2024-2025,5,11,0.545,0.0,0,
ivan villar,Celta Vigo,La-Liga,2024-2025,9,18,0.5,0.0,1,1.0
krapyvtsov vladyslav,Girona,La-Liga,2024-2025,7,18,0.667,0.0,1,0.0
alisson,Liverpool,Premier-League,2024-2025,29,100,0.72,0.321,1,0.0
alphonse areola,West Ham,Premier-League,2024-2025,41,115,0.643,0.2,0,
kepa arrizabalaga,Bournemouth,Premier-League,2024-2025,39,134,0.7390000000000001,0.258,4,0.0
brandon austin,Tottenham,Premier-League,2024-2025,2,4,0.5,0.0,0,
altay bayndr,Manchester Utd,Premier-League,2024-2025,10,17,0.41200000000000003,0.25,0,
daniel bentley,Wolves,Premier-League,2024-2025,4,12,0.667,0.5,0,
martin dubravka,Newcastle Utd,Premier-League,2024-2025,12,41,0.7070000000000001,0.5,0,
ederson,Manchester City,Premier-League,2024-2025,26,78,0.6920000000000001,0.385,2,0.0
ukasz fabianski,West Ham,Premier-League,2024-2025,21,71,0.746,0.154,3,0.0
mark flekken,Brentford,Premier-League,2024-2025,55,203,0.7340000000000001,0.18899999999999997,1,0.0
fraser forster,Tottenham,Premier-League,2024-2025,15,42,0.69,0.14300000000000002,2,0.0
dean henderson,Crystal Palace,Premier-League,2024-2025,51,150,0.667,0.289,2,0.5
mads hermansen,Leicester City,Premier-League,2024-2025,58,155,0.645,0.037000000000000005,4,0.25
vitezslav jaros,Liverpool,Premier-League,2024-2025,0,1,1.0,,0,
sam johnstone,Wolves,Premier-League,2024-2025,17,39,0.615,0.0,2,0.0
filip jrgensen,Chelsea,Premier-League,2024-2025,9,28,0.7140000000000001,0.16699999999999998,1,0.0
caoimhin kelleher,Liverpool,Premier-League,2024-2025,12,37,0.6759999999999999,0.4,1,1.0
tom king,Wolves,Premier-League,2024-2025,0,0,,,0,
antonin kinsky,Tottenham,Premier-League,2024-2025,11,32,0.6559999999999999,0.16699999999999998,0,
bernd leno,Fulham,Premier-League,2024-2025,54,159,0.679,0.132,4,0.25
joe lumley,Southampton,Premier-League,2024-2025,7,20,0.65,0.0,0,
emiliano martinez,Aston Villa,Premier-League,2024-2025,45,142,0.69,0.21600000000000003,2,0.5
alex mccarthy,Southampton,Premier-League,2024-2025,13,37,0.703,0.0,2,0.0
arijanet muric,Ipswich Town,Premier-League,2024-2025,33,100,0.7,0.055999999999999994,3,0.0
neto,Bournemouth,Premier-League,2024-2025,2,13,0.846,0.0,0,
robin olsen,Aston Villa,Premier-League,2024-2025,6,14,0.643,1.0,1,0.0
andre onana,Manchester Utd,Premier-League,2024-2025,44,132,0.6890000000000001,0.265,4,0.25
stefan ortega,Manchester City,Premier-League,2024-2025,18,50,0.68,0.25,2,0.0
alex palmer,Ipswich Town,Premier-League,2024-2025,30,71,0.5920000000000001,0.0,1,0.0
jordan pickford,Everton,Premier-League,2024-2025,44,163,0.73,0.316,2,1.0
nick pope,Newcastle Utd,Premier-League,2024-2025,35,120,0.7170000000000001,0.28600000000000003,2,0.5
hakon rafn valdimarsson,Brentford,Premier-League,2024-2025,2,4,0.5,1.0,0,
aaron ramsdale,Southampton,Premier-League,2024-2025,66,188,0.6759999999999999,0.1,7,0.28600000000000003
david raya,Arsenal,Premier-League,2024-2025,34,120,0.742,0.342,3,0.0
jose sa,Wolves,Premier-League,2024-2025,48,117,0.632,0.24100000000000002,7,0.28600000000000003
robert sanchez,Chelsea,Premier-League,2024-2025,34,127,0.764,0.313,5,0.2
matz sels,Nott'ham Forest,Premier-League,2024-2025,46,165,0.7390000000000001,0.342,3,0.0
jason steele,Brighton,Premier-League,2024-2025,1,4,0.75,0.5,0,
jakub stolarczyk,Leicester City,Premier-League,2024-2025,16,44,0.636,0.2,0,
mark travers,Bournemouth,Premier-League,2024-2025,5,25,0.8,0.2,0,
bart verbruggen,Brighton,Premier-League,2024-2025,58,143,0.657,0.19399999999999998,9,0.0
guglielmo vicario,Tottenham,Premier-League,2024-2025,37,102,0.647,0.16699999999999998,1,0.0
christian walton,Ipswich Town,Premier-League,2024-2025,19,39,0.564,0.14300000000000002,2,0.0
danny ward,Leicester City,Premier-League,2024-2025,6,10,0.4,0.0,0,
emil audero,Como,Serie-A,2024-2025,18,34,0.588,0.0,4,0.0
jean butez,Como,Serie-A,2024-2025,20,68,0.735,0.278,2,0.0
elia caprile,Napoli,Serie-A,2024-2025,1,8,0.875,1.0,0,
elia caprile,Cagliari,Serie-A,2024-2025,22,66,0.682,0.278,1,0.0
marco carnesecchi,Atalanta,Serie-A,2024-2025,34,129,0.752,0.382,2,0.0
leandro chichizola,Parma,Serie-A,2024-2025,3,6,0.5,0.0,0,
giuseppe ciocci,Cagliari,Serie-A,2024-2025,0,0,,,0,
michele di gregorio,Juventus,Serie-A,2024-2025,32,103,0.738,0.424,5,0.0
wladimiro falcone,Lecce,Serie-A,2024-2025,58,181,0.7240000000000001,0.237,10,0.111
david de gea,Fiorentina,Serie-A,2024-2025,38,135,0.726,0.314,3,0.667
pierluigi gollini,Genoa,Serie-A,2024-2025,15,32,0.625,0.14300000000000002,4,0.25
jesse joronen,Venezia,Serie-A,2024-2025,15,40,0.7,0.28600000000000003,3,0.0
nicola leali,Genoa,Serie-A,2024-2025,31,111,0.748,0.345,4,0.25
mike maignan,Milan,Serie-A,2024-2025,41,136,0.706,0.324,2,0.5
christos mandas,Lazio,Serie-A,2024-2025,7,27,0.741,0.444,0,
josep martinez,Inter,Serie-A,2024-2025,3,14,0.7859999999999999,0.6,0,
andrea mazza,Monza,Serie-A,2024-2025,0,0,,,0,
alex meret,Napoli,Serie-A,2024-2025,25,84,0.7140000000000001,0.47100000000000003,4,0.667
vanja milinkovicsavic,Torino,Serie-A,2024-2025,42,173,0.775,0.27,7,0.5710000000000001
lorenzo montipo,Hellas Verona,Serie-A,2024-2025,64,161,0.615,0.222,4,0.33299999999999996
juan musso,Atalanta,Serie-A,2024-2025,0,4,1.0,1.0,0,
maduka okoye,Udinese,Serie-A,2024-2025,40,110,0.6729999999999999,0.16,5,0.0
daniele padelli,Udinese,Serie-A,2024-2025,0,3,1.0,1.0,0,
alberto paleari,Torino,Serie-A,2024-2025,3,7,0.5710000000000001,0.0,0,
rui patricio,Atalanta,Serie-A,2024-2025,3,14,0.7859999999999999,0.33299999999999996,0,
simone perilli,Hellas Verona,Serie-A,2024-2025,2,11,0.818,0.0,0,
mattia perin,Juventus,Serie-A,2024-2025,3,16,0.813,0.6,0,
semuel pizzignacco,Monza,Serie-A,2024-2025,17,38,0.5529999999999999,0.125,0,
ivan provedel,Lazio,Serie-A,2024-2025,42,92,0.5870000000000001,0.172,4,0.0
ionut radu,Venezia,Serie-A,2024-2025,18,65,0.769,0.267,3,0.0
federico ravaglia,Bologna,Serie-A,2024-2025,14,24,0.45799999999999996,0.364,1,0.0
pepe reina,Como,Serie-A,2024-2025,14,41,0.6829999999999999,0.16699999999999998,1,0.0
razvan sava,Udinese,Serie-A,2024-2025,16,51,0.745,0.33299999999999996,3,0.0
simone scuffet,Cagliari,Serie-A,2024-2025,23,56,0.679,0.077,5,0.0
simone scuffet,Napoli,Serie-A,2024-2025,1,4,0.75,0.0,0,
jacopo seghetti,Empoli,Serie-A,2024-2025,3,6,0.5,0.0,0,
alen sherri,Cagliari,Serie-A,2024-2025,11,31,0.645,0.14300000000000002,0,
benjamin siegrist,Genoa,Serie-A,2024-2025,2,12,0.833,0.0,0,
marco silvestri,Empoli,Serie-A,2024-2025,11,27,0.593,0.0,0,
ukasz skorupski,Bologna,Serie-A,2024-2025,33,82,0.61,0.29600000000000004,2,0.5
daniele sommariva,Genoa,Serie-A,2024-2025,1,3,0.667,,0,
yann sommer,Inter,Serie-A,2024-2025,32,116,0.75,0.39399999999999996,4,0.25
marco sportiello,Milan,Serie-A,2024-2025,2,6,0.667,1.0,0,
filip stankovic,Venezia,Serie-A,2024-2025,23,83,0.7709999999999999,0.0,5,0.2
zion suzuki,Parma,Serie-A,2024-2025,53,150,0.68,0.19399999999999998,5,0.0
mile svilar,Roma,Serie-A,2024-2025,35,151,0.795,0.42100000000000004,4,0.0
pietro terracciano,Fiorentina,Serie-A,2024-2025,3,13,0.769,0.33299999999999996,0,
stefano turati,Monza,Serie-A,2024-2025,52,145,0.655,0.067,4,0.5
devis vasquez,Empoli,Serie-A,2024-2025,45,125,0.648,0.188,3,0.5
ben alexander voll,St. Pauli,Bundesliga,2024-2025,2,5,0.6,0.0,0,
noah atubolu,Freiburg,Bundesliga,2024-2025,37,120,0.6920000000000001,0.385,2,1.0
oliver baumann,Hoffenheim,Bundesliga,2024-2025,53,138,0.63,0.14300000000000002,5,0.6
tiago cardoso,Gladbach,Bundesliga,2024-2025,3,23,0.87,0.5,0,
finn dahmen,Augsburg,Bundesliga,2024-2025,19,82,0.7929999999999999,0.474,2,0.0
thomas dahne,Holstein Kiel,Bundesliga,2024-2025,19,55,0.691,0.0,3,0.33299999999999996
patrick drewes,Bochum,Bundesliga,2024-2025,46,99,0.5660000000000001,0.095,5,0.4
frank feller,Heidenheim,Bundesliga,2024-2025,0,2,1.0,2.0,0,
kamil grabara,Wolfsburg,Bundesliga,2024-2025,49,137,0.657,0.172,3,0.33299999999999996
peter gulacsi,RB Leipzig,Bundesliga,2024-2025,39,137,0.73,0.467,3,0.33299999999999996
timo horn,Bochum,Bundesliga,2024-2025,22,54,0.593,0.231,1,
lukas hradecky,Leverkusen,Bundesliga,2024-2025,38,118,0.7120000000000001,0.207,4,0.0
gregor kobel,Dortmund,Bundesliga,2024-2025,47,129,0.667,0.21899999999999997,4,0.0
matej kovar,Leverkusen,Bundesliga,2024-2025,5,16,0.688,0.6,0,
nediljko labrovic,Augsburg,Bundesliga,2024-2025,32,74,0.608,0.133,3,0.0
alexander meyer,Dortmund,Bundesliga,2024-2025,4,11,0.636,0.0,0,
florian muller,Freiburg,Bundesliga,2024-2025,16,30,0.5329999999999999,0.125,2,0.0
kevin muller,Heidenheim,Bundesliga,2024-2025,64,169,0.657,0.212,6,0.0
marius muller,Wolfsburg,Bundesliga,2024-2025,5,23,0.7829999999999999,0.2,0,
manuel neuer,Bayern Munich,Bundesliga,2024-2025,15,45,0.6890000000000001,0.591,2,0.0
moritz nicolas,Gladbach,Bundesliga,2024-2025,25,92,0.7829999999999999,0.21100000000000002,5,0.0
alexander nubel,Stuttgart,Bundesliga,2024-2025,53,136,0.625,0.20600000000000002,3,0.33299999999999996
jonas omlin,Gladbach,Bundesliga,2024-2025,26,72,0.667,0.091,3,0.33299999999999996
daniel peretz,Bayern Munich,Bundesliga,2024-2025,5,7,0.28600000000000003,0.0,0,
luca philipp,Hoffenheim,Bundesliga,2024-2025,15,35,0.6,0.0,1,0.0
lasse rie,Mainz 05,Bundesliga,2024-2025,2,8,0.75,0.0,0,
frederik rnnow,Union Berlin,Bundesliga,2024-2025,37,111,0.6759999999999999,0.28600000000000003,5,0.8
kaua santos,Eint Frankfurt,Bundesliga,2024-2025,12,46,0.7609999999999999,0.375,1,0.0
alexander schwolow,Union Berlin,Bundesliga,2024-2025,13,28,0.5710000000000001,0.0,1,0.0
tobias sippel,Gladbach,Bundesliga,2024-2025,3,4,0.25,,0,
kevin trapp,Eint Frankfurt,Bundesliga,2024-2025,34,117,0.7090000000000001,0.231,2,1.0
sven ulreich,Bayern Munich,Bundesliga,2024-2025,0,0,,1.0,0,
jonas urbig,Bayern Munich,Bundesliga,2024-2025,12,28,0.5710000000000001,0.25,0,
maarten vandevoordt,RB Leipzig,Bundesliga,2024-2025,9,21,0.5710000000000001,0.0,0,
nikola vasilj,St. Pauli,Bundesliga,2024-2025,39,135,0.7190000000000001,0.273,5,0.8
timon weiner,Holstein Kiel,Bundesliga,2024-2025,61,140,0.593,0.08,4,0.0
robin zentner,Mainz 05,Bundesliga,2024-2025,41,142,0.7390000000000001,0.281,5,0.2
michael zetterer,Werder Bremen,Bundesliga,2024-2025,57,156,0.654,0.294,3,0.0
dimitry bertaud,Montpellier,Ligue-1,2024-2025,11,21,0.5710000000000001,0.0,2,0.0
marco bizot,Brest,Ligue-1,2024-2025,54,128,0.6409999999999999,0.313,10,0.111
marcin buka,Nice,Ligue-1,2024-2025,41,161,0.758,0.235,3,0.33299999999999996
patrik carlgren,Nantes,Ligue-1,2024-2025,7,28,0.75,0.25,0,
lucas chevalier,Lille,Ligue-1,2024-2025,36,126,0.746,0.324,4,0.0
gregoire coudert,Brest,Ligue-1,2024-2025,5,13,0.615,0.0,0,
theo de percin,Auxerre,Ligue-1,2024-2025,3,9,0.778,0.5,2,0.5
remy descamps,Lyon,Ligue-1,2024-2025,2,6,0.667,0.0,0,
arthur desmas,Le Havre,Ligue-1,2024-2025,38,93,0.613,0.16699999999999998,3,0.33299999999999996
yehvann diouf,Reims,Ligue-1,2024-2025,47,179,0.76,0.20600000000000002,5,0.2
