Player,Liga,Pos,Squad,Height,Value
jonas urbig,Bundesliga,Goalkeeper,Bayern Munich,1.89,12000000.0
manuel neuer,Bundesliga,Goalkeeper,Bayern Munich,1.93,4000000.0
daniel peretz,Bundesliga,Goalkeeper,Bayern Munich,1.9,3000000.0
max schmitt,Bundesliga,Goalkeeper,Bayern Munich,1.89,700000.0
sven ulreich,Bundesliga,Goalkeeper,Bayern Munich,1.92,500000.0
anthony pavlesic,Bundesliga,Goalkeeper,Bayern Munich,1.9,150000.0
leon klanac,Bundesliga,Goalkeeper,Bayern Munich,1.85,
dayot upamecano,Bundesliga,Centre-Back,Bayern Munich,1.86,50000000.0
minjae kim,Bundesliga,Centre-Back,Bayern Munich,1.9,40000000.0
jonathan tah,Bundesliga,Centre-Back,Bayern Munich,1.95,30000000.0
hiroki ito,Bundesliga,Centre-Back,Bayern Munich,1.88,25000000.0
eric dier,Bundesliga,Centre-Back,Bayern Munich,1.91,8000000.0
tarek buchmann,Bundesliga,Centre-Back,Bayern Munich,1.88,500000.0
cassiano kiala,Bundesliga,Centre-Back,Bayern Munich,,
alphonso davies,Bundesliga,Left-Back,Bayern Munich,1.83,50000000.0
raphael guerreiro,Bundesliga,Left-Back,Bayern Munich,1.7,8000000.0
adam aznou,Bundesliga,Left-Back,Bayern Munich,1.78,4000000.0
josip stanisic,Bundesliga,Right-Back,Bayern Munich,1.87,32000000.0
konrad laimer,Bundesliga,Right-Back,Bayern Munich,1.8,25000000.0
sacha boey,Bundesliga,Right-Back,Bayern Munich,1.78,18000000.0
aleksandar pavlovic,Bundesliga,Defensive Midfield,Bayern Munich,1.88,55000000.0
joshua kimmich,Bundesliga,Defensive Midfield,Bayern Munich,1.77,45000000.0
joao palhinha,Bundesliga,Defensive Midfield,Bayern Munich,1.9,30000000.0
noel aseko,Bundesliga,Defensive Midfield,Bayern Munich,1.78,700000.0
david santos daiber,Bundesliga,Defensive Midfield,Bayern Munich,,
tom bischof,Bundesliga,Central Midfield,Bayern Munich,1.76,30000000.0
leon goretzka,Bundesliga,Central Midfield,Bayern Munich,1.89,22000000.0
jamal musiala,Bundesliga,Attacking Midfield,Bayern Munich,1.84,140000000.0
arijon ibrahimovic,Bundesliga,Attacking Midfield,Bayern Munich,1.78,4000000.0
maurice krattenmacher,Bundesliga,Attacking Midfield,Bayern Munich,1.8,3500000.0
jonathan asp jensen,Bundesliga,Attacking Midfield,Bayern Munich,1.82,1500000.0
lennart karl,Bundesliga,Attacking Midfield,Bayern Munich,1.68,1500000.0
kingsley coman,Bundesliga,Left Winger,Bayern Munich,1.81,30000000.0
serge gnabry,Bundesliga,Left Winger,Bayern Munich,1.76,22000000.0
wisdom mike,Bundesliga,Left Winger,Bayern Munich,,
michael olise,Bundesliga,Right Winger,Bayern Munich,1.84,100000000.0
leroy sane,Bundesliga,Right Winger,Bayern Munich,1.83,32000000.0
nestory irankunda,Bundesliga,Right Winger,Bayern Munich,1.75,4000000.0
thomas muller,Bundesliga,Second Striker,Bayern Munich,1.85,6000000.0
gabriel vidovic,Bundesliga,Second Striker,Bayern Munich,1.8,3000000.0
harry kane,Bundesliga,Centre-Forward,Bayern Munich,1.88,75000000.0
mathys tel,Bundesliga,Centre-Forward,Bayern Munich,1.83,35000000.0
jonah kusiasare,Bundesliga,Centre-Forward,Bayern Munich,1.96,2500000.0
matej kovar,Bundesliga,Goalkeeper,Bayer 04 Leverkusen,1.96,5000000.0
