Player,Squad,Liga,Season,Fls,Off,Crosses,Recov,Aerialwon%
max aarons,Valencia,La-Liga,2024-2025,0,0,5,7,0.667
rodrigo abajas,Valencia,La-Liga,2024-2025,2,1,1,2,0.0
abel,Osasuna,La-Liga,2024-2025,25,3,85,106,0.541
nabil aberdin,Getafe,La-Liga,2024-2025,7,0,0,8,0.769
abdel abqar,Alavés,La-Liga,2024-2025,47,2,5,87,0.5329999999999999
akor adams,Sevilla,La-Liga,2024-2025,1,1,0,4,0.375
adrian,Betis,La-Liga,2024-2025,0,0,0,20,0.667
julen agirrezabala,Athletic Club,La-Liga,2024-2025,3,0,0,21,1.0
lucien agoume,Sevilla,La-Liga,2024-2025,49,2,18,136,0.512
alvaro aguado,Espanyol,La-Liga,2024-2025,5,0,12,37,0.6
lorenzo aguado,Real Madrid,La-Liga,2024-2025,0,0,0,0,
nayef aguerd,Real Sociedad,La-Liga,2024-2025,11,0,2,73,0.6559999999999999
joseph aidoo,Valladolid,La-Liga,2024-2025,4,0,0,25,0.529
joseph aidoo,Celta Vigo,La-Liga,2024-2025,0,0,0,1,
ilias akhomach,Villarreal,La-Liga,2024-2025,9,1,18,30,0.5
david alaba,Real Madrid,La-Liga,2024-2025,2,0,3,8,0.8
ibrahim alani,Valladolid,La-Liga,2024-2025,2,0,0,13,0.75
raul albiol,Villarreal,La-Liga,2024-2025,11,0,0,44,0.674
omar alderete,Getafe,La-Liga,2024-2025,33,8,6,115,0.664
carles alena,Getafe,La-Liga,2024-2025,8,2,6,12,0.526
carles alena,Alavés,La-Liga,2024-2025,11,0,31,47,0.6
alfon,Celta Vigo,La-Liga,2024-2025,15,6,40,37,0.17600000000000002
tadeo allende,Celta Vigo,La-Liga,2024-2025,0,0,0,1,
domingos andre ribeiro almeida,Valencia,La-Liga,2024-2025,28,2,67,89,0.25
iker almena,Girona,La-Liga,2024-2025,0,0,4,2,
marcos alonso,Celta Vigo,La-Liga,2024-2025,31,2,42,176,0.625
adria altimira,Leganés,La-Liga,2024-2025,27,3,28,71,0.387
sergi altimira,Betis,La-Liga,2024-2025,35,0,5,117,0.33299999999999996
hugo alvarez,Celta Vigo,La-Liga,2024-2025,25,3,31,78,0.33299999999999996
julian alvarez,Atlético Madrid,La-Liga,2024-2025,26,9,69,75,0.295
yeray alvarez,Athletic Club,La-Liga,2024-2025,15,0,3,83,0.5379999999999999
selim amallah,Valladolid,La-Liga,2024-2025,32,1,31,73,0.23800000000000002
amath,Valladolid,La-Liga,2024-2025,4,2,7,13,0.14300000000000002
marcos andre,Valladolid,La-Liga,2024-2025,12,5,1,44,0.516
leandro antonetti,Sevilla,La-Liga,2024-2025,0,0,0,3,
antoniu,Espanyol,La-Liga,2024-2025,19,4,20,39,0.25
antony,Betis,La-Liga,2024-2025,15,1,40,73,0.263
anuar,Valladolid,La-Liga,2024-2025,30,10,22,71,0.397
aritz arambarri,Leganés,La-Liga,2024-2025,0,0,0,4,0.429
mauro arambarri,Getafe,La-Liga,2024-2025,51,3,14,137,0.522
jon aramburu,Real Sociedad,La-Liga,2024-2025,50,3,45,127,0.5479999999999999
ronald araujo,Barcelona,La-Liga,2024-2025,9,0,0,27,0.623
adu ares,Athletic Club,La-Liga,2024-2025,0,0,1,1,
jesus areso,Osasuna,La-Liga,2024-2025,31,8,169,118,0.5870000000000001
david arguelles,Getafe,La-Liga,2024-2025,0,0,0,0,
jose arnaiz,Osasuna,La-Liga,2024-2025,0,4,18,16,0.25
sergio arribas,Betis,La-Liga,2024-2025,0,0,0,3,1.0
takuma asano,Mallorca,La-Liga,2024-2025,5,6,20,42,0.161
raul asencio,Real Madrid,La-Liga,2024-2025,12,1,0,75,0.667
iago aspas,Celta Vigo,La-Liga,2024-2025,16,5,15,55,0.467
yaser asprilla,Girona,La-Liga,2024-2025,12,1,93,62,0.5710000000000001
ezequiel avila,Betis,La-Liga,2024-2025,13,5,29,28,0.429
adam aznou,Valladolid,La-Liga,2024-2025,14,0,12,56,0.733
cesar azpilicueta,Atlético Madrid,La-Liga,2024-2025,8,3,5,28,0.5
papa ba,Girona,La-Liga,2024-2025,1,0,1,1,
loic bade,Sevilla,La-Liga,2024-2025,26,0,8,138,0.684
alex baena,Villarreal,La-Liga,2024-2025,43,5,207,140,0.457
juma bah,Valladolid,La-Liga,2024-2025,6,0,0,35,0.705
eric bailly,Villarreal,La-Liga,2024-2025,7,0,0,19,0.611
stefan bajcetic,Las Palmas,La-Liga,2024-2025,21,0,4,61,0.5670000000000001
cedric bakambu,Betis,La-Liga,2024-2025,23,12,2,25,0.316
alejandro balde,Barcelona,La-Liga,2024-2025,16,0,67,122,0.64
ivan balliu,Rayo Vallecano,La-Liga,2024-2025,19,1,19,39,0.35
jonathan bamba,Celta Vigo,La-Liga,2024-2025,7,4,25,52,0.33299999999999996
adrian baquerin,Valladolid,La-Liga,2024-2025,0,0,0,1,1.0
valentin barco,Sevilla,La-Liga,2024-2025,7,0,24,16,0.0
borna barisic,Leganés,La-Liga,2024-2025,0,0,0,0,
kike barja,Osasuna,La-Liga,2024-2025,9,1,37,10,0.385
enzo barrenechea,Valencia,La-Liga,2024-2025,25,0,3,117,0.607
ander barrenetxea,Real Sociedad,La-Liga,2024-2025,33,6,54,88,0.33299999999999996
pablo barrios,Atlético Madrid,La-Liga,2024-2025,28,0,26,131,0.625
thierno barry,Villarreal,La-Liga,2024-2025,47,20,5,36,0.6729999999999999
marc bartra,Betis,La-Liga,2024-2025,15,2,1,88,0.5429999999999999
aboubacar bassinga,Las Palmas,La-Liga,2024-2025,1,0,0,0,
augusto batalla,Rayo Vallecano,La-Liga,2024-2025,1,0,0,49,1.0
rafael bauza,Espanyol,La-Liga,2024-2025,8,0,0,4,0.6
sheraldo becker,Real Sociedad,La-Liga,2024-2025,8,9,64,30,0.304
donny van de beek,Girona,La-Liga,2024-2025,22,3,11,48,0.526
luken beitia,Real Sociedad,La-Liga,2024-2025,0,0,0,1,1.0
ismael bekhoucha,Getafe,La-Liga,2024-2025,3,0,1,6,0.5
hector bellerin,Betis,La-Liga,2024-2025,6,0,10,13,0.462
jude bellingham,Real Madrid,La-Liga,2024-2025,33,9,18,97,0.49200000000000005
fran beltran,Celta Vigo,La-Liga,2024-2025,34,0,5,119,0.413
carlos benavidez,Alavés,La-Liga,2024-2025,18,1,1,32,0.5329999999999999
iker benito,Osasuna,La-Liga,2024-2025,1,0,2,3,0.0
yuri berchiche,Athletic Club,La-Liga,2024-2025,18,4,42,121,0.583
alex berenguer,Athletic Club,La-Liga,2024-2025,29,5,178,113,0.35100000000000003
marc bernal,Barcelona,La-Liga,2024-2025,4,0,0,9,0.14300000000000002
juan bernat,Villarreal,La-Liga,2024-2025,0,1,9,13,0.7140000000000001
juan bernat,Getafe,La-Liga,2024-2025,11,1,13,26,0.45799999999999996
juan berrocal,Getafe,La-Liga,2024-2025,17,0,0,35,0.638
antonio blanco,Alavés,La-Liga,2024-2025,66,0,29,164,0.444
daley blind,Girona,La-Liga,2024-2025,19,1,42,116,0.415
adama boiro,Athletic Club,La-Liga,2024-2025,13,1,31,45,0.64
enzo boyomo,Osasuna,La-Liga,2024-2025,43,0,2,121,0.45299999999999996
enzo boyomo,Valladolid,La-Liga,2024-2025,3,0,0,11,0.375
darko brasanac,Leganés,La-Liga,2024-2025,38,4,11,61,0.345
tajon buchanan,Villarreal,La-Liga,2024-2025,12,5,16,26,0.5
ante budimir,Osasuna,La-Liga,2024-2025,47,15,6,54,0.507
manu bueno,Sevilla,La-Liga,2024-2025,2,0,1,6,0.0
endika bujan,Athletic Club,La-Liga,2024-2025,0,0,1,0,
pau cabanes,Villarreal,La-Liga,2024-2025,4,0,6,6,0.33299999999999996
pau cabanes,Alavés,La-Liga,2024-2025,5,0,12,11,0.25
leandro cabrera,Espanyol,La-Liga,2024-2025,24,0,17,83,0.647
fernando calero,Espanyol,La-Liga,2024-2025,6,0,2,26,0.414
eduardo camavinga,Real Madrid,La-Liga,2024-2025,21,1,2,90,0.526
sergio camello,Rayo Vallecano,La-Liga,2024-2025,11,2,6,32,0.297
jose campana,Las Palmas,La-Liga,2024-2025,7,0,34,84,0.789
peio canales,Athletic Club,La-Liga,2024-2025,1,1,16,17,0.0
antonio candela,Valladolid,La-Liga,2024-2025,5,2,20,23,0.273
sergi canos,Valencia,La-Liga,2024-2025,12,1,18,20,0.33299999999999996
dani cardenas,Rayo Vallecano,La-Liga,2024-2025,0,0,0,6,
irvin cardona,Espanyol,La-Liga,2024-2025,8,5,14,19,0.42100000000000004
marc cardona,Las Palmas,La-Liga,2024-2025,2,0,1,8,0.0
sergi cardona,Villarreal,La-Liga,2024-2025,38,3,111,131,0.603
johnny cardoso,Betis,La-Liga,2024-2025,38,0,3,138,0.617
jose carlos gonzalez,Las Palmas,La-Liga,2024-2025,0,0,0,0,
carmona,Sevilla,La-Liga,2024-2025,49,1,41,164,0.623
sergio carreira,Celta Vigo,La-Liga,2024-2025,19,3,41,66,0.17600000000000002
dani carvajal,Real Madrid,La-Liga,2024-2025,3,0,14,21,0.583
william carvalho,Betis,La-Liga,2024-2025,7,0,2,29,0.545
marc casado,Barcelona,La-Liga,2024-2025,26,0,9,90,0.258
catena,Osasuna,La-Liga,2024-2025,36,1,2,108,0.657
maximiliano caufriez,Valencia,La-Liga,2024-2025,3,0,0,1,0.28600000000000003
dani ceballos,Real Madrid,La-Liga,2024-2025,13,0,14,87,0.667
franco cervi,Celta Vigo,La-Liga,2024-2025,4,0,6,12,0.4
raul chasco,Valladolid,La-Liga,2024-2025,3,0,3,2,
pep chavarria,Rayo Vallecano,La-Liga,2024-2025,31,3,79,114,0.434
walid cheddira,Espanyol,La-Liga,2024-2025,30,11,2,19,0.375
chema,Real Madrid,La-Liga,2024-2025,1,0,0,0,0.5
julian chicco,Leganés,La-Liga,2024-2025,1,0,3,12,0.091
chiquinho,Mallorca,La-Liga,2024-2025,6,0,9,10,0.0
andreas christensen,Barcelona,La-Liga,2024-2025,5,0,0,14,0.7859999999999999
jasper cillessen,Las Palmas,La-Liga,2024-2025,0,0,0,20,0.5
pathe ciss,Rayo Vallecano,La-Liga,2024-2025,45,0,4,148,0.615
seydouba cisse,Leganés,La-Liga,2024-2025,39,2,10,154,0.397
silvi clua,Girona,La-Liga,2024-2025,5,0,0,4,0.667
eray comert,Valladolid,La-Liga,2024-2025,18,0,0,51,0.45
santi comesana,Villarreal,La-Liga,2024-2025,37,1,14,160,0.395
diego conde,Villarreal,La-Liga,2024-2025,0,0,0,30,1.0
tomas conechny,Alavés,La-Liga,2024-2025,28,5,31,45,0.535
copete,Mallorca,La-Liga,2024-2025,27,0,7,46,0.628
iker cordoba,Valencia,La-Liga,2024-2025,0,0,1,1,1.0
angel correa,Atlético Madrid,La-Liga,2024-2025,18,4,24,40,0.111
thierry correia,Valencia,La-Liga,2024-2025,15,0,18,38,0.33299999999999996
coba da costa,Getafe,La-Liga,2024-2025,10,0,41,35,0.5
logan costa,Villarreal,La-Liga,2024-2025,19,2,5,104,0.5539999999999999
samu costa,Mallorca,La-Liga,2024-2025,62,2,20,129,0.63
thibaut courtois,Real Madrid,La-Liga,2024-2025,0,0,0,45,1.0
juan cruz armada,Osasuna,La-Liga,2024-2025,16,2,11,46,0.474
juan cruz,Leganés,La-Liga,2024-2025,14,7,92,109,0.441
pau cubarsi,Barcelona,La-Liga,2024-2025,24,0,2,102,0.585
cucho,Betis,La-Liga,2024-2025,10,5,12,28,0.45299999999999996
arnaut danjuma,Villarreal,La-Liga,2024-2025,1,3,0,2,1.0
arnaut danjuma,Girona,La-Liga,2024-2025,16,14,76,40,0.25
sergi darder,Mallorca,La-Liga,2024-2025,21,3,163,122,0.565
rodrigo de paul,Atlético Madrid,La-Liga,2024-2025,19,0,59,128,0.364
mouctar diakhaby,Valencia,La-Liga,2024-2025,2,0,1,23,0.7829999999999999
assane diao,Betis,La-Liga,2024-2025,4,2,4,12,0.5710000000000001
moussa diarra,Alavés,La-Liga,2024-2025,28,1,23,76,0.517
brahim diaz,Real Madrid,La-Liga,2024-2025,14,1,8,54,0.17600000000000002
daniel diaz,Real Sociedad,La-Liga,2024-2025,1,0,0,0,1.0
pedro diaz,Rayo Vallecano,La-Liga,2024-2025,7,0,42,80,0.385
diego,Leganés,La-Liga,2024-2025,22,7,5,25,0.341
stole dimitrievski,Valencia,La-Liga,2024-2025,0,0,0,7,
yan diomande,Leganés,La-Liga,2024-2025,8,2,12,41,0.2
alvaro djalo,Athletic Club,La-Liga,2024-2025,19,5,14,28,0.345
djene,Getafe,La-Liga,2024-2025,40,1,32,102,0.589
marko dmitrovic,Leganés,La-Liga,2024-2025,1,0,0,37,1.0
marc domenech,Mallorca,La-Liga,2024-2025,5,0,4,8,0.5329999999999999
carlos dominguez,Celta Vigo,La-Liga,2024-2025,8,0,0,45,0.6509999999999999
israel dominguez,Sevilla,La-Liga,2024-2025,0,1,0,0,0.0
sergi dominguez,Barcelona,La-Liga,2024-2025,2,0,0,8,0.25
anastasios douvikas,Celta Vigo,La-Liga,2024-2025,10,9,1,15,0.37799999999999995
domingos duarte,Getafe,La-Liga,2024-2025,24,0,0,63,0.609
duk,Leganés,La-Liga,2024-2025,5,0,8,11,0.28600000000000003
pablo duran,Celta Vigo,La-Liga,2024-2025,32,7,18,46,0.289
hugo duro,Valencia,La-Liga,2024-2025,38,7,7,46,0.369
chidera ejuke,Sevilla,La-Liga,2024-2025,6,4,22,63,0.308
aritz elustondo,Real Sociedad,La-Liga,2024-2025,25,1,4,53,0.537
adri embarba,Rayo Vallecano,La-Liga,2024-2025,25,14,114,67,0.28300000000000003
endrick,Real Madrid,La-Liga,2024-2025,10,2,2,7,0.6
alfonso espino,Rayo Vallecano,La-Liga,2024-2025,18,0,24,55,0.56
dario essugo,Las Palmas,La-Liga,2024-2025,37,0,1,118,0.484
etienne etoo,Rayo Vallecano,La-Liga,2024-2025,0,1,0,0,0.75
karl etta,Villarreal,La-Liga,2024-2025,0,0,0,0,1.0
edu exposito,Espanyol,La-Liga,2024-2025,14,2,66,63,0.5
abde ezzalzouli,Betis,La-Liga,2024-2025,23,4,49,102,0.413
ansu fati,Barcelona,La-Liga,2024-2025,2,2,0,7,0.222
nabil fekir,Betis,La-Liga,2024-2025,3,0,10,3,0.0
kiko femenia,Villarreal,La-Liga,2024-2025,21,1,47,102,0.294
aitor fernandez,Osasuna,La-Liga,2024-2025,0,0,0,2,
alvaro fernandez,Sevilla,La-Liga,2024-2025,0,0,0,11,1.0
pelayo fernandez,Rayo Vallecano,La-Liga,2024-2025,2,0,0,4,0.5
roberto fernandez,Espanyol,La-Liga,2024-2025,28,9,2,33,0.386
valery fernandez,Mallorca,La-Liga,2024-2025,3,1,3,19,0.2
andre ferreira,Valladolid,La-Liga,2024-2025,0,0,0,6,0.0
mateo flores,Betis,La-Liga,2024-2025,4,0,1,12,0.0
pablo fornals,Betis,La-Liga,2024-2025,12,3,54,114,0.462
hector fort,Barcelona,La-Liga,2024-2025,8,0,12,32,0.3
dimitri foulquier,Valencia,La-Liga,2024-2025,24,1,57,97,0.39399999999999996
juan foyth,Villarreal,La-Liga,2024-2025,16,0,4,61,0.594
fran,Real Madrid,La-Liga,2024-2025,0,0,0,1,
alejandro frances,Girona,La-Liga,2024-2025,20,1,25,37,0.316
enric franquesa,Leganés,La-Liga,2024-2025,8,0,16,29,0.5
jorge de frutos,Rayo Vallecano,La-Liga,2024-2025,41,9,69,111,0.385
dario fuentes,Sevilla,La-Liga,2024-2025,0,0,0,0,
manuel fuster,Las Palmas,La-Liga,2024-2025,12,1,67,63,0.188
javi galan,Atlético Madrid,La-Liga,2024-2025,38,4,57,71,0.5
inigo ruiz de galarreta,Athletic Club,La-Liga,2024-2025,43,1,29,120,0.4
conor gallagher,Atlético Madrid,La-Liga,2024-2025,32,1,13,107,0.3
facundo garces,Alavés,La-Liga,2024-2025,7,0,1,14,0.48100000000000004
alvaro garcia,Rayo Vallecano,La-Liga,2024-2025,18,16,109,94,0.33299999999999996
eric garcia,Barcelona,La-Liga,2024-2025,20,0,7,54,0.519
fran garcia,Real Madrid,La-Liga,2024-2025,13,4,66,106,0.447
gonzalo garcia,Real Madrid,La-Liga,2024-2025,0,0,0,1,1.0
joan garcia,Espanyol,La-Liga,2024-2025,0,0,0,35,0.955
pablo garcia,Betis,La-Liga,2024-2025,0,1,2,3,
ruben garcia,Osasuna,La-Liga,2024-2025,36,10,136,122,0.431
unai garcia,Osasuna,La-Liga,2024-2025,3,0,0,2,0.16699999999999998
yarek gasiorowski,Valencia,La-Liga,2024-2025,5,0,3,40,0.649
gavi,Barcelona,La-Liga,2024-2025,38,1,9,61,0.447
paulo gazzaniga,Girona,La-Liga,2024-2025,1,0,0,47,0.33299999999999996
bryan gil,Girona,La-Liga,2024-2025,22,4,78,78,0.0
dani gomez,Valencia,La-Liga,2024-2025,7,10,0,14,0.226
moi gomez,Osasuna,La-Liga,2024-2025,14,1,28,66,0.368
sergi gomez,Espanyol,La-Liga,2024-2025,6,0,1,15,0.33299999999999996
sergio gomez,Real Sociedad,La-Liga,2024-2025,29,9,231,146,0.47600000000000003
unai gomez,Athletic Club,La-Liga,2024-2025,12,0,23,42,0.483
fabio gonzalez,Las Palmas,La-Liga,2024-2025,1,0,1,3,1.0
peter gonzalez,Getafe,La-Liga,2024-2025,9,2,14,20,0.435
urko gonzalez,Espanyol,La-Liga,2024-2025,15,1,3,71,0.5710000000000001
urko gonzalez,Real Sociedad,La-Liga,2024-2025,1,0,1,0,0.0
andoni gorosabel,Athletic Club,La-Liga,2024-2025,24,1,41,56,0.41700000000000004
jose gragera,Espanyol,La-Liga,2024-2025,18,0,0,18,0.688
dominik greif,Mallorca,La-Liga,2024-2025,0,0,0,42,0.778
antoine griezmann,Atlético Madrid,La-Liga,2024-2025,11,14,138,93,0.47700000000000004
florian grillitsch,Valladolid,La-Liga,2024-2025,6,0,6,42,0.556
vicente guaita,Celta Vigo,La-Liga,2024-2025,0,0,0,75,1.0
sergi guardiola,Rayo Vallecano,La-Liga,2024-2025,9,2,4,7,0.33299999999999996
nemanja gudelj,Sevilla,La-Liga,2024-2025,26,0,31,74,0.639
javier guerra,Valencia,La-Liga,2024-2025,34,1,45,168,0.486
ander guevara,Alavés,La-Liga,2024-2025,39,0,5,120,0.435
pape gueye,Villarreal,La-Liga,2024-2025,31,4,20,126,0.574
hugo guillamon,Valencia,La-Liga,2024-2025,6,1,1,21,0.556
carlos guirao,Betis,La-Liga,2024-2025,4,0,0,6,0.667
arda guler,Real Madrid,La-Liga,2024-2025,15,4,57,56,0.389
gerard gumbau,Rayo Vallecano,La-Liga,2024-2025,21,2,38,27,0.436
jon guridi,Alavés,La-Liga,2024-2025,35,5,17,86,0.41600000000000004
gorka guruzeta,Athletic Club,La-Liga,2024-2025,40,7,5,61,0.34299999999999997
miguel gutierrez,Girona,La-Liga,2024-2025,29,6,153,144,0.2
munir el haddadi,Leganés,La-Liga,2024-2025,14,7,13,33,0.294
sebastien haller,Leganés,La-Liga,2024-2025,4,7,0,10,0.605
henrique,Valladolid,La-Liga,2024-2025,5,0,3,9,0.33299999999999996
javi hernandez,Leganés,La-Liga,2024-2025,49,5,52,112,0.47700000000000004
aridane hernandez,Rayo Vallecano,La-Liga,2024-2025,5,0,0,48,0.6779999999999999
jorge herrando,Osasuna,La-Liga,2024-2025,25,0,2,36,0.725
ander herrera,Athletic Club,La-Liga,2024-2025,6,0,1,14,0.6
sergio herrera,Osasuna,La-Liga,2024-2025,1,0,0,33,0.833
yangel herrera,Girona,La-Liga,2024-2025,72,5,44,106,0.526
juan herzog,Las Palmas,La-Liga,2024-2025,6,0,0,41,0.638
omar el hilali,Espanyol,La-Liga,2024-2025,52,7,57,132,0.545
roger hinojo,Espanyol,La-Liga,2024-2025,0,0,2,0,0.0
dinko horkas,Las Palmas,La-Liga,2024-2025,1,0,0,14,
pablo ibanez,Osasuna,La-Liga,2024-2025,28,0,13,56,0.442
stanis idumbo,Sevilla,La-Liga,2024-2025,1,0,0,19,1.0
iglesias,Getafe,La-Liga,2024-2025,45,1,84,107,0.479
borja iglesias,Celta Vigo,La-Liga,2024-2025,40,14,6,46,0.341
kelechi iheanacho,Sevilla,La-Liga,2024-2025,5,7,0,7,0.2
isco,Betis,La-Liga,2024-2025,23,4,92,71,0.382
diego iturralde,Sevilla,La-Liga,2024-2025,1,0,0,1,1.0
ivan jaime pajuelo,Valencia,La-Liga,2024-2025,8,1,6,19,0.5
karl jakob hein,Valladolid,La-Liga,2024-2025,0,0,0,43,1.0
adnan januzaj,Las Palmas,La-Liga,2024-2025,5,0,65,30,0.222
mikel jauregizar,Athletic Club,La-Liga,2024-2025,46,0,27,144,0.493
john joe,Getafe,La-Liga,2024-2025,1,0,0,3,0.5
jofre,Espanyol,La-Liga,2024-2025,28,3,54,105,0.22699999999999998
frenkie de jong,Barcelona,La-Liga,2024-2025,14,0,6,57,0.588
joan jordan,Alavés,La-Liga,2024-2025,28,1,106,61,0.552
juanmi,Getafe,La-Liga,2024-2025,19,6,0,23,0.429
juanmi,Betis,La-Liga,2024-2025,6,1,1,14,0.857
juanpe,Girona,La-Liga,2024-2025,4,0,1,22,0.735
