"comp_name","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro","player_url","Season"
"Ligue 1","France",2024,"Paris Saint-Germain","1","Gianluigi Donnarumma","Goalkeeper",NA,26,"Italy","Paris Saint-Germain","1.96","right",NA,"AC Milan",NA,4e+07,"https://www.transfermarkt.com/gianluigi-donnarumma/profil/spieler/315858","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","39","Matvey Safonov","Goalkeeper",NA,26,"Russia","Paris Saint-Germain","1.92","right",NA,"FC Krasnodar",NA,2e+07,"https://www.transfermarkt.com/matvey-safonov/profil/spieler/318470","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","80","Arnau Tenas","Goalkeeper",NA,24,"Spain","Villarreal CF","1.85","right",NA,"FC Barcelona Atlètic",NA,3e+06,"https://www.transfermarkt.com/arnau-tenas/profil/spieler/466783","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Louis Mouquet","Goalkeeper",NA,20,"Portugal","Calcio Padova","1.87","right",NA,NA,NA,NA,"https://www.transfermarkt.com/louis-mouquet/profil/spieler/810067","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","51","Willian Pacho","Centre-Back",NA,23,"Ecuador","Paris Saint-Germain","1.87","left",NA,"Eintracht Frankfurt",NA,6.5e+07,"https://www.transfermarkt.com/willian-pacho/profil/spieler/661171","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","5","Marquinhos","Centre-Back",NA,31,"Brazil","Paris Saint-Germain","1.83","right",NA,"AS Roma",NA,3.5e+07,"https://www.transfermarkt.com/marquinhos/profil/spieler/181767","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","4","Lucas Beraldo","Centre-Back",NA,21,"Brazil","Paris Saint-Germain","1.86","left",NA,"São Paulo Futebol Clube",NA,2.5e+07,"https://www.transfermarkt.com/lucas-beraldo/profil/spieler/872171","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Milan Škriniar","Centre-Back",NA,30,"Slovakia","Fenerbahce","1.88","right",NA,"Inter Milan",NA,1.5e+07,"https://www.transfermarkt.com/milan-skriniar/profil/spieler/204069","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","3","Presnel Kimpembe","Centre-Back",NA,29,"France","Paris Saint-Germain","1.83","left",NA,"Paris Saint-Germain B",NA,5e+06,"https://www.transfermarkt.com/presnel-kimpembe/profil/spieler/282041","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","48","Axel Tape","Centre-Back",NA,17,"France","Bayer 04 Leverkusen","1.8","right",NA,NA,NA,2e+06,"https://www.transfermarkt.com/axel-tape/profil/spieler/1077670","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Noham Kamara","Centre-Back",NA,18,"France","Paris Saint-Germain","1.85","right",NA,"Paris Saint-Germain U19",NA,5e+05,"https://www.transfermarkt.com/noham-kamara/profil/spieler/1275040","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Naoufel El Hannach","Centre-Back",NA,18,"Morocco","Montpellier HSC","1.83","right",NA,"Paris Saint-Germain U19",NA,NA,"https://www.transfermarkt.com/naoufel-el-hannach/profil/spieler/1053148","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","25","Nuno Mendes","Left-Back",NA,23,"Portugal","Paris Saint-Germain","1.8","left",NA,"Sporting CP",NA,7e+07,"https://www.transfermarkt.com/nuno-mendes/profil/spieler/616341","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","21","Lucas Hernández","Left-Back",NA,29,"France","Paris Saint-Germain","1.84","left",NA,"Bayern Munich",NA,2.5e+07,"https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","2","Achraf Hakimi","Right-Back",NA,26,"Morocco","Paris Saint-Germain","1.81","right",NA,"Inter Milan",NA,8e+07,"https://www.transfermarkt.com/achraf-hakimi/profil/spieler/398073","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","42","Yoram Zague","Right-Back",NA,19,"France","FC Copenhagen","1.68","right",NA,"Paris Saint-Germain U19",NA,2500000,"https://www.transfermarkt.com/yoram-zague/profil/spieler/1047097","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","20","Gabriel Moscardo","Defensive Midfield",NA,19,"Brazil","SC Braga","1.85","right",NA,"Sport Club Corinthians Paulista",NA,8e+06,"https://www.transfermarkt.com/gabriel-moscardo/profil/spieler/1086636","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","17","Vitinha","Central Midfield",NA,25,"Portugal","Paris Saint-Germain","1.72","right",NA,"FC Porto",NA,8e+07,"https://www.transfermarkt.com/vitinha/profil/spieler/487469","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","87","João Neves","Central Midfield",NA,20,"Portugal","Paris Saint-Germain","1.74","right",NA,"SL Benfica",NA,8e+07,"https://www.transfermarkt.com/joao-neves/profil/spieler/670681","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","33","Warren Zaïre-Emery","Central Midfield",NA,19,"France","Paris Saint-Germain","1.78","right",NA,"Paris Saint-Germain U19",NA,5.5e+07,"https://www.transfermarkt.com/warren-zaire-emery/profil/spieler/810092","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","8","Fabián Ruiz","Central Midfield",NA,29,"Spain","Paris Saint-Germain","1.89","left",NA,"SSC Napoli",NA,4e+07,"https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Carlos Soler","Central Midfield",NA,28,"Spain","Paris Saint-Germain","1.8","right",NA,"Valencia CF",NA,1.8e+07,"https://www.transfermarkt.com/carlos-soler/profil/spieler/372246","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","24","Senny Mayulu","Central Midfield",NA,19,"France","Paris Saint-Germain","1.83","both",NA,"Paris Saint-Germain U19",NA,1.5e+07,"https://www.transfermarkt.com/senny-mayulu/profil/spieler/903693","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Marco Asensio","Attacking Midfield",NA,29,"Spain","Paris Saint-Germain","1.82","left",NA,"Real Madrid",NA,2e+07,"https://www.transfermarkt.com/marco-asensio/profil/spieler/296622","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Wassim Slama","Attacking Midfield",NA,16,"France","Paris Saint-Germain U19",NA," ",NA,NA,NA,NA,"https://www.transfermarkt.com/wassim-slama/profil/spieler/1310346","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","7","Khvicha Kvaratskhelia","Left Winger",NA,24,"Georgia","Paris Saint-Germain","1.83","both",NA,"SSC Napoli",NA,9e+07,"https://www.transfermarkt.com/khvicha-kvaratskhelia/profil/spieler/502670","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","29","Bradley Barcola","Left Winger",NA,22,"France","Paris Saint-Germain","1.82","right",NA,"Olympique Lyon",NA,7e+07,"https://www.transfermarkt.com/bradley-barcola/profil/spieler/708265","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Quentin Ndjantou","Left Winger",NA,17,"France","Paris Saint-Germain Espoirs",NA,"right",NA,NA,NA,NA,"https://www.transfermarkt.com/quentin-ndjantou/profil/spieler/1053208","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","10","Ousmane Dembélé","Right Winger",NA,28,"France","Paris Saint-Germain","1.78","both",NA,"FC Barcelona",NA,9e+07,"https://www.transfermarkt.com/ousmane-dembele/profil/spieler/288230","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","14","Désiré Doué","Right Winger",NA,20,"France","Paris Saint-Germain","1.81","right",NA,"Stade Rennais FC",NA,9e+07,"https://www.transfermarkt.com/desire-doue/profil/spieler/914562","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","19","Kang-in Lee","Right Winger",NA,24,"Korea, South","Paris Saint-Germain","1.74","left",NA,"RCD Mallorca",NA,2.5e+07,"https://www.transfermarkt.com/kang-in-lee/profil/spieler/557149","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","49","Ibrahim Mbaye","Right Winger",NA,17,"France","Paris Saint-Germain","1.75","right",NA,"Paris Saint-Germain Espoirs",NA,3e+06,"https://www.transfermarkt.com/ibrahim-mbaye/profil/spieler/1185888","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","9","Gonçalo Ramos","Centre-Forward",NA,24,"Portugal","Paris Saint-Germain","1.85","right",NA,"SL Benfica",NA,4e+07,"https://www.transfermarkt.com/goncalo-ramos/profil/spieler/550550","2024-2025"
"Ligue 1","France",2024,"Paris Saint-Germain","-","Randal Kolo Muani","Centre-Forward",NA,26,"France","Paris Saint-Germain","1.87","right",NA,"Eintracht Frankfurt",NA,3e+07,"https://www.transfermarkt.com/randal-kolo-muani/profil/spieler/487969","2024-2025"
"Ligue 1","France",2024,"AS Monaco","1","Radoslaw Majecki","Goalkeeper",NA,25,"Poland","Stade Brestois 29","1.93","right",NA,"Legia Warszawa",NA,6e+06,"https://www.transfermarkt.com/radoslaw-majecki/profil/spieler/346546","2024-2025"
"Ligue 1","France",2024,"AS Monaco","16","Philipp Köhn","Goalkeeper",NA,27,"Switzerland","AS Monaco","1.9","right",NA,"Red Bull Salzburg",NA,5e+06,"https://www.transfermarkt.com/philipp-kohn/profil/spieler/251322","2024-2025"
"Ligue 1","France",2024,"AS Monaco","-","Jules Stawiecki","Goalkeeper",NA,18,"France","AS Monaco U19","1.86","left",NA,NA,NA,2e+05,"https://www.transfermarkt.com/jules-stawiecki/profil/spieler/1075582","2024-2025"
