Player,Squad,Liga,Season,Born,MP,Starts,Min,Gls,Ast,YellowC,RedC,PrgC,PrgP,PrgR
jones elabdellaoui,celta vigo,La-Liga,2025-2026,2006,1,0,34,0,0,0,0,5,0,15
abdel abqar,getafe,La-Liga,2025-2026,1999,1,1,72,0,0,0,0,0,1,0
akor adams,sevilla,La-Liga,2025-2026,2000,2,2,180,0,1,0,0,5,2,8
david affengruber,elche,La-Liga,2025-2026,2001,4,4,360,0,0,0,0,1,18,0
julen agirrezabala,valencia,La-Liga,2025-2026,2000,3,3,270,0,0,0,0,0,0,0
lucien agoume,sevilla,La-Liga,2025-2026,2002,4,4,353,1,0,2,0,7,24,10
marc aguado,elche,La-Liga,2025-2026,2000,3,3,219,0,0,0,0,1,14,1
lucas ahijado,oviedo,La-Liga,2025-2026,1995,1,0,75,0,0,1,0,1,0,0
ilias akhomach,villarreal,La-Liga,2025-2026,2004,2,0,41,0,0,0,0,3,2,2
david alaba,real madrid,La-Liga,2025-2026,1992,1,0,3,0,0,0,0,0,0,0
carles alena,alaves,La-Liga,2025-2026,1998,4,4,343,0,1,0,0,1,8,17
trent alexanderarnold,real madrid,La-Liga,2025-2026,1998,4,2,151,0,0,0,0,3,5,4
alfon,sevilla,La-Liga,2025-2026,1999,2,2,150,1,0,0,0,6,3,11
thiago almada,atletico madrid,La-Liga,2025-2026,2001,3,3,206,0,0,0,0,5,15,8
domingos andre ribeiro almeida,valencia,La-Liga,2025-2026,2000,1,0,23,0,0,0,0,3,3,0
marcos alonso,celta vigo,La-Liga,2025-2026,1990,3,2,213,0,0,1,0,13,21,5
sergi altimira,betis,La-Liga,2025-2026,2001,4,4,341,0,0,1,0,5,6,1
carlos alvarez,levante,La-Liga,2025-2026,2003,3,1,104,0,0,0,0,4,6,1
hugo alvarez,celta vigo,La-Liga,2025-2026,2003,2,1,100,1,0,0,0,4,8,11
julian alvarez,atletico madrid,La-Liga,2025-2026,2000,4,4,303,1,1,1,0,6,17,23
miguel angel rubio,espanyol,La-Liga,2025-2026,1998,3,1,122,1,0,0,0,0,1,0
antoniu,espanyol,La-Liga,2025-2026,2002,1,0,5,0,0,0,0,0,0,0
mauro arambarri,getafe,La-Liga,2025-2026,1995,4,4,360,0,0,1,0,2,11,5
jon aramburu,real sociedad,La-Liga,2025-2026,2002,4,3,304,0,0,0,0,3,25,13
ronald araujo,barcelona,La-Liga,2025-2026,1999,2,2,165,0,0,0,0,0,9,2
jesus areso,athletic club,La-Liga,2025-2026,1999,4,4,336,0,0,0,0,12,10,18
takuma asano,mallorca,La-Liga,2025-2026,1994,3,2,116,0,0,1,0,2,2,5
raul asencio,real madrid,La-Liga,2025-2026,2003,1,0,23,0,0,0,0,0,0,0
iago aspas,celta vigo,La-Liga,2025-2026,1987,4,3,240,0,0,1,0,5,21,16
yaser asprilla,girona,La-Liga,2025-2026,2003,3,2,148,0,0,0,0,4,7,19
ezequiel avila,betis,La-Liga,2025-2026,1994,3,0,43,0,0,0,0,1,1,0
cesar azpilicueta,sevilla,La-Liga,2025-2026,1989,1,1,90,0,0,1,0,1,3,6
alex baena,atletico madrid,La-Liga,2025-2026,2001,1,1,67,0,0,0,0,1,5,6
cedric bakambu,betis,La-Liga,2025-2026,1991,4,0,51,1,0,0,0,0,0,5
alejandro balde,barcelona,La-Liga,2025-2026,2003,3,3,219,0,0,1,0,5,9,23
kike barja,osasuna,La-Liga,2025-2026,1997,1,0,7,0,0,0,0,1,0,3
ander barrenetxea,real sociedad,La-Liga,2025-2026,2001,4,4,349,1,0,1,0,22,16,34
pablo barrios,atletico madrid,La-Liga,2025-2026,2003,4,3,315,1,0,0,0,15,34,14
marc bartra,betis,La-Liga,2025-2026,1991,4,4,360,1,0,0,0,2,7,0
augusto batalla,rayo vallecano,La-Liga,2025-2026,1996,3,3,270,0,0,1,0,0,0,0
ismael bekhoucha,getafe,La-Liga,2025-2026,2004,3,1,109,0,1,1,0,1,2,2
hector bellerin,betis,La-Liga,2025-2026,1995,4,3,273,0,0,0,0,6,12,14
fran beltran,celta vigo,La-Liga,2025-2026,1999,2,1,74,0,0,0,0,1,2,2
carlos benavidez,alaves,La-Liga,2025-2026,1998,1,0,10,0,0,0,0,0,0,0
