Player,Pos,Squad,Height,Value,Season,Competition
thibaut courtois,Goalkeeper,Real Madrid,2.0,45000000.0,2022-2023,laliga
andriy lunin,Goalkeeper,Real Madrid,1.91,5000000.0,2022-2023,laliga
mario de luis,Goalkeeper,Real Madrid,1.85,500000.0,2022-2023,laliga
luis lopez,Goalkeeper,Real Madrid,1.97,300000.0,2022-2023,laliga
lucas canizares,Goalkeeper,Real Madrid,1.88,200000.0,2022-2023,laliga
diego pineiro,Goalkeeper,Real Madrid,1.85,,2022-2023,laliga
fran gonzalez,Goalkeeper,Real Madrid,1.99,,2022-2023,laliga
eder militao,Centre-Back,Real Madrid,1.86,70000000.0,2022-2023,laliga
david alaba,Centre-Back,Real Madrid,1.8,40000000.0,2022-2023,laliga
antonio rudiger,Centre-Back,Real Madrid,1.9,32000000.0,2022-2023,laliga
nacho fernandez,Centre-Back,Real Madrid,1.8,6000000.0,2022-2023,laliga
jesus vallejo,Centre-Back,Real Madrid,1.84,2000000.0,2022-2023,laliga
marvel,Centre-Back,Real Madrid,1.84,1000000.0,2022-2023,laliga
ferland mendy,Left-Back,Real Madrid,1.8,25000000.0,2022-2023,laliga
daniel carvajal,Right-Back,Real Madrid,1.73,12000000.0,2022-2023,laliga
lucas vazquez,Right-Back,Real Madrid,1.73,8000000.0,2022-2023,laliga
alvaro odriozola,Right-Back,Real Madrid,1.76,5000000.0,2022-2023,laliga
vinicius tobias,Right-Back,Real Madrid,1.77,3000000.0,2022-2023,laliga
aurelien tchouameni,Defensive Midfield,Real Madrid,1.88,85000000.0,2022-2023,laliga
casemiro,Defensive Midfield,Real Madrid,1.85,40000000.0,2022-2023,laliga
mario martin,Defensive Midfield,Real Madrid,1.77,250000.0,2022-2023,laliga
federico valverde,Central Midfield,Real Madrid,1.82,100000000.0,2022-2023,laliga
eduardo camavinga,Central Midfield,Real Madrid,1.82,85000000.0,2022-2023,laliga
toni kroos,Central Midfield,Real Madrid,1.83,15000000.0,2022-2023,laliga
dani ceballos,Central Midfield,Real Madrid,1.79,12000000.0,2022-2023,laliga
luka modric,Central Midfield,Real Madrid,1.72,10000000.0,2022-2023,laliga
carlos dotor,Central Midfield,Real Madrid,1.8,700000.0,2022-2023,laliga
marco asensio,Attacking Midfield,Real Madrid,1.82,25000000.0,2022-2023,laliga
sergio arribas,Attacking Midfield,Real Madrid,1.74,5000000.0,2022-2023,laliga
nico paz,Attacking Midfield,Real Madrid,1.86,2000000.0,2022-2023,laliga
vinicius junior,Left Winger,Real Madrid,1.76,150000000.0,2022-2023,laliga
eden hazard,Left Winger,Real Madrid,1.75,5000000.0,2022-2023,laliga
rodrygo,Right Winger,Real Madrid,1.74,100000000.0,2022-2023,laliga
karim benzema,Centre-Forward,Real Madrid,1.85,25000000.0,2022-2023,laliga
alvaro rodriguez,Centre-Forward,Real Madrid,1.93,6000000.0,2022-2023,laliga
mariano diaz,Centre-Forward,Real Madrid,1.8,2500000.0,2022-2023,laliga
marcandre ter stegen,Goalkeeper,FC Barcelona,1.87,35000000.0,2022-2023,laliga
inaki pena,Goalkeeper,FC Barcelona,1.84,4000000.0,2022-2023,laliga
arnau tenas,Goalkeeper,FC Barcelona,1.85,2000000.0,2022-2023,laliga
ander astralaga,Goalkeeper,FC Barcelona,1.9,,2022-2023,laliga
ronald araujo,Centre-Back,FC Barcelona,1.92,70000000.0,2022-2023,laliga
andreas christensen,Centre-Back,FC Barcelona,1.87,40000000.0,2022-2023,laliga
eric garcia,Centre-Back,FC Barcelona,1.82,10000000.0,2022-2023,laliga
chadi riad,Centre-Back,FC Barcelona,1.87,500000.0,2022-2023,laliga
gerard pique,Centre-Back,FC Barcelona,1.94,,2022-2023,laliga
alejandro balde,Left-Back,FC Barcelona,1.75,50000000.0,2022-2023,laliga
marcos alonso,Left-Back,FC Barcelona,1.88,5000000.0,2022-2023,laliga
jordi alba,Left-Back,FC Barcelona,1.7,5000000.0,2022-2023,laliga
alex valle,Left-Back,FC Barcelona,1.78,500000.0,2022-2023,laliga
jules kounde,Right-Back,FC Barcelona,1.8,60000000.0,2022-2023,laliga
hector bellerin,Right-Back,FC Barcelona,1.78,8000000.0,2022-2023,laliga
sergio busquets,Defensive Midfield,FC Barcelona,1.89,5000000.0,2022-2023,laliga
alvaro sanz,Defensive Midfield,FC Barcelona,1.7,700000.0,2022-2023,laliga
marc casado,Defensive Midfield,FC Barcelona,1.72,300000.0,2022-2023,laliga
pau prim,Defensive Midfield,FC Barcelona,1.79,,2022-2023,laliga
pedri,Central Midfield,FC Barcelona,1.74,100000000.0,2022-2023,laliga
gavi,Central Midfield,FC Barcelona,1.73,90000000.0,2022-2023,laliga
frenkie de jong,Central Midfield,FC Barcelona,1.81,75000000.0,2022-2023,laliga
franck kessie,Central Midfield,FC Barcelona,1.83,25000000.0,2022-2023,laliga
miralem pjanic,Central Midfield,FC Barcelona,1.81,6000000.0,2022-2023,laliga
sergi roberto,Central Midfield,FC Barcelona,1.78,5000000.0,2022-2023,laliga
aleix garrido,Central Midfield,FC Barcelona,1.7,300000.0,2022-2023,laliga
unai hernandez,Central Midfield,FC Barcelona,1.71,,2022-2023,laliga
pablo torre,Attacking Midfield,FC Barcelona,1.73,3000000.0,2022-2023,laliga
raphinha,Left Winger,FC Barcelona,1.76,60000000.0,2022-2023,laliga
ansu fati,Left Winger,FC Barcelona,1.78,35000000.0,2022-2023,laliga
estanis pedrola,Left Winger,FC Barcelona,1.85,500000.0,2022-2023,laliga
