Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
junior adamu,Freiburg,38,17,5,52,32.9,2024-2025,bundesliga
karim adeyemi,Dortmund,27,4,26,48,40.9,2024-2025,bundesliga
amine adli,Leverkusen,15,7,33,30,44.7,2024-2025,bundesliga
oladapo afolayan,St. Pauli,21,9,53,72,29.7,2024-2025,bundesliga
felix agu,Werder Bremen,11,4,49,67,41.2,2024-2025,bundesliga
erik ahlstrand,St. Pauli,0,1,0,0,0.0,2024-2025,bundesliga
kevin akpoguma,Hoffenheim,25,1,12,107,50.5,2024-2025,bundesliga
andreas albers,St. Pauli,3,0,0,3,45.5,2024-2025,bundesliga
ben alexander voll,St. Pauli,0,0,0,0,,2024-2025,bundesliga
skelly alvero,Werder Bremen,7,0,0,13,62.5,2024-2025,bundesliga
aurele amenda,Eint Frankfurt,3,0,0,2,72.7,2024-2025,bundesliga
nadiem amiri,Mainz 05,44,2,166,207,48.5,2024-2025,bundesliga
mohamed amoura,Wolfsburg,30,24,35,92,29.7,2024-2025,bundesliga
robert andrich,Leverkusen,29,0,12,73,63.6,2024-2025,bundesliga
waldemar anton,Dortmund,20,1,24,122,63.0,2024-2025,bundesliga
maximilian arnold,Wolfsburg,30,0,152,154,37.8,2024-2025,bundesliga
jannfiete arp,Holstein Kiel,20,2,24,21,13.3,2024-2025,bundesliga
arthur,Leverkusen,20,0,16,31,45.5,2024-2025,bundesliga
noah atubolu,Freiburg,0,0,0,53,90.9,2024-2025,bundesliga
ayman azhil,Dortmund,2,1,0,2,,2024-2025,bundesliga
adam aznou,Bayern Munich,0,0,1,1,0.0,2024-2025,bundesliga
aliou badara balde,Bochum,1,2,4,3,0.0,2024-2025,bundesliga
ridle baku,Wolfsburg,13,1,37,68,23.8,2024-2025,bundesliga
ridle baku,RB Leipzig,13,3,34,45,37.0,2024-2025,bundesliga
samuel bamba,Bochum,0,1,5,2,33.3,2024-2025,bundesliga
noahkai banks,Augsburg,2,0,2,13,50.0,2024-2025,bundesliga
scott banks,St. Pauli,2,0,5,4,14.3,2024-2025,bundesliga
aymen barkok,Mainz 05,2,0,5,4,28.6,2024-2025,bundesliga
michy batshuayi,Eint Frankfurt,6,4,1,10,27.3,2024-2025,bundesliga
maximilian bauer,Augsburg,7,0,4,20,61.3,2024-2025,bundesliga
oliver baumann,Hoffenheim,0,0,0,53,100.0,2024-2025,bundesliga
christoph baumgartner,RB Leipzig,44,4,14,86,51.3,2024-2025,bundesliga
ihlas bebou,Hoffenheim,0,0,0,0,,2024-2025,bundesliga
adrian beck,Heidenheim,16,2,32,131,59.2,2024-2025,bundesliga
timo becker,Holstein Kiel,9,0,22,98,44.9,2024-2025,bundesliga
hannes behrens,Hoffenheim,0,0,0,3,100.0,2024-2025,bundesliga
kevin behrens,Wolfsburg,4,1,0,9,46.7,2024-2025,bundesliga
maximilian beier,Dortmund,17,9,16,49,53.5,2024-2025,bundesliga
stefan bell,Mainz 05,24,3,0,65,69.2,2024-2025,bundesliga
