Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
max aarons,Valencia,0,0,5,7,66.7,2024-2025,laliga
rodrigo abajas,Valencia,2,1,1,2,0.0,2024-2025,laliga
abel,Osasuna,25,3,85,106,54.1,2024-2025,laliga
nabil aberdin,Getafe,7,0,0,8,76.9,2024-2025,laliga
abdel abqar,Alavés,47,2,5,87,53.3,2024-2025,laliga
akor adams,Sevilla,1,1,0,4,37.5,2024-2025,laliga
adrian,Betis,0,0,0,20,66.7,2024-2025,laliga
julen agirrezabala,Athletic Club,3,0,0,21,100.0,2024-2025,laliga
lucien agoume,Sevilla,49,2,18,136,51.2,2024-2025,laliga
alvaro aguado,Espanyol,5,0,12,37,60.0,2024-2025,laliga
lorenzo aguado,Real Madrid,0,0,0,0,,2024-2025,laliga
nayef aguerd,Real Sociedad,11,0,2,73,65.6,2024-2025,laliga
joseph aidoo,Valladolid,4,0,0,25,52.9,2024-2025,laliga
joseph aidoo,Celta Vigo,0,0,0,1,,2024-2025,laliga
ilias akhomach,Villarreal,9,1,18,30,50.0,2024-2025,laliga
david alaba,Real Madrid,2,0,3,8,80.0,2024-2025,laliga
ibrahim alani,Valladolid,2,0,0,13,75.0,2024-2025,laliga
raul albiol,Villarreal,11,0,0,44,67.4,2024-2025,laliga
omar alderete,Getafe,33,8,6,115,66.4,2024-2025,laliga
carles alena,Getafe,8,2,6,12,52.6,2024-2025,laliga
carles alena,Alavés,11,0,31,47,60.0,2024-2025,laliga
alfon,Celta Vigo,15,6,40,37,17.6,2024-2025,laliga
tadeo allende,Celta Vigo,0,0,0,1,,2024-2025,laliga
domingos andre ribeiro almeida,Valencia,28,2,67,89,25.0,2024-2025,laliga
iker almena,Girona,0,0,4,2,,2024-2025,laliga
marcos alonso,Celta Vigo,31,2,42,176,62.5,2024-2025,laliga
adria altimira,Leganés,27,3,28,71,38.7,2024-2025,laliga
sergi altimira,Betis,35,0,5,117,33.3,2024-2025,laliga
hugo alvarez,Celta Vigo,25,3,31,78,33.3,2024-2025,laliga
julian alvarez,Atlético Madrid,26,9,69,75,29.5,2024-2025,laliga
yeray alvarez,Athletic Club,15,0,3,83,53.8,2024-2025,laliga
selim amallah,Valladolid,32,1,31,73,23.8,2024-2025,laliga
amath,Valladolid,4,2,7,13,14.3,2024-2025,laliga
marcos andre,Valladolid,12,5,1,44,51.6,2024-2025,laliga
leandro antonetti,Sevilla,0,0,0,3,,2024-2025,laliga
antoniu,Espanyol,19,4,20,39,25.0,2024-2025,laliga
antony,Betis,15,1,40,73,26.3,2024-2025,laliga
anuar,Valladolid,30,10,22,71,39.7,2024-2025,laliga
aritz arambarri,Leganés,0,0,0,4,42.9,2024-2025,laliga
mauro arambarri,Getafe,51,3,14,137,52.2,2024-2025,laliga
jon aramburu,Real Sociedad,50,3,45,127,54.8,2024-2025,laliga
ronald araujo,Barcelona,9,0,0,27,62.3,2024-2025,laliga
adu ares,Athletic Club,0,0,1,1,,2024-2025,laliga
jesus areso,Osasuna,31,8,169,118,58.7,2024-2025,laliga
david arguelles,Getafe,0,0,0,0,,2024-2025,laliga
jose arnaiz,Osasuna,0,4,18,16,25.0,2024-2025,laliga
sergio arribas,Betis,0,0,0,3,100.0,2024-2025,laliga
takuma asano,Mallorca,5,6,20,42,16.1,2024-2025,laliga
raul asencio,Real Madrid,12,1,0,75,66.7,2024-2025,laliga
iago aspas,Celta Vigo,16,5,15,55,46.7,2024-2025,laliga
yaser asprilla,Girona,12,1,93,62,57.1,2024-2025,laliga
ezequiel avila,Betis,13,5,29,28,42.9,2024-2025,laliga
adam aznou,Valladolid,14,0,12,56,73.3,2024-2025,laliga
cesar azpilicueta,Atlético Madrid,8,3,5,28,50.0,2024-2025,laliga
papa ba,Girona,1,0,1,1,,2024-2025,laliga
loic bade,Sevilla,26,0,8,138,68.4,2024-2025,laliga
alex baena,Villarreal,43,5,207,140,45.7,2024-2025,laliga
juma bah,Valladolid,6,0,0,35,70.5,2024-2025,laliga
eric bailly,Villarreal,7,0,0,19,61.1,2024-2025,laliga
stefan bajcetic,Las Palmas,21,0,4,61,56.7,2024-2025,laliga
cedric bakambu,Betis,23,12,2,25,31.6,2024-2025,laliga
alejandro balde,Barcelona,16,0,67,122,64.0,2024-2025,laliga
ivan balliu,Rayo Vallecano,19,1,19,39,35.0,2024-2025,laliga
jonathan bamba,Celta Vigo,7,4,25,52,33.3,2024-2025,laliga
adrian baquerin,Valladolid,0,0,0,1,100.0,2024-2025,laliga
valentin barco,Sevilla,7,0,24,16,0.0,2024-2025,laliga
borna barisic,Leganés,0,0,0,0,,2024-2025,laliga
kike barja,Osasuna,9,1,37,10,38.5,2024-2025,laliga
enzo barrenechea,Valencia,25,0,3,117,60.7,2024-2025,laliga
ander barrenetxea,Real Sociedad,33,6,54,88,33.3,2024-2025,laliga
pablo barrios,Atlético Madrid,28,0,26,131,62.5,2024-2025,laliga
thierno barry,Villarreal,47,20,5,36,67.3,2024-2025,laliga
marc bartra,Betis,15,2,1,88,54.3,2024-2025,laliga
aboubacar bassinga,Las Palmas,1,0,0,0,,2024-2025,laliga
augusto batalla,Rayo Vallecano,1,0,0,49,100.0,2024-2025,laliga
rafael bauza,Espanyol,8,0,0,4,60.0,2024-2025,laliga
sheraldo becker,Real Sociedad,8,9,64,30,30.4,2024-2025,laliga
donny van de beek,Girona,22,3,11,48,52.6,2024-2025,laliga
luken beitia,Real Sociedad,0,0,0,1,100.0,2024-2025,laliga
ismael bekhoucha,Getafe,3,0,1,6,50.0,2024-2025,laliga
hector bellerin,Betis,6,0,10,13,46.2,2024-2025,laliga
jude bellingham,Real Madrid,33,9,18,97,49.2,2024-2025,laliga
fran beltran,Celta Vigo,34,0,5,119,41.3,2024-2025,laliga
carlos benavidez,Alavés,18,1,1,32,53.3,2024-2025,laliga
iker benito,Osasuna,1,0,2,3,0.0,2024-2025,laliga
yuri berchiche,Athletic Club,18,4,42,121,58.3,2024-2025,laliga
alex berenguer,Athletic Club,29,5,178,113,35.1,2024-2025,laliga
marc bernal,Barcelona,4,0,0,9,14.3,2024-2025,laliga
juan bernat,Villarreal,0,1,9,13,71.4,2024-2025,laliga
juan bernat,Getafe,11,1,13,26,45.8,2024-2025,laliga
juan berrocal,Getafe,17,0,0,35,63.8,2024-2025,laliga
antonio blanco,Alavés,66,0,29,164,44.4,2024-2025,laliga
daley blind,Girona,19,1,42,116,41.5,2024-2025,laliga
adama boiro,Athletic Club,13,1,31,45,64.0,2024-2025,laliga
enzo boyomo,Osasuna,43,0,2,121,45.3,2024-2025,laliga
enzo boyomo,Valladolid,3,0,0,11,37.5,2024-2025,laliga
darko brasanac,Leganés,38,4,11,61,34.5,2024-2025,laliga
tajon buchanan,Villarreal,12,5,16,26,50.0,2024-2025,laliga
ante budimir,Osasuna,47,15,6,54,50.7,2024-2025,laliga
manu bueno,Sevilla,2,0,1,6,0.0,2024-2025,laliga
endika bujan,Athletic Club,0,0,1,0,,2024-2025,laliga
pau cabanes,Villarreal,4,0,6,6,33.3,2024-2025,laliga
pau cabanes,Alavés,5,0,12,11,25.0,2024-2025,laliga
leandro cabrera,Espanyol,24,0,17,83,64.7,2024-2025,laliga
fernando calero,Espanyol,6,0,2,26,41.4,2024-2025,laliga
eduardo camavinga,Real Madrid,21,1,2,90,52.6,2024-2025,laliga
sergio camello,Rayo Vallecano,11,2,6,32,29.7,2024-2025,laliga
jose campana,Las Palmas,7,0,34,84,78.9,2024-2025,laliga
peio canales,Athletic Club,1,1,16,17,0.0,2024-2025,laliga
antonio candela,Valladolid,5,2,20,23,27.3,2024-2025,laliga
sergi canos,Valencia,12,1,18,20,33.3,2024-2025,laliga
dani cardenas,Rayo Vallecano,0,0,0,6,,2024-2025,laliga
irvin cardona,Espanyol,8,5,14,19,42.1,2024-2025,laliga
marc cardona,Las Palmas,2,0,1,8,0.0,2024-2025,laliga
sergi cardona,Villarreal,38,3,111,131,60.3,2024-2025,laliga
johnny cardoso,Betis,38,0,3,138,61.7,2024-2025,laliga
jose carlos gonzalez,Las Palmas,0,0,0,0,,2024-2025,laliga
carmona,Sevilla,49,1,41,164,62.3,2024-2025,laliga
sergio carreira,Celta Vigo,19,3,41,66,17.6,2024-2025,laliga
dani carvajal,Real Madrid,3,0,14,21,58.3,2024-2025,laliga
william carvalho,Betis,7,0,2,29,54.5,2024-2025,laliga
marc casado,Barcelona,26,0,9,90,25.8,2024-2025,laliga
catena,Osasuna,36,1,2,108,65.7,2024-2025,laliga
maximiliano caufriez,Valencia,3,0,0,1,28.6,2024-2025,laliga
dani ceballos,Real Madrid,13,0,14,87,66.7,2024-2025,laliga
franco cervi,Celta Vigo,4,0,6,12,40.0,2024-2025,laliga
raul chasco,Valladolid,3,0,3,2,,2024-2025,laliga
pep chavarria,Rayo Vallecano,31,3,79,114,43.4,2024-2025,laliga
walid cheddira,Espanyol,30,11,2,19,37.5,2024-2025,laliga
chema,Real Madrid,1,0,0,0,50.0,2024-2025,laliga
julian chicco,Leganés,1,0,3,12,9.1,2024-2025,laliga
chiquinho,Mallorca,6,0,9,10,0.0,2024-2025,laliga
andreas christensen,Barcelona,5,0,0,14,78.6,2024-2025,laliga
jasper cillessen,Las Palmas,0,0,0,20,50.0,2024-2025,laliga
pathe ciss,Rayo Vallecano,45,0,4,148,61.5,2024-2025,laliga
seydouba cisse,Leganés,39,2,10,154,39.7,2024-2025,laliga
