Player,Squad,Fls,Off,Crosses,Recov,Aerialwon%,Season,Competition
tammy abraham,Roma,6,2,2,1,54.5,2023-2024,serie-a
francesco acerbi,Inter,19,3,9,102,65.4,2023-2024,serie-a
yacine adli,Milan,26,1,50,94,60.0,2023-2024,serie-a
michel aebischer,Bologna,37,0,12,135,40.7,2023-2024,serie-a
lucien agoume,Inter,0,0,0,0,100.0,2023-2024,serie-a
marley ake,Udinese,0,0,0,0,0.0,2023-2024,serie-a
ebenezer akinsanmiro,Inter,0,0,0,0,,2023-2024,serie-a
jeandaniel akpaakpro,Monza,15,0,1,29,41.7,2023-2024,serie-a
david akpan ankeye,Genoa,2,0,1,4,0.0,2023-2024,serie-a
luis alberto,Lazio,16,6,150,140,34.5,2023-2024,serie-a
carlos alcaraz,Juventus,5,0,1,17,18.2,2023-2024,serie-a
pontus almqvist,Lecce,29,1,21,69,38.9,2023-2024,serie-a
lorenzo amatucci,Fiorentina,1,0,0,3,50.0,2023-2024,serie-a
bruno amione,Hellas Verona,10,0,1,39,65.5,2023-2024,serie-a
felipe anderson,Lazio,30,4,57,139,48.4,2023-2024,serie-a
angelino,Roma,13,1,53,55,62.5,2023-2024,serie-a
houssem aouar,Roma,10,3,10,39,47.6,2023-2024,serie-a
simone aresti,Cagliari,0,0,0,0,,2023-2024,serie-a
marko arnautovic,Inter,11,8,7,17,36.4,2023-2024,serie-a
kristjan asllani,Inter,4,0,35,57,36.4,2023-2024,serie-a
emil audero,Inter,0,0,0,3,100.0,2023-2024,serie-a
tommaso augello,Cagliari,15,1,153,147,54.8,2023-2024,serie-a
carlos augusto,Inter,17,1,40,74,69.4,2023-2024,serie-a
yann aurel bisseck,Inter,6,2,5,37,51.4,2023-2024,serie-a
sardar azmoun,Roma,8,2,2,19,46.4,2023-2024,serie-a
paulo azzi,Cagliari,5,4,48,59,54.2,2023-2024,serie-a
oussama el azzouzi,Bologna,14,1,2,37,31.3,2023-2024,serie-a
milan badelj,Genoa,24,0,14,177,48.0,2023-2024,serie-a
jaime baez,Frosinone,6,5,24,29,44.4,2023-2024,serie-a
nicola bagnolini,Bologna,0,0,0,0,,2023-2024,serie-a
nedim bajrami,Sassuolo,12,3,78,57,15.4,2023-2024,serie-a
mitchel bakker,Atalanta,4,1,13,30,80.0,2023-2024,serie-a
tommaso baldanzi,Empoli,4,2,16,27,14.3,2023-2024,serie-a
