Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
junior adamu,Freiburg,198,63.5,68.9,68.6,33.3,2.4,1.9,-0.4,7,8,0,2024-2025,bundesliga
karim adeyemi,Dortmund,298,74.3,81.2,80.5,69.6,6.0,4.1,0.0,10,19,2,2024-2025,bundesliga
amine adli,Leverkusen,267,74.2,84.2,72.7,31.6,0.7,1.9,-0.7,9,15,4,2024-2025,bundesliga
oladapo afolayan,St. Pauli,320,69.4,80.0,78.2,63.6,3.8,3.6,-2.8,23,14,10,2024-2025,bundesliga
felix agu,Werder Bremen,655,79.7,88.7,81.9,61.7,1.8,2.5,-1.8,36,22,12,2024-2025,bundesliga
erik ahlstrand,St. Pauli,10,76.9,100.0,50.0,,0.0,0.0,0.0,1,0,0,2024-2025,bundesliga
kevin akpoguma,Hoffenheim,1193,87.1,94.1,91.4,55.3,0.3,0.6,-0.3,101,10,0,2024-2025,bundesliga
andreas albers,St. Pauli,15,51.7,55.6,66.7,50.0,0.1,0.1,-0.1,1,0,0,2024-2025,bundesliga
ben alexander voll,St. Pauli,28,56.0,100.0,92.9,25.0,0.1,0.0,-0.1,0,0,0,2024-2025,bundesliga
skelly alvero,Werder Bremen,68,74.7,82.9,78.9,60.0,0.0,0.1,0.0,3,3,0,2024-2025,bundesliga
aurele amenda,Eint Frankfurt,58,84.1,88.9,89.7,77.8,0.3,0.3,-0.3,2,0,0,2024-2025,bundesliga
nadiem amiri,Mainz 05,1371,77.0,89.3,85.2,50.7,6.6,9.2,-1.6,173,57,9,2024-2025,bundesliga
mohamed amoura,Wolfsburg,532,70.3,73.9,79.9,70.3,4.0,3.7,5.0,29,26,5,2024-2025,bundesliga
robert andrich,Leverkusen,865,88.4,92.3,90.1,69.1,0.3,1.0,1.7,65,8,0,2024-2025,bundesliga
waldemar anton,Dortmund,1664,90.4,95.6,93.7,67.4,0.8,1.8,1.2,124,6,3,2024-2025,bundesliga
maximilian arnold,Wolfsburg,1049,77.2,89.7,86.9,51.4,3.5,4.4,1.5,132,19,8,2024-2025,bundesliga
jannfiete arp,Holstein Kiel,102,58.6,67.2,66.7,51.2,1.0,1.7,-1.0,7,12,3,2024-2025,bundesliga
arthur,Leverkusen,306,78.9,94.3,73.4,44.0,0.4,1.0,0.6,20,7,1,2024-2025,bundesliga
noah atubolu,Freiburg,849,74.5,99.3,98.5,48.3,0.0,0.1,0.0,27,1,0,2024-2025,bundesliga
