Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
max aarons,Valencia,47,71.2,80.0,70.0,25.0,0.0,0.0,0.0,2,0,0,2024-2025,laliga
rodrigo abajas,Valencia,17,58.6,78.6,57.1,28.6,0.0,0.0,0.0,0,0,0,2024-2025,laliga
abel,Osasuna,776,72.5,87.7,78.6,36.7,1.0,1.5,-1.0,57,18,13,2024-2025,laliga
nabil aberdin,Getafe,36,59.0,60.0,63.2,61.5,0.0,0.1,0.0,7,2,0,2024-2025,laliga
abdel abqar,Alavés,719,76.6,92.8,91.5,44.2,0.3,0.4,0.7,67,10,2,2024-2025,laliga
akor adams,Sevilla,20,74.1,75.0,77.8,60.0,0.0,0.0,0.0,3,1,0,2024-2025,laliga
adrian,Betis,474,76.6,97.4,98.9,49.8,0.0,0.0,0.0,4,0,0,2024-2025,laliga
julen agirrezabala,Athletic Club,281,68.4,100.0,100.0,35.7,0.0,0.0,0.0,1,0,0,2024-2025,laliga
lucien agoume,Sevilla,1007,81.5,90.7,84.0,55.6,2.5,1.6,0.5,126,19,3,2024-2025,laliga
alvaro aguado,Espanyol,193,77.8,77.8,85.3,70.0,0.6,0.4,0.4,31,8,3,2024-2025,laliga
lorenzo aguado,Real Madrid,1,100.0,,,100.0,0.0,0.0,0.0,0,0,0,2024-2025,laliga
nayef aguerd,Real Sociedad,1213,87.3,94.8,93.4,62.9,0.1,0.3,-0.1,87,3,1,2024-2025,laliga
joseph aidoo,Valladolid,337,89.2,92.0,95.1,65.1,0.0,0.1,0.0,9,2,0,2024-2025,laliga
joseph aidoo,Celta Vigo,6,85.7,100.0,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,laliga
ilias akhomach,Villarreal,136,73.5,86.4,73.0,57.1,1.0,1.7,-1.0,5,8,2,2024-2025,laliga
david alaba,Real Madrid,206,90.4,100.0,98.0,46.9,0.1,0.1,-0.1,11,1,0,2024-2025,laliga
ibrahim alani,Valladolid,71,83.5,92.0,94.9,53.3,0.0,0.0,0.0,7,0,0,2024-2025,laliga
