Player,Squad,Pass_cmp,Pass_cmp%,Pass_cmp_Short%,Pass_cmp_Medium%,Pass_cmp_Long%,xAG,xA,A-xAG,Pass_cmp_Att_3rd,PPA,CrsPA,Season,Competition
james abankwah,Udinese,36,78.3,86.7,85.7,37.5,0.0,0.0,0.0,2,0,0,2024-2025,serie-a
saud abdulhamid,Roma,118,86.8,94.2,89.1,33.3,0.2,0.2,0.8,4,4,2,2024-2025,serie-a
oliver abildgaard,Como,1,100.0,,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
tammy abraham,Roma,1,33.3,0.0,0.0,100.0,0.0,0.0,0.0,1,0,0,2024-2025,serie-a
tammy abraham,Milan,152,68.8,75.8,62.2,50.0,2.2,1.3,1.8,13,10,0,2024-2025,serie-a
federico accornero,Genoa,4,66.7,66.7,100.0,0.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
francesco acerbi,Inter,1200,92.5,93.5,95.9,78.3,0.6,1.4,0.4,59,8,5,2024-2025,serie-a
che adams,Torino,414,74.3,78.1,79.8,69.8,2.0,2.9,1.0,32,7,0,2024-2025,serie-a
yacine adli,Fiorentina,718,80.7,90.1,87.9,60.1,2.4,2.2,3.6,84,16,4,2024-2025,serie-a
vasilije adzic,Juventus,15,75.0,80.0,83.3,100.0,0.0,0.0,0.0,1,1,0,2024-2025,serie-a
michel aebischer,Bologna,366,87.4,92.2,90.5,77.4,0.4,0.6,-0.4,41,5,2,2024-2025,serie-a
honest ahanor,Genoa,51,67.1,75.0,70.6,42.9,0.1,0.1,-0.1,0,0,0,2024-2025,serie-a
junior ajayi,Hellas Verona,4,100.0,100.0,100.0,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
jeandaniel akpaakpro,Monza,275,79.5,90.7,82.1,68.4,0.2,0.2,-0.2,19,2,1,2024-2025,serie-a
david akpan ankeye,Genoa,6,85.7,75.0,100.0,,0.0,0.0,0.0,0,1,0,2024-2025,serie-a
faride alidou,Hellas Verona,16,80.0,100.0,66.7,50.0,0.0,0.0,0.0,0,1,1,2024-2025,serie-a
dele alli,Como,3,100.0,100.0,,,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
pontus almqvist,Parma,215,72.4,81.5,70.8,58.3,1.3,0.9,-0.3,4,4,1,2024-2025,serie-a
giorgio altare,Venezia,283,72.8,81.4,79.8,32.7,0.1,0.2,-0.1,15,2,1,2024-2025,serie-a
sofyan amrabat,Fiorentina,112,84.2,92.0,84.7,65.0,0.1,0.1,-0.1,10,0,0,2024-2025,serie-a
angelino,Roma,1544,78.4,88.8,82.4,51.9,3.7,4.0,-2.7,135,58,22,2024-2025,serie-a
lorenzo anghele,Juventus,4,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0,0,0,2024-2025,serie-a
faustino anjorin,Empoli,355,80.5,85.6,89.8,51.9,1.7,1.1,1.3,44,13,1,2024-2025,serie-a
marko arnautovic,Inter,113,71.5,80.9,73.3,50.0,1.2,0.9,0.8,6,8,0,2024-2025,serie-a
kristjan asllani,Inter,868,89.2,96.0,93.4,67.9,1.9,1.9,0.1,74,18,8,2024-2025,serie-a
arthur atta,Udinese,509,80.4,86.6,88.5,55.6,1.4,1.4,-0.4,42,8,2,2024-2025,serie-a
