Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
brenden aaronson,Union Berlin,108,301,293,47,77,44.2,1387,29,9,41,38,2023-2024,bundesliga
paxten aaronson,Eint Frankfurt,6,39,28,5,7,28.6,50,0,1,5,4,2023-2024,bundesliga
junior adamu,Freiburg,7,32,18,6,3,0.0,48,1,0,5,5,2023-2024,bundesliga
sargis adamyan,Köln,30,151,136,52,18,38.9,344,9,5,27,17,2023-2024,bundesliga
karim adeyemi,Dortmund,69,170,227,63,60,30.0,1171,22,27,29,25,2023-2024,bundesliga
amine adli,Leverkusen,52,231,299,66,27,48.1,1021,25,16,17,10,2023-2024,bundesliga
felix agu,Werder Bremen,302,363,229,24,35,40.0,1223,16,7,32,10,2023-2024,bundesliga
ludovic ajorque,Mainz 05,53,314,238,85,11,18.2,291,6,1,42,10,2023-2024,bundesliga
kevin akpoguma,Hoffenheim,360,449,59,5,13,69.2,1054,11,2,10,1,2023-2024,bundesliga
faride alidou,Köln,77,210,243,51,70,34.3,1191,23,18,39,27,2023-2024,bundesliga
skelly alvero,Werder Bremen,26,54,21,6,2,100.0,172,3,0,2,1,2023-2024,bundesliga
nadiem amiri,Mainz 05,149,504,346,15,55,45.5,1094,25,5,22,19,2023-2024,bundesliga
nadiem amiri,Leverkusen,9,62,48,2,6,16.7,187,4,1,2,0,2023-2024,bundesliga
kofi amoako,Wolfsburg,1,0,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
robert andrich,Leverkusen,319,1049,281,16,12,58.3,1978,34,1,13,7,2023-2024,bundesliga
waldemar anton,Stuttgart,1245,1612,138,34,22,68.2,5711,19,5,28,12,2023-2024,bundesliga
christopher antwiadjei,Bochum,74,170,378,51,35,20.0,1071,22,17,31,24,2023-2024,bundesliga
asaf arania,Darmstadt 98,0,2,3,0,0,,9,1,0,0,0,2023-2024,bundesliga
maximilian arnold,Wolfsburg,429,1089,324,5,11,63.6,1846,15,1,20,17,2023-2024,bundesliga
arthur,Leverkusen,35,42,56,8,5,40.0,307,6,2,2,3,2023-2024,bundesliga
takuma asano,Bochum,71,218,363,95,37,43.2,1280,27,28,47,33,2023-2024,bundesliga
jonathan asp jensen,Bayern Munich,1,0,0,0,0,,0,0,0,0,0,2023-2024,bundesliga
noah atubolu,Freiburg,1440,22,0,0,0,,2508,0,0,2,0,2023-2024,bundesliga
matthias bader,Darmstadt 98,384,494,267,25,48,37.5,1673,30,6,36,14,2023-2024,bundesliga
ridle baku,Wolfsburg,313,574,457,54,40,42.5,1536,31,9,48,20,2023-2024,bundesliga
samuel bamba,Dortmund,4,5,22,8,1,100.0,103,3,1,5,0,2023-2024,bundesliga
aymen barkok,Mainz 05,19,116,103,19,8,25.0,344,4,5,12,5,2023-2024,bundesliga
leandro barreiro martins,Mainz 05,337,709,268,68,33,45.5,922,20,6,42,14,2023-2024,bundesliga
daniel batz,Mainz 05,162,4,0,0,0,,265,0,0,0,0,2023-2024,bundesliga
maximilian bauer,Augsburg,312,238,38,5,3,66.7,896,4,0,6,0,2023-2024,bundesliga
elias baum,Eint Frankfurt,7,18,1,0,2,0.0,21,0,0,2,1,2023-2024,bundesliga
oliver baumann,Hoffenheim,1492,31,0,0,0,,2092,0,0,0,0,2023-2024,bundesliga
christoph baumgartner,RB Leipzig,94,305,275,67,37,48.6,1252,31,13,38,28,2023-2024,bundesliga
ihlas bebou,Hoffenheim,101,272,393,76,63,41.3,1052,36,22,63,25,2023-2024,bundesliga
adrian beck,Heidenheim,96,304,169,31,34,61.8,702,12,0,25,18,2023-2024,bundesliga
sheraldo becker,Union Berlin,33,112,208,24,14,42.9,737,17,7,14,4,2023-2024,bundesliga
chris bedia,Union Berlin,2,17,23,8,2,100.0,31,1,1,6,1,2023-2024,bundesliga
donny van de beek,Eint Frankfurt,30,94,50,12,6,50.0,112,2,0,6,3,2023-2024,bundesliga
kevin behrens,Wolfsburg,12,97,132,30,8,37.5,143,3,3,15,10,2023-2024,bundesliga
kevin behrens,Union Berlin,43,226,235,69,7,57.1,342,13,4,39,12,2023-2024,bundesliga
maximilian beier,Hoffenheim,61,315,505,145,87,37.9,1373,32,36,79,32,2023-2024,bundesliga
stefan bell,Mainz 05,231,182,20,8,2,100.0,336,1,0,2,1,2023-2024,bundesliga
ramy bensebaini,Dortmund,288,522,202,19,17,94.1,1200,22,1,19,3,2023-2024,bundesliga
mergim berisha,Hoffenheim,5,18,33,9,2,100.0,96,1,1,8,8,2023-2024,bundesliga
mergim berisha,Augsburg,5,9,14,3,2,0.0,53,1,1,1,1,2023-2024,bundesliga
bernardo,Bochum,761,1070,286,51,23,52.2,1777,23,1,32,16,2023-2024,bundesliga
matus bero,Bochum,142,352,254,33,19,21.1,543,15,2,31,17,2023-2024,bundesliga
janniklas beste,Heidenheim,218,456,649,56,81,37.0,2149,57,12,52,32,2023-2024,bundesliga
