Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
max aarons,Valencia,21,28,36,0,4,25.0,103,3,0,3,1,2024-2025,laliga
rodrigo abajas,Valencia,8,19,9,1,1,100.0,67,2,1,0,2,2024-2025,laliga
abel,Osasuna,370,605,357,19,35,51.4,1792,44,7,27,18,2024-2025,laliga
nabil aberdin,Getafe,21,56,10,2,3,66.7,74,0,0,1,1,2024-2025,laliga
abdel abqar,Alavés,659,545,58,25,4,75.0,2013,7,0,18,3,2024-2025,laliga
akor adams,Sevilla,4,18,12,1,1,100.0,0,0,0,2,0,2024-2025,laliga
adrian,Betis,657,1,0,0,0,,1161,0,0,1,0,2024-2025,laliga
julen agirrezabala,Athletic Club,436,1,0,0,0,,682,0,0,1,0,2024-2025,laliga
lucien agoume,Sevilla,386,867,248,19,30,73.3,1597,23,2,26,13,2024-2025,laliga
alvaro aguado,Espanyol,68,161,78,6,8,62.5,753,10,4,9,4,2024-2025,laliga
lorenzo aguado,Real Madrid,3,0,0,0,0,,0,0,0,0,1,2024-2025,laliga
nayef aguerd,Real Sociedad,729,815,53,16,10,50.0,3798,18,0,7,3,2024-2025,laliga
joseph aidoo,Valladolid,265,168,2,1,1,100.0,678,0,0,0,1,2024-2025,laliga
joseph aidoo,Celta Vigo,4,4,0,0,0,,8,0,0,0,1,2024-2025,laliga
ilias akhomach,Villarreal,44,89,163,29,43,44.2,759,18,20,15,10,2024-2025,laliga
david alaba,Real Madrid,137,100,11,2,0,,482,1,0,1,0,2024-2025,laliga
ibrahim alani,Valladolid,36,74,4,0,1,100.0,130,0,0,1,2,2024-2025,laliga
raul albiol,Villarreal,533,369,14,3,0,,1226,1,0,3,1,2024-2025,laliga
omar alderete,Getafe,681,796,122,39,28,64.3,2546,20,2,30,9,2024-2025,laliga
carles alena,Getafe,26,84,56,10,4,75.0,169,2,1,3,6,2024-2025,laliga
carles alena,Alavés,63,290,243,22,24,50.0,671,25,2,23,14,2024-2025,laliga
alfon,Celta Vigo,44,139,374,114,63,39.7,1693,39,47,29,20,2024-2025,laliga
tadeo allende,Celta Vigo,1,3,0,0,1,0.0,4,0,0,0,0,2024-2025,laliga
domingos andre ribeiro almeida,Valencia,150,596,428,43,54,40.7,1810,48,11,37,38,2024-2025,laliga
iker almena,Girona,4,6,30,1,3,66.7,152,3,1,1,0,2024-2025,laliga
marcos alonso,Celta Vigo,1022,1399,298,35,25,64.0,6481,48,2,20,9,2024-2025,laliga
adria altimira,Leganés,248,380,209,8,31,32.3,1049,23,4,28,7,2024-2025,laliga
sergi altimira,Betis,321,940,272,18,24,66.7,1635,14,1,27,21,2024-2025,laliga
hugo alvarez,Celta Vigo,262,471,489,82,72,44.4,2266,38,41,33,12,2024-2025,laliga
julian alvarez,Atlético Madrid,105,501,649,116,65,52.3,2198,51,29,62,40,2024-2025,laliga
yeray alvarez,Athletic Club,554,825,55,14,9,66.7,3165,8,0,11,7,2024-2025,laliga
selim amallah,Valladolid,101,334,184,18,68,48.5,836,17,6,35,25,2024-2025,laliga
amath,Valladolid,24,71,73,12,16,43.8,318,9,4,10,4,2024-2025,laliga
marcos andre,Valladolid,46,208,128,32,41,41.5,345,9,5,40,23,2024-2025,laliga
leandro antonetti,Sevilla,2,4,7,0,1,0.0,43,1,0,2,1,2024-2025,laliga
antoniu,Espanyol,74,150,158,20,54,53.7,966,23,5,27,12,2024-2025,laliga
antony,Betis,100,315,585,63,63,38.1,2729,77,30,53,20,2024-2025,laliga
anuar,Valladolid,214,324,173,28,24,29.2,834,15,6,25,14,2024-2025,laliga
aritz arambarri,Leganés,59,26,1,1,0,,137,0,0,1,0,2024-2025,laliga
mauro arambarri,Getafe,203,693,264,72,34,52.9,863,8,3,60,29,2024-2025,laliga
jon aramburu,Real Sociedad,630,936,336,20,37,21.6,1502,20,0,34,12,2024-2025,laliga
ronald araujo,Barcelona,227,542,32,9,1,0.0,1731,4,0,2,1,2024-2025,laliga
adu ares,Athletic Club,2,3,6,1,1,0.0,29,1,0,0,2,2024-2025,laliga
jesus areso,Osasuna,423,767,730,23,64,37.5,2869,66,9,62,29,2024-2025,laliga
david arguelles,Getafe,2,2,3,0,0,,12,0,0,0,0,2024-2025,laliga
