Player,Squad,Touch_Def_3rd,Touch_Mid_3rd,Touch_Att_3rd,Touch_Att_Pen,drib_Att,drib_Succ%,PrgDist,Carries_Att_3rd,Carries_Att_Pen,fail_To_Gain_Control,Loss_Control_Tackle,Season,Competition
james abankwah,Udinese,26,13,0,0,1,100.0,19,0,0,1,1,2022-2023,serie-a
oliver abildgaard,Hellas Verona,82,137,40,13,1,100.0,156,3,0,6,1,2022-2023,serie-a
tammy abraham,Roma,50,391,355,125,68,32.4,856,20,16,62,31,2022-2023,serie-a
christian acella,Cremonese,1,9,1,0,0,,7,0,0,1,0,2022-2023,serie-a
francesco acerbi,Inter,858,880,167,27,12,58.3,2867,33,2,13,7,2022-2023,serie-a
yacine adli,Milan,14,45,42,2,6,66.7,171,5,0,3,5,2022-2023,serie-a
michel aebischer,Bologna,147,400,246,28,13,46.2,841,12,4,30,17,2022-2023,serie-a
felix afenagyan,Cremonese,40,129,156,28,25,28.0,463,13,3,34,21,2022-2023,serie-a
kevin agudelo,Spezia,168,500,457,54,109,45.9,2740,71,19,59,55,2022-2023,serie-a
ola aina,Torino,146,294,250,13,49,46.9,1112,26,4,15,8,2022-2023,serie-a
emanuel aiwum,Cremonese,506,452,51,5,10,30.0,1569,11,0,6,5,2022-2023,serie-a
jeandaniel akpaakpro,Empoli,163,338,143,24,55,56.4,748,23,8,25,15,2022-2023,serie-a
luis alberto,Lazio,269,1285,681,43,41,46.3,3214,76,10,33,31,2022-2023,serie-a
agustin alvarez,Sassuolo,12,76,71,16,17,41.2,95,1,2,16,12,2022-2023,serie-a
kelvin amian,Spezia,506,512,383,47,30,53.3,2090,31,3,25,18,2022-2023,serie-a
bruno amione,Hellas Verona,17,4,0,0,0,,8,0,0,0,0,2022-2023,serie-a
bruno amione,Sampdoria,715,479,83,24,10,20.0,1165,16,0,20,1,2022-2023,serie-a
ethan ampadu,Spezia,930,841,140,19,12,75.0,3014,21,0,18,7,2022-2023,serie-a
sofyan amrabat,Fiorentina,298,1106,256,6,17,70.6,2876,28,1,20,16,2022-2023,serie-a
felipe anderson,Lazio,236,830,790,129,105,51.4,2369,62,31,85,44,2022-2023,serie-a
janis antiste,Sassuolo,7,9,7,1,1,0.0,9,0,0,1,0,2022-2023,serie-a
marcos antonio,Lazio,117,331,49,1,5,80.0,339,9,1,6,4,2022-2023,serie-a
valentin antov,Monza,127,121,19,0,1,100.0,313,2,0,3,2,2022-2023,serie-a
marko arnautovic,Bologna,44,325,255,57,27,48.1,524,12,6,42,19,2022-2023,serie-a
tolgay arslan,Udinese,145,398,234,26,36,41.7,1530,31,11,26,17,2022-2023,serie-a
santiago ascacibar,Cremonese,177,280,100,4,9,44.4,442,3,0,8,4,2022-2023,serie-a
kristoffer askildsen,Lecce,68,190,97,8,6,50.0,336,2,2,13,3,2022-2023,serie-a
kristjan asllani,Inter,115,309,87,2,5,40.0,634,9,1,3,2,2022-2023,serie-a
emil audero,Sampdoria,968,17,0,0,0,,1827,0,0,1,0,2022-2023,serie-a
tommaso augello,Sampdoria,615,856,544,21,64,56.3,3177,43,5,21,17,2022-2023,serie-a
carlos augusto,Monza,676,917,498,71,61,54.1,3073,62,15,45,28,2022-2023,serie-a
kaan ayhan,Sassuolo,198,182,6,0,0,,744,5,0,0,1,2022-2023,serie-a
jaime baez,Cremonese,10,37,16,2,2,50.0,124,3,0,1,0,2022-2023,serie-a
nedim bajrami,Empoli,66,185,219,27,31,35.5,816,21,10,24,17,2022-2023,serie-a
nedim bajrami,Sassuolo,63,150,247,29,32,56.3,739,16,12,20,9,2022-2023,serie-a
tiemoue bakayoko,Milan,16,12,2,0,3,33.3,56,1,0,1,1,2022-2023,serie-a
tommaso baldanzi,Empoli,109,408,334,46,60,38.3,1772,51,14,33,15,2022-2023,serie-a
